date,상속세증여세
2020-03-20,10.41968
2020-03-21,10.99855
2020-03-22,13.60347
2020-03-23,14.39942
2020-03-24,13.38639
2020-03-25,13.16931
2020-03-26,13.16931
2020-03-27,13.24167
2020-03-28,13.82054
2020-03-29,13.96526
2020-03-30,19.24746
2020-03-31,14.39942
2020-04-01,12.6628
2020-04-02,14.54413
2020-04-03,11.4327
2020-04-04,11.64978
2020-04-05,12.30101
2020-04-06,17.29377
2020-04-07,17.80028
2020-04-08,15.55716
2020-04-09,14.03762
2020-04-10,14.03762
2020-04-11,14.03762
2020-04-12,16.57018
2020-04-13,18.3068
2020-04-14,16.64254
2020-04-15,13.0246
2020-04-16,15.26772
2020-04-17,15.91895
2020-04-18,14.54413
2020-04-19,12.44573
2020-04-20,15.34008
2020-04-21,21.9971
2020-04-22,21.85238
2020-04-23,17.22141
2020-04-24,15.41244
2020-04-25,12.51808
2020-04-26,11.36034
2020-04-27,19.82633
2020-04-28,17.65557
2020-04-29,18.01736
2020-04-30,15.62952
2020-05-01,12.59044
2020-05-02,13.67583
2020-05-03,15.12301
2020-05-04,21.56295
2020-05-05,17.51085
2020-05-06,26.33863
2020-05-07,30.39073
2020-05-08,23.44428
2020-05-09,15.05065
2020-05-10,15.70188
2020-05-11,21.85238
2020-05-12,16.35311
2020-05-13,16.85962
2020-05-14,15.34008
2020-05-15,16.85962
2020-05-16,12.73516
2020-05-17,18.59623
2020-05-18,26.70043
2020-05-19,24.24023
2020-05-20,18.37916
2020-05-21,20.69464
2020-05-22,14.47178
2020-05-23,11.64978
2020-05-24,12.44573
2020-05-25,18.37916
2020-05-26,15.4848
2020-05-27,10.85383
2020-05-28,11.14327
2020-05-29,12.30101
2020-05-30,10.41968
2020-05-31,12.22865
2020-06-01,12.30101
2020-06-02,11.72214
2020-06-03,13.82054
2020-06-04,15.12301
2020-06-05,15.62952
2020-06-06,9.98552
2020-06-07,11.7945
2020-06-08,18.95803
2020-06-09,17.14905
2020-06-10,18.08972
2020-06-11,14.10998
2020-06-12,17.80028
2020-06-13,12.59044
2020-06-14,11.57742
2020-06-15,16.57018
2020-06-16,18.01736
2020-06-17,20.18813
2020-06-18,16.93198
2020-06-19,15.55716
2020-06-20,11.50506
2020-06-21,15.41244
2020-06-22,19.10274
2020-06-23,25.03617
2020-06-24,17.43849
2020-06-25,21.56295
2020-06-26,18.52387
2020-06-27,15.77424
2020-06-28,14.18234
2020-06-29,19.97105
2020-06-30,18.37916
2020-07-01,19.82633
2020-07-02,20.69464
2020-07-03,19.89869
2020-07-04,15.62952
2020-07-05,14.10998
2020-07-06,21.70767
2020-07-07,19.24746
2020-07-08,20.4052
2020-07-09,22.79305
2020-07-10,23.2272
2020-07-11,21.9971
2020-07-12,20.91172
2020-07-13,24.38494
2020-07-14,21.20115
2020-07-15,15.84659
2020-07-16,11.7945
2020-07-17,13.24167
2020-07-18,10.99855
2020-07-19,13.16931
2020-07-20,14.18234
2020-07-21,14.83357
2020-07-22,13.09696
2020-07-23,12.95224
2020-07-24,13.96526
2020-07-25,12.80752
2020-07-26,14.2547
2020-07-27,17.945
2020-07-28,15.99131
2020-07-29,20.62228
2020-07-30,20.98408
2020-07-31,17.51085
2020-08-01,11.21562
2020-08-02,9.40665
2020-08-03,14.97829
2020-08-04,14.32706
2020-08-05,14.03762
2020-08-06,11.57742
2020-08-07,11.64978
2020-08-08,10.70911
2020-08-09,11.64978
2020-08-10,10.92619
2020-08-11,13.8929
2020-08-12,11.86685
2020-08-13,9.69609
2020-08-14,11.4327
2020-08-15,12.51808
2020-08-16,15.99131
2020-08-17,10.56439
2020-08-18,15.55716
2020-08-19,15.26772
2020-08-20,16.64254
2020-08-21,16.13603
2020-08-22,11.4327
2020-08-23,13.60347
2020-08-24,19.03039
2020-08-25,15.41244
2020-08-26,14.97829
2020-08-27,11.07091
2020-08-28,14.2547
2020-08-29,9.47901
2020-08-30,9.91316
2020-08-31,12.59044
2020-09-01,15.62952
2020-09-02,15.19536
2020-09-03,17.65557
2020-09-04,11.72214
2020-09-05,9.84081
2020-09-06,12.51808
2020-09-07,17.22141
2020-09-08,19.24746
2020-09-09,16.42547
2020-09-10,16.64254
2020-09-11,19.68162
2020-09-12,13.24167
2020-09-13,17.87264
2020-09-14,22.28654
2020-09-15,20.4052
2020-09-16,17.00434
2020-09-17,17.36613
2020-09-18,12.37337
2020-09-19,13.53111
2020-09-20,17.29377
2020-09-21,22.79305
2020-09-22,24.60202
2020-09-23,15.12301
2020-09-24,13.67583
2020-09-25,9.91316
2020-09-26,9.04486
