date,돈버는만보기
2020-03-20,2.49759
2020-03-21,3.65033
2020-03-22,3.26609
2020-03-23,3.07396
2020-03-24,3.55427
2020-03-25,3.07396
2020-03-26,2.9779
2020-03-27,92.69932
2020-03-28,6.14793
2020-03-29,3.84245
2020-03-30,5.09125
2020-03-31,3.07396
2020-04-01,2.88184
2020-04-02,3.84245
2020-04-03,5.18731
2020-04-04,3.55427
2020-04-05,3.84245
2020-04-06,4.03458
2020-04-07,4.03458
2020-04-08,4.41882
2020-04-09,4.61095
2020-04-10,3.74639
2020-04-11,2.20941
2020-04-12,3.55427
2020-04-13,2.9779
2020-04-14,4.32276
2020-04-15,2.30547
2020-04-16,1.92122
2020-04-17,3.26609
2020-04-18,3.65033
2020-04-19,4.03458
2020-04-20,3.74639
2020-04-21,5.09125
2020-04-22,4.41882
2020-04-23,2.78578
2020-04-24,3.07396
2020-04-25,2.59365
2020-04-26,3.45821
2020-04-27,2.40153
2020-04-28,2.88184
2020-04-29,3.74639
2020-04-30,4.32276
2020-05-01,2.78578
2020-05-02,2.30547
2020-05-03,3.65033
2020-05-04,2.20941
2020-05-05,4.61095
2020-05-06,3.93852
2020-05-07,2.9779
2020-05-08,2.11335
2020-05-09,2.68972
2020-05-10,2.78578
2020-05-11,3.45821
2020-05-12,2.49759
2020-05-13,4.03458
2020-05-14,2.59365
2020-05-15,2.40153
2020-05-16,1.92122
2020-05-17,3.26609
2020-05-18,2.30547
2020-05-19,3.36215
2020-05-20,2.11335
2020-05-21,2.68972
2020-05-22,0.67243
2020-05-23,2.49759
2020-05-24,2.01729
2020-05-25,4.2267
2020-05-26,2.78578
2020-05-27,2.68972
2020-05-28,3.45821
2020-05-29,1.24879
2020-05-30,2.20941
2020-05-31,2.49759
2020-06-01,3.07396
2020-06-02,2.9779
2020-06-03,2.9779
2020-06-04,3.93852
2020-06-05,2.49759
2020-06-06,3.84245
2020-06-07,4.61095
2020-06-08,5.09125
2020-06-09,4.61095
2020-06-10,5.37944
2020-06-11,4.13064
2020-06-12,5.18731
2020-06-13,4.80307
2020-06-14,3.36215
2020-06-15,5.37944
2020-06-16,4.03458
2020-06-17,4.2267
2020-06-18,2.78578
2020-06-19,3.45821
2020-06-20,3.74639
2020-06-21,2.40153
2020-06-22,1.82516
2020-06-23,2.49759
2020-06-24,2.11335
2020-06-25,1.15273
2020-06-26,1.7291
2020-06-27,1.82516
2020-06-28,2.01729
2020-06-29,1.82516
2020-06-30,1.92122
2020-07-01,3.17002
2020-07-02,2.59365
2020-07-03,2.30547
2020-07-04,1.82516
2020-07-05,2.68972
2020-07-06,1.44092
2020-07-07,2.88184
2020-07-08,3.45821
2020-07-09,2.30547
2020-07-10,2.30547
2020-07-11,2.59365
2020-07-12,2.78578
2020-07-13,1.63304
2020-07-14,2.30547
2020-07-15,2.78578
2020-07-16,2.20941
2020-07-17,1.92122
2020-07-18,2.9779
2020-07-19,3.26609
2020-07-20,1.05667
2020-07-21,2.78578
2020-07-22,2.40153
2020-07-23,2.11335
2020-07-24,1.92122
2020-07-25,1.92122
2020-07-26,2.49759
2020-07-27,2.59365
2020-07-28,2.78578
2020-07-29,2.9779
2020-07-30,1.7291
2020-07-31,1.24879
2020-08-01,1.82516
2020-08-02,2.78578
2020-08-03,2.01729
2020-08-04,2.11335
2020-08-05,1.44092
2020-08-06,2.01729
2020-08-07,0.96061
2020-08-08,0.96061
2020-08-09,1.34486
2020-08-10,2.59365
2020-08-11,1.34486
2020-08-12,0.96061
2020-08-13,1.63304
2020-08-14,1.05667
2020-08-15,0.76849
2020-08-16,0.86455
2020-08-17,0.86455
2020-08-18,1.05667
2020-08-19,1.44092
2020-08-20,1.15273
2020-08-21,2.11335
2020-08-22,0.96061
2020-08-23,0.96061
2020-08-24,1.15273
2020-08-25,1.24879
2020-08-26,0.86455
2020-08-27,0.67243
2020-08-28,0.96061
2020-08-30,0.86455
2020-08-31,0.4803
2020-09-01,1.53698
2020-09-02,1.34486
2020-09-03,1.05667
2020-09-04,1.53698
2020-09-05,1.05667
2020-09-06,0.67243
2020-09-07,1.53698
2020-09-08,1.44092
2020-09-09,0.96061
2020-09-10,2.68972
2020-09-11,1.7291
2020-09-12,0.76849
2020-09-13,1.7291
2020-09-14,0.96061
2020-09-15,1.44092
2020-09-16,1.34486
2020-09-17,2.01729
2020-09-18,1.7291
2020-09-19,1.63304
2020-09-20,1.92122
2020-09-21,1.34486
2020-09-22,2.01729
2020-09-23,2.59365
2020-09-24,1.05667
2020-09-25,0.96061
2020-09-26,2.9779
2020-09-27,2.40153
2020-09-28,2.9779
2020-09-29,2.20941
2020-09-30,1.7291
2020-10-01,1.63304
2020-10-02,2.30547
2020-10-03,2.30547
2020-10-04,2.9779
2020-10-05,1.7291
2020-10-06,4.89913
2020-10-07,2.78578
2020-10-08,2.49759
2020-10-09,2.49759
2020-10-10,2.88184
2020-10-11,2.30547
2020-10-12,2.9779
2020-10-13,1.92122
2020-10-14,1.7291
2020-10-15,1.24879
2020-10-16,1.24879
2020-10-17,3.17002
2020-10-18,3.65033
2020-10-19,3.93852
2020-10-20,3.17002
2020-10-21,2.59365
2020-10-22,4.13064
2020-10-23,2.01729
2020-10-24,1.15273
2020-10-25,2.20941
2020-10-26,1.92122
2020-10-27,1.05667
2020-10-28,2.9779
