date,저PBR
2020-11-10,0.2895
2020-11-11,0.56694
2020-11-12,0.57901
2020-11-13,0.31363
2020-11-14,0.24125
2020-11-15,0.47044
2020-11-16,0.53075
2020-11-17,0.62726
2020-11-18,0.54282
2020-11-19,0.57901
2020-11-20,0.386
2020-11-21,0.31363
2020-11-22,0.30156
2020-11-23,0.44632
2020-11-24,0.34981
2020-11-25,0.45838
2020-11-26,0.25331
2020-11-27,0.27744
2020-11-28,0.30156
2020-11-29,0.36188
2020-11-30,0.25331
2020-12-01,0.16887
2020-12-02,0.386
2020-12-03,0.41013
2020-12-04,0.31363
2020-12-05,0.31363
2020-12-06,0.4825
2020-12-07,0.42219
2020-12-08,0.55488
2020-12-09,0.55488
2020-12-10,0.62726
2020-12-11,0.51869
2020-12-12,0.36188
2020-12-13,0.47044
2020-12-14,0.47044
2020-12-15,0.24125
2020-12-16,0.31363
2020-12-17,0.57901
2020-12-18,0.56694
2020-12-19,0.73582
2020-12-20,0.61519
2020-12-21,0.84439
2020-12-22,0.4825
2020-12-23,0.59107
2020-12-24,0.63932
2020-12-25,0.43425
2020-12-26,0.49457
2020-12-27,0.54282
2020-12-28,0.67551
2020-12-29,0.60313
2020-12-30,0.73582
2020-12-31,0.68757
2021-01-01,0.72376
2021-01-02,0.63932
2021-01-03,0.60313
2021-01-04,0.66344
2021-01-05,0.78407
2021-01-06,1.15802
2021-01-07,1.21833
2021-01-08,0.67551
2021-01-09,0.78407
2021-01-10,1.0977
2021-01-11,0.44632
2021-01-12,0.57901
2021-01-13,0.53075
2021-01-14,0.61519
2021-01-15,0.41013
2021-01-16,0.14475
2021-01-17,0.55488
2021-01-18,0.30156
2021-01-19,0.4825
2021-01-20,0.55488
2021-01-21,0.57901
2021-01-22,0.61519
2021-01-23,0.55488
2021-01-24,0.53075
2021-01-25,0.31363
2021-01-26,0.50663
2021-01-27,0.54282
2021-01-28,0.4825
2021-01-29,0.37394
2021-01-30,0.43425
2021-01-31,0.33775
2021-02-01,0.24125
2021-02-02,0.386
2021-02-03,0.51869
2021-02-04,0.39806
2021-02-05,0.50663
2021-02-06,0.47044
2021-02-07,0.50663
2021-02-08,0.36188
2021-02-09,0.45838
2021-02-10,0.41013
2021-02-11,0.45838
2021-02-12,0.22919
2021-02-13,0.21712
2021-02-14,0.33775
2021-02-15,0.37394
2021-02-16,0.4825
2021-02-17,0.43425
2021-02-18,0.33775
