date,발행어음CMA
2020-03-20,1.43266
2020-03-25,2.00573
2020-04-09,1.43266
2020-04-10,1.71919
2020-04-24,2.57879
2020-05-12,1.43266
2020-05-25,2.29226
2020-06-01,1.43266
2020-06-05,1.43266
2020-09-04,1.43266
2020-09-08,1.43266
2020-10-09,1.43266
2020-12-14,1.43266
2020-12-15,1.43266
2020-12-19,1.71919
2020-12-23,1.43266
2021-01-28,1.43266
2021-02-05,1.71919
2021-08-08,1.71919
2021-08-09,1.43266
2021-08-10,3.43839
2021-08-24,2.29226
2021-08-25,2.29226
2021-09-24,1.43266
2021-09-26,1.71919
2021-09-29,2.29226
2021-11-11,1.43266
2021-11-20,1.43266
2021-11-24,1.43266
2021-11-25,1.43266
2021-11-30,1.43266
2021-12-14,1.71919
2021-12-27,1.43266
2021-12-28,3.15186
2021-12-30,1.43266
2022-01-02,1.71919
2022-01-03,1.71919
2022-01-07,2.29226
2022-01-27,1.43266
2022-02-18,1.71919
2022-02-21,1.43266
2022-03-12,1.43266
2022-03-17,1.71919
2022-03-21,6.01719
2022-03-23,3.15186
2022-03-29,2.57879
2022-03-30,4.29799
2022-04-01,2.00573
2022-04-05,1.43266
2022-04-08,1.43266
2022-04-11,1.71919
2022-04-13,1.71919
2022-04-15,4.29799
2022-04-19,2.00573
2022-04-22,1.43266
2022-04-26,1.71919
2022-05-20,1.71919
2022-05-26,3.43839
2022-05-27,4.58452
2022-05-29,4.58452
2022-05-30,1.71919
2022-06-02,3.43839
2022-06-07,1.71919
2022-06-08,1.43266
2022-06-21,1.71919
2022-06-22,5.15759
2022-06-23,4.01146
2022-06-24,4.58452
2022-06-25,1.71919
2022-06-27,2.00573
2022-06-28,2.29226
2022-06-30,1.71919
2022-07-02,2.00573
2022-07-04,3.72492
2022-07-05,6.30372
2022-07-06,2.57879
2022-07-08,2.57879
2022-07-11,4.01146
2022-07-13,6.87679
2022-07-14,12.03438
2022-07-15,14.89971
2022-07-16,2.00573
2022-07-18,2.86532
2022-07-19,6.87679
2022-07-20,1.43266
2022-07-21,2.86532
2022-07-22,1.43266
2022-07-25,2.57879
2022-07-26,2.00573
2022-07-27,3.43839
2022-07-28,1.43266
2022-07-29,1.71919
2022-07-30,2.00573
2022-07-31,2.86532
2022-08-01,2.86532
2022-08-03,2.29226
2022-08-06,3.43839
2022-08-07,1.43266
2022-08-08,5.73065
2022-08-09,4.87106
2022-08-10,4.29799
2022-08-11,4.58452
2022-08-12,1.71919
2022-08-13,3.15186
2022-08-14,2.86532
2022-08-16,7.73638
2022-08-17,6.30372
2022-08-18,7.16332
2022-08-19,4.58452
2022-08-20,2.86532
2022-08-21,2.86532
2022-08-22,4.01146
2022-08-24,4.01146
2022-08-25,9.74212
2022-08-26,13.18051
2022-08-27,7.73638
2022-08-28,6.87679
2022-08-29,10.31518
2022-08-30,17.76504
2022-08-31,13.46704
2022-09-01,20.34383
2022-09-02,11.17478
2022-09-03,5.73065
2022-09-04,6.30372
2022-09-05,12.89398
2022-09-06,9.16905
2022-09-07,8.59598
2022-09-08,3.15186
2022-09-09,5.44412
2022-09-10,2.86532
2022-09-11,3.72492
2022-09-12,6.01719
2022-09-13,4.87106
2022-09-14,8.02292
2022-09-15,6.30372
2022-09-16,8.30945
2022-09-17,3.15186
2022-09-18,4.01146
2022-09-19,4.87106
2022-09-20,8.30945
2022-09-21,9.16905
2022-09-22,6.87679
2022-09-23,7.16332
2022-09-24,2.00573
2022-09-25,3.72492
2022-09-26,5.15759
2022-09-27,4.01146
2022-09-28,5.15759
2022-09-29,3.15186
2022-09-30,10.02865
2022-10-01,6.01719
2022-10-02,8.02292
2022-10-03,8.30945
2022-10-04,10.31518
2022-10-05,7.44985
2022-10-06,9.74212
2022-10-07,5.44412
2022-10-08,3.43839
2022-10-09,2.29226
2022-10-10,2.57879
2022-10-11,4.58452
2022-10-12,14.61318
2022-10-13,22.6361
2022-10-14,15.18624
2022-10-15,8.88252
2022-10-16,9.16905
2022-10-17,15.47277
2022-10-18,16.04584
2022-10-19,16.33237
2022-10-20,29.79942
2022-10-21,18.05157
2022-10-22,6.87679
2022-10-23,14.61318
2022-10-24,16.61891
2022-10-25,26.36103
2022-10-26,29.79942
2022-10-27,30.65902
2022-10-28,42.12034
2022-10-29,9.74212
2022-10-30,100.0
2022-10-31,96.5616
2022-11-01,89.39828
2022-11-02,58.16618
2022-11-03,62.46418
2022-11-04,46.41833
2022-11-05,29.51289
2022-11-06,24.92836
2022-11-07,39.82808
2022-11-08,41.26074
2022-11-09,40.40114
2022-11-10,29.79942
2022-11-11,26.07449
2022-11-12,35.81661
2022-11-13,52.14899
2022-11-14,36.67621
2022-11-15,36.10315
2022-11-16,47.851
2022-11-17,29.79942
2022-11-18,28.65329
2022-11-19,16.90544
2022-11-20,13.75358
2022-11-21,21.48997
2022-11-22,21.48997
2022-11-23,16.61891
2022-11-24,27.22063
2022-11-25,40.97421
2022-11-26,20.34383
2022-11-27,20.34383
2022-11-28,31.23209
2022-11-29,36.38968
2022-11-30,54.72779
2022-12-01,31.23209
2022-12-02,25.78796
2022-12-03,10.88825
2022-12-04,12.32091
2022-12-05,21.48997
2022-12-06,26.64756
2022-12-07,27.22063
2022-12-08,20.0573
2022-12-09,20.0573
2022-12-10,12.89398
2022-12-11,14.89971
2022-12-12,29.79942
2022-12-13,44.69914
2022-12-14,29.22636
2022-12-15,27.22063
2022-12-16,24.3553
2022-12-17,12.89398
2022-12-18,13.18051
2022-12-19,20.0573
2022-12-20,21.7765
2022-12-21,24.06876
2022-12-22,21.20343
2022-12-23,21.7765
2022-12-24,15.47277
2022-12-25,16.61891
2022-12-26,22.92263
2022-12-27,22.34957
2022-12-28,26.36103
2022-12-29,21.20343
2022-12-30,23.78223
2022-12-31,12.60744
2023-01-01,16.90544
2023-01-02,20.63037
2023-01-03,23.78223
2023-01-04,27.79369
2023-01-05,30.08595
2023-01-06,22.6361
2023-01-07,18.05157
2023-01-08,13.75358
2023-01-09,20.9169
2023-01-10,28.36676
2023-01-11,22.06303
2023-01-12,23.20916
2023-01-13,34.95702
2023-01-14,26.93409
2023-01-15,18.05157
2023-01-16,28.08022
2023-01-17,27.79369
2023-01-18,22.06303
2023-01-19,28.08022
2023-01-20,20.9169
2023-01-21,12.03438
2023-01-22,15.75931
2023-01-23,15.18624
2023-01-24,15.47277
2023-01-25,23.78223
2023-01-26,31.51862
2023-01-27,28.65329
2023-01-28,16.61891
2023-01-29,12.32091
2023-01-30,22.34957
2023-01-31,33.52435
2023-02-01,27.22063
2023-02-02,29.22636
2023-02-03,22.06303
2023-02-04,6.01719
2023-02-05,14.04011
2023-02-06,21.7765
2023-02-07,23.20916
2023-02-08,16.90544
2023-02-09,23.4957
2023-02-10,23.20916
2023-02-11,10.88825
2023-02-12,15.75931
2023-02-13,19.1977
2023-02-14,20.9169
2023-02-15,18.62464
2023-02-16,15.75931
2023-02-17,15.47277
2023-02-18,16.04584
2023-02-19,11.17478
2023-02-20,17.47851
2023-02-21,26.36103
2023-02-22,22.92263
2023-02-23,21.20343
2023-02-24,29.22636
2023-02-25,16.04584
2023-02-26,16.33237
2023-02-27,21.48997
2023-02-28,26.07449
2023-03-01,17.19197
2023-03-02,18.91117
2023-03-03,32.09169
2023-03-04,18.05157
2023-03-05,14.04011
2023-03-06,20.34383
2023-03-07,20.34383
2023-03-08,11.74785
2023-03-09,20.9169
2023-03-10,20.9169
2023-03-11,8.02292
