date,짠테크
2020-03-20,19.91279
2020-03-21,15.26162
2020-03-22,15.55232
2020-03-23,19.62209
2020-03-24,16.56976
2020-03-25,14.97093
2020-03-26,16.71511
2020-03-27,16.71511
2020-03-28,11.19186
2020-03-29,12.64534
2020-03-30,16.86046
2020-03-31,16.42441
2020-04-01,13.95348
2020-04-02,14.38953
2020-04-03,13.51744
2020-04-04,13.66279
2020-04-05,11.77325
2020-04-06,9.15697
2020-04-07,18.89534
2020-04-08,12.79069
2020-04-09,9.88372
2020-04-10,10.02906
2020-04-11,10.31976
2020-04-12,14.53488
2020-04-13,11.77325
2020-04-14,12.93604
2020-04-15,12.06395
2020-04-16,13.22674
2020-04-17,13.51744
2020-04-18,13.22674
2020-04-19,9.01162
2020-04-20,11.77325
2020-04-21,14.38953
2020-04-22,11.04651
2020-04-23,13.80813
2020-04-24,12.06395
2020-04-25,9.44767
2020-04-26,13.08139
2020-04-27,9.73837
2020-04-28,13.80813
2020-04-29,11.6279
2020-04-30,11.48255
2020-05-01,9.44767
2020-05-02,10.31976
2020-05-03,9.88372
2020-05-04,9.44767
2020-05-05,10.75581
2020-05-06,10.75581
2020-05-07,13.80813
2020-05-08,10.61046
2020-05-09,10.90116
2020-05-10,9.01162
2020-05-11,14.53488
2020-05-12,8.13953
2020-05-13,9.73837
2020-05-14,8.57558
2020-05-15,9.30232
2020-05-16,7.84883
2020-05-17,10.17441
2020-05-18,14.24418
2020-05-19,12.93604
2020-05-20,9.30232
2020-05-21,11.48255
2020-05-22,10.90116
2020-05-23,8.28488
2020-05-24,7.70348
2020-05-25,9.30232
2020-05-26,10.90116
2020-05-27,10.31976
2020-05-28,11.6279
2020-05-29,8.57558
2020-05-30,5.81395
2020-05-31,6.54069
2020-06-01,5.9593
2020-06-02,11.48255
2020-06-03,13.66279
2020-06-04,8.86627
2020-06-05,9.88372
2020-06-06,7.41279
2020-06-07,10.61046
2020-06-08,10.75581
2020-06-09,9.88372
2020-06-10,8.86627
2020-06-11,7.99418
2020-06-12,9.15697
2020-06-13,8.57558
2020-06-14,7.26744
2020-06-15,9.15697
2020-06-16,10.46511
2020-06-17,10.17441
2020-06-18,9.01162
2020-06-19,8.13953
2020-06-20,9.30232
2020-06-21,7.26744
2020-06-22,11.48255
2020-06-23,8.57558
2020-06-24,10.02906
2020-06-25,8.13953
2020-06-26,7.12209
2020-06-27,7.84883
2020-06-28,6.54069
2020-06-29,16.56976
2020-06-30,29.36046
2020-07-01,20.34883
2020-07-02,15.40697
2020-07-03,9.88372
2020-07-04,7.12209
2020-07-05,6.97674
2020-07-06,9.01162
2020-07-07,10.75581
2020-07-08,9.30232
2020-07-09,9.44767
2020-07-10,9.73837
2020-07-11,5.23255
2020-07-12,6.25
2020-07-13,13.66279
2020-07-14,10.61046
2020-07-15,10.90116
2020-07-16,10.61046
2020-07-17,6.39534
2020-07-18,5.81395
2020-07-19,7.84883
2020-07-20,10.02906
2020-07-21,10.31976
2020-07-22,15.11627
2020-07-23,12.79069
2020-07-24,8.86627
2020-07-25,6.83139
2020-07-26,7.70348
2020-07-27,16.56976
2020-07-28,13.51744
2020-07-29,13.08139
2020-07-30,8.57558
2020-07-31,7.70348
2020-08-01,10.17441
2020-08-02,5.81395
2020-08-03,10.02906
2020-08-04,13.51744
2020-08-05,11.6279
2020-08-06,9.59302
2020-08-07,6.39534
2020-08-08,9.44767
2020-08-09,10.46511
2020-08-10,9.44767
2020-08-11,9.59302
2020-08-12,10.46511
2020-08-13,10.90116
2020-08-14,8.72093
2020-08-15,8.72093
2020-08-16,6.83139
2020-08-17,6.97674
2020-08-18,7.26744
2020-08-19,9.59302
2020-08-20,8.57558
2020-08-21,6.83139
2020-08-22,9.73837
2020-08-23,8.13953
