date,자동차보험할증기준
2020-11-07,37.54045
2020-11-08,33.0097
2020-11-09,67.63754
2020-11-10,57.44336
2020-11-11,55.98705
2020-11-12,55.3398
2020-11-13,56.79611
2020-11-14,30.90614
2020-11-15,27.83171
2020-11-16,64.23948
2020-11-17,56.31067
2020-11-18,49.51456
2020-11-19,56.95792
2020-11-20,51.13268
2020-11-21,30.25889
2020-11-22,27.34627
2020-11-23,59.87055
2020-11-24,53.88349
2020-11-25,52.7508
2020-11-26,47.89644
2020-11-27,43.5275
2020-11-28,30.58252
2020-11-29,26.53721
2020-11-30,59.54692
2020-12-01,48.38187
2020-12-02,46.76375
2020-12-03,50.97087
2020-12-04,50.16181
2020-12-05,33.49514
2020-12-06,24.43365
2020-12-07,58.09061
2020-12-08,56.6343
2020-12-09,53.88349
2020-12-10,47.08737
2020-12-11,43.20388
2020-12-12,27.18446
2020-12-13,21.84466
2020-12-14,59.38511
2020-12-15,50.16181
2020-12-16,51.61812
2020-12-17,45.79288
2020-12-18,49.35275
2020-12-19,29.61165
2020-12-20,28.9644
2020-12-21,61.32686
2020-12-22,56.31067
2020-12-23,55.01618
2020-12-24,44.822
2020-12-25,22.4919
2020-12-26,28.47896
2020-12-27,24.59546
2020-12-28,68.77022
2020-12-29,56.79611
2020-12-30,57.9288
2020-12-31,58.09061
2021-01-01,23.7864
2021-01-02,29.93527
2021-01-03,28.15533
2021-01-04,65.37216
2021-01-05,54.69255
2021-01-06,50.64724
2021-01-07,72.81553
2021-01-08,52.91262
2021-01-09,39.15857
2021-01-10,25.40453
2021-01-11,59.38511
2021-01-12,54.69255
2021-01-13,70.71197
2021-01-14,100.0
2021-01-15,53.23624
2021-01-16,36.24595
2021-01-17,31.39158
2021-01-18,64.72491
2021-01-19,68.28478
2021-01-20,61.65048
2021-01-21,58.57605
2021-01-22,56.6343
2021-01-23,40.77669
2021-01-24,29.93527
2021-01-25,64.07766
2021-01-26,55.01618
2021-01-27,53.39805
2021-01-28,51.61812
2021-01-29,53.72168
2021-01-30,36.8932
2021-01-31,33.17152
2021-02-01,52.58899
2021-02-02,56.14886
2021-02-03,50.64724
2021-02-04,51.13268
2021-02-05,51.61812
2021-02-06,32.68608
2021-02-07,27.99352
2021-02-08,57.11974
2021-02-09,48.05825
2021-02-10,51.29449
2021-02-11,26.3754
2021-02-12,22.33009
2021-02-13,26.3754
2021-02-14,29.93527
2021-02-15,73.13915
2021-02-16,65.21035
2021-02-17,56.95792
2021-02-18,59.70873
2021-02-19,51.13268
2021-02-20,34.3042
2021-02-21,28.47896
2021-02-22,63.59223
2021-02-23,60.19417
2021-02-24,48.86731
2021-02-25,48.05825
2021-02-26,48.38187
2021-02-27,38.67313
2021-02-28,27.83171
2021-03-01,27.18446
2021-03-02,58.57605
2021-03-03,51.61812
2021-03-04,52.26537
2021-03-05,44.98381
2021-03-06,28.9644
2021-03-07,23.30097
2021-03-08,50.80906
2021-03-09,47.57281
2021-03-10,47.57281
2021-03-11,50.32362
2021-03-12,48.86731
2021-03-13,38.1877
2021-03-14,27.18446
2021-03-15,54.0453
2021-03-16,57.60517
2021-03-17,50.48543
2021-03-18,45.30744
2021-03-19,42.39482
2021-03-20,32.20064
2021-03-21,23.62459
2021-03-22,52.10355
2021-03-23,51.13268
2021-03-24,39.32038
2021-03-25,47.24919
2021-03-26,31.06796
2021-03-27,30.25889
2021-03-28,25.24271
2021-03-29,55.3398
2021-03-30,48.7055
2021-03-31,44.822
2021-04-01,43.85113
2021-04-02,35.76051
2021-04-03,28.64077
2021-04-04,22.16828
2021-04-05,56.31067
2021-04-06,50.32362
2021-04-07,52.58899
2021-04-08,45.63106
2021-04-09,38.1877
2021-04-10,30.25889
2021-04-11,23.46278
2021-04-12,59.70873
2021-04-13,48.05825
2021-04-14,47.89644
2021-04-15,45.79288
2021-04-16,40.77669
2021-04-17,25.40453
2021-04-18,25.0809
2021-04-19,49.35275
2021-04-20,54.20711
2021-04-21,46.44012
2021-04-22,44.822
2021-04-23,38.34951
2021-04-24,24.59546
2021-04-25,25.88996
2021-04-26,53.23624
2021-04-27,49.35275
2021-04-28,40.45307
2021-04-29,43.68932
2021-04-30,40.29126
2021-05-01,26.86084
2021-05-02,25.88996
2021-05-03,47.57281
2021-05-04,44.822
2021-05-05,28.9644
2021-05-06,50.16181
2021-05-07,42.07119
2021-05-08,31.22977
2021-05-09,26.86084
2021-05-10,53.39805
2021-05-11,55.98705
2021-05-12,51.13268
2021-05-13,48.86731
2021-05-14,45.30744
2021-05-15,29.61165
2021-05-16,23.30097
2021-05-17,58.73786
2021-05-18,49.51456
2021-05-19,30.74433
2021-05-20,47.08737
2021-05-21,43.68932
2021-05-22,32.68608
2021-05-23,31.22977
2021-05-24,57.28155
2021-05-25,48.38187
2021-05-26,53.07443
2021-05-27,51.77993
2021-05-28,43.85113
2021-05-29,32.03883
2021-05-30,30.42071
2021-05-31,66.66666
2021-06-01,50.48543
2021-06-02,49.51456
2021-06-03,51.61812
2021-06-04,41.58576
2021-06-05,24.11003
2021-06-06,24.27184
2021-06-07,62.94498
2021-06-08,48.86731
2021-06-09,54.20711
2021-06-10,48.05825
2021-06-11,41.26213
2021-06-12,31.71521
2021-06-13,25.40453
2021-06-14,60.67961
2021-06-15,54.85436
2021-06-16,48.54368
2021-06-17,43.20388
2021-06-18,46.92556
2021-06-19,27.99352
2021-06-20,28.80258
2021-06-21,55.50161
