date,은마아파트
2020-03-20,3.93024
2020-03-21,3.52571
2020-03-22,3.48795
2020-03-23,4.08126
2020-03-24,3.97339
2020-03-25,3.99856
2020-03-26,3.97518
2020-03-27,3.97159
2020-03-28,3.59403
2020-03-29,4.11183
2020-03-30,4.52894
2020-03-31,4.1316
2020-04-01,4.3887
2020-04-02,4.17835
2020-04-03,4.27903
2020-04-04,3.25782
2020-04-05,2.8443
2020-04-06,3.68752
2020-04-07,3.85113
2020-04-08,3.7918
2020-04-09,3.71089
2020-04-10,5.46386
2020-04-11,5.07011
2020-04-12,3.62099
2020-04-13,4.08486
2020-04-14,3.67313
2020-04-15,3.80438
2020-04-16,5.72096
2020-04-17,10.24271
2020-04-18,7.33549
2020-04-19,7.68248
2020-04-20,8.75943
2020-04-21,7.48831
2020-04-22,22.30852
2020-04-23,13.40884
2020-04-24,11.91118
2020-04-25,10.55555
2020-04-26,8.32793
2020-04-27,8.42862
2020-04-28,10.47105
2020-04-29,8.37468
2020-04-30,6.22617
2020-05-01,7.1503
2020-05-02,7.53146
2020-05-03,8.80438
2020-05-04,9.34376
2020-05-05,6.28011
2020-05-06,5.84322
2020-05-07,5.64904
2020-05-08,5.27687
2020-05-09,6.85544
2020-05-10,4.76627
2020-05-11,6.23516
2020-05-12,5.01977
2020-05-13,5.6814
2020-05-14,5.30384
2020-05-15,4.41927
2020-05-16,5.20136
2020-05-17,8.24523
2020-05-18,10.3362
2020-05-19,6.56598
2020-05-20,5.9475
2020-05-21,4.16576
2020-05-22,3.54189
2020-05-23,3.86192
2020-05-24,4.54153
2020-05-25,4.09025
2020-05-26,3.82955
2020-05-27,3.60841
2020-05-28,3.67313
2020-05-29,3.65336
2020-05-30,3.63897
2020-05-31,3.24703
2020-06-01,3.36569
2020-06-02,3.90686
2020-06-03,4.27544
2020-06-04,4.66738
2020-06-05,3.71988
2020-06-06,3.36209
2020-06-07,3.26501
2020-06-08,3.61201
2020-06-09,3.30276
2020-06-10,3.2704
2020-06-11,3.79
2020-06-12,4.14778
2020-06-13,4.83818
2020-06-14,3.06005
2020-06-15,3.77562
2020-06-16,3.71449
2020-06-17,6.31427
2020-06-18,16.73858
2020-06-19,18.38187
2020-06-20,13.31715
2020-06-21,11.3718
2020-06-22,13.51312
2020-06-23,9.14419
2020-06-24,6.39518
2020-06-25,6.45451
2020-06-26,5.3398
2020-06-27,4.91549
2020-06-28,5.30204
2020-06-29,6.62171
2020-06-30,6.05357
2020-07-01,5.22114
2020-07-02,5.338
2020-07-03,5.7731
2020-07-04,4.50197
2020-07-05,4.16037
2020-07-06,4.79863
2020-07-07,5.00359
2020-07-08,5.23193
2020-07-09,5.76051
2020-07-10,6.68644
2020-07-11,5.57533
2020-07-12,4.76986
2020-07-13,5.17799
2020-07-14,5.05393
2020-07-15,4.6494
2020-07-16,8.47716
2020-07-17,7.89823
2020-07-18,5.76051
2020-07-19,5.40093
2020-07-20,6.53182
2020-07-21,6.47249
2020-07-22,12.17367
2020-07-23,7.03703
2020-07-24,5.85041
2020-07-25,5.20496
2020-07-26,5.46386
2020-07-27,9.23588
2020-07-28,7.62135
2020-07-29,7.01006
2020-07-30,6.09313
2020-07-31,5.52858
2020-08-01,5.03775
2020-08-02,5.20496
2020-08-03,6.39338
2020-08-04,14.94606
2020-08-05,11.39158
2020-08-06,13.39985
2020-08-07,8.55267
2020-08-08,5.70837
2020-08-09,5.38475
2020-08-10,5.62207
2020-08-11,5.48004
2020-08-12,5.18518
2020-08-13,5.05034
2020-08-14,5.00539
2020-08-15,4.15138
2020-08-16,4.32937
2020-08-17,4.28982
2020-08-18,4.42646
2020-08-19,4.28802
2020-08-20,4.66558
2020-08-21,5.63825
2020-08-22,4.96044
2020-08-23,4.1334
2020-08-24,4.60266
2020-08-25,5.54117
2020-08-26,6.20999
2020-08-27,5.6814
2020-08-28,4.49658
2020-08-29,4.7357
2020-08-30,3.9644
2020-08-31,4.66738
2020-09-01,3.8745
2020-09-02,5.22653
2020-09-03,3.77202
2020-09-04,3.33333
2020-09-05,3.31355
2020-09-06,8.99137
2020-09-07,6.32865
2020-09-08,5.30025
2020-09-09,4.78784
2020-09-10,3.99137
2020-09-11,3.96799
2020-09-12,3.71988
2020-09-13,3.47536
2020-09-14,4.02553
2020-09-15,3.80978
2020-09-16,3.37828
2020-09-17,3.48975
2020-09-18,3.72348
2020-09-19,3.43761
2020-09-20,3.02948
2020-09-21,3.58863
2020-09-22,3.23624
2020-09-23,3.13556
2020-09-24,3.33333
2020-09-25,3.00071
2020-09-26,2.79755
2020-09-27,2.77238
2020-09-28,3.2758
2020-09-29,3.57784
2020-09-30,3.0169
2020-10-01,2.8425
2020-10-02,2.8389
2020-10-03,3.21287
2020-10-04,3.14455
2020-10-05,4.21071
2020-10-06,5.32002
2020-10-07,4.19453
2020-10-08,3.64617
2020-10-09,3.74685
2020-10-10,3.42862
2020-10-11,3.05106
2020-10-12,3.9572
2020-10-13,3.7846
2020-10-14,3.99496
2020-10-15,4.79144
2020-10-16,3.85472
2020-10-17,3.31715
2020-10-18,3.72887
2020-10-19,3.63538
2020-10-20,3.81517
2020-10-21,7.5836
2020-10-22,10.1708
2020-10-23,6.07695
2020-10-24,5.81805
2020-10-25,4.90111
2020-10-26,5.53757
2020-10-27,5.13304
2020-10-28,5.24991
2020-10-29,5.72455
2020-10-30,4.50737
2020-10-31,4.62423
2020-11-01,4.70514
2020-11-02,4.7357
2020-11-03,4.8202
2020-11-04,4.44264
2020-11-05,4.63142
2020-11-06,4.33477
2020-11-07,4.93347
2020-11-08,3.66055
2020-11-09,4.18374
2020-11-10,5.39374
2020-11-11,5.41352
2020-11-12,4.51096
2020-11-13,4.41747
2020-11-14,3.99137
2020-11-15,3.82596
2020-11-16,4.4786
2020-11-17,4.78245
2020-11-18,4.34196
2020-11-19,4.28443
2020-11-20,4.37612
2020-11-21,4.40668
2020-11-22,3.93563
2020-11-23,4.94246
2020-11-24,5.23013
2020-11-25,5.17439
2020-11-26,4.75008
2020-11-27,5.54297
2020-11-28,5.81265
2020-11-29,4.07587
2020-11-30,6.60194
2020-12-01,7.52067
2020-12-02,5.67601
2020-12-03,5.3416
2020-12-04,4.17655
2020-12-05,4.27544
2020-12-06,4.23588
2020-12-07,4.41387
2020-12-08,4.07587
2020-12-09,3.95001
2020-12-10,4.76806
2020-12-11,4.31499
2020-12-12,3.77202
2020-12-13,3.36389
2020-12-14,3.99676
2020-12-15,3.77022
2020-12-16,3.69111
2020-12-17,3.80438
2020-12-18,3.38727
2020-12-19,3.62819
2020-12-20,3.56526
2020-12-21,4.28083
2020-12-22,3.86911
2020-12-23,3.55088
2020-12-24,3.90866
2020-12-25,3.42862
2020-12-26,3.29737
2020-12-27,3.29917
2020-12-28,4.18914
2020-12-29,5.30025
2020-12-30,4.97123
2020-12-31,4.34016
2021-01-01,3.46997
2021-01-02,3.63538
2021-01-03,3.1823
2021-01-04,3.64257
2021-01-05,3.5311
2021-01-06,6.95972
2021-01-07,4.53254
2021-01-08,4.03092
2021-01-09,3.51312
2021-01-10,3.52571
2021-01-11,3.72887
2021-01-12,3.77562
2021-01-13,4.12261
2021-01-14,4.58647
2021-01-15,5.21395
2021-01-16,5.52858
2021-01-17,4.69255
2021-01-18,8.77382
2021-01-19,10.5987
2021-01-20,7.45595
2021-01-21,5.88457
2021-01-22,5.5142
2021-01-23,5.03595
2021-01-24,5.47464
2021-01-25,6.57677
2021-01-26,11.17224
2021-01-27,7.69866
2021-01-28,8.51672
2021-01-29,6.78173
2021-01-30,8.52031
2021-01-31,5.46026
2021-02-01,4.45343
2021-02-02,4.55591
2021-02-03,10.05573
2021-02-04,9.10284
2021-02-05,7.37684
2021-02-06,6.1147
2021-02-07,4.91549
2021-02-08,9.653
2021-02-09,5.55915
2021-02-10,5.13304
2021-02-11,5.26968
2021-02-12,4.92628
