date,코스닥상장
2020-03-20,47.03703
2020-03-21,23.7037
2020-03-22,24.44444
2020-03-23,54.81481
2020-03-24,45.18518
2020-03-25,41.48148
2020-03-26,53.7037
2020-03-27,40.0
2020-03-28,27.77777
2020-03-29,25.55555
2020-03-30,42.96296
2020-03-31,44.44444
2020-04-01,41.85185
2020-04-02,40.0
2020-04-03,39.62962
2020-04-04,40.0
2020-04-05,34.81481
2020-04-06,46.29629
2020-04-07,56.29629
2020-04-08,51.48148
2020-04-09,52.96296
2020-04-10,44.07407
2020-04-11,31.85185
2020-04-12,28.88888
2020-04-13,40.37037
2020-04-14,41.85185
2020-04-15,24.07407
2020-04-16,33.7037
2020-04-17,39.62962
2020-04-18,31.11111
2020-04-19,47.03703
2020-04-20,40.0
2020-04-21,51.11111
2020-04-22,63.7037
2020-04-23,47.77777
2020-04-24,44.81481
2020-04-25,28.88888
2020-04-26,31.85185
2020-04-27,51.48148
2020-04-28,50.0
2020-04-29,45.18518
2020-04-30,27.4074
2020-05-01,30.0
2020-05-02,22.59259
2020-05-03,24.81481
2020-05-04,21.85185
2020-05-05,18.88888
2020-05-06,31.48148
2020-05-07,26.66666
2020-05-08,32.96296
2020-05-09,17.03703
2020-05-10,16.29629
2020-05-11,29.62962
2020-05-12,36.29629
2020-05-13,34.81481
2020-05-14,31.48148
2020-05-15,26.66666
2020-05-16,18.88888
2020-05-17,24.44444
2020-05-18,32.22222
2020-05-19,50.0
2020-05-20,33.7037
2020-05-21,47.03703
2020-05-22,55.18518
2020-05-23,23.7037
2020-05-24,24.81481
2020-05-25,43.7037
2020-05-26,47.03703
2020-05-27,41.48148
2020-05-28,53.7037
2020-05-29,45.55555
2020-05-30,29.62962
2020-05-31,30.0
2020-06-01,41.85185
2020-06-02,43.33333
2020-06-03,46.29629
2020-06-04,42.22222
2020-06-05,40.74074
2020-06-06,27.03703
2020-06-07,27.77777
2020-06-08,45.18518
2020-06-09,45.18518
2020-06-10,41.85185
2020-06-11,41.48148
2020-06-12,41.11111
2020-06-13,20.74074
2020-06-14,23.33333
2020-06-15,34.44444
2020-06-16,48.14814
2020-06-17,60.0
2020-06-18,44.44444
2020-06-19,44.07407
2020-06-20,28.14814
2020-06-21,28.88888
2020-06-22,60.74074
2020-06-23,53.33333
2020-06-24,52.96296
2020-06-25,50.74074
2020-06-26,37.77777
2020-06-27,22.22222
2020-06-28,18.88888
2020-06-29,32.22222
2020-06-30,40.37037
2020-07-01,49.62962
2020-07-02,52.59259
2020-07-03,83.33333
2020-07-04,25.55555
2020-07-05,25.18518
2020-07-06,60.74074
2020-07-07,59.25925
2020-07-08,52.59259
2020-07-09,49.62962
2020-07-10,52.59259
2020-07-11,20.0
2020-07-12,22.59259
2020-07-13,62.22222
2020-07-14,68.51851
2020-07-15,63.7037
2020-07-16,74.07407
2020-07-17,53.33333
2020-07-18,18.14814
2020-07-19,18.51851
2020-07-20,42.22222
2020-07-21,47.03703
2020-07-22,54.44444
2020-07-23,100.0
2020-07-24,61.48148
2020-07-25,21.48148
2020-07-26,20.0
2020-07-27,43.33333
2020-07-28,38.14814
2020-07-29,41.48148
2020-07-30,60.0
2020-07-31,55.18518
2020-08-01,24.81481
2020-08-02,16.29629
2020-08-03,37.4074
2020-08-04,58.51851
2020-08-05,54.07407
2020-08-06,54.07407
2020-08-07,36.29629
2020-08-08,18.14814
2020-08-09,22.96296
2020-08-10,77.77777
2020-08-11,48.88888
2020-08-12,56.66666
2020-08-13,90.37037
2020-08-14,43.7037
2020-08-15,16.29629
2020-08-16,16.66666
2020-08-17,15.92592
2020-08-18,32.96296
2020-08-19,38.51851
2020-08-20,94.44444
2020-08-21,59.62962
2020-08-22,20.0
2020-08-23,29.25925
2020-08-24,46.66666
2020-08-25,40.0
2020-08-26,58.14814
2020-08-27,43.7037
2020-08-28,42.59259
2020-08-29,20.37037
2020-08-30,20.0
2020-08-31,40.0
2020-09-01,50.74074
2020-09-02,62.96296
2020-09-03,55.55555
2020-09-04,38.51851
2020-09-05,22.22222
2020-09-06,25.55555
2020-09-07,38.88888
2020-09-08,53.7037
2020-09-09,60.0
2020-09-10,81.85185
2020-09-11,54.81481
2020-09-12,25.55555
2020-09-13,25.18518
2020-09-14,50.0
2020-09-15,50.37037
2020-09-16,48.51851
2020-09-17,40.37037
2020-09-18,36.29629
2020-09-19,14.44444
2020-09-20,21.85185
2020-09-21,28.51851
2020-09-22,44.07407
2020-09-23,40.37037
2020-09-24,48.14814
2020-09-25,37.77777
2020-09-26,20.74074
2020-09-27,25.92592
2020-09-28,28.14814
2020-09-29,32.22222
2020-09-30,13.7037
2020-10-01,12.96296
2020-10-02,13.7037
2020-10-03,14.81481
2020-10-04,12.96296
2020-10-05,27.77777
2020-10-06,35.18518
2020-10-07,33.7037
2020-10-08,27.77777
2020-10-09,16.66666
2020-10-10,11.48148
2020-10-11,13.7037
2020-10-12,26.66666
2020-10-13,35.55555
2020-10-14,24.44444
2020-10-15,60.37037
2020-10-16,44.81481
2020-10-17,11.48148
2020-10-18,21.48148
2020-10-19,43.7037
2020-10-20,37.77777
2020-10-21,53.7037
2020-10-22,55.92592
2020-10-23,29.62962
2020-10-24,17.03703
2020-10-25,14.07407
2020-10-26,38.14814
2020-10-27,38.51851
2020-10-28,39.25925
2020-10-29,48.88888
2020-10-30,39.62962
2020-10-31,14.44444
2020-11-01,17.4074
2020-11-02,39.62962
2020-11-03,44.81481
2020-11-04,42.59259
2020-11-05,54.07407
2020-11-06,51.48148
2020-11-07,21.85185
2020-11-08,23.7037
2020-11-09,51.11111
2020-11-10,40.37037
2020-11-11,42.59259
2020-11-12,44.07407
2020-11-13,40.0
2020-11-14,22.96296
2020-11-15,20.37037
2020-11-16,40.74074
2020-11-17,49.62962
2020-11-18,60.37037
2020-11-19,54.44444
2020-11-20,52.96296
2020-11-21,21.11111
2020-11-22,13.33333
2020-11-23,40.0
