date,증권거래세
2020-03-20,13.85023
2020-03-21,4.83764
2020-03-22,5.08062
2020-03-23,13.58515
2020-03-24,16.96487
2020-03-25,17.36249
2020-03-26,16.6998
2020-03-27,15.35233
2020-03-28,6.73735
2020-03-29,5.87585
2020-03-30,15.74994
2020-03-31,16.10337
2020-04-01,14.51292
2020-04-02,15.63949
2020-04-03,12.1935
2020-04-04,4.97017
2020-04-05,5.38988
2020-04-06,13.49679
2020-04-07,14.91053
2020-04-08,14.60128
2020-04-09,16.39054
2020-04-10,12.30395
2020-04-11,5.61077
2020-04-12,5.19107
2020-04-13,16.76607
2020-04-14,17.64965
2020-04-15,6.91407
2020-04-16,18.44488
2020-04-17,16.03711
2020-04-18,6.56063
2020-04-19,5.89794
2020-04-20,14.80008
2020-04-21,13.18754
2020-04-22,12.21559
2020-04-23,13.34216
2020-04-24,11.332
2020-04-25,7.15705
2020-04-26,5.58869
2020-04-27,11.92842
2020-04-28,12.45858
2020-04-29,14.31411
2020-04-30,6.16302
2020-05-01,4.19703
2020-05-02,3.90987
2020-05-03,3.86569
2020-05-04,8.3499
2020-05-05,5.32361
2020-05-06,11.19946
2020-05-07,11.46454
2020-05-08,10.16125
2020-05-09,4.88182
2020-05-10,4.15286
2020-05-11,13.36425
2020-05-12,11.72962
2020-05-13,16.52308
2020-05-14,15.15352
2020-05-15,11.59708
2020-05-16,4.24121
2020-05-17,22.24431
2020-05-18,18.44488
2020-05-19,15.57322
2020-05-20,13.71769
2020-05-21,13.67351
2020-05-22,12.08305
2020-05-23,5.1248
2020-05-24,4.46211
2020-05-25,11.46454
2020-05-26,12.96664
2020-05-27,12.45858
2020-05-28,10.31588
2020-05-29,10.47051
2020-05-30,4.52838
2020-05-31,4.74928
2020-06-01,18.93085
2020-06-02,18.04727
2020-06-03,14.82217
2020-06-04,15.13143
2020-06-05,13.29798
2020-06-06,6.05257
2020-06-07,6.45018
2020-06-08,21.64789
2020-06-09,14.38038
2020-06-10,14.95471
2020-06-11,15.63949
2020-06-12,12.1935
2020-06-13,5.9863
2020-06-14,5.47824
2020-06-15,21.89087
2020-06-16,29.68853
2020-06-17,17.45085
2020-06-18,16.258
2020-06-19,13.54097
2020-06-20,5.94212
2020-06-21,15.55113
2020-06-22,23.59178
2020-06-23,24.12193
2020-06-24,33.26706
2020-06-25,100.0
2020-06-26,45.54892
2020-06-27,14.18157
2020-06-28,14.57919
2020-06-29,24.05566
2020-06-30,22.66401
2020-07-01,22.86282
2020-07-02,19.74817
2020-07-03,16.258
2020-07-04,7.64303
2020-07-05,7.97437
2020-07-06,19.59354
2020-07-07,21.91296
2020-07-08,17.73801
2020-07-09,16.19173
2020-07-10,12.45858
2020-07-11,4.68301
2020-07-12,5.45615
2020-07-13,14.5571
2020-07-14,13.65142
2020-07-15,13.34216
2020-07-16,12.21559
2020-07-17,22.81864
2020-07-18,11.28782
2020-07-19,7.55467
2020-07-20,18.11354
2020-07-21,20.89684
2020-07-22,74.68522
2020-07-23,28.82703
2020-07-24,16.0592
2020-07-25,5.5666
2020-07-26,6.25138
2020-07-27,15.6174
2020-07-28,15.74994
2020-07-29,14.5571
2020-07-30,14.42456
2020-07-31,11.28782
2020-08-01,4.57256
2020-08-02,4.15286
2020-08-03,12.14932
2020-08-04,13.40843
2020-08-05,12.94455
2020-08-06,14.40247
2020-08-07,11.61917
2020-08-08,4.41793
2020-08-09,4.37375
2020-08-10,14.44665
2020-08-11,14.02694
2020-08-12,12.70156
2020-08-13,12.76783
2020-08-14,9.89617
2020-08-15,3.73315
2020-08-16,3.18091
2020-08-17,3.93196
2020-08-18,10.95648
2020-08-19,13.01082
2020-08-20,12.30395
2020-08-21,11.9726
2020-08-22,3.46808
2020-08-23,3.09255
2020-08-24,13.20963
2020-08-25,14.42456
2020-08-26,15.50695
2020-08-27,14.51292
2020-08-28,13.87232
2020-08-29,4.37375
2020-08-30,3.68897
2020-08-31,14.66755
2020-09-01,11.64126
2020-09-02,11.90633
2020-09-03,12.76783
2020-09-04,10.24961
2020-09-05,4.08659
2020-09-06,3.88778
2020-09-07,12.43649
2020-09-08,18.24607
2020-09-09,12.28186
2020-09-10,29.88734
2020-09-11,31.21272
2020-09-12,11.26573
2020-09-13,8.28363
2020-09-14,27.41329
2020-09-15,16.30218
