date,우미린아파트
2020-03-20,8.41683
2020-03-21,7.01402
2020-03-22,8.01603
2020-03-23,9.21843
2020-03-24,9.21843
2020-03-25,10.02004
2020-03-26,10.02004
2020-03-27,9.41883
2020-03-28,8.21643
2020-03-29,9.81963
2020-03-30,10.82164
2020-03-31,12.02404
2020-04-01,11.22244
2020-04-02,8.61723
2020-04-03,8.21643
2020-04-04,7.81563
2020-04-05,6.61322
2020-04-06,14.62925
2020-04-07,12.22444
2020-04-08,13.62725
2020-04-09,12.22444
2020-04-10,10.82164
2020-04-11,6.21242
2020-04-12,5.21042
2020-04-13,10.22044
2020-04-14,14.42885
2020-04-15,10.22044
2020-04-16,13.02605
2020-04-17,11.82364
2020-04-18,9.01803
2020-04-19,8.81763
2020-04-20,10.42084
2020-04-21,9.21843
2020-04-22,12.02404
2020-04-23,9.81963
2020-04-24,11.02204
2020-04-25,9.41883
2020-04-26,7.41482
2020-04-27,12.82565
2020-04-28,12.42484
2020-04-29,9.41883
2020-04-30,9.01803
2020-05-01,7.61523
2020-05-02,7.61523
2020-05-03,8.41683
2020-05-04,10.22044
2020-05-05,9.01803
2020-05-06,12.42484
2020-05-07,8.41683
2020-05-08,8.21643
2020-05-09,7.61523
2020-05-10,7.41482
2020-05-11,11.02204
2020-05-12,12.42484
2020-05-13,9.21843
2020-05-14,10.02004
2020-05-15,14.02805
2020-05-16,9.61923
2020-05-17,9.21843
2020-05-18,10.82164
2020-05-19,10.02004
2020-05-20,9.21843
2020-05-21,10.82164
2020-05-22,9.61923
2020-05-23,9.61923
2020-05-24,13.22645
2020-05-25,10.22044
2020-05-26,16.03206
2020-05-27,12.62525
2020-05-28,12.22444
2020-05-29,9.01803
2020-05-30,8.21643
2020-05-31,9.41883
2020-06-01,34.66933
2020-06-02,26.2525
2020-06-03,17.83567
2020-06-04,11.42284
2020-06-05,13.02605
2020-06-06,7.81563
2020-06-07,8.21643
2020-06-08,8.81763
2020-06-09,11.22244
2020-06-10,14.42885
2020-06-11,15.83166
2020-06-12,11.42284
2020-06-13,10.22044
2020-06-14,8.01603
2020-06-15,7.81563
2020-06-16,12.42484
2020-06-17,13.82765
2020-06-18,11.42284
2020-06-19,11.62324
2020-06-20,11.02204
2020-06-21,10.02004
2020-06-22,12.82565
2020-06-23,11.42284
2020-06-24,13.22645
2020-06-25,8.41683
2020-06-26,10.82164
2020-06-27,7.61523
2020-06-28,6.61322
2020-06-29,9.61923
2020-06-30,10.42084
2020-07-01,10.62124
2020-07-02,10.22044
2020-07-03,10.42084
2020-07-04,10.62124
2020-07-05,10.42084
2020-07-06,14.22845
2020-07-07,12.82565
2020-07-08,12.62525
2020-07-09,11.42284
2020-07-10,12.42484
2020-07-11,8.81763
2020-07-12,8.41683
2020-07-13,11.02204
2020-07-14,12.82565
2020-07-15,10.22044
2020-07-16,10.62124
2020-07-17,9.21843
2020-07-18,8.61723
2020-07-19,6.81362
2020-07-20,9.81963
2020-07-21,10.02004
2020-07-22,9.81963
2020-07-23,10.82164
2020-07-24,9.81963
2020-07-25,11.02204
2020-07-26,9.01803
2020-07-27,12.42484
2020-07-28,11.02204
2020-07-29,12.42484
2020-07-30,11.42284
2020-07-31,10.42084
2020-08-01,8.41683
2020-08-02,15.23046
2020-08-03,17.83567
2020-08-04,11.62324
2020-08-05,8.61723
2020-08-06,11.02204
2020-08-07,11.02204
2020-08-08,7.41482
2020-08-09,7.21442
2020-08-10,10.62124
2020-08-11,11.22244
2020-08-12,10.82164
2020-08-13,11.82364
2020-08-14,13.22645
2020-08-15,24.44889
2020-08-16,12.42484
2020-08-17,12.22444
2020-08-18,13.42685
2020-08-19,10.62124
2020-08-20,13.42685
2020-08-21,11.42284
2020-08-22,7.81563
2020-08-23,9.01803
2020-08-24,9.61923
2020-08-25,17.83567
2020-08-26,10.22044
2020-08-27,8.61723
2020-08-28,9.01803
2020-08-29,8.81763
2020-08-30,8.41683
2020-08-31,9.61923
2020-09-01,8.21643
2020-09-02,8.81763
2020-09-03,6.21242
2020-09-04,7.81563
2020-09-05,7.01402
2020-09-06,10.62124
2020-09-07,10.02004
2020-09-08,9.01803
2020-09-09,9.41883
2020-09-10,15.23046
2020-09-11,15.43086
2020-09-12,8.01603
2020-09-13,6.21242
2020-09-14,13.22645
2020-09-15,12.22444
2020-09-16,12.42484
2020-09-17,12.82565
2020-09-18,14.22845
2020-09-19,12.62525
2020-09-20,11.22244
2020-09-21,10.42084
2020-09-22,9.41883
2020-09-23,11.62324
2020-09-24,11.02204
2020-09-25,12.62525
2020-09-26,10.42084
2020-09-27,6.41282
2020-09-28,9.01803
2020-09-29,7.01402
2020-09-30,7.61523
2020-10-01,6.01202
2020-10-02,8.81763
2020-10-03,4.80961
2020-10-04,8.41683
2020-10-05,11.42284
2020-10-06,11.62324
2020-10-07,13.42685
2020-10-08,10.02004
2020-10-09,8.81763
2020-10-10,5.81162
2020-10-11,6.81362
2020-10-12,8.61723
2020-10-13,15.23046
2020-10-14,10.82164
2020-10-15,11.62324
2020-10-16,10.22044
2020-10-17,7.01402
2020-10-18,5.41082
2020-10-19,11.02204
2020-10-20,10.22044
2020-10-21,11.02204
2020-10-22,9.61923
2020-10-23,13.22645
2020-10-24,13.02605
2020-10-25,12.02404
2020-10-26,11.82364
2020-10-27,12.62525
2020-10-28,11.22244
2020-10-29,13.62725
2020-10-30,11.42284
2020-10-31,10.42084
2020-11-01,7.41482
2020-11-02,12.62525
2020-11-03,11.42284
2020-11-04,13.62725
2020-11-05,10.42084
2020-11-06,12.42484
2020-11-07,12.22444
2020-11-08,9.61923
2020-11-09,10.22044
2020-11-10,9.01803
2020-11-11,12.22444
2020-11-12,15.23046
2020-11-13,8.81763
2020-11-14,9.21843
2020-11-15,6.21242
2020-11-16,12.02404
2020-11-17,13.22645
2020-11-18,12.62525
2020-11-19,14.02805
2020-11-20,14.02805
2020-11-21,11.02204
2020-11-22,10.82164
2020-11-23,10.82164
2020-11-24,12.82565
2020-11-25,11.02204
2020-11-26,10.42084
2020-11-27,10.82164
2020-11-28,11.02204
2020-11-29,15.03006
2020-11-30,8.61723
2020-12-01,11.42284
2020-12-02,13.02605
2020-12-03,10.02004
2020-12-04,16.43286
2020-12-05,11.02204
2020-12-06,8.61723
2020-12-07,12.22444
2020-12-08,13.22645
2020-12-09,10.82164
2020-12-10,15.23046
2020-12-11,11.42284
2020-12-12,13.02605
2020-12-13,16.03206
2020-12-14,15.63126
2020-12-15,14.82965
2020-12-16,15.23046
2020-12-17,12.42484
2020-12-18,14.62925
2020-12-19,10.62124
2020-12-20,9.61923
2020-12-21,15.03006
2020-12-22,11.82364
2020-12-23,15.03006
2020-12-24,11.22244
2020-12-25,8.61723
2020-12-26,13.22645
2020-12-27,8.61723
2020-12-28,11.62324
2020-12-29,14.22845
2020-12-30,10.62124
2020-12-31,16.43286
2021-01-01,11.62324
2021-01-02,15.63126
2021-01-03,9.41883
2021-01-04,16.83366
2021-01-05,13.02605
2021-01-06,13.82765
2021-01-07,17.83567
2021-01-08,14.22845
2021-01-09,11.82364
2021-01-10,11.22244
2021-01-11,14.02805
2021-01-12,10.82164
2021-01-13,14.42885
2021-01-14,14.42885
2021-01-15,13.22645
2021-01-16,12.02404
2021-01-17,12.62525
2021-01-18,13.02605
2021-01-19,13.02605
2021-01-20,14.22845
2021-01-21,15.63126
2021-01-22,13.22645
2021-01-23,19.23847
2021-01-24,12.42484
2021-01-25,17.83567
2021-01-26,13.22645
2021-01-27,14.82965
2021-01-28,16.23246
2021-01-29,15.63126
2021-01-30,15.43086
2021-01-31,9.61923
2021-02-01,17.63527
2021-02-02,15.43086
2021-02-03,16.23246
2021-02-04,18.63727
2021-02-05,16.23246
2021-02-06,14.42885
2021-02-07,14.42885
2021-02-08,13.02605
2021-02-09,16.63326
2021-02-10,13.42685
2021-02-11,8.21643
2021-02-12,9.21843
2021-02-13,13.42685
2021-02-14,15.83166
2021-02-15,16.03206
2021-02-16,16.83366
2021-02-17,14.22845
2021-02-18,18.23647
2021-02-19,12.22444
2021-02-20,10.42084
2021-02-21,12.22444
2021-02-22,13.82765
2021-02-23,17.43486
2021-02-24,12.82565
2021-02-25,11.62324
2021-02-26,12.82565
2021-02-27,11.22244
2021-02-28,13.02605
2021-03-01,11.62324
2021-03-02,14.82965
2021-03-03,13.22645
2021-03-04,12.42484
2021-03-05,13.02605
2021-03-06,11.42284
2021-03-07,11.82364
2021-03-08,9.81963
2021-03-09,8.61723
2021-03-10,13.22645
2021-03-11,11.42284
2021-03-12,11.42284
2021-03-13,13.62725
2021-03-14,7.21442
2021-03-15,17.03406
2021-03-16,8.61723
2021-03-17,13.82765
2021-03-18,13.02605
2021-03-19,12.22444
2021-03-20,8.81763
2021-03-21,7.61523
2021-03-22,14.22845
2021-03-23,13.02605
2021-03-24,9.61923
2021-03-25,13.42685
2021-03-26,10.82164
2021-03-27,9.01803
2021-03-28,10.42084
2021-03-29,13.62725
2021-03-30,11.42284
2021-03-31,13.02605
2021-04-01,13.62725
2021-04-02,9.41883
2021-04-03,11.22244
2021-04-04,8.21643
2021-04-05,12.42484
2021-04-06,12.22444
2021-04-07,8.61723
2021-04-08,12.42484
2021-04-09,15.83166
2021-04-10,10.22044
2021-04-11,9.81963
2021-04-12,13.42685
2021-04-13,15.83166
2021-04-14,10.22044
2021-04-15,12.42484
2021-04-16,13.02605
2021-04-17,13.62725
2021-04-18,8.81763
2021-04-19,13.02605
2021-04-20,15.03006
2021-04-21,12.02404
2021-04-22,10.62124
2021-04-23,13.42685
2021-04-24,14.22845
2021-04-25,9.81963
2021-04-26,15.23046
2021-04-27,15.23046
2021-04-28,15.63126
2021-04-29,13.22645
2021-04-30,12.42484
2021-05-01,11.02204
2021-05-02,9.01803
2021-05-03,11.02204
2021-05-04,16.43286
2021-05-05,4.80961
2021-05-06,13.42685
2021-05-07,13.42685
2021-05-08,14.82965
2021-05-09,13.62725
2021-05-10,15.23046
2021-05-11,13.02605
2021-05-12,14.22845
2021-05-13,12.42484
2021-05-14,11.22244
2021-05-15,12.42484
2021-05-16,9.01803
2021-05-17,12.42484
2021-05-18,8.01603
2021-05-19,12.22444
2021-05-20,14.42885
2021-05-21,15.03006
2021-05-22,7.41482
2021-05-23,11.62324
2021-05-24,12.02404
2021-05-25,13.62725
2021-05-26,12.42484
2021-05-27,14.62925
2021-05-28,9.81963
2021-05-29,7.61523
2021-05-30,12.42484
2021-05-31,11.22244
2021-06-01,13.22645
2021-06-02,9.61923
2021-06-03,10.62124
2021-06-04,9.81963
2021-06-05,8.41683
2021-06-06,8.01603
2021-06-07,17.83567
2021-06-08,16.03206
2021-06-09,10.82164
2021-06-10,11.62324
2021-06-11,10.22044
2021-06-12,11.02204
2021-06-13,9.21843
2021-06-14,12.82565
2021-06-15,11.02204
2021-06-16,11.62324
2021-06-17,11.82364
2021-06-18,9.81963
2021-06-19,7.41482
2021-06-20,11.82364
2021-06-21,13.62725
2021-06-22,12.02404
2021-06-23,12.22444
2021-06-24,14.22845
2021-06-25,10.82164
2021-06-26,8.61723
2021-06-27,6.01202
2021-06-28,15.63126
2021-06-29,11.82364
2021-06-30,14.42885
2021-07-01,11.42284
2021-07-02,12.22444
2021-07-03,7.21442
2021-07-04,10.22044
2021-07-05,12.42484
2021-07-06,12.22444
2021-07-07,14.02805
