date,이동평균선
2020-03-20,20.07952
2020-03-21,23.65805
2020-03-22,25.0497
2020-03-23,22.06759
2020-03-24,30.01988
2020-03-25,34.19483
2020-03-26,31.61033
2020-03-27,33.5984
2020-03-28,24.65208
2020-03-29,24.65208
2020-03-30,30.41749
2020-03-31,28.0318
2020-04-01,31.61033
2020-04-02,33.00198
2020-04-03,23.06163
2020-04-04,26.04373
2020-04-05,23.85685
2020-04-06,33.20079
2020-04-07,27.43538
2020-04-08,33.99602
2020-04-09,31.41153
2020-04-10,35.78528
2020-04-11,23.06163
2020-04-12,21.07355
2020-04-13,19.88071
2020-04-14,23.06163
2020-04-15,21.47117
2020-04-16,22.2664
2020-04-17,20.67594
2020-04-18,16.6998
2020-04-19,17.89264
2020-04-20,18.68787
2020-04-21,17.89264
2020-04-22,19.4831
2020-04-23,21.47117
2020-04-24,19.88071
2020-04-25,14.1153
2020-04-26,22.2664
2020-04-27,22.2664
2020-04-28,18.68787
2020-04-29,18.68787
2020-04-30,14.91053
2020-05-01,14.71172
2020-05-02,12.12723
2020-05-03,13.71769
2020-05-04,12.72365
2020-05-05,13.9165
2020-05-06,14.51292
2020-05-07,17.69383
2020-05-08,15.90457
2020-05-09,12.72365
2020-05-10,13.9165
2020-05-11,18.68787
2020-05-12,18.09145
2020-05-13,16.6998
2020-05-14,12.32604
2020-05-15,16.30218
2020-05-16,11.1332
2020-05-17,12.52485
2020-05-18,21.66998
2020-05-19,20.07952
2020-05-20,21.66998
2020-05-21,22.06759
2020-05-22,15.90457
2020-05-23,15.90457
2020-05-24,12.52485
2020-05-25,22.66401
2020-05-26,18.68787
2020-05-27,24.45328
2020-05-28,28.23061
2020-05-29,19.08548
2020-05-30,12.72365
2020-05-31,12.92246
2020-06-01,20.07952
2020-06-02,25.0497
2020-06-03,20.07952
2020-06-04,21.07355
2020-06-05,18.29025
2020-06-06,12.72365
2020-06-07,14.71172
2020-06-08,18.68787
2020-06-09,17.49502
2020-06-10,18.88667
2020-06-11,19.4831
2020-06-12,17.89264
2020-06-13,13.71769
2020-06-14,14.71172
2020-06-15,19.08548
2020-06-16,15.30815
2020-06-17,20.87475
2020-06-18,21.27236
2020-06-19,20.87475
2020-06-20,15.10934
2020-06-21,11.53081
2020-06-22,26.44135
2020-06-23,17.29622
2020-06-24,20.67594
2020-06-25,15.70576
2020-06-26,19.6819
2020-06-27,14.71172
2020-06-28,14.31411
2020-06-29,16.8986
2020-06-30,19.4831
2020-07-01,17.29622
2020-07-02,15.30815
2020-07-03,11.72962
2020-07-04,13.9165
2020-07-05,10.73558
2020-07-06,14.1153
2020-07-07,16.8986
2020-07-08,18.09145
2020-07-09,19.4831
2020-07-10,17.09741
2020-07-11,12.92246
2020-07-12,17.89264
2020-07-13,16.10337
2020-07-14,18.68787
2020-07-15,14.71172
2020-07-16,20.67594
2020-07-17,14.71172
2020-07-18,10.13916
2020-07-19,10.93439
2020-07-20,14.71172
2020-07-21,15.90457
2020-07-22,16.8986
2020-07-23,22.2664
2020-07-24,12.92246
2020-07-25,11.92842
2020-07-26,10.73558
2020-07-27,15.70576
2020-07-28,14.31411
2020-07-29,14.31411
2020-07-30,17.69383
2020-07-31,15.30815
2020-08-01,13.12127
2020-08-02,14.31411
2020-08-03,16.10337
2020-08-04,17.09741
2020-08-05,16.10337
2020-08-06,12.92246
2020-08-07,16.30218
2020-08-08,11.72962
2020-08-09,22.4652
2020-08-10,17.29622
2020-08-11,19.6819
2020-08-12,21.47117
2020-08-13,17.49502
2020-08-14,17.29622
2020-08-15,9.74155
2020-08-16,12.32604
2020-08-17,13.32007
2020-08-18,14.91053
2020-08-19,14.71172
2020-08-20,14.1153
2020-08-21,12.52485
2020-08-22,12.92246
2020-08-23,15.50695
2020-08-24,18.48906
2020-08-25,21.07355
2020-08-26,28.82703
2020-08-27,20.27833
2020-08-28,22.4652
2020-08-29,14.1153
2020-08-30,15.10934
2020-08-31,19.6819
2020-09-01,18.48906
2020-09-02,15.70576
2020-09-03,22.06759
2020-09-04,18.09145
2020-09-05,12.12723
2020-09-06,12.72365
2020-09-07,19.4831
2020-09-08,22.86282
2020-09-09,19.88071
2020-09-10,25.64612
2020-09-11,20.27833
2020-09-12,14.71172
2020-09-13,19.6819
2020-09-14,20.27833
2020-09-15,20.27833
2020-09-16,16.8986
2020-09-17,22.06759
2020-09-18,20.27833
2020-09-19,15.10934
2020-09-20,15.90457
2020-09-21,14.71172
2020-09-22,14.91053
2020-09-23,17.29622
2020-09-24,21.27236
2020-09-25,17.69383
2020-09-26,14.91053
2020-09-27,12.12723
2020-09-28,13.9165
2020-09-29,12.32604
2020-09-30,8.94632
2020-10-01,8.94632
2020-10-02,8.3499
2020-10-03,9.34393
2020-10-04,8.5487
2020-10-05,11.1332
2020-10-06,11.72962
2020-10-07,13.51888
2020-10-08,10.93439
2020-10-09,7.55467
2020-10-10,11.53081
2020-10-11,10.13916
2020-10-12,16.30218
2020-10-13,12.72365
2020-10-14,12.92246
2020-10-15,13.51888
2020-10-16,11.92842
2020-10-17,9.34393
2020-10-18,11.332
2020-10-19,13.71769
2020-10-20,17.69383
2020-10-21,19.08548
2020-10-22,17.69383
2020-10-23,11.1332
2020-10-24,11.72962
2020-10-25,11.53081
2020-10-26,15.30815
2020-10-27,13.51888
2020-10-28,17.29622
2020-10-29,14.51292
2020-10-30,13.71769
2020-10-31,7.15705
2020-11-01,9.34393
2020-11-02,14.31411
2020-11-03,15.30815
2020-11-04,16.30218
2020-11-05,16.10337
2020-11-06,19.08548
2020-11-07,13.12127
2020-11-08,10.93439
2020-11-09,19.28429
2020-11-10,15.50695
2020-11-11,21.47117
2020-11-12,20.47713
