date,연금저축계좌
2020-03-20,4.73729
2020-03-21,2.45478
2020-03-22,2.36864
2020-03-23,4.56503
2020-03-24,3.87596
2020-03-25,4.65116
2020-03-26,4.47889
2020-03-27,3.91903
2020-03-28,3.40223
2020-03-29,3.0577
2020-03-30,29.50043
2020-03-31,5.68475
2020-04-01,5.12489
2020-04-02,4.56503
2020-04-03,4.0913
2020-04-04,2.71317
2020-04-05,3.3161
2020-04-06,6.24461
2020-04-07,5.03875
2020-04-08,3.78983
2020-04-09,3.10077
2020-04-10,3.4453
2020-04-11,2.41171
2020-04-12,2.88544
2020-04-13,4.65116
2020-04-14,4.00516
2020-04-15,3.66063
2020-04-16,5.81395
2020-04-17,4.00516
2020-04-18,3.22997
2020-04-19,3.7037
2020-04-20,4.13436
2020-04-21,4.00516
2020-04-22,3.78983
2020-04-23,3.61757
2020-04-24,3.3161
2020-04-25,2.32558
2020-04-26,2.32558
2020-04-27,2.62704
2020-04-28,3.5745
2020-04-29,3.9621
2020-04-30,1.80878
2020-05-01,1.72265
2020-05-02,2.19638
2020-05-03,2.79931
2020-05-04,4.52196
2020-05-05,3.61757
2020-05-06,3.78983
2020-05-07,4.52196
2020-05-08,3.87596
2020-05-09,2.71317
2020-05-10,1.98105
2020-05-11,4.13436
2020-05-12,4.56503
2020-05-13,2.97157
2020-05-14,3.3161
2020-05-15,2.71317
2020-05-16,1.89491
2020-05-17,2.79931
2020-05-18,3.78983
2020-05-19,4.00516
2020-05-20,3.53143
2020-05-21,3.9621
2020-05-22,3.22997
2020-05-23,4.0913
2020-05-24,3.14384
2020-05-25,4.99569
2020-05-26,4.39276
2020-05-27,5.25409
2020-05-28,3.87596
2020-05-29,3.8329
2020-05-30,2.97157
2020-05-31,2.84237
2020-06-01,3.01464
2020-06-02,5.42635
2020-06-03,4.43583
2020-06-04,3.87596
2020-06-05,5.34022
2020-06-06,2.19638
2020-06-07,3.48837
2020-06-08,3.66063
2020-06-09,4.17743
2020-06-10,4.0913
2020-06-11,3.27304
2020-06-12,2.67011
2020-06-13,2.19638
2020-06-14,2.06718
2020-06-15,3.40223
2020-06-16,3.1869
2020-06-17,3.0577
2020-06-18,3.35917
2020-06-19,2.9285
2020-06-20,1.63652
2020-06-21,2.75624
2020-06-22,4.04823
2020-06-23,4.43583
2020-06-24,3.35917
2020-06-25,3.9621
2020-06-26,3.74677
2020-06-27,1.76571
2020-06-28,2.15331
2020-06-29,3.22997
2020-06-30,2.79931
2020-07-01,3.40223
2020-07-02,4.17743
2020-07-03,3.14384
2020-07-04,1.98105
2020-07-05,2.84237
2020-07-06,3.74677
2020-07-07,4.52196
2020-07-08,3.9621
2020-07-09,4.04823
2020-07-10,3.40223
2020-07-11,3.53143
2020-07-12,2.9285
2020-07-13,4.0913
2020-07-14,4.13436
2020-07-15,3.1869
2020-07-16,3.27304
2020-07-17,3.87596
2020-07-18,2.23944
2020-07-19,3.61757
2020-07-20,4.22049
2020-07-21,4.99569
2020-07-22,5.46942
2020-07-23,6.24461
2020-07-24,4.82342
2020-07-25,2.71317
2020-07-26,2.49784
2020-07-27,3.87596
2020-07-28,4.69422
2020-07-29,4.86649
2020-07-30,4.99569
2020-07-31,4.13436
2020-08-01,3.1869
2020-08-02,3.4453
2020-08-03,4.78036
2020-08-04,5.42635
2020-08-05,4.86649
2020-08-06,6.02928
2020-08-07,6.02928
2020-08-08,4.47889
2020-08-09,4.0913
2020-08-10,5.59862
2020-08-11,7.19207
2020-08-12,4.30663
2020-08-13,5.72782
2020-08-14,3.1869
2020-08-15,2.54091
2020-08-16,2.32558
2020-08-17,2.9285
2020-08-18,4.00516
2020-08-19,4.69422
2020-08-20,3.7037
2020-08-21,3.91903
2020-08-22,3.48837
2020-08-23,3.3161
2020-08-24,3.74677
2020-08-25,5.98621
2020-08-26,5.25409
2020-08-27,7.36434
2020-08-28,4.47889
2020-08-29,3.78983
2020-08-30,4.47889
2020-08-31,5.72782
2020-09-01,4.30663
2020-09-02,6.58914
2020-09-03,5.81395
2020-09-04,3.48837
2020-09-05,2.79931
2020-09-06,3.78983
2020-09-07,5.59862
2020-09-08,3.78983
2020-09-09,4.69422
2020-09-10,3.91903
2020-09-11,4.0913
2020-09-12,2.62704
2020-09-13,2.02411
2020-09-14,3.53143
2020-09-15,4.0913
2020-09-16,4.95262
2020-09-17,4.95262
2020-09-18,4.0913
2020-09-19,2.45478
2020-09-20,2.11024
2020-09-21,2.45478
2020-09-22,3.91903
2020-09-23,3.3161
2020-09-24,3.0577
2020-09-25,2.71317
2020-09-26,2.19638
2020-09-27,2.32558
2020-09-28,3.48837
2020-09-29,3.5745
2020-09-30,2.49784
2020-10-01,2.28251
2020-10-02,1.76571
2020-10-03,1.80878
2020-10-04,3.53143
2020-10-05,4.0913
2020-10-06,3.4453
2020-10-07,4.26356
2020-10-08,3.10077
2020-10-09,2.28251
2020-10-10,2.32558
2020-10-11,3.3161
2020-10-12,5.38329
2020-10-13,4.52196
2020-10-14,5.64168
2020-10-15,4.26356
2020-10-16,4.26356
2020-10-17,2.79931
2020-10-18,2.62704
2020-10-19,3.8329
2020-10-20,3.74677
2020-10-21,3.78983
2020-10-22,3.7037
2020-10-23,3.35917
2020-10-24,1.85185
2020-10-25,2.62704
2020-10-26,4.43583
2020-10-27,3.78983
2020-10-28,3.40223
2020-10-29,3.78983
2020-10-30,4.04823
2020-10-31,2.11024
2020-11-01,2.41171
2020-11-02,4.00516
2020-11-03,5.08182
2020-11-04,6.37381
2020-11-05,5.34022
2020-11-06,5.64168
2020-11-07,3.53143
2020-11-08,3.9621
2020-11-09,7.45047
2020-11-10,5.55555
2020-11-11,4.86649
2020-11-12,6.15848
2020-11-13,4.95262
2020-11-14,2.58397
2020-11-15,3.87596
2020-11-16,5.98621
2020-11-17,5.77088
2020-11-18,5.16795
2020-11-19,5.94315
2020-11-20,4.65116
2020-11-21,4.86649
2020-11-22,5.59862
2020-11-23,6.11541
2020-11-24,6.71834
2020-11-25,6.15848
2020-11-26,5.90008
2020-11-27,5.98621
2020-11-28,4.95262
2020-11-29,4.34969
2020-11-30,8.78552
2020-12-01,12.31696
2020-12-02,9.04392
2020-12-03,7.4074
2020-12-04,6.07235
2020-12-05,6.33074
2020-12-06,6.15848
2020-12-07,9.77605
2020-12-08,9.68992
2020-12-09,10.33591
2020-12-10,9.56072
2020-12-11,8.44099
2020-12-12,5.34022
2020-12-13,5.51248
2020-12-14,9.13006
2020-12-15,10.29285
2020-12-16,7.9242
2020-12-17,10.93884
2020-12-18,7.9242
2020-12-19,6.80447
2020-12-20,7.96726
2020-12-21,9.04392
2020-12-22,10.37898
2020-12-23,9.00086
2020-12-24,9.81912
2020-12-25,10.50818
2020-12-26,8.61326
2020-12-27,8.09646
2020-12-28,15.9776
2020-12-29,14.85788
2020-12-30,17.57105
2020-12-31,14.81481
2021-01-01,6.37381
2021-01-02,6.63221
2021-01-03,7.96726
2021-01-04,10.93884
2021-01-05,10.24978
2021-01-06,9.68992
2021-01-07,8.69939
2021-01-08,10.72351
2021-01-09,6.76141
2021-01-10,8.22566
2021-01-11,11.41257
2021-01-12,9.13006
2021-01-13,9.86218
2021-01-14,9.38845
2021-01-15,10.12058
2021-01-16,6.41688
2021-01-17,9.90525
2021-01-18,15.07321
2021-01-19,14.38415
2021-01-20,13.78122
2021-01-21,15.80534
2021-01-22,14.03962
2021-01-23,8.52713
2021-01-24,16.02067
2021-01-25,14.98708
2021-01-26,13.78122
2021-01-27,12.1447
2021-01-28,10.03445
2021-01-29,9.34539
2021-01-30,4.69422
2021-01-31,6.02928
2021-02-01,7.23514
2021-02-02,8.61326
2021-02-03,10.12058
2021-02-04,8.48406
2021-02-05,7.795
2021-02-06,6.20155
2021-02-07,5.85701
2021-02-08,8.01033
2021-02-09,9.04392
2021-02-10,7.2782
2021-02-11,5.08182
2021-02-12,3.74677
2021-02-13,6.37381
2021-02-14,7.795
2021-02-15,10.98191
2021-02-16,11.19724
2021-02-17,10.33591
2021-02-18,8.82859
2021-02-19,8.22566
2021-02-20,4.43583
2021-02-21,5.08182
2021-02-22,10.03445
2021-02-23,8.65633
2021-02-24,7.36434
2021-02-25,7.83807
2021-02-26,8.01033
2021-02-27,4.69422
2021-02-28,5.03875
2021-03-01,6.93367
2021-03-02,7.4074
2021-03-03,7.83807
2021-03-04,5.94315
2021-03-05,5.03875
2021-03-06,4.22049
2021-03-07,4.73729
2021-03-08,6.84754
2021-03-09,7.96726
2021-03-10,8.22566
2021-03-11,6.97674
2021-03-12,5.77088
2021-03-13,3.40223
2021-03-14,5.64168
2021-03-15,6.20155
2021-03-16,7.2782
2021-03-17,5.94315
2021-03-18,5.29715
2021-03-19,4.52196
2021-03-20,4.0913
2021-03-21,3.27304
2021-03-22,6.11541
2021-03-23,6.89061
2021-03-24,7.23514
2021-03-25,6.67527
2021-03-26,4.90956
2021-03-27,4.43583
2021-03-28,4.43583
2021-03-29,6.54608
2021-03-30,6.58914
2021-03-31,6.07235
2021-04-01,3.5745
2021-04-02,5.12489
2021-04-03,2.88544
2021-04-04,3.1869
2021-04-05,5.12489
2021-04-06,6.54608
2021-04-07,6.50301
2021-04-08,8.01033
2021-04-09,7.4074
2021-04-10,4.13436
2021-04-11,5.12489
2021-04-12,8.09646
2021-04-13,7.57967
2021-04-14,7.45047
2021-04-15,6.54608
2021-04-16,6.80447
2021-04-17,4.65116
2021-04-18,4.82342
