date,개인형IRP
2020-03-20,29.29642
2020-03-21,12.68742
2020-03-22,11.188
2020-03-23,28.14302
2020-03-24,28.25836
2020-03-25,35.17877
2020-03-26,32.17993
2020-03-27,27.10495
2020-03-28,11.7647
2020-03-29,15.10957
2020-03-30,32.06459
2020-03-31,31.83391
2020-04-01,29.29642
2020-04-02,27.22029
2020-04-03,23.87543
2020-04-04,10.6113
2020-04-05,15.45559
2020-04-06,25.37485
2020-04-07,28.3737
2020-04-08,26.98961
2020-04-09,27.45098
2020-04-10,28.02768
2020-04-11,10.6113
2020-04-12,10.95732
2020-04-13,23.52941
2020-04-14,31.02652
2020-04-15,14.41753
2020-04-16,25.14417
2020-04-17,26.52825
2020-04-18,12.3414
2020-04-19,11.41868
2020-04-20,25.60553
2020-04-21,35.40945
2020-04-22,34.94809
2020-04-23,30.1038
2020-04-24,32.41061
2020-04-25,14.41753
2020-04-26,10.72664
2020-04-27,26.06689
2020-04-28,30.1038
2020-04-29,34.25605
2020-04-30,14.30219
2020-05-01,11.99538
2020-05-02,11.41868
2020-05-03,11.41868
2020-05-04,26.18223
2020-05-05,14.41753
2020-05-06,20.87658
2020-05-07,19.03114
2020-05-08,17.76239
2020-05-09,9.4579
2020-05-10,6.80507
2020-05-11,28.83506
2020-05-12,25.72087
2020-05-13,21.56862
2020-05-14,18.22376
2020-05-15,17.99307
2020-05-16,8.41983
2020-05-17,8.53517
2020-05-18,19.72318
2020-05-19,29.18108
2020-05-20,25.02883
2020-05-21,26.64359
2020-05-22,22.72202
2020-05-23,8.88119
2020-05-24,7.15109
2020-05-25,19.60784
2020-05-26,25.83621
2020-05-27,27.45098
2020-05-28,20.87658
2020-05-29,18.45444
2020-05-30,6.80507
2020-05-31,8.30449
2020-06-01,17.07035
2020-06-02,15.34025
2020-06-03,18.56978
2020-06-04,19.83852
2020-06-05,15.91695
2020-06-06,4.61361
2020-06-07,8.76585
2020-06-08,19.37716
2020-06-09,21.91464
2020-06-10,19.83852
2020-06-11,19.60784
2020-06-12,15.91695
2020-06-13,8.65051
2020-06-14,7.38177
2020-06-15,13.72549
2020-06-16,18.56978
2020-06-17,16.14763
2020-06-18,19.83852
2020-06-19,17.99307
2020-06-20,6.92041
2020-06-21,7.03575
2020-06-22,17.76239
2020-06-23,20.0692
2020-06-24,19.37716
2020-06-25,20.6459
2020-06-26,16.83967
2020-06-27,5.99769
2020-06-28,6.11303
2020-06-29,18.45444
