date,메뉴
2020-03-20,3.61669
2020-03-21,3.2313
2020-03-22,2.88297
2020-03-23,3.58704
2020-03-24,3.78714
2020-03-25,3.52034
2020-03-26,4.00948
2020-03-27,3.81679
2020-03-28,3.46846
2020-03-29,3.20907
2020-03-30,3.49811
2020-03-31,3.83902
2020-04-01,3.93537
2020-04-02,4.04654
2020-04-03,3.92796
2020-04-04,3.04602
2020-04-05,2.85333
2020-04-06,3.90572
2020-04-07,3.75009
2020-04-08,3.85385
2020-04-09,4.19476
2020-04-10,4.23923
2020-04-11,3.06825
2020-04-12,3.13495
2020-04-13,3.90572
2020-04-14,4.12065
2020-04-15,3.3647
2020-04-16,3.88349
2020-04-17,3.6908
2020-04-18,2.79404
2020-04-19,2.99414
2020-04-20,3.7575
2020-04-21,4.16512
2020-04-22,3.81679
2020-04-23,3.98725
2020-04-24,3.61669
2020-04-25,2.81627
2020-04-26,2.95708
2020-04-27,3.77232
2020-04-28,3.80938
2020-04-29,3.60186
2020-04-30,2.97191
2020-05-01,3.00155
2020-05-02,2.41606
2020-05-03,2.90521
2020-05-04,2.99414
2020-05-05,2.94226
2020-05-06,4.04654
2020-05-07,3.49069
2020-05-08,4.06877
2020-05-09,3.20907
2020-05-10,3.1646
2020-05-11,3.72785
2020-05-12,4.05395
2020-05-13,3.81679
2020-05-14,4.05395
2020-05-15,3.92055
2020-05-16,2.89779
2020-05-17,3.14978
2020-05-18,3.73527
2020-05-19,4.16512
2020-05-20,3.89831
2020-05-21,3.73527
2020-05-22,3.60927
2020-05-23,3.21648
2020-05-24,2.66805
2020-05-25,3.52775
2020-05-26,3.54998
2020-05-27,3.39435
2020-05-28,3.70562
2020-05-29,3.51293
2020-05-30,2.8385
2020-05-31,2.94226
2020-06-01,3.52775
2020-06-02,3.49069
2020-06-03,3.54998
2020-06-04,3.75009
2020-06-05,3.49811
2020-06-06,2.65322
2020-06-07,2.86074
2020-06-08,3.72785
2020-06-09,3.73527
2020-06-10,3.6241
2020-06-11,3.79456
2020-06-12,3.20907
2020-06-13,3.20907
2020-06-14,3.298
2020-06-15,3.8242
2020-06-16,3.40176
2020-06-17,3.78714
2020-06-18,3.27577
2020-06-19,3.29059
2020-06-20,2.86074
2020-06-21,3.00155
2020-06-22,3.37953
2020-06-23,3.32024
2020-06-24,3.73527
2020-06-25,3.83902
2020-06-26,3.67598
2020-06-27,2.3716
2020-06-28,2.61617
2020-06-29,3.4314
2020-06-30,3.59445
2020-07-01,3.28318
2020-07-02,3.53516
2020-07-03,3.52034
2020-07-04,2.92003
2020-07-05,2.505
2020-07-06,3.59445
2020-07-07,3.40917
2020-07-08,3.53516
2020-07-09,3.46105
2020-07-10,3.25353
2020-07-11,2.69769
2020-07-12,2.66805
2020-07-13,3.50552
2020-07-14,3.88349
2020-07-15,3.20907
2020-07-16,3.15719
2020-07-17,3.43882
2020-07-18,2.59393
2020-07-19,2.66063
2020-07-20,3.66115
2020-07-21,4.00207
2020-07-22,3.35729
2020-07-23,3.65374
2020-07-24,3.40917
2020-07-25,2.33454
2020-07-26,2.7718
2020-07-27,3.6908
2020-07-28,3.81679
2020-07-29,3.65374
2020-07-30,3.33506
2020-07-31,3.40917
2020-08-01,2.80886
2020-08-02,2.73475
2020-08-03,2.98673
2020-08-04,3.51293
2020-08-05,3.49069
2020-08-06,3.23871
2020-08-07,3.71303
2020-08-08,2.69028
2020-08-09,2.63099
2020-08-10,3.35729
2020-08-11,3.67598
2020-08-12,3.46846
2020-08-13,3.57222
2020-08-14,3.05343
2020-08-15,2.69028
2020-08-16,2.43089
2020-08-17,3.00155
2020-08-18,3.17201
2020-08-19,3.12013
2020-08-20,3.07566
2020-08-21,3.28318
2020-08-22,2.8385
2020-08-23,2.85333
2020-08-24,3.4314
2020-08-25,3.28318
2020-08-26,3.79456
2020-08-27,3.68339
2020-08-28,3.60186
2020-08-29,3.25353
2020-08-30,2.94967
2020-08-31,4.04654
2020-09-01,3.88349
2020-09-02,4.22441
2020-09-03,3.81679
2020-09-04,3.92796
2020-09-05,3.1646
2020-09-06,2.79404
2020-09-07,3.75009
2020-09-08,3.67598
2020-09-09,3.8909
2020-09-10,4.0243
2020-09-11,3.66115
2020-09-12,2.88297
2020-09-13,2.49759
2020-09-14,3.74268
2020-09-15,3.69821
2020-09-16,3.48328
2020-09-17,3.48328
2020-09-18,3.26836
2020-09-19,2.7051
2020-09-20,2.7718
2020-09-21,3.60186
2020-09-22,3.54257
2020-09-23,3.15719
2020-09-24,3.34247
2020-09-25,3.08308
2020-09-26,2.60876
2020-09-27,2.54205
2020-09-28,3.13495
2020-09-29,2.72734
2020-09-30,1.94915
2020-10-01,1.70458
2020-10-02,2.10479
2020-10-03,2.46053
2020-10-04,2.47535
2020-10-05,3.22389
2020-10-06,3.90572
2020-10-07,3.54998
2020-10-08,3.52034
2020-10-09,2.79404
2020-10-10,2.53464
2020-10-11,2.59393
2020-10-12,3.22389
2020-10-13,3.53516
2020-10-14,3.42399
2020-10-15,3.40176
2020-10-16,3.40917
2020-10-17,2.71992
2020-10-18,2.57911
2020-10-19,3.41658
2020-10-20,3.27577
2020-10-21,3.43882
2020-10-22,3.34247
2020-10-23,3.33506
2020-10-24,2.65322
2020-10-25,2.67546
2020-10-26,3.08308
2020-10-27,3.69821
2020-10-28,3.0312
2020-10-29,3.37953
2020-10-30,3.20166
2020-10-31,2.36418
2020-11-01,2.60134
2020-11-02,3.40176
2020-11-03,3.28318
2020-11-04,3.28318
2020-11-05,3.44623
2020-11-06,3.38694
2020-11-07,2.5717
2020-11-08,2.6384
2020-11-09,3.48328
2020-11-10,3.21648
2020-11-11,3.40917
2020-11-12,3.06084
2020-11-13,3.24612
2020-11-14,2.53464
2020-11-15,2.31972
2020-11-16,3.38694
2020-11-17,3.57222
2020-11-18,3.40917
2020-11-19,3.48328
2020-11-20,3.15719
2020-11-21,2.36418
2020-11-22,2.59393
2020-11-23,3.22389
2020-11-24,3.41658
2020-11-25,3.61669
2020-11-26,3.05343
2020-11-27,3.40917
2020-11-28,2.79404
2020-11-29,2.73475
2020-11-30,3.13495
2020-12-01,3.56481
2020-12-02,3.57222
2020-12-03,3.43882
2020-12-04,3.14237
2020-12-05,2.66805
2020-12-06,2.61617
2020-12-07,3.39435
2020-12-08,3.53516
2020-12-09,3.47587
2020-12-10,3.01637
2020-12-11,3.49069
2020-12-12,2.51982
2020-12-13,2.65322
2020-12-14,3.23871
2020-12-15,3.6241
2020-12-16,3.97984
2020-12-17,3.38694
2020-12-18,3.49811
2020-12-19,2.69028
2020-12-20,2.74216
2020-12-21,3.37211
2020-12-22,3.47587
2020-12-23,3.35729
2020-12-24,3.47587
2020-12-25,2.83109
2020-12-26,2.76439
2020-12-27,2.64581
2020-12-28,3.20907
2020-12-29,3.34247
2020-12-30,3.44623
2020-12-31,3.26095
2021-01-01,2.51241
2021-01-02,2.73475
2021-01-03,2.505
2021-01-04,3.49811
2021-01-05,3.6241
2021-01-06,3.39435
2021-01-07,3.33506
2021-01-08,3.21648
2021-01-09,3.12013
2021-01-10,2.71992
2021-01-11,3.5574
2021-01-12,2.94967
2021-01-13,3.51293
2021-01-14,3.38694
2021-01-15,3.43882
2021-01-16,2.72734
2021-01-17,2.52723
2021-01-18,3.20166
2021-01-19,3.34988
2021-01-20,3.42399
2021-01-21,3.61669
2021-01-22,3.37211
2021-01-23,2.72734
2021-01-24,2.66063
2021-01-25,3.37211
2021-01-26,3.57222
2021-01-27,3.32765
2021-01-28,3.21648
2021-01-29,3.23871
2021-01-30,2.53464
2021-01-31,2.56429
2021-02-01,3.17201
2021-02-02,3.32024
2021-02-03,3.37953
2021-02-04,2.99414
2021-02-05,3.20907
2021-02-06,2.77921
2021-02-07,2.6384
2021-02-08,3.40917
2021-02-09,3.05343
2021-02-10,2.66063
2021-02-11,1.94174
2021-02-12,1.69717
2021-02-13,2.23819
2021-02-14,2.59393
2021-02-15,3.08308
2021-02-16,3.17942
2021-02-17,3.45364
2021-02-18,3.40176
2021-02-19,3.00896
2021-02-20,2.41606
2021-02-21,2.36418
2021-02-22,3.30541
2021-02-23,3.32024
2021-02-24,3.11272
2021-02-25,3.14978
2021-02-26,2.91262
2021-02-27,2.28266
2021-02-28,2.44571
2021-03-01,2.48276
2021-03-02,3.28318
2021-03-03,3.26836
2021-03-04,3.45364
2021-03-05,3.13495
2021-03-06,2.46053
2021-03-07,2.38642
2021-03-08,3.12754
2021-03-09,3.26095
2021-03-10,3.68339
2021-03-11,3.34247
2021-03-12,3.39435
2021-03-13,2.69028
2021-03-14,2.72734
2021-03-15,3.0979
2021-03-16,3.76491
2021-03-17,3.50552
2021-03-18,3.52775
2021-03-19,3.17201
2021-03-20,2.7718
2021-03-21,2.44571
2021-03-22,3.19424
2021-03-23,3.46105
2021-03-24,3.34247
2021-03-25,3.51293
2021-03-26,3.03861
2021-03-27,2.72734
2021-03-28,2.76439
2021-03-29,3.52034
2021-03-30,3.298
2021-03-31,3.28318
2021-04-01,3.2313
2021-04-02,3.08308
2021-04-03,2.9645
2021-04-04,2.84592
2021-04-05,3.15719
2021-04-06,3.86867
2021-04-07,3.19424
2021-04-08,3.33506
2021-04-09,3.17942
2021-04-10,2.55688
2021-04-11,2.505
2021-04-12,3.20166
2021-04-13,3.57222
2021-04-14,3.44623
2021-04-15,3.39435
2021-04-16,3.20907
2021-04-17,2.52723
2021-04-18,2.57911
2021-04-19,3.25353
2021-04-20,3.88349
2021-04-21,3.60927
2021-04-22,3.26095
2021-04-23,3.12754
2021-04-24,2.6384
2021-04-25,3.03861
2021-04-26,3.27577
2021-04-27,3.34247
2021-04-28,3.63151
2021-04-29,3.38694
2021-04-30,3.59445
2021-05-01,2.74957
2021-05-02,2.66805
2021-05-03,3.14978
2021-05-04,3.59445
2021-05-05,2.60876
2021-05-06,3.08308
2021-05-07,2.89779
