date,미술작품
2020-03-20,21.00181
2020-03-21,17.68255
2020-03-22,17.7429
2020-03-23,21.12251
2020-03-24,26.07121
2020-03-25,27.76101
2020-03-26,25.64876
2020-03-27,32.77006
2020-03-28,19.85515
2020-03-29,21.24321
2020-03-30,26.25226
2020-03-31,28.72661
2020-04-01,30.77851
2020-04-02,23.77791
2020-04-03,21.78636
2020-04-04,16.95835
2020-04-05,18.7085
2020-04-06,21.60531
2020-04-07,26.79541
2020-04-08,23.77791
2020-04-09,28.78696
2020-04-10,35.48581
2020-04-11,14.484
2020-04-12,17.5015
2020-04-13,37.17561
2020-04-14,41.88292
2020-04-15,18.9499
2020-04-16,75.92033
2020-04-17,78.09293
2020-04-18,13.8805
2020-04-19,16.6566
2020-04-20,59.98792
2020-04-21,94.50814
2020-04-22,64.75558
2020-04-23,79.60168
2020-04-24,75.92033
2020-04-25,15.99275
2020-04-26,21.06216
2020-04-27,69.28183
2020-04-28,100.0
2020-04-29,75.49788
2020-04-30,23.89861
2020-05-01,42.54677
2020-05-02,13.82015
2020-05-03,21.06216
2020-05-04,64.21243
2020-05-05,16.23415
2020-05-06,63.12613
2020-05-07,90.94749
2020-05-08,66.62643
2020-05-09,20.45866
2020-05-10,21.18286
2020-05-11,68.01448
2020-05-12,92.33554
2020-05-13,65.90223
2020-05-14,71.03198
2020-05-15,74.53228
2020-05-16,15.8117
2020-05-17,21.72601
2020-05-18,66.50573
2020-05-19,87.92999
2020-05-20,72.35968
2020-05-21,79.11888
2020-05-22,66.56608
2020-05-23,19.25165
2020-05-24,26.91611
2020-05-25,67.71273
2020-05-26,80.56729
2020-05-27,61.13458
2020-05-28,67.65238
2020-05-29,62.40193
2020-05-30,21.96741
2020-05-31,35.96861
2020-06-01,59.08267
2020-06-02,78.75678
2020-06-03,59.02232
2020-06-04,55.22027
2020-06-05,52.02172
2020-06-06,19.6741
2020-06-07,33.31321
2020-06-08,37.77911
2020-06-09,36.39106
2020-06-10,40.01207
2020-06-11,38.38261
2020-06-12,34.94266
2020-06-13,14.18225
2020-06-14,25.95051
2020-06-15,36.08931
2020-06-16,42.18467
2020-06-17,36.93421
2020-06-18,35.48581
2020-06-19,38.20156
2020-06-20,15.691
2020-06-21,24.62281
2020-06-22,35.84791
2020-06-23,50.99577
2020-06-24,47.67652
2020-06-25,43.27097
2020-06-26,53.95292
2020-06-27,14.78575
2020-06-28,24.62281
2020-06-29,45.92637
2020-06-30,47.25407
2020-07-01,41.58117
2020-07-02,40.07242
2020-07-03,35.78756
2020-07-04,15.26855
2020-07-05,23.65721
2020-07-06,44.59867
2020-07-07,48.76282
2020-07-08,47.25407
2020-07-09,50.63367
2020-07-10,35.18406
2020-07-11,13.82015
2020-07-12,26.73506
2020-07-13,44.53832
2020-07-14,42.42607
2020-07-15,47.91792
2020-07-16,50.93542
2020-07-17,41.15872
2020-07-18,11.88895
2020-07-19,22.99336
2020-07-20,39.46891
2020-07-21,40.61557
2020-07-22,36.75316
2020-07-23,41.09837
2020-07-24,30.05431
2020-07-25,10.07845
2020-07-26,19.25165
2020-07-27,29.14906
2020-07-28,31.01991
2020-07-29,29.87326
2020-07-30,26.91611
2020-07-31,16.6566
2020-08-01,6.7592
2020-08-02,6.81955
2020-08-03,15.87205
2020-08-04,15.3289
2020-08-05,12.25105
2020-08-06,14.6047
2020-08-07,14.0012
2020-08-08,7.54375
2020-08-09,10.07845
2020-08-10,13.5184
2020-08-11,16.4152
2020-08-12,11.52685
2020-08-13,9.59565
2020-08-14,8.50935
2020-08-15,5.9143
2020-08-16,6.21605
2020-08-17,9.35425
2020-08-18,14.90645
2020-08-19,12.97525
2020-08-20,15.75135
2020-08-21,15.50995
2020-08-22,7.54375
2020-08-23,11.9493
2020-08-24,21.42426
2020-08-25,30.47676
2020-08-26,31.26131
2020-08-27,35.54616
2020-08-28,34.21846
2020-08-29,9.95775
2020-08-30,14.42365
2020-08-31,37.83946
2020-09-01,42.12432
2020-09-02,46.71092
2020-09-03,51.11647
2020-09-04,37.83946
2020-09-05,12.25105
2020-09-06,16.7773
2020-09-07,46.95232
2020-09-08,50.39227
2020-09-09,50.21122
2020-09-10,48.64212
2020-09-11,45.50392
2020-09-12,13.6391
2020-09-13,21.78636
2020-09-14,41.27942
2020-09-15,46.95232
2020-09-16,41.58117
2020-09-17,37.53771
2020-09-18,34.27881
2020-09-19,15.26855
2020-09-20,26.79541
2020-09-21,37.29631
2020-09-22,37.71876
2020-09-23,37.17561
2020-09-24,33.79601
2020-09-25,30.65781
2020-09-26,13.21665
2020-09-27,17.8636
2020-09-28,31.20096
2020-09-29,23.47616
2020-09-30,6.2764
2020-10-01,7.7248
2020-10-02,8.26795
2020-10-03,8.5697
2020-10-04,17.2601
2020-10-05,32.34761
2020-10-06,34.88231
2020-10-07,32.22691
2020-10-08,30.47676
2020-10-09,11.88895
2020-10-10,7.8455
2020-10-11,17.68255
2020-10-12,29.87326
2020-10-13,33.91671
2020-10-14,31.38201
2020-10-15,26.79541
2020-10-16,27.45926
2020-10-17,12.7942
2020-10-18,18.64815
2020-10-19,30.71816
2020-10-20,32.04586
2020-10-21,26.85576
2020-10-22,32.22691
2020-10-23,21.96741
2020-10-24,9.23355
2020-10-25,19.5534
2020-10-26,29.69221
2020-10-27,27.64031
2020-10-28,24.32106
2020-10-29,31.92516
2020-10-30,25.22631
2020-10-31,10.5009
2020-11-01,19.4327
2020-11-02,34.33916
2020-11-03,31.56306
2020-11-04,32.22691
2020-11-05,33.01146
2020-11-06,29.57151
2020-11-07,9.71635
2020-11-08,16.4152
2020-11-09,28.60591
2020-11-10,32.64936
2020-11-11,32.89076
2020-11-12,34.88231
2020-11-13,25.46771
2020-11-14,9.95775
2020-11-15,16.95835
2020-11-16,33.13216
2020-11-17,33.55461
2020-11-18,27.45926
2020-11-19,31.50271
2020-11-20,23.29511
2020-11-21,11.3458
2020-11-22,19.37235
2020-11-23,29.45081
2020-11-24,33.49426
2020-11-25,26.55401
2020-11-26,32.77006
2020-11-27,29.69221
2020-11-28,11.8286
2020-11-29,14.8461
2020-11-30,29.02836
2020-12-01,36.45141
2020-12-02,26.67471
2020-12-03,25.46771
2020-12-04,29.81291
2020-12-05,10.07845
2020-12-06,15.99275
2020-12-07,36.27036
2020-12-08,38.92576
2020-12-09,38.74471
2020-12-10,38.80506
2020-12-11,31.32166
