date,공모주청약방법
2020-03-20,0.02508
2020-03-21,0.03065
2020-03-22,0.04041
2020-03-23,0.03065
2020-03-24,0.03205
2020-03-25,0.05016
2020-03-26,0.03205
2020-03-27,0.05574
2020-03-28,0.04041
2020-03-29,0.03344
2020-03-30,0.02508
2020-03-31,0.02787
2020-04-01,0.03205
2020-04-02,0.01811
2020-04-03,0.02926
2020-04-04,0.02508
2020-04-05,0.01254
2020-04-06,0.05016
2020-04-07,0.05295
2020-04-08,0.03205
2020-04-09,0.09336
2020-04-10,0.02647
2020-04-11,0.02229
2020-04-12,0.03762
2020-04-13,0.0195
2020-04-14,0.07385
2020-04-15,0.05295
2020-04-16,0.07106
2020-04-17,0.07664
2020-04-18,0.05156
2020-04-19,0.07943
2020-04-20,0.0627
2020-04-21,0.04737
2020-04-22,0.0418
2020-04-23,0.05852
2020-04-24,0.05992
2020-04-25,0.02926
2020-04-26,0.04319
2020-04-27,0.09057
2020-04-28,0.07524
2020-04-29,0.07664
2020-04-30,0.10312
2020-05-01,0.07524
2020-05-02,0.03901
2020-05-03,0.03623
2020-05-04,0.05434
2020-05-05,0.06131
2020-05-06,0.07524
2020-05-07,0.07385
2020-05-08,0.18533
2020-05-09,0.1282
2020-05-10,0.11844
2020-05-11,0.31354
2020-05-12,0.37206
2020-05-13,0.33862
2020-05-14,0.19648
2020-05-15,0.11148
2020-05-16,0.10869
2020-05-17,0.10033
2020-05-18,0.27452
2020-05-19,0.97267
2020-05-20,3.00999
2020-05-21,1.76697
2020-05-22,1.06743
2020-05-23,0.62986
2020-05-24,0.50166
2020-05-25,0.70929
2020-05-26,0.6856
2020-05-27,0.75667
2020-05-28,0.66191
2020-05-29,0.71487
2020-05-30,0.41666
2020-05-31,1.19145
2020-06-01,1.5022
2020-06-02,1.03816
2020-06-03,1.21235
2020-06-04,1.19424
2020-06-05,1.23744
2020-06-06,0.88348
2020-06-07,0.77897
2020-06-08,1.54401
2020-06-09,1.28203
2020-06-10,1.32105
2020-06-11,1.14407
2020-06-12,2.11814
2020-06-13,1.84361
2020-06-14,1.19145
2020-06-15,2.62816
2020-06-16,2.96957
2020-06-17,3.42665
2020-06-18,2.63652
2020-06-19,2.8135
2020-06-20,2.13207
2020-06-21,1.65688
2020-06-22,5.12534
2020-06-23,6.85887
2020-06-24,5.55733
2020-06-25,1.4381
2020-06-26,0.74134
2020-06-27,0.23411
2020-06-28,0.28009
2020-06-29,0.64519
2020-06-30,0.33304
2020-07-01,0.42084
2020-07-02,2.9431
2020-07-03,4.08857
2020-07-04,1.27924
2020-07-05,1.2012
2020-07-06,3.15631
2020-07-07,3.92274
2020-07-08,3.60502
2020-07-09,2.89293
2020-07-10,1.5022
2020-07-11,0.73159
2020-07-12,1.13292
2020-07-13,2.40799
2020-07-14,1.88263
2020-07-15,1.38933
2020-07-16,1.65549
2020-07-17,1.04234
