date,WTI
2020-03-20,10.74056
2020-03-21,5.41047
2020-03-22,2.75521
2020-03-23,8.70283
2020-03-24,8.06183
2020-03-25,6.42391
2020-03-26,5.82376
2020-03-27,6.01801
2020-03-28,3.16415
2020-03-29,1.92343
2020-03-30,6.8072
2020-03-31,8.49727
2020-04-01,6.73333
2020-04-02,10.35205
2020-04-03,12.93951
2020-04-04,5.53911
2020-04-05,2.9964
2020-04-06,10.75012
2020-04-07,9.93051
2020-04-08,9.56503
2020-04-09,10.54369
2020-04-10,10.50719
2020-04-11,3.20369
2020-04-12,2.37887
2020-04-13,7.20571
2020-04-14,5.98498
2020-04-15,4.72732
2020-04-16,7.02102
2020-04-17,8.18307
2020-04-18,4.18758
2020-04-19,3.3797
2020-04-20,14.30582
2020-04-21,100.0
2020-04-22,33.96694
2020-04-23,18.80413
2020-04-24,10.38681
2020-04-25,4.36184
2020-04-26,2.78824
2020-04-27,9.51331
2020-04-28,11.24814
2020-04-29,7.38476
2020-04-30,4.51394
2020-05-01,4.79946
2020-05-02,2.95729
2020-05-03,1.96428
2020-05-04,4.73601
2020-05-05,4.03287
2020-05-06,24.09162
2020-05-07,8.76323
2020-05-08,5.69425
2020-05-09,2.50794
2020-05-10,1.63791
2020-05-11,4.00983
2020-05-12,3.84904
2020-05-13,3.66087
2020-05-14,3.20891
2020-05-15,4.53524
2020-05-16,2.18809
2020-05-17,1.42454
2020-05-18,4.05633
2020-05-19,5.05629
2020-05-20,3.77994
2020-05-21,4.24364
2020-05-22,5.80072
2020-05-23,1.61097
2020-05-24,1.07905
2020-05-25,2.69959
2020-05-26,3.09288
2020-05-27,2.80649
2020-05-28,3.70128
2020-05-29,2.42015
2020-05-30,1.65486
2020-05-31,1.00821
2020-06-01,2.73479
2020-06-02,2.87733
2020-06-03,4.29535
2020-06-04,3.4953
2020-06-05,3.20109
2020-06-06,2.0538
2020-06-07,1.31763
2020-06-08,3.44793
2020-06-09,6.64554
2020-06-10,3.27236
2020-06-11,3.14372
2020-06-12,4.12978
2020-06-13,1.37543
2020-06-14,0.83873
2020-06-15,2.71958
2020-06-16,2.83691
2020-06-17,2.3793
2020-06-18,2.03599
2020-06-19,2.36626
2020-06-20,1.24375
2020-06-21,0.72921
2020-06-22,2.03859
2020-06-23,2.35236
2020-06-24,2.06119
2020-06-25,2.66438
2020-06-26,1.86346
2020-06-27,0.93347
2020-06-28,0.53887
2020-06-29,1.66747
2020-06-30,1.9369
2020-07-01,1.98384
2020-07-02,1.69484
2020-07-03,1.53709
2020-07-04,0.72921
2020-07-05,0.46803
2020-07-06,1.48494
2020-07-07,1.65182
2020-07-08,1.44409
2020-07-09,1.45018
2020-07-10,1.50928
2020-07-11,0.67272
2020-07-12,0.42197
2020-07-13,1.22985
2020-07-14,1.46756
2020-07-15,1.67268
2020-07-16,1.45105
2020-07-17,1.11295
2020-07-18,0.52105
2020-07-19,0.32071
2020-07-20,0.95302
2020-07-21,1.32458
2020-07-22,1.43714
2020-07-23,1.29938
2020-07-24,1.1312
2020-07-25,0.49889
2020-07-26,0.29811
2020-07-27,0.83395
2020-07-28,1.03429
2020-07-29,0.95563
2020-07-30,1.06297
2020-07-31,1.43323
2020-08-01,0.4211
2020-08-02,0.26683
