date,예창패
2020-03-24,2.89855
2020-03-25,9.17874
2020-03-26,5.7971
2020-03-27,20.28985
2020-03-28,3.86473
2020-03-29,2.41545
2020-04-01,5.314
2020-04-03,2.41545
2020-04-05,2.89855
2020-04-07,5.314
2020-04-10,6.28019
2020-04-12,3.38164
2020-04-13,3.86473
2020-04-15,6.28019
2020-04-17,9.66183
2020-04-18,2.89855
2020-04-19,5.314
2020-04-20,4.34782
2020-04-21,5.314
2020-04-22,4.34782
2020-04-27,10.62801
2020-04-28,10.14492
2020-04-29,33.33333
2020-04-30,5.314
2020-05-06,2.41545
2020-05-07,6.28019
2020-05-08,8.69565
2020-05-09,2.89855
2020-05-13,3.86473
2020-05-15,3.38164
2020-05-20,4.34782
2020-05-25,12.07729
2020-05-26,12.56038
2020-05-27,3.38164
2020-05-28,6.76328
2020-05-29,2.89855
2020-05-31,2.89855
2020-06-06,2.41545
2020-06-08,2.89855
2020-06-09,5.314
2020-06-15,4.83091
2020-06-17,2.89855
2020-06-20,2.41545
2020-06-21,2.89855
2020-06-22,2.89855
2020-07-12,2.41545
2020-07-14,2.89855
2020-07-16,2.41545
2020-07-20,3.38164
2020-07-21,5.314
2020-07-23,4.34782
2020-07-27,3.86473
2020-07-28,2.89855
2020-07-29,2.41545
2020-07-31,2.89855
2020-08-02,4.83091
2020-08-03,6.28019
2020-08-04,5.314
2020-08-05,2.41545
2020-08-07,4.83091
2020-08-09,3.86473
2020-08-10,15.45893
2020-08-11,9.66183
2020-08-12,6.76328
2020-08-13,7.72946
2020-08-14,5.314
2020-08-15,4.83091
2020-08-17,4.34782
2020-08-18,7.72946
2020-08-19,3.38164
2020-08-20,12.56038
2020-08-21,10.14492
2020-08-22,6.76328
2020-08-23,4.83091
2020-08-24,2.41545
2020-08-25,9.17874
2020-08-26,6.28019
2020-08-27,2.41545
2020-08-28,2.41545
2020-08-29,2.41545
2020-08-30,2.41545
2020-08-31,5.314
2020-09-01,2.41545
2020-09-02,6.76328
2020-09-03,35.74879
2020-09-04,9.17874
2020-09-06,2.41545
2020-09-07,2.89855
2020-09-08,2.89855
2020-09-09,5.314
2020-09-10,2.89855
2020-09-12,2.41545
2020-09-14,3.38164
2020-09-17,2.41545
2020-09-18,3.38164
2020-09-19,2.41545
2020-09-29,4.34782
2020-10-09,2.41545
2020-10-15,3.38164
2020-10-16,2.89855
2020-10-18,2.41545
2020-10-19,3.38164
2020-11-02,2.41545
