date,증여세면제한도
2020-03-20,31.76221
2020-03-21,26.91419
2020-03-22,27.54905
2020-03-23,36.68718
2020-03-24,32.87803
2020-03-25,36.57175
2020-03-26,36.3409
2020-03-27,32.57021
2020-03-28,24.33628
2020-03-29,25.04809
2020-03-30,36.03308
2020-03-31,31.83916
2020-04-01,30.41554
2020-04-02,34.51327
2020-04-03,30.05001
2020-04-04,24.47095
2020-04-05,23.75913
2020-04-06,32.49326
2020-04-07,32.62793
2020-04-08,31.33897
2020-04-09,32.07002
2020-04-10,28.6841
2020-04-11,25.97152
2020-04-12,25.16352
2020-04-13,34.87879
2020-04-14,29.08811
2020-04-15,24.97114
2020-04-16,33.28203
2020-04-17,32.66641
2020-04-18,28.5302
2020-04-19,27.60677
2020-04-20,37.24509
2020-04-21,40.66948
2020-04-22,40.93882
2020-04-23,37.07195
2020-04-24,32.53174
2020-04-25,25.72143
2020-04-26,27.35667
2020-04-27,34.82108
2020-04-28,35.91766
2020-04-29,33.26279
2020-04-30,28.29934
2020-05-01,27.54905
2020-05-02,25.81762
2020-05-03,29.22277
2020-05-04,37.93766
2020-05-05,34.47479
2020-05-06,40.61177
2020-05-07,45.57522
2020-05-08,41.51596
2020-05-09,34.05155
2020-05-10,33.8207
2020-05-11,43.72835
2020-05-12,40.40015
2020-05-13,37.47595
2020-05-14,37.74528
2020-05-15,36.43709
2020-05-16,33.8207
2020-05-17,36.78337
2020-05-18,48.13389
2020-05-19,42.53559
2020-05-20,46.21008
2020-05-21,44.19007
2020-05-22,39.28434
2020-05-23,33.26279
2020-05-24,36.84109
2020-05-25,47.53751
2020-05-26,44.8634
2020-05-27,40.0731
2020-05-28,42.74721
2020-05-29,37.16814
2020-05-30,30.06925
2020-05-31,30.37706
2020-06-01,43.59368
2020-06-02,39.86148
2020-06-03,39.53443
2020-06-04,38.47633
2020-06-05,37.09118
2020-06-06,33.22431
2020-06-07,33.35898
2020-06-08,45.3636
2020-06-09,43.13197
2020-06-10,44.82493
2020-06-11,43.67064
2020-06-12,36.93728
2020-06-13,36.91804
2020-06-14,39.05348
2020-06-15,50.13466
2020-06-16,50.48095
2020-06-17,59.79222
2020-06-18,58.46479
2020-06-19,53.15505
2020-06-20,41.03501
2020-06-21,41.34282
2020-06-22,57.77222
2020-06-23,57.65679
2020-06-24,47.46056
2020-06-25,52.13543
2020-06-26,48.53789
2020-06-27,40.24624
2020-06-28,46.8257
2020-06-29,60.50404
2020-06-30,58.19545
2020-07-01,53.15505
2020-07-02,54.07849
2020-07-03,48.78799
2020-07-04,38.63024
2020-07-05,44.03616
2020-07-06,61.98537
2020-07-07,70.91188
2020-07-08,71.58522
2020-07-09,68.29549
2020-07-10,84.6287
2020-07-11,79.29973
2020-07-12,85.35975
2020-07-13,99.53828
2020-07-14,86.84109
2020-07-15,64.40938
2020-07-16,55.25202
2020-07-17,58.13774
2020-07-18,42.22777
2020-07-19,46.65255
2020-07-20,58.86879
2020-07-21,51.4621
2020-07-22,58.13774
2020-07-23,50.9619
2020-07-24,47.67218
2020-07-25,40.66948
2020-07-26,40.74644
2020-07-27,51.00038
2020-07-28,57.98383
2020-07-29,55.88687
2020-07-30,56.09849
2020-07-31,47.42208
2020-08-01,34.51327
2020-08-02,36.3409
2020-08-03,45.28664
2020-08-04,49.73066
2020-08-05,50.88495
2020-08-06,43.11273
2020-08-07,39.47672
2020-08-08,33.39746
2020-08-09,32.7626
2020-08-10,46.03693
2020-08-11,44.24778
2020-08-12,42.3432
2020-08-13,41.95844
2020-08-14,37.34128
2020-08-15,28.89572
2020-08-16,32.39707
2020-08-17,32.97422
2020-08-18,37.61061
2020-08-19,37.24509
2020-08-20,40.82339
2020-08-21,37.61061
2020-08-22,36.11004
2020-08-23,35.20584
2020-08-24,43.53597
2020-08-25,39.47672
2020-08-26,38.70719
2020-08-27,37.72604
2020-08-28,36.2447
2020-08-29,30.95421
2020-08-30,31.81993
2020-08-31,43.05502
2020-09-01,39.53443
2020-09-02,43.97845
2020-09-03,36.72566
2020-09-04,34.14774
2020-09-05,29.47287
2020-09-06,30.74259
2020-09-07,35.59061
2020-09-08,37.1489
2020-09-09,35.8407
2020-09-10,35.89842
2020-09-11,30.22316
2020-09-12,29.91535
2020-09-13,28.08772
2020-09-14,38.78414
2020-09-15,38.01462
2020-09-16,40.90034
2020-09-17,38.63024
2020-09-18,34.3786
2020-09-19,28.26086
2020-09-20,31.62754
2020-09-21,39.89996
2020-09-22,35.93689
2020-09-23,36.68718
2020-09-24,31.4544
2020-09-25,27.01038
2020-09-26,23.27818
2020-09-27,25.202
2020-09-28,34.32089
2020-09-29,36.41785
2020-09-30,29.22277
2020-10-01,32.89726
2020-10-02,34.14774
2020-10-03,32.70488
2020-10-04,37.78376
2020-10-05,49.59599
2020-10-06,44.26702
2020-10-07,39.93843
2020-10-08,37.28357
2020-10-09,29.91535
2020-10-10,31.08888
2020-10-11,31.18507
2020-10-12,42.17006
2020-10-13,41.68911
2020-10-14,44.17083
2020-10-15,39.76529
2020-10-16,35.49442
2020-10-17,29.56906
2020-10-18,31.43516
2020-10-19,40.97729
2020-10-20,47.94151
2020-10-21,48.74951
2020-10-22,43.11273
2020-10-23,35.24432
2020-10-24,32.62793
2020-10-25,45.24817
2020-10-26,57.54136
2020-10-27,54.75182
2020-10-28,48.82647
2020-10-29,43.28587
2020-10-30,37.11042
2020-10-31,35.22508
2020-11-01,39.015
2020-11-02,51.80838
2020-11-03,45.78684
2020-11-04,39.86148
2020-11-05,37.22585
2020-11-06,37.39899
2020-11-07,31.66602
2020-11-08,32.99345
2020-11-09,43.4013
2020-11-10,37.37976
2020-11-11,32.82031
2020-11-12,34.7826
2020-11-13,33.28203
2020-11-14,28.64563
2020-11-15,30.49249
2020-11-16,42.68949
2020-11-17,55.92535
2020-11-18,44.94036
2020-11-19,41.57368
2020-11-20,39.823
2020-11-21,37.5529
2020-11-22,32.99345
2020-11-23,49.05732
2020-11-24,45.80607
2020-11-25,47.51827
2020-11-26,47.01808
2020-11-27,39.13043
2020-11-28,32.57021
2020-11-29,38.34166
2020-11-30,46.38322
2020-12-01,43.09349
2020-12-02,40.55405
2020-12-03,42.36244
2020-12-04,38.51481
2020-12-05,34.12851
2020-12-06,37.43747
2020-12-07,70.43093
2020-12-08,51.63524
2020-12-09,46.86417
2020-12-10,44.28626
2020-12-11,43.28587
2020-12-12,35.76375
2020-12-13,32.33936
2020-12-14,42.92035
2020-12-15,39.84224
2020-12-16,49.73066
2020-12-17,44.44016
2020-12-18,42.70873
2020-12-19,32.64717
2020-12-20,34.01308
2020-12-21,49.92304
2020-12-22,47.94151
2020-12-23,50.44247
2020-12-24,39.38053
2020-12-25,32.93574
2020-12-26,42.8434
2020-12-27,39.015
2020-12-28,47.78761
2020-12-29,51.53905
2020-12-30,46.13312
2020-12-31,41.07348
2021-01-01,35.37899
2021-01-02,40.7272
2021-01-03,36.41785
2021-01-04,45.78684
2021-01-05,44.36321
2021-01-06,44.03616
2021-01-07,47.26818
2021-01-08,44.15159
2021-01-09,37.09118
2021-01-10,42.5933
2021-01-11,50.19238
2021-01-12,45.82531
2021-01-13,45.72912
2021-01-14,49.53828
2021-01-15,44.55559
2021-01-16,40.66948
2021-01-17,38.51481
2021-01-18,44.95959
2021-01-19,50.34628
2021-01-20,50.30781
2021-01-21,48.30704
2021-01-22,45.84455
2021-01-23,42.74721
2021-01-24,40.24624
2021-01-25,50.36552
2021-01-26,48.53789
2021-01-27,46.07541
2021-01-28,46.53712
2021-01-29,42.57406
2021-01-30,36.51404
2021-01-31,40.36167
2021-02-01,48.24932
2021-02-02,60.38861
2021-02-03,49.51904
2021-02-04,40.80415
2021-02-05,37.20661
2021-02-06,35.4367
2021-02-07,36.12928
2021-02-08,41.66987
2021-02-09,40.36167
2021-02-10,34.32089
2021-02-11,37.51442
2021-02-12,47.97999
2021-02-13,45.22893
2021-02-14,47.74913
2021-02-15,70.43093
2021-02-16,51.05809
2021-02-17,48.09542
2021-02-18,51.48133
2021-02-19,42.68949
2021-02-20,37.68757
2021-02-21,37.09118
2021-02-22,47.36437
2021-02-23,46.30627
2021-02-24,42.30473
2021-02-25,45.3636
2021-02-26,35.51365
