date,건강보험료조회
2020-03-20,0.29946
2020-03-21,0.1517
2020-03-22,0.14696
2020-03-23,0.54124
2020-03-24,0.54677
2020-03-25,0.5207
2020-03-26,0.64238
2020-03-27,0.70401
2020-03-28,0.46539
2020-03-29,0.70243
2020-03-30,8.14949
2020-03-31,5.77986
2020-04-01,5.61946
2020-04-02,5.90628
2020-04-03,100.0
2020-04-04,39.42635
2020-04-05,14.94943
2020-04-06,27.8524
2020-04-07,14.69421
2020-04-08,11.35034
2020-04-09,10.06716
2020-04-10,8.95069
2020-04-11,4.62863
2020-04-12,4.42319
2020-04-13,10.12721
2020-04-14,9.79061
2020-04-15,6.27528
2020-04-16,15.36425
2020-04-17,12.05041
2020-04-18,5.39981
2020-04-19,5.25679
2020-04-20,13.06178
2020-04-21,10.18647
2020-04-22,10.74194
2020-04-23,9.51406
2020-04-24,9.04393
2020-04-25,3.77686
2020-04-26,3.2609
2020-04-27,7.26374
2020-04-28,7.88795
2020-04-29,7.53081
2020-04-30,6.27449
2020-05-01,7.12152
2020-05-02,3.47582
2020-05-03,3.65123
2020-05-04,10.69848
2020-05-05,4.83644
2020-05-06,7.72518
2020-05-07,7.45891
2020-05-08,7.00379
2020-05-09,3.71997
2020-05-10,3.49873
2020-05-11,9.35366
2020-05-12,8.28855
2020-05-13,7.08122
2020-05-14,5.95843
2020-05-15,5.89206
2020-05-16,2.39096
2020-05-17,2.10888
2020-05-18,6.05404
2020-05-19,4.71317
2020-05-20,4.08896
2020-05-21,3.62357
2020-05-22,2.92746
2020-05-23,1.21365
2020-05-24,1.04298
2020-05-25,4.05973
2020-05-26,2.94642
2020-05-27,2.68094
2020-05-28,2.64538
2020-05-29,2.26927
2020-05-30,0.81621
2020-05-31,0.98688
2020-06-01,3.42762
2020-06-02,2.42098
2020-06-03,1.939
2020-06-04,1.56921
2020-06-05,1.45306
2020-06-06,0.66134
2020-06-07,0.6487
2020-06-08,1.66561
2020-06-09,1.59371
2020-06-10,2.08201
2020-06-11,1.36457
2020-06-12,0.92841
2020-06-13,0.38479
2020-06-14,0.4646
2020-06-15,1.03192
2020-06-16,1.09513
2020-06-17,1.01216
2020-06-18,0.84307
2020-06-19,0.83833
2020-06-20,0.37294
2020-06-21,0.36662
2020-06-22,0.95053
2020-06-23,1.13621
2020-06-24,1.11883
2020-06-25,1.17177
2020-06-26,0.86836
2020-06-27,0.40376
2020-06-28,0.41324
2020-06-29,1.06905
2020-06-30,1.08723
2020-07-01,0.95211
2020-07-02,0.8486
2020-07-03,0.81621
2020-07-04,0.34529
2020-07-05,0.39348
2020-07-06,0.82016
2020-07-07,0.85414
2020-07-08,0.79329
2020-07-09,0.71823
2020-07-10,0.86915
2020-07-11,0.30499
2020-07-12,0.2481
2020-07-13,0.61156
2020-07-14,0.60682
2020-07-15,0.56415
2020-07-16,0.51912
2020-07-17,0.47408
