date,ISA계좌개설
2020-03-20,0.45787
2020-03-21,0.27472
2020-03-22,0.41208
2020-03-23,0.77838
2020-03-24,0.96153
2020-03-25,1.05311
2020-03-26,0.64102
2020-03-27,1.19047
2020-03-28,0.7326
2020-03-29,0.59523
2020-03-30,0.68681
2020-03-31,0.32051
2020-04-01,0.45787
2020-04-02,0.22893
2020-04-03,0.7326
2020-04-06,0.68681
2020-04-07,0.64102
2020-04-08,0.54945
2020-04-09,0.68681
2020-04-10,0.77838
2020-04-11,0.7326
2020-04-12,0.54945
2020-04-13,0.41208
2020-04-14,0.3663
2020-04-15,0.32051
2020-04-18,0.3663
2020-04-19,0.54945
2020-04-20,0.22893
2020-04-21,0.54945
2020-04-22,0.82417
2020-04-23,0.50366
2020-04-24,0.22893
2020-04-27,0.77838
2020-04-28,0.64102
2020-04-29,0.27472
2020-04-30,0.41208
2020-05-02,0.27472
2020-05-03,0.68681
2020-05-04,1.14468
2020-05-05,0.50366
2020-05-06,0.86996
2020-05-07,0.64102
2020-05-08,0.54945
2020-05-10,0.41208
2020-05-11,0.41208
2020-05-12,0.3663
2020-05-14,0.27472
2020-05-24,0.32051
2020-05-26,0.27472
2020-05-27,0.64102
2020-05-28,0.27472
2020-05-29,0.22893
2020-06-01,0.91575
2020-06-02,0.27472
2020-06-03,0.54945
2020-06-05,0.27472
2020-06-07,0.64102
2020-06-08,0.41208
2020-06-09,0.22893
2020-06-10,0.27472
2020-06-11,0.22893
2020-06-12,0.32051
2020-06-17,0.27472
2020-06-22,0.32051
2020-06-23,0.22893
2020-06-25,0.32051
2020-07-02,0.27472
2020-07-09,0.64102
2020-07-10,0.22893
2020-07-19,0.22893
2020-07-22,0.41208
2020-07-23,1.05311
2020-07-26,0.32051
2020-07-27,0.22893
2020-07-28,0.32051
2020-07-29,0.7326
2020-07-30,0.22893
2020-07-31,0.27472
2020-08-02,0.22893
2020-08-03,1.00732
2020-08-04,0.7326
2020-08-05,0.59523
2020-08-06,0.50366
2020-08-07,0.59523
2020-08-08,0.27472
2020-08-09,0.77838
2020-08-10,0.96153
2020-08-11,0.41208
2020-08-12,0.59523
2020-08-13,0.54945
2020-08-14,0.27472
2020-08-15,0.32051
2020-08-17,0.22893
2020-08-19,0.27472
2020-08-20,0.32051
2020-08-21,0.54945
2020-08-23,0.3663
2020-08-24,0.32051
2020-08-25,0.86996
2020-08-26,0.77838
