date,해외선물옵션
2020-03-20,49.29577
2020-03-21,31.69014
2020-03-22,33.09859
2020-03-23,43.66197
2020-03-24,38.73239
2020-03-25,38.02816
2020-03-26,31.69014
2020-03-27,41.54929
2020-03-28,30.98591
2020-03-29,18.30985
2020-03-30,31.69014
2020-03-31,42.95774
2020-04-01,47.18309
2020-04-02,31.69014
2020-04-03,34.50704
2020-04-04,33.80281
2020-04-05,19.7183
2020-04-06,37.32394
2020-04-07,29.57746
2020-04-08,31.69014
2020-04-09,23.23943
2020-04-10,33.09859
2020-04-11,14.78873
2020-04-12,19.01408
2020-04-13,30.28169
2020-04-14,33.80281
2020-04-15,38.73239
2020-04-16,23.94366
2020-04-17,43.66197
2020-04-18,26.76056
2020-04-19,20.42253
2020-04-20,33.80281
2020-04-21,59.15492
2020-04-22,47.18309
2020-04-23,32.39436
2020-04-24,29.57746
2020-04-25,21.83098
2020-04-26,8.4507
2020-04-27,28.16901
2020-04-28,28.16901
2020-04-29,41.54929
2020-04-30,32.39436
2020-05-01,25.35211
2020-05-02,17.60563
2020-05-03,12.67605
2020-05-04,25.35211
2020-05-05,15.49295
2020-05-06,26.76056
2020-05-07,35.91549
2020-05-08,21.83098
2020-05-09,5.6338
2020-05-10,8.4507
2020-05-11,8.4507
2020-05-12,27.46478
2020-05-13,24.64788
2020-05-14,28.16901
2020-05-15,17.60563
2020-05-16,17.60563
2020-05-17,9.15492
2020-05-18,25.35211
2020-05-19,27.46478
2020-05-20,28.16901
2020-05-21,25.35211
2020-05-22,20.42253
2020-05-23,6.33802
2020-05-24,13.38028
2020-05-25,17.60563
2020-05-26,18.30985
2020-05-27,15.49295
2020-05-28,16.9014
2020-05-29,20.42253
2020-05-30,4.22535
2020-05-31,6.33802
2020-06-01,14.0845
2020-06-02,27.46478
2020-06-03,19.01408
2020-06-04,23.23943
2020-06-05,25.35211
2020-06-06,7.74647
2020-06-07,15.49295
2020-06-08,18.30985
2020-06-09,29.57746
2020-06-10,26.05633
2020-06-11,40.14084
2020-06-12,36.61971
2020-06-13,16.9014
2020-06-14,9.85915
2020-06-15,28.87323
2020-06-16,30.98591
2020-06-17,27.46478
2020-06-18,33.80281
2020-06-19,27.46478
2020-06-20,14.78873
2020-06-21,7.04225
2020-06-22,19.01408
2020-06-23,32.39436
2020-06-24,20.42253
2020-06-25,24.64788
2020-06-26,23.23943
2020-06-27,10.56338
2020-06-28,8.4507
2020-06-29,21.12676
2020-06-30,26.05633
2020-07-01,23.23943
2020-07-02,26.76056
2020-07-03,24.64788
2020-07-04,11.2676
2020-07-05,4.92957
2020-07-06,30.28169
2020-07-07,32.39436
2020-07-08,26.05633
2020-07-09,22.53521
2020-07-10,13.38028
2020-07-11,13.38028
2020-07-12,10.56338
2020-07-13,24.64788
2020-07-14,16.19718
2020-07-15,21.12676
2020-07-16,27.46478
2020-07-17,25.35211
2020-07-18,17.60563
2020-07-19,4.22535
2020-07-20,25.35211
2020-07-21,31.69014
2020-07-22,27.46478
2020-07-23,19.7183
2020-07-24,18.30985
2020-07-25,26.05633
2020-07-26,11.2676
2020-07-27,29.57746
2020-07-28,14.78873
2020-07-29,21.83098
2020-07-30,21.12676
2020-07-31,19.7183
2020-08-01,19.7183
2020-08-02,4.92957
2020-08-03,27.46478
2020-08-04,25.35211
2020-08-05,28.16901
2020-08-06,29.57746
2020-08-07,24.64788
2020-08-08,15.49295
2020-08-09,9.85915
2020-08-10,21.83098
2020-08-11,21.12676
2020-08-12,29.57746
2020-08-13,31.69014
2020-08-14,25.35211
2020-08-15,7.04225
2020-08-16,6.33802
2020-08-17,18.30985
2020-08-18,23.94366
2020-08-19,21.83098
2020-08-20,21.83098
2020-08-21,34.50704
2020-08-22,28.87323
2020-08-23,26.76056
2020-08-24,30.28169
2020-08-25,33.09859
2020-08-26,19.7183
2020-08-27,12.67605
2020-08-28,35.21126
2020-08-29,15.49295
2020-08-30,22.53521
2020-08-31,39.43661
2020-09-01,47.88732
2020-09-02,42.25352
2020-09-03,28.16901
2020-09-04,38.02816
2020-09-05,26.05633
2020-09-06,16.9014
2020-09-07,33.09859
2020-09-08,39.43661
2020-09-09,42.25352
2020-09-10,30.98591
2020-09-11,33.80281
2020-09-12,20.42253
2020-09-13,11.97183
2020-09-14,33.80281
2020-09-15,33.09859
2020-09-16,30.98591
2020-09-17,35.91549
2020-09-18,21.12676
2020-09-19,13.38028
2020-09-20,3.52112
2020-09-21,21.83098
2020-09-22,29.57746
2020-09-23,28.16901
2020-09-24,26.05633
2020-09-25,21.83098
2020-09-26,10.56338
2020-09-27,10.56338
2020-09-28,22.53521
2020-09-29,19.7183
2020-09-30,21.83098
2020-10-01,9.85915
2020-10-02,14.78873
2020-10-03,15.49295
2020-10-04,15.49295
2020-10-05,26.05633
2020-10-06,26.76056
2020-10-07,26.05633
2020-10-08,19.01408
2020-10-09,12.67605
2020-10-10,11.2676
2020-10-11,8.4507
2020-10-12,15.49295
2020-10-13,19.7183
2020-10-14,19.01408
2020-10-15,16.9014
2020-10-16,16.19718
2020-10-17,23.23943
2020-10-18,19.7183
2020-10-19,29.57746
2020-10-20,23.94366
2020-10-21,22.53521
2020-10-22,21.12676
2020-10-23,5.6338
2020-10-24,11.97183
2020-10-25,4.22535
2020-10-26,13.38028
2020-10-27,23.94366
2020-10-28,12.67605
2020-10-29,33.09859
2020-10-30,16.9014
2020-10-31,5.6338
2020-11-01,3.52112
2020-11-02,20.42253
2020-11-03,24.64788
2020-11-04,25.35211
2020-11-05,33.80281
2020-11-06,15.49295
2020-11-07,14.78873
2020-11-08,4.22535
2020-11-09,19.7183
2020-11-10,23.94366
2020-11-11,22.53521
2020-11-12,30.28169
2020-11-13,23.23943
2020-11-14,10.56338
2020-11-15,3.52112
2020-11-16,30.28169
2020-11-17,26.76056
2020-11-18,24.64788
2020-11-19,19.7183
2020-11-20,23.23943
2020-11-21,14.0845
2020-11-22,16.19718
2020-11-23,22.53521
2020-11-24,17.60563
2020-11-25,29.57746
2020-11-26,20.42253
2020-11-27,20.42253
2020-11-28,14.0845
2020-11-30,15.49295
2020-12-01,21.12676
2020-12-02,26.05633
2020-12-03,19.7183
2020-12-04,21.12676
2020-12-05,19.01408
2020-12-06,12.67605
2020-12-07,38.02816
2020-12-08,35.91549
2020-12-09,33.80281
2020-12-10,38.73239
2020-12-11,31.69014
2020-12-12,21.12676
2020-12-13,13.38028
2020-12-14,21.83098
2020-12-15,24.64788
2020-12-16,30.98591
2020-12-17,16.9014
2020-12-18,26.05633
2020-12-19,19.7183
2020-12-20,14.0845
2020-12-21,23.94366
2020-12-22,27.46478
2020-12-23,29.57746
2020-12-24,23.94366
2020-12-25,8.4507
2020-12-26,7.04225
2020-12-27,11.2676
2020-12-28,23.23943
2020-12-29,21.83098
2020-12-30,23.23943
2020-12-31,34.50704
2021-01-01,15.49295
2021-01-02,12.67605
2021-01-03,13.38028
2021-01-04,33.80281
2021-01-05,40.84507
2021-01-06,35.21126
2021-01-07,38.73239
2021-01-08,49.29577
2021-01-09,26.05633
2021-01-10,26.76056
2021-01-11,32.39436
2021-01-12,35.91549
2021-01-13,35.91549
2021-01-14,47.18309
2021-01-15,34.50704
2021-01-16,12.67605
2021-01-17,8.4507
2021-01-18,26.76056
2021-01-19,37.32394
2021-01-20,21.83098
2021-01-21,26.05633
2021-01-22,28.16901
2021-01-23,12.67605
2021-01-24,7.04225
2021-01-25,25.35211
2021-01-26,30.98591
2021-01-27,35.21126
2021-01-28,38.02816
2021-01-29,27.46478
2021-01-30,29.57746
2021-01-31,17.60563
2021-02-01,33.09859
2021-02-02,32.39436
2021-02-03,30.98591
2021-02-04,30.28169
2021-02-05,39.43661
2021-02-06,16.9014
2021-02-07,8.4507
2021-02-08,14.78873
2021-02-09,30.28169
2021-02-10,34.50704
2021-02-11,15.49295
2021-02-12,11.2676
2021-02-13,11.2676
2021-02-14,10.56338
2021-02-15,32.39436
2021-02-16,38.73239
2021-02-17,39.43661
2021-02-18,26.76056
2021-02-19,21.12676
2021-02-20,13.38028
2021-02-21,9.15492
