date,DEFI
2020-03-20,2.00752
2020-03-21,1.50564
2020-03-22,0.87829
2020-03-23,2.13299
2020-03-24,2.50941
2020-03-25,2.76035
2020-03-26,2.38393
2020-03-27,0.62735
2020-03-28,0.87829
2020-03-29,1.2547
2020-03-30,1.63111
2020-03-31,0.62735
2020-04-01,1.63111
2020-04-02,0.87829
2020-04-03,0.62735
2020-04-04,3.01129
2020-04-06,3.63864
2020-04-07,2.13299
2020-04-08,0.62735
2020-04-09,1.12923
2020-04-10,1.2547
2020-04-11,0.75282
2020-04-12,2.13299
2020-04-13,1.75658
2020-04-14,3.26223
2020-04-15,1.75658
2020-04-16,1.50564
2020-04-17,1.2547
2020-04-18,2.13299
2020-04-19,1.63111
2020-04-20,2.38393
2020-04-21,0.75282
2020-04-22,1.88205
2020-04-23,1.88205
2020-04-24,1.38017
2020-04-25,1.2547
2020-04-26,1.88205
2020-04-27,3.63864
2020-04-28,1.50564
2020-04-29,2.00752
2020-04-30,1.38017
2020-05-01,1.50564
2020-05-03,1.63111
2020-05-04,1.38017
2020-05-05,1.50564
2020-05-06,2.38393
2020-05-07,1.50564
2020-05-08,2.00752
2020-05-09,1.12923
2020-05-10,1.50564
2020-05-11,2.13299
2020-05-12,2.50941
2020-05-13,2.13299
2020-05-14,2.13299
2020-05-15,0.87829
2020-05-16,0.87829
2020-05-17,1.2547
2020-05-18,2.38393
2020-05-19,1.00376
2020-05-20,1.88205
2020-05-21,2.25846
2020-05-22,1.00376
2020-05-23,0.62735
2020-05-25,1.63111
2020-05-26,0.62735
2020-05-27,3.26223
2020-05-28,3.63864
2020-05-29,0.75282
2020-05-30,0.87829
2020-06-01,1.75658
2020-06-02,1.50564
2020-06-03,1.75658
2020-06-04,0.87829
2020-06-05,0.62735
2020-06-06,0.87829
2020-06-07,1.00376
2020-06-08,2.50941
2020-06-09,2.25846
2020-06-10,2.50941
2020-06-11,3.51317
2020-06-12,2.63488
2020-06-13,2.38393
2020-06-14,0.87829
2020-06-15,2.13299
2020-06-16,3.3877
2020-06-17,4.14052
2020-06-18,4.01505
2020-06-19,5.5207
2020-06-20,5.01882
2020-06-21,3.76411
2020-06-22,6.39899
2020-06-23,7.90464
2020-06-24,7.6537
2020-06-25,5.01882
2020-06-26,3.63864
2020-06-27,2.38393
2020-06-28,3.88958
2020-06-29,5.39523
2020-06-30,6.27352
2020-07-01,6.14805
2020-07-02,4.14052
2020-07-03,7.6537
2020-07-04,7.02634
2020-07-05,5.89711
2020-07-06,7.6537
2020-07-07,11.54328
2020-07-08,4.89335
2020-07-09,6.39899
2020-07-10,5.5207
2020-07-11,4.6424
2020-07-12,5.26976
2020-07-13,6.90087
2020-07-14,4.89335
2020-07-15,7.27728
2020-07-16,6.39899
2020-07-17,6.02258
2020-07-18,6.90087
2020-07-19,14.17816
2020-07-20,20.20075
2020-07-21,14.30363
2020-07-22,18.6951
2020-07-23,14.93099
2020-07-24,12.42158
2020-07-25,7.40276
2020-07-26,18.94604
2020-07-27,14.68005
2020-07-28,8.15558
2020-07-29,12.79799
