date,매도
2020-03-20,11.14641
2020-03-21,3.54143
2020-03-22,3.13508
2020-03-23,11.82366
2020-03-24,10.37064
2020-03-25,10.43713
2020-03-26,9.94458
2020-03-27,8.37581
2020-03-28,2.80507
2020-03-29,2.83462
2020-03-30,8.11968
2020-03-31,8.22066
2020-04-01,7.83401
2020-04-02,6.71345
2020-04-03,5.57074
2020-04-04,2.47506
2020-04-05,2.14505
2020-04-06,7.31929
2020-04-07,7.58034
2020-04-08,6.36621
2020-04-09,5.86134
2020-04-10,5.73328
2020-04-11,1.9899
2020-04-12,1.9899
2020-04-13,7.44735
2020-04-14,5.51902
2020-04-15,2.35685
2020-04-16,4.7999
2020-04-17,6.43024
2020-04-18,1.9702
2020-04-19,2.03423
2020-04-20,6.09284
2020-04-21,6.44255
2020-04-22,6.1618
2020-04-23,5.62246
2020-04-24,4.72848
2020-04-25,1.8446
2020-04-26,1.83228
2020-04-27,5.68895
2020-04-28,5.36387
2020-04-29,5.41066
2020-04-30,2.30759
2020-05-01,2.13274
2020-05-02,1.58108
2020-05-03,1.82982
2020-05-04,4.89841
2020-05-05,2.049
2020-05-06,5.47715
2020-05-07,4.36892
2020-05-08,4.37384
2020-05-09,1.65004
2020-05-10,1.59586
2020-05-11,5.37618
2020-05-12,4.7334
2020-05-13,4.86393
2020-05-14,4.86147
2020-05-15,4.5487
2020-05-16,1.55399
2020-05-17,1.76579
2020-05-18,5.34909
2020-05-19,6.58785
2020-05-20,5.02401
2020-05-21,5.27028
2020-05-22,4.43048
2020-05-23,1.89139
2020-05-24,1.7781
2020-05-25,5.14714
2020-05-26,5.94508
2020-05-27,5.42297
2020-05-28,5.13483
2020-05-29,4.37138
2020-05-30,1.719
2020-05-31,1.80519
2020-06-01,5.58551
2020-06-02,5.785
2020-06-03,7.3784
2020-06-04,6.16426
2020-06-05,5.31707
2020-06-06,2.59573
2020-06-07,2.06871
2020-06-08,6.24799
2020-06-09,5.8441
2020-06-10,5.8909
2020-06-11,5.96724
2020-06-12,5.61753
2020-06-13,1.90863
2020-06-14,1.82982
2020-06-15,6.0165
2020-06-16,6.10023
2020-06-17,6.09777
2020-06-18,5.62492
2020-06-19,4.79497
2020-06-20,1.90863
2020-06-21,1.99236
2020-06-22,5.45006
2020-06-23,5.6126
2020-06-24,5.74067
2020-06-25,5.01416
2020-06-26,4.47481
2020-06-27,1.64758
2020-06-28,1.62787
2020-06-29,4.48959
2020-06-30,4.74325
2020-07-01,4.30242
2020-07-02,4.62012
2020-07-03,4.72109
2020-07-04,1.68205
2020-07-05,1.7781
2020-07-06,6.08792
2020-07-07,5.54857
2020-07-08,5.30476
2020-07-09,5.3417
2020-07-10,4.78512
2020-07-11,1.74116
2020-07-12,1.74609
2020-07-13,5.81948
2020-07-14,5.59783
2020-07-15,6.38345
2020-07-16,4.9649
2020-07-17,4.38123
2020-07-18,1.67959
2020-07-19,1.81012
2020-07-20,5.54611
2020-07-21,5.83671
2020-07-22,5.8441
2020-07-23,5.66925
2020-07-24,5.29491
2020-07-25,1.8446
2020-07-26,2.07363
2020-07-27,6.71592
2020-07-28,7.11735
2020-07-29,6.23568
2020-07-30,5.6791
2020-07-31,5.04863
2020-08-01,1.77318
2020-08-02,1.94311
2020-08-03,5.8909
2020-08-04,5.85395
2020-08-05,6.20859
2020-08-06,6.19381
2020-08-07,5.94508
2020-08-08,1.85937
2020-08-09,1.89878
2020-08-10,7.56557
2020-08-11,7.33899
2020-08-12,6.35143
2020-08-13,6.69868
2020-08-14,5.92045
2020-08-15,1.87415
2020-08-16,1.7584
2020-08-17,2.44797
2020-08-18,7.14444
2020-08-19,6.2209
2020-08-20,6.24061
2020-08-21,5.89336
2020-08-22,1.96527
2020-08-23,2.04162
2020-08-24,6.07068
2020-08-25,6.41054
2020-08-26,6.45733
2020-08-27,7.17891
2020-08-28,6.14948
2020-08-29,2.13027
2020-08-30,2.20169
2020-08-31,7.70348
2020-09-01,7.49168
2020-09-02,7.00898
2020-09-03,7.05824
2020-09-04,7.24295
2020-09-05,2.3864
2020-09-06,2.37162
2020-09-07,7.46952
2020-09-08,8.01625
2020-09-09,7.76012
2020-09-10,8.28223
2020-09-11,7.10503
2020-09-12,2.24356
2020-09-13,2.36177
2020-09-14,8.19603
2020-09-15,7.36855
2020-09-16,6.95234
2020-09-17,6.47703
2020-09-18,6.31695
2020-09-19,2.11796
2020-09-20,1.92587
2020-09-21,6.65435
2020-09-22,6.08545
2020-09-23,5.09789
2020-09-24,5.42051
2020-09-25,4.77034
2020-09-26,1.81751
2020-09-27,1.74362
2020-09-28,4.7531
2020-09-29,4.13742
2020-09-30,1.66974
2020-10-01,1.3816
2020-10-02,1.77564
2020-10-03,1.74609
2020-10-04,1.72146
2020-10-05,6.38345
2020-10-06,5.90321
2020-10-07,5.32939
2020-10-08,5.65447
2020-10-09,2.08102
2020-10-10,1.81012
2020-10-11,2.07856
2020-10-12,6.8957
2020-10-13,6.14456
2020-10-14,5.70373
2020-10-15,6.77256
2020-10-16,5.24319
2020-10-17,2.17953
2020-10-18,2.1549
2020-10-19,5.37618
2020-10-20,5.2358
2020-10-21,5.25551
2020-10-22,5.04863
2020-10-23,4.28026
2020-10-24,1.85198
2020-10-25,1.9234
2020-10-26,5.4279
2020-10-27,4.95751
2020-10-28,4.70631
2020-10-29,4.51668
2020-10-30,4.25563
2020-10-31,1.6722
2020-11-01,1.68698
2020-11-02,4.54131
2020-11-03,4.6743
2020-11-04,5.02154
2020-11-05,5.36879
2020-11-06,4.91565
2020-11-07,1.74362
2020-11-08,1.65004
2020-11-09,6.57061
2020-11-10,7.03854
2020-11-11,7.00652
2020-11-12,6.24061
2020-11-13,6.13963
2020-11-14,2.08102
2020-11-15,1.99729
2020-11-16,8.53835
2020-11-17,7.72564
2020-11-18,6.70607
2020-11-19,6.04605
2020-11-20,5.79977
2020-11-21,2.29035
2020-11-22,2.65238
2020-11-23,7.70102
2020-11-24,8.23051
2020-11-25,8.16401
2020-11-26,7.07548
2020-11-27,6.37606
2020-11-28,2.64991
2020-11-29,2.54648
2020-11-30,7.91035
2020-12-01,7.58527
2020-12-02,7.89311
2020-12-03,8.02856
2020-12-04,8.00394
2020-12-05,2.53909
2020-12-06,2.80753
2020-12-07,8.63933
2020-12-08,8.46693
2020-12-09,7.90789
2020-12-10,7.99901
2020-12-11,6.92525
2020-12-12,2.65484
2020-12-13,2.40118
2020-12-14,7.82908
2020-12-15,6.89816
2020-12-16,6.89077
2020-12-17,7.33407
2020-12-18,7.00652
2020-12-19,2.54894
2020-12-20,2.76566
2020-12-21,8.48171
2020-12-22,7.48183
2020-12-23,6.96465
2020-12-24,6.48442
2020-12-25,2.27558
2020-12-26,2.27065
2020-12-27,2.88141
2020-12-28,10.2672
2020-12-29,8.78955
2020-12-30,9.10971
2020-12-31,4.11279
2021-01-01,2.8494
2021-01-02,2.69671
2021-01-03,3.54882
2021-01-04,13.08952
2021-01-05,12.363
2021-01-06,12.40241
2021-01-07,11.86799
2021-01-08,14.97598
2021-01-09,5.27767
2021-01-10,5.15946
2021-01-11,19.37446
2021-01-12,16.14086
2021-01-13,13.32348
2021-01-14,11.8409
2021-01-15,10.65878
2021-01-16,3.49956
2021-01-17,3.41337
2021-01-18,11.34343
2021-01-19,11.18827
2021-01-20,10.68095
2021-01-21,10.85088
2021-01-22,9.79189
2021-01-23,3.41829
2021-01-24,3.59315
2021-01-25,11.44194
2021-01-26,10.59229
2021-01-27,9.52345
2021-01-28,9.87316
2021-01-29,10.71296
2021-01-30,4.57332
2021-01-31,4.10048
2021-02-01,10.35833
2021-02-02,9.79189
2021-02-03,9.82637
2021-02-04,8.66888
2021-02-05,7.93005
2021-02-06,3.52912
