date,디지털트윈
2020-03-20,3.03533
2020-03-21,1.28053
2020-03-22,1.09082
2020-03-23,3.43846
2020-03-24,3.58074
2020-03-25,3.31989
2020-03-26,3.29618
2020-03-27,2.56106
2020-03-28,0.8774
2020-03-29,1.28053
2020-03-30,3.01161
2020-03-31,2.53734
2020-04-01,2.65591
2020-04-02,2.75077
2020-04-03,2.79819
2020-04-04,1.0671
2020-04-05,0.8774
2020-04-06,3.22504
2020-04-07,2.79819
2020-04-08,3.48589
2020-04-09,3.3436
2020-04-10,2.72705
2020-04-11,1.2331
2020-04-12,2.56106
2020-04-13,4.62414
2020-04-14,3.67559
2020-04-15,1.73108
2020-04-16,3.74673
2020-04-17,4.387
2020-04-18,1.65994
2020-04-19,1.99193
2020-04-20,3.93644
2020-04-21,3.3436
2020-04-22,3.84159
2020-04-23,3.98387
2020-04-24,3.13018
2020-04-25,2.08679
2020-04-26,3.17761
2020-04-27,3.43846
2020-04-28,3.3436
2020-04-29,3.91273
2020-04-30,1.5888
2020-05-01,0.90111
2020-05-02,2.44249
2020-05-03,1.25681
2020-05-04,1.92079
2020-05-05,1.09082
2020-05-06,2.9879
2020-05-07,2.9879
2020-05-08,2.84562
2020-05-09,1.09082
2020-05-10,1.13824
2020-05-11,3.13018
2020-05-12,2.91676
2020-05-13,3.98387
2020-05-14,3.8653
2020-05-15,4.33957
2020-05-16,0.94854
2020-05-17,2.20535
2020-05-18,4.17358
2020-05-19,4.07872
2020-05-20,4.26843
2020-05-21,4.43443
2020-05-22,3.72302
2020-05-23,1.37538
2020-05-24,1.92079
2020-05-25,3.88902
2020-05-26,4.19729
2020-05-27,3.67559
2020-05-28,3.48589
2020-05-29,3.22504
2020-05-30,1.25681
2020-05-31,1.42281
2020-06-01,3.48589
2020-06-02,3.27246
2020-06-03,3.43846
2020-06-04,3.8653
2020-06-05,3.36732
2020-06-06,1.44652
2020-06-07,2.58477
2020-06-08,3.8653
2020-06-09,3.74673
2020-06-10,3.98387
2020-06-11,3.62817
2020-06-12,3.58074
2020-06-13,2.6322
2020-06-14,2.06307
2020-06-15,5.71496
2020-06-16,3.91273
2020-06-17,4.83756
2020-06-18,4.95612
2020-06-19,4.57671
2020-06-20,2.15793
2020-06-21,2.79819
2020-06-22,4.86127
2020-06-23,4.88498
2020-06-24,6.6635
2020-06-25,4.95612
2020-06-26,4.29215
2020-06-27,1.49395
2020-06-28,1.51766
2020-06-29,4.17358
2020-06-30,3.74673
2020-07-01,3.55703
2020-07-02,4.41071
2020-07-03,3.1539
2020-07-04,1.35167
2020-07-05,1.35167
2020-07-06,3.48589
2020-07-07,3.91273
2020-07-08,3.24875
2020-07-09,3.20132
2020-07-10,3.53331
2020-07-11,1.09082
2020-07-12,1.16196
2020-07-13,3.10647
2020-07-14,29.14394
2020-07-15,13.99098
2020-07-16,11.12165
2020-07-17,5.97581
2020-07-18,2.75077
2020-07-19,2.37135
2020-07-20,7.23262
2020-07-21,6.73464
2020-07-22,5.6201
2020-07-23,6.09437
2020-07-24,4.36329
2020-07-25,1.73108
2020-07-26,2.15793
2020-07-27,5.02727
2020-07-28,6.49751
2020-07-29,5.54896
