date,금형제작
2020-11-07,10.35502
2020-11-08,12.72189
2020-11-09,18.34319
2020-11-10,29.88165
2020-11-11,26.33136
2020-11-12,24.85207
2020-11-13,21.59763
2020-11-14,8.28402
2020-11-15,7.39644
2020-11-16,22.4852
2020-11-17,23.66863
2020-11-18,26.92307
2020-11-19,29.88165
2020-11-20,17.75147
2020-11-21,9.46745
2020-11-22,11.53846
2020-11-23,24.26035
2020-11-24,23.66863
2020-11-25,22.18934
2020-11-26,21.89349
2020-11-27,16.8639
2020-11-28,9.46745
2020-11-29,4.73372
2020-11-30,18.63905
2020-12-01,24.26035
2020-12-02,21.30177
2020-12-03,25.44378
2020-12-04,20.4142
2020-12-05,9.46745
2020-12-06,8.87573
2020-12-07,24.26035
2020-12-08,27.81065
2020-12-09,26.33136
2020-12-10,21.30177
2020-12-11,21.00591
2020-12-12,10.94674
2020-12-13,8.87573
2020-12-14,20.71005
2020-12-15,22.4852
2020-12-16,18.34319
2020-12-17,28.1065
2020-12-18,22.78106
2020-12-19,10.65088
2020-12-20,12.72189
2020-12-21,20.71005
2020-12-22,25.14792
2020-12-23,29.28994
2020-12-24,26.33136
2020-12-25,16.56804
2020-12-26,18.93491
2020-12-27,16.8639
2020-12-28,38.75739
2020-12-29,33.43195
2020-12-30,36.39053
2020-12-31,26.62721
2021-01-01,13.90532
2021-01-02,18.93491
2021-01-03,18.93491
2021-01-04,31.36094
2021-01-05,38.46153
2021-01-06,44.08284
2021-01-07,34.61538
2021-01-08,33.43195
2021-01-09,16.8639
2021-01-10,16.8639
2021-01-11,44.67455
2021-01-12,42.60355
2021-01-13,36.39053
2021-01-14,46.15384
2021-01-15,34.31952
2021-01-16,22.4852
2021-01-17,22.18934
2021-01-18,46.4497
2021-01-19,37.2781
2021-01-20,38.16568
2021-01-21,39.94082
2021-01-22,33.72781
2021-01-23,18.34319
2021-01-24,21.89349
2021-01-25,43.49112
2021-01-26,38.46153
2021-01-27,45.85798
2021-01-28,36.98224
2021-01-29,44.37869
2021-01-30,20.11834
2021-01-31,11.2426
2021-02-01,42.30769
2021-02-02,36.68639
2021-02-03,40.23668
2021-02-04,41.12426
2021-02-05,41.42011
2021-02-06,16.56804
2021-02-07,16.56804
2021-02-08,35.79881
2021-02-09,38.46153
2021-02-10,23.07692
2021-02-11,14.20118
2021-02-12,14.20118
2021-02-13,13.01775
2021-02-14,22.18934
2021-02-15,38.46153
2021-02-16,39.64497
2021-02-17,41.71597
2021-02-18,48.22485
2021-02-19,36.39053
2021-02-20,19.23076
2021-02-21,20.71005
2021-02-22,38.16568
2021-02-23,41.42011
2021-02-24,30.17751
2021-02-25,38.16568
2021-02-26,31.95266
2021-02-27,17.45562
2021-02-28,15.97633
2021-03-01,18.04733
2021-03-02,42.30769
2021-03-03,43.49112
2021-03-04,35.50295
2021-03-05,36.68639
2021-03-06,18.93491
2021-03-07,17.75147
2021-03-08,40.23668
2021-03-09,44.08284
2021-03-10,42.60355
2021-03-11,35.50295
2021-03-12,36.39053
2021-03-13,19.82248
2021-03-14,16.56804
2021-03-15,100.0
2021-03-16,76.33136
2021-03-17,43.49112
2021-03-18,37.57396
2021-03-19,33.43195
2021-03-20,19.23076
2021-03-21,17.15976
2021-03-22,33.13609
2021-03-23,33.72781
2021-03-24,30.17751
2021-03-25,35.2071
2021-03-26,32.84023
2021-03-27,19.52662
2021-03-28,18.34319
2021-03-29,36.09467
2021-03-30,35.79881
2021-03-31,27.51479
2021-04-01,41.12426
2021-04-02,31.6568
2021-04-03,16.27218
2021-04-04,9.46745
2021-04-05,32.24852
2021-04-06,42.60355
2021-04-07,37.57396
2021-04-08,42.01183
2021-04-09,34.91124
2021-04-10,18.04733
2021-04-11,16.8639
2021-04-12,41.42011
2021-04-13,41.42011
2021-04-14,41.71597
2021-04-15,37.86982
2021-04-16,34.91124
2021-04-17,22.18934
2021-04-18,15.68047
2021-04-19,33.72781
2021-04-20,40.23668
2021-04-21,34.61538
2021-04-22,35.79881
2021-04-23,33.43195
2021-04-24,17.45562
