date,미분양
2020-03-20,5.47536
2020-03-21,4.77849
2020-03-22,4.87804
2020-03-23,6.71976
2020-03-24,6.02289
2020-03-25,4.72872
2020-03-26,5.52513
2020-03-27,5.3758
2020-03-28,5.3758
2020-03-29,6.222
2020-03-30,8.36236
2020-03-31,7.36684
2020-04-01,7.16774
2020-04-02,5.72424
2020-04-03,5.3758
2020-04-04,5.47536
2020-04-05,7.06819
2020-04-06,9.40766
2020-04-07,6.222
2020-04-08,8.56147
2020-04-09,6.57043
2020-04-10,6.4211
2020-04-11,4.77849
2020-04-12,6.81931
2020-04-13,9.30811
2020-04-14,8.06371
2020-04-15,7.91438
2020-04-16,6.47088
2020-04-17,6.17222
2020-04-18,7.16774
2020-04-19,7.06819
2020-04-20,9.55699
2020-04-21,7.6655
2020-04-22,6.71976
2020-04-23,5.87356
2020-04-24,6.27177
2020-04-25,6.17222
2020-04-26,6.57043
2020-04-27,8.76057
2020-04-28,7.31707
2020-04-29,8.76057
2020-04-30,6.57043
2020-05-01,6.47088
2020-05-02,4.62916
2020-05-03,7.71528
2020-05-04,7.51617
2020-05-05,7.31707
2020-05-06,8.41214
2020-05-07,6.02289
2020-05-08,5.67446
2020-05-09,4.62916
2020-05-10,7.16774
2020-05-11,9.60676
2020-05-12,9.109
2020-05-13,7.91438
2020-05-14,8.26281
2020-05-15,7.61572
2020-05-16,7.6655
2020-05-17,6.12244
2020-05-18,9.65654
2020-05-19,8.06371
2020-05-20,14.98257
2020-05-21,11.54803
2020-05-22,8.66102
2020-05-23,7.26729
2020-05-24,6.17222
2020-05-25,7.4664
2020-05-26,9.20856
2020-05-27,7.6655
2020-05-28,9.70632
2020-05-29,8.46192
2020-05-30,6.71976
2020-05-31,5.82379
2020-06-01,8.76057
2020-06-02,9.55699
2020-06-03,8.61124
2020-06-04,8.56147
2020-06-05,7.01841
2020-06-06,5.1767
2020-06-07,7.96416
2020-06-08,8.21304
2020-06-09,7.8646
2020-06-10,9.80587
2020-06-11,7.61572
2020-06-12,7.91438
2020-06-13,6.96864
2020-06-14,7.01841
2020-06-15,7.4664
2020-06-16,7.16774
2020-06-17,7.21752
2020-06-18,6.91886
2020-06-19,5.52513
2020-06-20,5.57491
2020-06-21,5.42558
