date,한돈시세
2020-03-20,10.8477
2020-03-21,4.95689
2020-03-22,3.30459
2020-03-23,4.38218
2020-03-24,3.23275
2020-03-25,3.66379
2020-03-26,4.95689
2020-03-27,3.66379
2020-03-28,3.52011
2020-03-29,2.01149
2020-03-30,3.23275
2020-03-31,3.08908
2020-04-01,2.5862
2020-04-02,3.01724
2020-04-03,3.16091
2020-04-04,2.5862
2020-04-05,3.01724
2020-04-06,3.30459
2020-04-07,1.86781
2020-04-08,2.80172
2020-04-09,2.5862
2020-04-10,3.01724
2020-04-11,2.22701
2020-04-12,3.80747
2020-04-13,3.80747
2020-04-14,4.38218
2020-04-15,2.22701
2020-04-16,3.44827
2020-04-17,3.23275
2020-04-18,1.22126
2020-04-19,1.72413
2020-04-20,2.44252
2020-04-21,1.50862
2020-04-22,4.2385
2020-04-23,3.37643
2020-04-24,2.80172
2020-04-25,1.36494
2020-04-26,1.86781
2020-04-27,2.44252
2020-04-28,3.59195
2020-04-29,2.65804
2020-04-30,1.58045
2020-05-01,1.79597
2020-05-02,2.5862
2020-05-03,2.22701
2020-05-04,2.72988
2020-05-05,1.58045
2020-05-06,2.80172
2020-05-07,1.86781
2020-05-08,2.80172
2020-05-09,2.44252
2020-05-10,1.22126
2020-05-11,3.08908
2020-05-12,2.22701
2020-05-13,3.30459
2020-05-14,1.86781
2020-05-15,2.65804
2020-05-16,3.30459
2020-05-17,1.22126
2020-05-18,2.9454
2020-05-19,2.87356
2020-05-20,2.80172
2020-05-21,2.80172
2020-05-22,2.51436
2020-05-23,1.86781
2020-05-24,2.15517
2020-05-25,2.15517
2020-05-26,1.93965
2020-05-27,3.16091
2020-05-28,2.44252
2020-05-29,1.86781
2020-05-30,2.29885
2020-05-31,1.2931
2020-06-01,2.08333
2020-06-02,2.65804
2020-06-03,3.01724
2020-06-04,1.58045
2020-06-05,2.9454
2020-06-06,1.14942
2020-06-07,2.15517
2020-06-08,1.86781
2020-06-09,3.01724
2020-06-10,2.29885
2020-06-11,2.5862
2020-06-12,2.5862
2020-06-13,1.43678
2020-06-14,1.07758
2020-06-15,2.51436
2020-06-16,2.65804
2020-06-17,2.80172
2020-06-18,2.44252
2020-06-19,2.72988
2020-06-20,2.08333
2020-06-21,2.01149
2020-06-22,3.73563
