date,증권사
2020-03-20,75.83333
2020-03-21,30.5
2020-03-22,28.86666
2020-03-23,70.46666
2020-03-24,61.9
2020-03-25,69.43333
2020-03-26,62.93333
2020-03-27,48.1
2020-03-28,23.13333
2020-03-29,23.8
2020-03-30,41.3
2020-03-31,39.1
2020-04-01,37.93333
2020-04-02,37.2
2020-04-03,32.6
2020-04-04,17.03333
2020-04-05,19.4
2020-04-06,34.43333
2020-04-07,32.5
2020-04-08,34.86666
2020-04-09,33.6
2020-04-10,29.0
2020-04-11,16.2
2020-04-12,18.16666
2020-04-13,26.83333
2020-04-14,24.03333
2020-04-15,16.36666
2020-04-16,24.03333
2020-04-17,26.73333
2020-04-18,14.29999
2020-04-19,14.26666
2020-04-20,24.0
2020-04-21,29.06666
2020-04-22,31.33333
2020-04-23,27.1
2020-04-24,21.73333
2020-04-25,11.33333
2020-04-26,12.16666
2020-04-27,23.56666
2020-04-28,22.1
2020-04-29,24.0
2020-04-30,13.8
2020-05-01,14.7
2020-05-02,9.8
2020-05-03,11.93333
2020-05-04,22.43333
2020-05-05,14.46666
2020-05-06,21.56666
2020-05-07,20.36666
2020-05-08,17.73333
2020-05-09,11.2
2020-05-10,11.86666
2020-05-11,17.33333
2020-05-12,19.3
2020-05-13,19.3
2020-05-14,19.26666
2020-05-15,19.7
2020-05-16,10.06666
2020-05-17,10.33333
2020-05-18,19.53333
2020-05-19,19.6
2020-05-20,19.4
2020-05-21,21.4
2020-05-22,17.96666
2020-05-23,10.96666
2020-05-24,11.6
2020-05-25,21.06666
2020-05-26,20.06666
2020-05-27,20.13333
2020-05-28,19.4
2020-05-29,16.9
2020-05-30,10.03333
2020-05-31,11.76666
2020-06-01,19.3
2020-06-02,21.53333
2020-06-03,23.0
2020-06-04,23.63333
2020-06-05,18.9
2020-06-06,12.43333
2020-06-07,12.96666
2020-06-08,21.8
2020-06-09,21.36666
2020-06-10,21.76666
2020-06-11,20.3
2020-06-12,21.13333
2020-06-13,10.4
2020-06-14,11.73333
2020-06-15,20.66666
2020-06-16,21.23333
2020-06-17,21.6
2020-06-18,21.7
2020-06-19,17.93333
2020-06-20,9.6
2020-06-21,11.26666
2020-06-22,19.13333
2020-06-23,21.33333
2020-06-24,23.63333
2020-06-25,20.83333
2020-06-26,14.9
2020-06-27,9.06666
2020-06-28,9.96666
2020-06-29,17.19999
2020-06-30,18.56666
2020-07-01,17.96666
2020-07-02,19.16666
2020-07-03,15.66666
2020-07-04,8.83333
2020-07-05,11.8
2020-07-06,21.83333
2020-07-07,22.2
2020-07-08,18.6
2020-07-09,20.1
2020-07-10,20.66666
2020-07-11,10.66666
2020-07-12,12.76666
2020-07-13,20.96666
2020-07-14,22.16666
2020-07-15,20.43333
2020-07-16,21.5
2020-07-17,19.63333
2020-07-18,9.56666
2020-07-19,12.46666
2020-07-20,20.73333
2020-07-21,20.86666
2020-07-22,23.63333
2020-07-23,23.73333
2020-07-24,21.5
2020-07-25,12.23333
2020-07-26,16.66666
2020-07-27,24.7
2020-07-28,23.2
2020-07-29,26.1
2020-07-30,23.26666
2020-07-31,20.66666
2020-08-01,14.16666
2020-08-02,15.93333
2020-08-03,25.96666
2020-08-04,29.23333
2020-08-05,27.73333
2020-08-06,28.66666
2020-08-07,25.2
2020-08-08,15.23333
2020-08-09,17.86666
2020-08-10,33.33333
2020-08-11,30.8
2020-08-12,29.16666
2020-08-13,27.23333
2020-08-14,26.13333
2020-08-15,12.73333
2020-08-16,13.86666
2020-08-17,18.1
2020-08-18,25.03333
2020-08-19,27.33333
2020-08-20,26.93333
2020-08-21,22.03333
2020-08-22,13.26666
2020-08-23,16.93333
2020-08-24,26.8
2020-08-25,24.43333
2020-08-26,27.93333
2020-08-27,30.2
2020-08-28,25.56666
2020-08-29,15.7
2020-08-30,18.56666
2020-08-31,32.9
2020-09-01,35.13333
2020-09-02,36.93333
2020-09-03,32.0
2020-09-04,28.59999
2020-09-05,16.33333
2020-09-06,18.0
2020-09-07,30.0
2020-09-08,31.03333
2020-09-09,27.3
2020-09-10,30.06666
2020-09-11,26.4
2020-09-12,16.0
2020-09-13,18.7
2020-09-14,28.56666
2020-09-15,28.73333
2020-09-16,28.93333
2020-09-17,25.2
2020-09-18,22.0
2020-09-19,14.16666
2020-09-20,12.1
2020-09-21,21.8
2020-09-22,22.1
2020-09-23,27.7
2020-09-24,23.1
2020-09-25,18.8
2020-09-26,11.16666
2020-09-27,11.26666
2020-09-28,19.86666
2020-09-29,19.3
2020-09-30,10.7
2020-10-01,10.63333
2020-10-02,12.56666
2020-10-03,11.43333
2020-10-04,15.8
2020-10-05,25.03333
2020-10-06,23.9
2020-10-07,22.86666
2020-10-08,21.1
2020-10-09,12.66666
2020-10-10,12.66666
2020-10-11,13.6
2020-10-12,24.86666
2020-10-13,20.76666
2020-10-14,22.66666
2020-10-15,22.33333
2020-10-16,23.76666
2020-10-17,11.83333
2020-10-18,12.63333
2020-10-19,19.13333
2020-10-20,19.56666
2020-10-21,20.96666
2020-10-22,17.33333
2020-10-23,17.56666
2020-10-24,9.36666
2020-10-25,10.63333
2020-10-26,18.23333
2020-10-27,18.96666
2020-10-28,17.29999
2020-10-29,16.9
2020-10-30,15.26666
2020-10-31,9.06666
2020-11-01,12.06666
2020-11-02,16.1
2020-11-03,16.36666
2020-11-04,16.3
2020-11-05,18.1
2020-11-06,16.16666
2020-11-07,10.4
2020-11-08,11.2
2020-11-09,17.39999
2020-11-10,21.26666
2020-11-11,20.9
2020-11-12,21.9
2020-11-13,20.16666
2020-11-14,10.46666
2020-11-15,14.0
2020-11-16,26.4
2020-11-17,28.0
2020-11-18,24.0
2020-11-19,21.76666
2020-11-20,19.26666
2020-11-21,14.09999
2020-11-22,13.6
2020-11-23,25.53333
2020-11-24,24.83333
2020-11-25,30.86666
2020-11-26,27.56666
2020-11-27,25.0
2020-11-28,16.56666
2020-11-29,18.23333
2020-11-30,27.2
2020-12-01,30.03333
2020-12-02,29.96666
2020-12-03,41.13333
2020-12-04,36.13333
2020-12-05,20.13333
2020-12-06,20.13333
2020-12-07,36.53333
2020-12-08,33.03333
2020-12-09,35.1
2020-12-10,33.16666
2020-12-11,30.86666
2020-12-12,18.43333
2020-12-13,19.13333
2020-12-14,29.93333
2020-12-15,27.63333
2020-12-16,28.29999
2020-12-17,29.53333
2020-12-18,25.23333
2020-12-19,17.83333
2020-12-20,20.53333
2020-12-21,30.2
2020-12-22,27.26666
2020-12-23,30.43333
2020-12-24,28.49999
2020-12-25,15.93333
2020-12-26,15.13333
2020-12-27,21.23333
2020-12-28,37.53333
2020-12-29,37.56666
2020-12-30,44.03333
2020-12-31,38.2
2021-01-01,28.39999
2021-01-02,23.4
2021-01-03,28.76666
2021-01-04,66.2
2021-01-05,62.53333
2021-01-06,66.86666
2021-01-07,57.23333
2021-01-08,78.5
2021-01-09,49.63333
2021-01-10,49.0
2021-01-11,100.0
2021-01-12,68.03333
2021-01-13,57.33333
2021-01-14,57.03333
2021-01-15,47.73333
2021-01-16,25.3
2021-01-17,26.1
2021-01-18,44.13333
2021-01-19,44.86666
2021-01-20,42.13333
2021-01-21,46.26666
2021-01-22,43.4
2021-01-23,26.73333
2021-01-24,27.83333
2021-01-25,45.23333
2021-01-26,48.13333
2021-01-27,41.13333
2021-01-28,36.66666
2021-01-29,32.56666
2021-01-30,19.83333
2021-01-31,22.0
2021-02-01,38.8
2021-02-02,34.73333
2021-02-03,35.7
2021-02-04,34.46666
2021-02-05,29.46666
2021-02-06,18.4
2021-02-07,20.73333
2021-02-08,36.4
2021-02-09,35.33333
2021-02-10,30.7
2021-02-11,21.66666
2021-02-12,21.8
2021-02-13,22.93333
2021-02-14,25.86666
2021-02-15,47.96666
2021-02-16,43.16666
2021-02-17,40.63333
2021-02-18,34.3
2021-02-19,32.63333
2021-02-20,19.36666
2021-02-21,25.16666
2021-02-22,39.5
2021-02-23,35.56666
2021-02-24,35.53333
2021-02-25,31.16666
2021-02-26,28.9
2021-02-27,17.03333
2021-02-28,24.13333
2021-03-01,21.56666
2021-03-02,30.7
2021-03-03,30.96666
2021-03-04,28.73333
2021-03-05,26.56666
2021-03-06,17.16666
2021-03-07,22.03333
2021-03-08,31.7
2021-03-09,37.7
2021-03-10,40.46666
2021-03-11,32.06666
2021-03-12,30.66666
2021-03-13,17.76666
2021-03-14,21.16666
2021-03-15,30.9
2021-03-16,29.46666
2021-03-17,26.8
2021-03-18,34.33333
2021-03-19,38.36666
2021-03-20,19.53333
2021-03-21,19.46666
2021-03-22,29.73333
2021-03-23,26.16666
2021-03-24,25.66666
2021-03-25,24.73333
2021-03-26,22.86666
2021-03-27,15.23333
2021-03-28,16.8
2021-03-29,25.4
2021-03-30,25.33333
2021-03-31,25.53333
2021-04-01,26.86666
2021-04-02,27.06666
2021-04-03,17.43333
2021-04-04,15.06666
2021-04-05,25.66666
2021-04-06,26.83333
2021-04-07,40.79999
2021-04-08,25.43333
2021-04-09,24.96666
2021-04-10,14.16666
2021-04-11,13.83333
2021-04-12,27.36666
2021-04-13,28.8
2021-04-14,28.9
2021-04-15,28.73333
2021-04-16,28.16666
2021-04-17,16.6
2021-04-18,15.6
2021-04-19,27.56666
2021-04-20,25.7
2021-04-21,24.16666
2021-04-22,25.83333
2021-04-23,26.33333
2021-04-24,14.46666
2021-04-25,15.03333
2021-04-26,32.33333
2021-04-27,35.16666
2021-04-28,38.36666
2021-04-29,30.0
2021-04-30,24.4
2021-05-01,13.0
2021-05-02,14.43333
2021-05-03,22.73333
2021-05-04,22.7
2021-05-05,14.36666
2021-05-06,23.6
2021-05-07,21.03333
2021-05-08,14.06666
2021-05-09,14.33333
2021-05-10,26.2
2021-05-11,25.76666
2021-05-12,29.73333
2021-05-13,24.96666
2021-05-14,23.26666
2021-05-15,12.93333
2021-05-16,13.83333
2021-05-17,20.2
2021-05-18,19.0
2021-05-19,16.86666
2021-05-20,19.1
2021-05-21,18.26666
2021-05-22,9.63333
2021-05-23,11.26666
2021-05-24,17.86666
2021-05-25,18.83333
2021-05-26,19.83333
2021-05-27,18.83333
2021-05-28,17.26666
2021-05-29,10.76666
2021-05-30,12.06666
2021-05-31,18.66666
2021-06-01,22.0
2021-06-02,20.3
2021-06-03,23.26666
2021-06-04,19.73333
2021-06-05,13.26666
2021-06-06,12.96666
2021-06-07,20.9
2021-06-08,18.53333
2021-06-09,19.1
2021-06-10,16.43333
2021-06-11,18.26666
2021-06-12,9.86666
2021-06-13,10.96666
