date,고배당주
2020-03-20,71.88864
2020-03-21,63.04585
2020-03-22,61.35371
2020-03-23,73.96288
2020-03-24,55.02183
2020-03-25,58.24235
2020-03-26,70.1965
2020-03-27,54.69432
2020-03-28,36.08078
2020-03-29,37.66375
2020-03-30,46.12445
2020-03-31,49.6179
2020-04-01,49.07205
2020-04-02,48.25327
2020-04-03,53.93013
2020-04-04,38.53711
2020-04-05,32.15065
2020-04-06,41.21179
2020-04-07,54.47598
2020-04-08,49.83624
2020-04-09,47.37991
2020-04-10,50.43668
2020-04-11,41.04803
2020-04-12,33.29694
2020-04-13,40.17467
2020-04-14,41.10262
2020-04-15,34.1703
2020-04-16,37.06331
2020-04-17,46.77947
2020-04-18,33.56986
2020-04-19,32.96943
2020-04-20,40.39301
2020-04-21,40.88427
2020-04-22,53.32969
2020-04-23,47.21615
2020-04-24,42.68558
2020-04-25,35.15283
2020-04-26,38.48253
2020-04-27,45.68777
2020-04-28,43.88646
2020-04-29,41.75764
2020-04-30,37.06331
2020-05-01,23.1441
2020-05-02,30.07641
2020-05-03,32.64192
2020-05-04,32.91484
2020-05-05,29.69432
2020-05-06,33.40611
2020-05-07,34.44323
2020-05-08,28.98471
2020-05-09,23.03493
2020-05-10,18.0131
2020-05-11,22.70742
2020-05-12,23.47161
2020-05-13,22.81659
2020-05-14,24.01746
2020-05-15,23.85371
2020-05-16,15.33842
2020-05-17,14.30131
2020-05-18,17.95851
2020-05-19,25.38209
2020-05-20,21.6703
2020-05-21,21.6703
2020-05-22,20.36026
2020-05-23,13.91921
2020-05-24,13.26419
2020-05-25,16.5393
2020-05-26,17.46724
2020-05-27,17.35807
2020-05-28,21.77947
2020-05-29,20.25109
2020-05-30,15.12008
2020-05-31,15.33842
2020-06-01,19.54148
2020-06-02,26.91048
2020-06-03,44.65065
2020-06-04,41.59388
2020-06-05,40.82969
2020-06-06,28.98471
2020-06-07,26.31004
2020-06-08,31.44104
2020-06-09,31.82314
2020-06-10,37.39082
2020-06-11,29.63973
2020-06-12,25.27292
2020-06-13,20.36026
2020-06-14,19.15938
2020-06-15,27.94759
2020-06-16,22.27074
2020-06-17,26.25545
2020-06-18,30.18558
2020-06-19,25.98253
2020-06-20,17.57641
2020-06-21,20.68777
2020-06-22,24.12663
2020-06-23,25.92794
2020-06-24,25.7096
2020-06-25,21.94323
2020-06-26,20.41484
2020-06-27,13.37336
2020-06-28,15.50218
2020-06-29,16.10262
2020-06-30,17.35807
2020-07-01,16.92139
2020-07-02,19.65065
2020-07-03,36.24454
2020-07-04,28.98471
2020-07-05,22.37991
2020-07-06,27.07423
2020-07-07,28.32969
2020-07-08,24.67248
2020-07-09,20.85152
2020-07-10,17.84934
2020-07-11,14.79257
2020-07-12,12.44541
2020-07-13,18.44978
2020-07-14,16.26637
2020-07-15,17.57641
2020-07-16,18.0131
2020-07-17,16.26637
2020-07-18,10.15283
2020-07-19,12.88209
2020-07-20,15.17467
2020-07-21,19.26855
2020-07-22,18.44978
2020-07-23,20.79694
2020-07-24,14.02838
2020-07-25,13.10043
2020-07-26,13.5917
2020-07-27,18.7227
2020-07-28,20.85152
2020-07-29,19.54148
2020-07-30,20.08733
2020-07-31,17.79475
2020-08-01,14.73799
2020-08-02,16.1572
2020-08-03,16.32096
2020-08-04,22.92576
2020-08-05,26.80131
2020-08-06,26.96506
2020-08-07,27.72925
2020-08-08,23.30786
2020-08-09,19.97816
2020-08-10,28.00218
2020-08-11,26.31004
2020-08-12,26.25545
2020-08-13,26.69213
2020-08-14,24.72707
2020-08-15,15.93886
2020-08-16,19.43231
2020-08-17,15.93886
2020-08-18,28.54803
2020-08-19,23.41703
2020-08-20,22.81659
2020-08-21,22.21615
2020-08-22,15.82969
2020-08-23,14.35589
2020-08-24,17.95851
2020-08-25,19.43231
2020-08-26,24.07205
2020-08-27,19.21397
2020-08-28,19.05021
2020-08-29,15.0655
2020-08-30,12.17248
2020-08-31,13.31877
2020-09-01,14.46506
2020-09-02,16.86681
2020-09-03,17.84934
2020-09-04,13.81004
2020-09-05,10.42576
2020-09-06,11.57205
2020-09-07,18.55895
2020-09-08,15.93886
2020-09-09,18.88646
2020-09-10,19.70524
2020-09-11,16.59388
2020-09-12,10.69868
2020-09-13,12.93668
2020-09-14,16.64847
2020-09-15,17.46724
2020-09-16,15.93886
2020-09-17,17.41266
2020-09-18,14.6834
2020-09-19,12.93668
2020-09-20,16.21179
2020-09-21,16.59388
2020-09-22,17.03056
