date,국내금시세
2020-03-20,66.57555
2020-03-21,18.11792
2020-03-22,10.30847
2020-03-23,56.11089
2020-03-24,73.25263
2020-03-25,75.43928
2020-03-26,60.95275
2020-03-27,57.20421
2020-03-28,16.47793
2020-03-29,8.27801
2020-03-30,54.549
2020-03-31,44.39672
2020-04-01,44.5529
2020-04-02,49.35572
2020-04-03,46.93479
2020-04-04,13.93986
2020-04-05,8.82467
2020-04-06,45.41194
2020-04-07,58.14135
2020-04-08,51.54236
2020-04-09,49.43381
2020-04-10,71.30027
2020-04-11,21.43693
2020-04-12,14.40843
2020-04-13,62.43654
2020-04-14,71.5736
2020-04-15,24.13119
2020-04-16,66.80983
2020-04-17,60.87465
2020-04-18,16.36079
2020-04-19,9.87895
2020-04-20,49.98047
2020-04-21,61.6556
2020-04-22,57.20421
2020-04-23,68.64506
2020-04-24,68.84029
2020-04-25,18.15696
2020-04-26,12.41702
2020-04-27,56.81374
2020-04-28,51.93283
2020-04-29,50.37094
2020-04-30,16.86841
2020-05-01,18.54744
2020-05-02,11.12846
2020-05-03,8.4342
2020-05-04,41.89769
2020-05-05,15.97032
2020-05-06,45.25575
2020-05-07,40.17961
2020-05-08,40.72627
2020-05-09,12.69035
2020-05-10,5.85708
2020-05-11,35.25966
2020-05-12,37.5244
2020-05-13,39.78914
2020-05-14,40.25771
2020-05-15,44.70909
2020-05-16,14.7989
2020-05-17,9.68371
2020-05-18,63.21749
2020-05-19,55.83756
2020-05-20,50.9957
2020-05-21,45.99765
2020-05-22,47.79383
2020-05-23,12.6513
2020-05-24,9.01991
2020-05-25,42.01483
2020-05-26,41.89769
2020-05-27,36.47012
2020-05-28,40.21866
2020-05-29,39.24248
2020-05-30,11.01132
2020-05-31,7.49707
2020-06-01,44.70909
2020-06-02,39.86723
2020-06-03,38.22725
2020-06-04,38.1882
2020-06-05,37.91487
2020-06-06,10.5037
2020-06-07,6.87231
2020-06-08,39.20343
2020-06-09,41.85864
2020-06-10,37.68059
2020-06-11,41.54627
2020-06-12,43.34244
2020-06-13,10.26942
2020-06-14,6.13041
2020-06-15,41.8196
2020-06-16,38.53963
2020-06-17,39.5939
2020-06-18,34.79109
2020-06-19,31.9016
2020-06-20,9.72276
2020-06-21,6.59898
2020-06-22,43.34244
2020-06-23,42.87387
2020-06-24,44.70909
2020-06-25,38.9301
2020-06-26,32.09683
2020-06-27,9.95704
2020-06-28,6.48184
2020-06-29,36.47012
2020-06-30,33.69777
2020-07-01,44.08434
2020-07-02,35.68918
2020-07-03,33.85396
2020-07-04,8.70753
2020-07-05,6.83326
2020-07-06,35.3768
2020-07-07,36.23584
2020-07-08,42.99101
2020-07-09,47.83287
2020-07-10,40.25771
2020-07-11,10.07418
2020-07-12,6.71612
2020-07-13,42.24912
2020-07-14,49.19953
2020-07-15,49.78524
2020-07-16,49.98047
2020-07-17,42.05388
2020-07-18,11.05037
2020-07-19,7.65326
2020-07-20,42.71768
2020-07-21,47.79383
2020-07-22,64.77938
2020-07-23,69.66028
2020-07-24,71.41741
2020-07-25,26.82545
2020-07-26,14.1351
2020-07-27,86.33346
2020-07-28,98.63334
2020-07-29,94.72862
2020-07-30,81.72588
2020-07-31,77.82116
2020-08-01,24.36548
2020-08-02,13.70558
2020-08-03,65.40413
2020-08-04,65.9508
2020-08-05,97.73525
2020-08-06,87.9344
2020-08-07,86.80203
2020-08-08,24.87309
2020-08-09,13.23701
2020-08-10,65.28699
2020-08-11,73.91643
2020-08-12,100.0
2020-08-13,77.43069
2020-08-14,64.97461
2020-08-15,18.46934
2020-08-16,10.30847
2020-08-17,24.0531
2020-08-18,77.78211
2020-08-19,63.88129
2020-08-20,62.9832
2020-08-21,55.48613
2020-08-22,16.55603
2020-08-23,9.13705
2020-08-24,51.81569
2020-08-25,48.73096
2020-08-26,47.75478
2020-08-27,55.13471
2020-08-28,44.74814
2020-08-29,16.36079
2020-08-30,8.90277
2020-08-31,51.62046
2020-09-01,53.84615
2020-09-02,49.08238
2020-09-03,45.21671
2020-09-04,45.84146
2020-09-05,11.79226
2020-09-06,6.9504
2020-09-07,37.60249
2020-09-08,35.68918
2020-09-09,42.09293
2020-09-10,40.17961
2020-09-11,38.14916
2020-09-12,10.5037
2020-09-13,6.67707
2020-09-14,33.42444
2020-09-15,37.32916
2020-09-16,33.15111
2020-09-17,35.29871
2020-09-18,31.70636
2020-09-19,9.44943
2020-09-20,6.67707
2020-09-21,35.29871
2020-09-22,36.82155
2020-09-23,40.25771
2020-09-24,40.68723
2020-09-25,33.61967
2020-09-26,9.95704
2020-09-27,5.93518
2020-09-28,28.93401
2020-09-29,31.00351
2020-09-30,9.99609
2020-10-01,7.22374
2020-10-02,8.66848
2020-10-03,8.94181
2020-10-04,5.6228
2020-10-05,31.66731
2020-10-06,29.51971
2020-10-07,26.8645
2020-10-08,27.02069
2020-10-09,10.23037
2020-10-10,7.6923
2020-10-11,4.959
2020-10-12,32.05778
2020-10-13,29.79304
2020-10-14,28.66067
2020-10-15,28.23115
2020-10-16,26.43498
2020-10-17,7.65326
2020-10-18,4.84185
2020-10-19,26.98164
2020-10-20,25.88832
2020-10-21,29.09019
2020-10-22,29.12924
2020-10-23,25.41975
2020-10-24,7.61421
2020-10-25,4.72471
2020-10-26,26.59117
2020-10-27,27.95782
2020-10-28,28.93401
2020-10-29,31.1597
2020-10-30,29.51971
2020-10-31,9.56657
2020-11-01,6.2866
2020-11-02,27.64545
2020-11-03,27.99687
2020-11-04,29.79304
2020-11-05,29.71495
2020-11-06,38.61772
2020-11-07,12.33893
2020-11-08,6.98945
2020-11-09,34.47871
2020-11-10,42.52245
2020-11-11,34.90823
2020-11-12,32.72159
2020-11-13,29.20734
2020-11-14,8.31706
2020-11-15,5.23233
2020-11-16,31.39398
2020-11-17,29.28543
2020-11-18,27.72354
2020-11-19,30.57399
2020-11-20,27.05974
2020-11-21,8.62944
2020-11-22,6.05232
2020-11-23,27.95782
2020-11-24,30.57399
2020-11-25,32.99492
2020-11-26,31.62827
2020-11-27,29.59781
2020-11-28,12.88559
2020-11-29,8.16087
2020-11-30,34.67395
2020-12-01,32.52635
2020-12-02,33.46349
2020-12-03,34.12729
2020-12-04,34.01015
2020-12-05,10.77704
2020-12-06,6.55993
2020-12-07,31.62827
2020-12-08,38.2663
2020-12-09,33.89301
2020-12-10,33.38539
2020-12-11,29.36352
2020-12-12,9.72276
2020-12-13,6.05232
2020-12-14,27.95782
2020-12-15,30.88637
2020-12-16,32.60445
2020-12-17,32.37016
2020-12-18,34.94728
2020-12-19,12.18274
2020-12-20,6.98945
2020-12-21,39.94533
2020-12-22,37.56345
2020-12-23,35.18156
