date,다이렉트자동차보험비교견적사이트
2020-03-20,27.33564
2020-03-21,18.3391
2020-03-22,18.80046
2020-03-23,36.10149
2020-03-24,34.37139
2020-03-25,32.75663
2020-03-26,34.02537
2020-03-27,24.10611
2020-03-28,15.10957
2020-03-29,15.45559
2020-03-30,46.59746
2020-03-31,37.48558
2020-04-01,36.6782
2020-04-02,33.67935
2020-04-03,30.56516
2020-04-04,15.68627
2020-04-05,22.14532
2020-04-06,38.75432
2020-04-07,43.25259
2020-04-08,35.06343
2020-04-09,34.83275
2020-04-10,31.83391
2020-04-11,17.30103
2020-04-12,18.68512
2020-04-13,41.63783
2020-04-14,38.75432
2020-04-15,20.87658
2020-04-16,36.21683
2020-04-17,36.10149
2020-04-18,19.4925
2020-04-19,16.49365
2020-04-20,38.4083
2020-04-21,36.79354
2020-04-22,39.10034
2020-04-23,39.79238
2020-04-24,39.33102
2020-04-25,17.76239
2020-04-26,19.60784
2020-04-27,37.60092
2020-04-28,35.75547
2020-04-29,30.33448
2020-04-30,16.14763
2020-05-01,19.60784
2020-05-02,11.07266
2020-05-03,16.49365
2020-05-04,38.985
2020-05-05,24.68281
2020-05-06,44.63667
2020-05-07,45.44405
2020-05-08,37.02422
2020-05-09,19.37716
2020-05-10,19.83852
2020-05-11,46.82814
2020-05-12,46.1361
2020-05-13,43.25259
2020-05-14,43.48327
2020-05-15,34.71741
2020-05-16,21.2226
2020-05-17,20.0692
2020-05-18,48.78892
2020-05-19,45.90542
2020-05-20,44.17531
2020-05-21,38.75432
2020-05-22,36.79354
2020-05-23,19.37716
2020-05-24,21.10726
2020-05-25,45.67474
2020-05-26,44.63667
2020-05-27,38.52364
2020-05-28,34.14071
2020-05-29,34.37139
2020-05-30,15.80161
2020-05-31,18.56978
2020-06-01,40.02306
2020-06-02,36.33217
2020-06-03,40.1384
2020-06-04,39.67704
2020-06-05,35.52479
2020-06-06,19.03114
2020-06-07,17.41637
2020-06-08,42.56055
2020-06-09,33.56401
2020-06-10,41.86851
2020-06-11,37.8316
2020-06-12,35.06343
2020-06-13,21.91464
2020-06-14,23.41407
2020-06-15,44.75201
2020-06-16,44.52133
2020-06-17,37.48558
2020-06-18,41.17647
2020-06-19,35.06343
2020-06-20,16.37831
2020-06-21,16.72433
2020-06-22,39.21568
2020-06-23,41.17647
2020-06-24,35.40945
2020-06-25,39.21568
2020-06-26,31.83391
2020-06-27,18.9158
2020-06-28,17.53171
2020-06-29,39.10034
2020-06-30,35.17877
2020-07-01,35.87081
2020-07-02,35.17877
2020-07-03,29.41176
2020-07-04,16.83967
2020-07-05,19.4925
2020-07-06,39.90772
2020-07-07,35.64013
2020-07-08,37.37024
2020-07-09,33.44867
2020-07-10,31.14186
2020-07-11,14.64821
2020-07-12,17.99307
2020-07-13,39.10034
2020-07-14,38.985
2020-07-15,32.41061
2020-07-16,32.98731
2020-07-17,30.21914
2020-07-18,17.87773
2020-07-19,13.72549
2020-07-20,42.21453
2020-07-21,33.44867
2020-07-22,35.06343
2020-07-23,31.02652
2020-07-24,29.87312
2020-07-25,21.68396
2020-07-26,26.29757
2020-07-27,50.17301
2020-07-28,37.94694
2020-07-29,32.87197
2020-07-30,34.37139
2020-07-31,23.64475
2020-08-01,14.41753
2020-08-02,13.03344
2020-08-03,34.25605
2020-08-04,35.40945
2020-08-05,34.83275
2020-08-06,30.6805
2020-08-07,29.41176
2020-08-08,15.80161
2020-08-09,14.41753
2020-08-10,36.90888
2020-08-11,35.29411
2020-08-12,34.48673
2020-08-13,33.21799
2020-08-14,35.06343
2020-08-15,15.34025
2020-08-16,11.30334
2020-08-17,22.83737
2020-08-18,38.86966
2020-08-19,37.02422
2020-08-20,35.17877
2020-08-21,35.40945
2020-08-22,16.95501
2020-08-23,17.18569
2020-08-24,41.75317
2020-08-25,39.90772
2020-08-26,33.10265
2020-08-27,37.2549
2020-08-28,33.21799
2020-08-29,18.22376
2020-08-30,19.14648
2020-08-31,38.17762
2020-09-01,37.48558
2020-09-02,36.56286
2020-09-03,38.52364
2020-09-04,27.68166
2020-09-05,17.41637
2020-09-06,17.99307
2020-09-07,38.75432
2020-09-08,36.90888
2020-09-09,34.94809
2020-09-10,32.17993
2020-09-11,29.41176
2020-09-12,14.64821
2020-09-13,17.07035
2020-09-14,44.40599
2020-09-15,35.40945
2020-09-16,37.37024
2020-09-17,32.41061
2020-09-18,31.94925
2020-09-19,10.6113
2020-09-20,15.22491
2020-09-21,32.29527
2020-09-22,33.56401
2020-09-23,31.37254
2020-09-24,33.33333
2020-09-25,31.2572
2020-09-26,14.18685
2020-09-27,16.37831
2020-09-28,32.64129
2020-09-29,28.25836
2020-09-30,11.53402
2020-10-01,9.91926
2020-10-02,10.26528
2020-10-03,10.26528
2020-10-04,14.87889
2020-10-05,45.21337
2020-10-06,41.52249
2020-10-07,42.56055
2020-10-08,32.87197
2020-10-09,15.34025
2020-10-10,16.03229
2020-10-11,17.87773
2020-10-12,43.25259
2020-10-13,36.90888
2020-10-14,37.37024
2020-10-15,40.94579
2020-10-16,32.52595
2020-10-17,16.03229
2020-10-18,17.53171
2020-10-19,40.7151
2020-10-20,39.44636
2020-10-21,39.79238
2020-10-22,39.33102
2020-10-23,31.02652
2020-10-24,16.95501
2020-10-25,16.49365
2020-10-26,41.17647
2020-10-27,35.17877
2020-10-28,33.44867
