date,KODEX미국FANG플러스(H)
2021-01-18,32.38659
2021-01-19,38.12832
2021-01-20,44.97343
2021-01-21,61.19738
2021-01-22,54.80179
2021-01-23,18.96199
2021-01-24,23.00776
2021-01-25,63.62893
2021-01-26,59.48099
2021-01-27,59.80792
2021-01-28,58.5615
2021-01-29,47.95668
2021-01-30,13.44503
2021-01-31,14.20106
2021-02-01,49.85696
2021-02-02,49.7548
2021-02-03,52.94237
2021-02-04,50.93992
2021-02-05,51.87985
2021-02-06,19.84062
2021-02-07,15.89701
2021-02-08,58.8067
2021-02-09,57.33551
2021-02-10,65.83571
2021-02-11,27.40089
2021-02-12,24.07029
2021-02-13,28.29995
2021-02-14,29.11728
2021-02-15,100.0
2021-02-16,82.26399
2021-02-17,81.30363
2021-02-18,85.67633
2021-02-19,72.00653
2021-02-20,22.55823
2021-02-21,18.75766
2021-02-22,63.6085
2021-02-23,62.17817
2021-02-24,63.73109
2021-02-25,59.35839
2021-02-26,65.61095
2021-02-27,12.54597
2021-02-28,11.11565
2021-03-01,12.09644
2021-03-02,52.73804
2021-03-03,45.66816
2021-03-04,56.98814
2021-03-05,51.75725
2021-03-06,15.50878
2021-03-07,12.34164
2021-03-08,49.83653
2021-03-09,53.98447
2021-03-10,60.46178
2021-03-11,48.99877
2021-03-12,49.48917
2021-03-13,11.72864
2021-03-14,9.72619
2021-03-15,42.19452
2021-03-16,45.0143
2021-03-17,39.51777
2021-03-18,48.03841
2021-03-19,44.19697
2021-03-20,8.84756
2021-03-21,8.64323
2021-03-22,38.31221
2021-03-23,39.82427
2021-03-24,35.12464
2021-03-25,41.07069
2021-03-26,48.30404
2021-03-27,11.03391
2021-03-28,8.70453
2021-03-29,49.67306
2021-03-30,42.86881
2021-03-31,37.80138
2021-04-01,47.87494
2021-04-02,44.42174
2021-04-03,9.76706
2021-04-04,9.64446
2021-04-05,42.97098
2021-04-06,47.26195
2021-04-07,40.53943
2021-04-08,43.68614
2021-04-09,45.77033
2021-04-10,12.4438
2021-04-11,9.25623
2021-04-12,41.39762
2021-04-13,44.1561
2021-04-14,53.8823
2021-04-15,47.26195
2021-04-16,45.05516
2021-04-17,12.8729
2021-04-18,11.76951
2021-04-19,44.4626
2021-04-20,40.1512
2021-04-21,37.98528
2021-04-22,39.88557
2021-04-23,35.67633
2021-04-24,9.25623
2021-04-25,8.27543
2021-04-26,35.14507
2021-04-27,34.45034
2021-04-28,30.69064
2021-04-29,38.33265
2021-04-30,35.88067
2021-05-01,9.27666
2021-05-02,10.82958
2021-05-03,36.80016
2021-05-04,39.31344
2021-05-05,14.18062
2021-05-06,45.52513
2021-05-07,34.26644
2021-05-08,7.62157
2021-05-09,6.37515
2021-05-10,35.1042
2021-05-11,42.66448
2021-05-12,35.26767
2021-05-13,32.79525
2021-05-14,36.39149
2021-05-15,8.4389
2021-05-16,6.12995
2021-05-17,32.52962
2021-05-18,29.42378
2021-05-19,8.09154
2021-05-20,27.78912
2021-05-21,29.30118
2021-05-22,6.06865
2021-05-23,6.74295
2021-05-24,27.27829
2021-05-25,35.08377
2021-05-26,31.2832
2021-05-27,30.24111
2021-05-28,29.95504
2021-05-29,6.72251
2021-05-30,6.02778
2021-05-31,30.13894
2021-06-01,29.17858
2021-06-02,27.70739
2021-06-03,27.78912
2021-06-04,29.32161
2021-06-05,8.82713
2021-06-06,6.43645
2021-06-07,29.54638
2021-06-08,28.91295
2021-06-09,27.0331
2021-06-10,26.15447
2021-06-11,29.40335
2021-06-12,5.68042
2021-06-13,5.02656
2021-06-14,31.83489
2021-06-15,36.35063
2021-06-16,31.89619
2021-06-17,31.69186
2021-06-18,34.02125
2021-06-19,9.11319
2021-06-20,6.70208
2021-06-21,31.79403
2021-06-22,31.3445
2021-06-23,35.79893
2021-06-24,41.02983
2021-06-25,44.0948
2021-06-26,11.23825
2021-06-27,9.03146
2021-06-28,42.88925
2021-06-29,44.56477
2021-06-30,42.66448
2021-07-01,38.76174
2021-07-02,31.83489
2021-07-03,9.76706
2021-07-04,7.98937
2021-07-05,33.55128
2021-07-06,34.71597
2021-07-07,38.06702
2021-07-08,43.62484
2021-07-09,38.59828
2021-07-10,9.66489
2021-07-11,8.8067
2021-07-12,38.18961
2021-07-13,37.94442
2021-07-14,36.82059
2021-07-15,34.06211
2021-07-16,29.93461
2021-07-17,5.14916
2021-07-18,6.10952
2021-07-19,30.9767
2021-07-20,30.24111
2021-07-21,29.85288
2021-07-22,29.62811
2021-07-23,30.24111
2021-07-24,9.17449
2021-07-25,6.59991
2021-07-26,32.44789
2021-07-27,36.39149
2021-07-28,29.75071
2021-07-29,31.32407
2021-07-30,29.77114
2021-07-31,7.00858
2021-08-01,4.88353
2021-08-02,30.22067
2021-08-03,29.44421
2021-08-04,29.56681
2021-08-05,28.52472
2021-08-06,27.89129
2021-08-07,7.17204
2021-08-08,6.19125
2021-08-09,27.48263
2021-08-10,26.19534
2021-08-11,26.09317
2021-08-12,28.54515
2021-08-13,28.32039
2021-08-14,7.09031
2021-08-15,5.08786
2021-08-16,7.25378
2021-08-17,28.68818
2021-08-18,26.13404
2021-08-19,23.51859
2021-08-20,23.94769
2021-08-21,6.15038
2021-08-22,5.31262
2021-08-23,23.64119
2021-08-24,28.70862
2021-08-25,29.58724
2021-08-26,24.25418
2021-08-27,19.18675
2021-08-28,6.02778
2021-08-29,4.10706
2021-08-30,22.5991
2021-08-31,28.13649
2021-09-01,25.78667
2021-09-02,28.29995
2021-09-03,24.15202
2021-09-04,5.53739
2021-09-05,4.1275
2021-09-06,21.3731
2021-09-07,21.88393
2021-09-08,25.17368
2021-09-09,20.71924
2021-09-10,20.24928
2021-09-11,5.25132
2021-09-12,3.31017
2021-09-13,19.65672
2021-09-14,21.16877
2021-09-15,19.73845
2021-09-16,18.51246
2021-09-17,18.96199
2021-09-18,4.02533
2021-09-19,2.79934
2021-09-20,3.90273
2021-09-21,3.5758
2021-09-22,3.86187
2021-09-23,21.12791
2021-09-24,17.9199
2021-09-25,5.12872
2021-09-26,3.90273
2021-09-27,16.61217
2021-09-28,17.123
2021-09-29,16.73477
2021-09-30,17.40907
2021-10-01,14.73232
2021-10-02,3.31017
2021-10-03,2.69718
2021-10-04,3.80057
2021-10-05,15.01838
2021-10-06,13.13853
2021-10-07,14.87535
2021-10-08,15.54965
2021-10-09,2.77891
2021-10-10,2.75847
2021-10-11,3.5145
2021-10-12,12.48467
2021-10-13,12.48467
2021-10-14,14.38496
2021-10-15,15.28402
2021-10-16,3.4532
2021-10-17,2.65631
2021-10-18,14.83449
2021-10-19,18.02206
2021-10-20,22.1087
2021-10-21,17.14344
2021-10-22,23.23252
2021-10-23,5.78259
2021-10-24,4.45443
2021-10-25,17.47037
2021-10-26,27.31916
2021-10-27,21.41397
2021-10-28,19.06416
2021-10-29,19.84062
2021-10-30,5.33306
2021-10-31,4.65876
2021-11-01,19.22762
2021-11-02,24.27462
2021-11-03,19.67715
2021-11-04,23.15079
2021-11-05,23.78422
2021-11-06,6.64078
2021-11-07,5.41479
2021-11-08,22.86473
2021-11-09,20.35145
2021-11-10,20.43318
2021-11-11,17.77686
2021-11-12,18.49203
2021-11-13,4.61789
2021-11-14,4.35226
2021-11-15,18.83939
2021-11-16,17.75643
2021-11-17,18.1651
2021-11-18,17.57253
2021-11-19,19.73845
2021-11-20,5.12872
2021-11-21,4.2501
2021-11-22,19.73845
2021-11-23,18.67592
2021-11-24,16.42827
2021-11-25,15.91744
2021-11-26,13.69023
2021-11-27,3.43277
2021-11-28,2.90151
2021-11-29,14.71189
2021-11-30,16.89824
2021-12-01,16.36697
2021-12-02,21.47527
2021-12-03,19.28892
2021-12-04,4.86309
2021-12-05,3.6371
2021-12-06,22.5991
2021-12-07,18.55333
2021-12-08,20.16755
2021-12-09,17.57253
2021-12-10,14.93665
2021-12-11,3.02411
2021-12-12,4.39313
2021-12-13,15.30445
2021-12-14,14.38496
2021-12-15,14.16019
2021-12-16,16.9391
2021-12-17,15.93788
2021-12-18,3.4532
2021-12-19,4.02533
2021-12-20,13.87413
2021-12-21,14.89579
2021-12-22,15.20228
2021-12-23,14.58929
2021-12-24,13.81283
2021-12-25,2.79934
2021-12-26,3.67797
2021-12-27,14.11932
2021-12-28,16.24438
2021-12-29,14.99795
2021-12-30,7.98937
2021-12-31,3.4532
2022-01-01,1.81855
2022-01-02,1.69595
2022-01-03,11.42214
2022-01-04,14.09889
2022-01-05,10.66612
2022-01-06,13.50633
2022-01-07,12.17817
2022-01-08,2.90151
2022-01-09,2.37024
2022-01-10,11.44258
2022-01-11,11.38128
2022-01-12,12.15774
2022-01-13,12.03514
2022-01-14,11.68778
2022-01-15,2.73804
2022-01-16,3.55537
2022-01-17,10.70698
2022-01-18,8.9293
2022-01-19,9.54229
2022-01-20,11.38128
2022-01-21,13.34286
2022-01-22,4.82223
2022-01-23,2.88107
2022-01-24,13.58806
2022-01-25,14.93665
2022-01-26,11.85124
2022-01-27,11.81038
2022-01-28,14.11932
2022-01-29,2.88107
2022-01-30,1.77768
2022-01-31,2.16591
2022-02-01,2.69718
2022-02-02,4.94483
2022-02-03,17.8586
2022-02-04,17.3069
2022-02-05,4.0049
2022-02-06,2.94237
2022-02-07,10.72742
2022-02-08,12.3825
2022-02-09,13.93543
2022-02-10,12.5664
2022-02-11,9.33796
2022-02-12,2.45198
2022-02-13,1.59378
2022-02-14,8.17327
2022-02-15,8.29587
2022-02-16,8.90886
2022-02-17,8.88843
2022-02-18,7.43767
2022-02-19,1.67552
2022-02-20,1.30772
2022-02-21,7.29464
2022-02-22,8.1324
2022-02-23,8.5002
2022-02-24,11.07478
2022-02-25,10.35962
2022-02-26,2.16591
2022-02-27,1.67552
2022-02-28,9.74662
2022-03-01,2.77891
2022-03-02,8.76583
2022-03-03,8.6841
2022-03-04,7.00858
2022-03-05,2.28851
2022-03-06,1.77768
2022-03-07,6.98814
2022-03-08,9.15406
2022-03-09,1.87985
2022-03-10,8.29587
2022-03-11,7.41724
2022-03-12,2.45198
2022-03-13,1.30772
2022-03-14,9.54229
2022-03-15,11.27911
2022-03-16,10.76828
2022-03-17,16.08091
2022-03-18,10.33919
2022-03-19,3.04454
2022-03-20,1.79812
2022-03-21,10.54352
2022-03-22,10.25745
2022-03-23,11.70821
2022-03-24,9.78749
2022-03-25,12.3825
2022-03-26,2.67674
2022-03-27,1.73682
2022-03-28,8.76583
2022-03-29,11.72864
2022-03-30,12.30077
2022-03-31,9.13363
2022-04-01,6.92684
2022-04-02,2.02288
2022-04-03,1.26685
2022-04-04,8.82713
2022-04-05,12.4438
2022-04-06,6.86554
2022-04-07,8.0098
2022-04-08,7.62157
2022-04-09,1.92071
2022-04-10,0.81732
2022-04-11,7.68287
2022-04-12,7.92807
2022-04-13,8.66366
2022-04-14,8.5002
2022-04-15,6.31385
2022-04-16,1.38945
2022-04-17,1.10339
2022-04-18,6.21168
2022-04-19,6.78381
2022-04-20,13.4859
2022-04-21,18.08336
2022-04-22,11.23825
2022-04-23,2.18635
2022-04-24,2.04331
2022-04-25,9.09276
2022-04-26,10.21659
2022-04-27,11.07478
2022-04-28,9.29709
2022-04-29,11.56518
2022-04-30,3.2693
2022-05-01,1.69595
2022-05-02,7.90764
2022-05-03,8.3776
2022-05-04,7.23334
2022-05-05,2.43154
2022-05-06,7.98937
2022-05-07,1.49162
2022-05-08,1.38945
2022-05-09,6.98814
2022-05-10,9.25623
2022-05-11,8.41847
2022-05-12,8.94973
2022-05-13,8.45933
2022-05-14,2.20678
2022-05-15,1.67552
2022-05-16,7.60114
2022-05-17,8.76583
2022-05-18,9.09276
2022-05-19,8.97016
2022-05-20,8.0098
2022-05-21,1.92071
2022-05-22,1.36902
2022-05-23,7.35594
2022-05-24,7.43767
2022-05-25,8.0711
2022-05-26,9.01103
2022-05-27,9.41969
2022-05-28,1.85941
2022-05-29,1.06252
2022-05-30,8.97016
2022-05-31,8.72496
2022-06-01,1.87985
2022-06-02,6.12995
2022-06-03,8.64323
2022-06-04,1.28729
2022-06-05,0.79689
2022-06-06,1.22599
2022-06-07,5.39436
2022-06-08,5.78259
2022-06-09,5.04699
2022-06-10,4.45443
2022-06-11,0.26563
2022-06-12,0.34736
2022-06-13,4.1888
2022-06-14,4.47486
2022-06-15,4.92439
2022-06-16,5.59869
2022-06-17,3.90273
2022-06-18,0.63342
2022-06-19,0.24519
2022-06-20,4.86309
2022-06-21,5.12872
2022-06-22,4.76093
2022-06-23,4.63833
2022-06-24,5.25132
2022-06-25,0.79689
2022-06-26,0.34736
2022-06-27,6.12995
2022-06-28,4.76093
2022-06-29,4.27053
2022-06-30,4.14793
2022-07-01,3.98447
2022-07-02,0.32693
2022-07-03,0.20433
2022-07-04,4.47486
2022-07-05,4.0662
2022-07-06,4.82223
2022-07-07,5.96648
2022-07-08,6.10952
2022-07-09,0.87862
2022-07-10,0.85819
2022-07-11,6.10952
2022-07-12,4.20923
2022-07-13,4.10706
2022-07-14,4.22966
2022-07-15,4.2501
2022-07-16,0.55169
2022-07-17,0.55169
2022-07-18,4.65876
2022-07-19,3.73927
2022-07-20,5.12872
2022-07-21,4.72006
2022-07-22,4.4953
2022-07-23,0.61299
2022-07-24,0.26563
2022-07-25,3.5145
2022-07-26,3.53494
2022-07-27,4.02533
2022-07-28,4.67919
2022-07-29,5.16959
2022-07-30,0.63342
2022-07-31,0.83776
2022-08-01,5.10829
2022-08-02,4.90396
2022-08-03,4.51573
2022-08-04,5.33306
2022-08-05,4.80179
2022-08-06,0.38823
2022-08-07,0.36779
2022-08-08,5.14916
2022-08-09,5.53739
2022-08-10,4.41356
2022-08-11,5.88475
2022-08-12,3.4532
2022-08-13,0.96035
2022-08-14,0.59256
2022-08-15,1.22599
2022-08-16,5.82345
2022-08-17,4.59746
2022-08-18,3.2693
2022-08-19,4.0662
2022-08-20,0.26563
2022-08-21,0.14303
2022-08-22,3.35104
2022-08-23,2.94237
2022-08-24,2.84021
2022-08-25,4.02533
2022-08-26,3.6984
2022-08-27,0.38823
2022-08-28,0.26563
2022-08-29,2.73804
2022-08-30,3.59624
2022-08-31,3.00367
2022-09-01,2.53371
2022-09-02,3.28974
2022-09-03,0.61299
2022-09-04,0.67429
2022-09-05,3.35104
2022-09-06,3.6984
2022-09-07,3.86187
2022-09-08,3.06497
2022-09-09,0.71516
2022-09-10,0.44953
2022-09-11,0.63342
2022-09-12,0.96035
2022-09-13,5.12872
2022-09-14,5.04699
2022-09-15,3.96403
2022-09-16,3.35104
2022-09-17,0.67429
2022-09-18,0.38823
2022-09-19,3.53494
2022-09-20,3.49407
2022-09-21,3.14671
2022-09-22,4.14793
2022-09-23,3.49407
2022-09-24,0.69472
2022-09-25,0.53126
2022-09-26,4.0049
2022-09-27,3.6371
2022-09-28,3.9436
2022-09-29,3.61667
2022-09-30,3.4532
2022-10-01,0.61299
2022-10-02,0.36779
2022-10-03,0.89906
2022-10-04,3.7597
2022-10-05,4.74049
2022-10-06,3.821
2022-10-07,2.86064
2022-10-08,0.61299
2022-10-09,0.24519
2022-10-10,0.57212
2022-10-11,3.6984
2022-10-12,3.78013
2022-10-13,3.41234
2022-10-14,3.65753
2022-10-15,0.69472
2022-10-16,0.46996
2022-10-17,4.47486
2022-10-18,4.4953
2022-10-19,4.22966
2022-10-20,3.4532
2022-10-21,2.63588
2022-10-22,0.46996
2022-10-23,0.38823
2022-10-24,3.96403
2022-10-25,4.02533
2022-10-26,3.41234
2022-10-27,4.3727
2022-10-28,5.16959
2022-10-29,1.28729
2022-10-30,0.51082
2022-10-31,4.10706
2022-11-01,4.16836
2022-11-02,4.76093
2022-11-03,4.22966
2022-11-04,5.65999
2022-11-05,1.14425
2022-11-06,0.81732
2022-11-07,5.49652
2022-11-08,5.49652
2022-11-09,5.33306
2022-11-10,5.14916
2022-11-11,8.3776
2022-11-12,1.36902
2022-11-13,1.06252
2022-11-14,6.04822
2022-11-15,5.59869
2022-11-16,5.80302
2022-11-17,4.61789
2022-11-18,4.51573
2022-11-19,0.67429
2022-11-20,0.77646
2022-11-21,4.0662
2022-11-22,2.88107
2022-11-23,4.0049
2022-11-24,4.4953
2022-11-25,4.39313
2022-11-26,0.83776
2022-11-27,0.46996
2022-11-28,3.9436
2022-11-29,3.5145
2022-11-30,3.6371
2022-12-01,5.94605
2022-12-02,4.45443
2022-12-03,0.71516
2022-12-04,0.49039
2022-12-05,4.82223
2022-12-06,3.8823
2022-12-07,2.98324
2022-12-08,3.53494
2022-12-09,3.59624
2022-12-10,0.44953
2022-12-11,0.46996
2022-12-12,3.08541
2022-12-13,4.63833
2022-12-14,3.96403
2022-12-15,3.49407
2022-12-16,4.22966
2022-12-17,0.85819
2022-12-18,0.73559
2022-12-19,3.24887
2022-12-20,3.96403
2022-12-21,4.33183
2022-12-22,4.0662
2022-12-23,3.98447
2022-12-24,0.59256
2022-12-25,0.63342
2022-12-26,3.08541
2022-12-27,3.821
2022-12-28,3.92317
2022-12-29,3.04454
2022-12-30,1.67552
2022-12-31,0.42909
2023-01-01,0.55169
2023-01-02,3.5758
2023-01-03,3.73927
2023-01-04,4.2501
2023-01-05,4.2501
2023-01-06,3.65753
2023-01-07,0.87862
2023-01-08,0.79689
2023-01-09,4.76093
2023-01-10,4.80179
2023-01-11,4.69963
2023-01-12,5.04699
2023-01-13,5.29219
2023-01-14,0.75602
2023-01-15,0.96035
2023-01-16,4.61789
2023-01-17,4.27053
2023-01-18,4.53616
2023-01-19,3.9436
2023-01-20,3.53494
2023-01-21,0.93992
2023-01-22,0.42909
2023-01-23,0.67429
2023-01-24,1.26685
2023-01-25,7.04944
2023-01-26,6.92684
2023-01-27,6.74295
2023-01-28,2.73804
2023-01-29,1.71638
2023-01-30,7.8259
2023-01-31,5.19002
2023-02-01,5.82345
2023-02-02,11.95341
2023-02-03,10.21659
2023-02-04,1.51205
2023-02-05,1.20555
2023-02-06,8.11197
2023-02-07,6.64078
2023-02-08,7.72374
2023-02-09,6.37515
2023-02-10,5.59869
2023-02-11,0.81732
2023-02-12,1.24642
2023-02-13,6.39558
2023-02-14,6.25255
2023-02-15,6.33428
2023-02-16,7.8259
2023-02-17,5.06742
2023-02-18,1.12382
2023-02-19,0.81732
2023-02-20,4.72006
2023-02-21,4.41356
2023-02-22,3.9436
2023-02-23,5.04699
2023-02-24,5.02656
2023-02-25,0.89906
2023-02-26,0.65386
2023-02-27,3.98447
2023-02-28,4.16836
2023-03-01,1.22599
2023-03-02,4.22966
2023-03-03,4.98569
2023-03-04,0.79689
2023-03-05,0.65386
2023-03-06,6.84511
2023-03-07,5.51695
2023-03-08,4.10706
2023-03-09,4.67919
2023-03-10,3.71883
2023-03-11,0.57212
2023-03-12,0.61299
2023-03-13,4.63833
2023-03-14,4.14793
2023-03-15,4.92439
2023-03-16,5.43522
2023-03-17,5.98692
2023-03-18,1.12382
2023-03-19,0.40866
2023-03-20,4.82223
2023-03-21,5.12872
2023-03-22,7.39681
2023-03-23,6.41601
2023-03-24,5.90519
2023-03-25,1.06252
2023-03-26,1.28729
2023-03-27,5.98692
2023-03-28,4.59746
2023-03-29,4.67919
2023-03-30,5.55782
2023-03-31,6.29342
2023-04-01,1.83898
2023-04-02,1.26685
2023-04-03,7.43767
2023-04-04,6.51818
2023-04-05,7.00858
2023-04-06,5.00612
2023-04-07,5.70085
2023-04-08,1.10339
2023-04-09,0.69472
