date,모두투어주가
2020-03-20,18.95165
2020-03-21,4.81224
2020-03-22,3.74408
2020-03-23,18.31296
2020-03-24,16.02797
2020-03-25,17.28884
2020-03-26,22.06254
2020-03-27,18.39004
2020-03-28,4.17354
2020-03-29,3.27607
2020-03-30,13.61634
2020-03-31,14.11738
2020-04-01,14.72304
2020-04-02,13.74848
2020-04-03,10.31824
2020-04-04,2.43915
2020-04-05,1.91608
2020-04-06,12.12972
2020-04-07,15.03138
2020-04-08,15.05891
2020-04-09,15.15802
2020-04-10,15.57097
2020-04-11,3.87071
2020-04-12,3.5789
2020-04-13,14.4092
2020-04-14,11.99757
2020-04-15,3.11089
2020-04-16,10.58804
2020-04-17,12.99966
2020-04-18,3.32562
2020-04-19,2.59883
2020-04-20,14.4973
2020-04-21,14.57989
2020-04-22,12.9391
2020-04-23,13.27496
2020-04-24,12.15174
2020-04-25,2.59883
2020-04-26,2.00418
2020-04-27,11.88745
2020-04-28,20.93381
2020-04-29,17.40997
2020-04-30,3.3972
2020-05-01,3.25955
2020-05-02,1.6573
2020-05-03,1.5637
2020-05-04,12.09117
2020-05-05,2.13632
2020-05-06,11.16617
2020-05-07,10.07047
2020-05-08,12.25635
2020-05-09,2.36758
2020-05-10,1.81147
2020-05-11,10.56601
2020-05-12,9.14546
2020-05-13,9.44279
2020-05-14,9.56943
2020-05-15,9.48684
2020-05-16,2.0262
2020-05-17,1.48662
2020-05-18,12.00858
2020-05-19,18.46162
2020-05-20,14.62394
2020-05-21,11.8379
2020-05-22,10.08148
2020-05-23,1.3765
2020-05-24,1.22233
2020-05-25,9.83371
2020-05-26,11.64519
2020-05-27,13.78702
2020-05-28,11.35337
2020-05-29,8.56733
2020-05-30,1.26087
2020-05-31,1.06816
2020-06-01,9.5419
2020-06-02,9.71809
2020-06-03,11.14965
2020-06-04,11.06706
2020-06-05,13.10428
2020-06-06,1.82799
2020-06-07,1.87754
2020-06-08,11.39191
2020-06-09,9.55291
2020-06-10,7.92864
2020-06-11,7.95066
2020-06-12,8.2645
2020-06-13,1.04614
2020-06-14,0.86444
2020-06-15,8.02775
2020-06-16,8.14337
2020-06-17,7.00363
2020-06-18,6.49708
2020-06-19,7.26792
2020-06-20,1.1067
2020-06-21,0.66622
2020-06-22,6.48056
2020-06-23,6.64023
2020-06-24,7.24589
2020-06-25,6.54663
2020-06-26,6.36493
2020-06-27,0.99108
2020-06-28,0.80387
2020-06-29,6.84395
2020-06-30,8.82612
2020-07-01,7.48265
2020-07-02,6.96509
2020-07-03,7.00913
2020-07-04,0.88646
2020-07-05,0.78185
2020-07-06,6.91553
2020-07-07,5.85838
2020-07-08,5.61612
2020-07-09,5.30227
2020-07-10,4.73516
2020-07-11,0.84792
2020-07-12,0.88096
2020-07-13,6.01805
2020-07-14,4.9554
