date,등기비용
2020-03-20,45.21276
2020-03-21,27.65957
2020-03-22,31.91489
2020-03-23,76.59574
2020-03-24,72.87234
2020-03-25,57.4468
2020-03-26,70.74468
2020-03-27,56.38297
2020-03-28,21.27659
2020-03-29,30.85106
2020-03-30,81.91489
2020-03-31,70.21276
2020-04-01,66.48936
2020-04-02,53.7234
2020-04-03,51.06382
2020-04-04,19.14893
2020-04-05,23.93617
2020-04-06,64.3617
2020-04-07,83.51063
2020-04-08,64.89361
2020-04-09,60.10638
2020-04-10,42.55319
2020-04-11,26.06382
2020-04-12,30.31914
2020-04-13,59.57446
2020-04-14,66.48936
2020-04-15,27.12765
2020-04-16,59.57446
2020-04-17,64.89361
2020-04-18,23.93617
2020-04-19,36.17021
2020-04-20,71.80851
2020-04-21,53.7234
2020-04-22,64.89361
2020-04-23,63.82978
2020-04-24,52.65957
2020-04-25,28.7234
2020-04-26,24.46808
2020-04-27,66.48936
2020-04-28,65.42553
2020-04-29,56.38297
2020-04-30,30.31914
2020-05-01,40.95744
2020-05-02,20.21276
2020-05-03,21.27659
2020-05-04,67.02127
2020-05-05,33.51063
2020-05-06,63.29787
2020-05-07,64.3617
2020-05-08,45.74468
2020-05-09,28.7234
2020-05-10,20.74468
2020-05-11,79.78723
2020-05-12,57.4468
2020-05-13,55.85106
2020-05-14,51.06382
2020-05-15,48.93617
2020-05-16,24.46808
2020-05-17,32.97872
2020-05-18,59.57446
2020-05-19,71.27659
2020-05-20,75.0
2020-05-21,66.48936
2020-05-22,53.7234
2020-05-23,26.06382
2020-05-24,32.97872
2020-05-25,63.29787
2020-05-26,61.17021
2020-05-27,45.21276
2020-05-28,55.31914
2020-05-29,50.0
2020-05-30,24.46808
2020-05-31,26.59574
2020-06-01,63.82978
2020-06-02,59.04255
2020-06-03,67.55319
2020-06-04,60.63829
2020-06-05,63.82978
2020-06-06,25.53191
2020-06-07,38.29787
2020-06-08,67.55319
2020-06-09,57.4468
2020-06-10,69.14893
2020-06-11,69.14893
2020-06-12,57.97872
2020-06-13,26.06382
2020-06-14,31.38297
2020-06-15,65.42553
2020-06-16,59.04255
2020-06-17,58.51063
2020-06-18,67.02127
2020-06-19,63.82978
2020-06-20,26.06382
2020-06-21,40.95744
2020-06-22,60.63829
2020-06-23,87.76595
2020-06-24,64.89361
2020-06-25,68.61702
2020-06-26,56.91489
2020-06-27,38.29787
2020-06-28,27.12765
2020-06-29,61.17021
2020-06-30,65.95744
2020-07-01,59.57446
2020-07-02,66.48936
2020-07-03,45.74468
2020-07-04,28.7234
2020-07-05,26.59574
2020-07-06,70.21276
2020-07-07,71.27659
2020-07-08,64.3617
2020-07-09,58.51063
2020-07-10,49.46808
2020-07-11,28.19148
2020-07-12,30.31914
2020-07-13,71.27659
2020-07-14,56.38297
2020-07-15,76.06382
2020-07-16,60.10638
2020-07-17,59.04255
2020-07-18,25.0
2020-07-19,34.57446
2020-07-20,70.21276
2020-07-21,62.76595
2020-07-22,66.48936
2020-07-23,56.91489
2020-07-24,64.3617
2020-07-25,23.40425
2020-07-26,22.34042
2020-07-27,64.3617
2020-07-28,60.63829
2020-07-29,73.93617
2020-07-30,59.04255
2020-07-31,54.25531
