date,코인판
2020-03-20,14.11446
2020-03-21,9.79315
2020-03-22,8.98282
2020-03-23,11.46272
2020-03-24,11.20844
2020-03-25,10.32895
2020-03-26,9.88466
2020-03-27,9.30905
2020-03-28,8.71806
2020-03-29,7.30487
2020-03-30,9.63108
2020-03-31,8.53504
2020-04-01,7.79805
2020-04-02,8.03417
2020-04-03,8.6524
2020-04-04,6.30942
2020-04-05,6.00275
2020-04-06,8.73343
2020-04-07,10.05022
2020-04-08,8.80119
2020-04-09,8.067
2020-04-10,8.25911
2020-04-11,6.15923
2020-04-12,5.76035
2020-04-13,7.79875
2020-04-14,6.51759
2020-04-15,5.56056
2020-04-16,7.76802
2020-04-17,6.87176
2020-04-18,5.86373
2020-04-19,6.15503
2020-04-20,6.87106
2020-04-21,6.80051
2020-04-22,6.09845
2020-04-23,6.60281
2020-04-24,7.46344
2020-04-25,5.79178
2020-04-26,6.00135
2020-04-27,7.65136
2020-04-28,7.02475
2020-04-29,8.27517
2020-04-30,10.62584
2020-05-01,7.64507
2020-05-02,6.44214
2020-05-03,7.08692
2020-05-04,7.39708
2020-05-05,6.24305
2020-05-06,7.0953
2020-05-07,7.40197
2020-05-08,7.80574
2020-05-09,6.67197
2020-05-10,8.33874
2020-05-11,8.10263
2020-05-12,7.6304
2020-05-13,6.55531
2020-05-14,7.74985
2020-05-15,7.04011
2020-05-16,5.55357
2020-05-17,5.73799
2020-05-18,8.22208
2020-05-19,8.29334
2020-05-20,8.33455
2020-05-21,8.38345
2020-05-22,7.93986
2020-05-23,6.01672
2020-05-24,6.63215
2020-05-25,8.68034
2020-05-26,7.87979
2020-05-27,8.02858
2020-05-28,7.84137
2020-05-29,7.28671
2020-05-30,6.57766
2020-05-31,7.52422
2020-06-01,7.98876
2020-06-02,9.20985
2020-06-03,8.80888
2020-06-04,8.25631
2020-06-05,8.2605
2020-06-06,6.53575
2020-06-07,7.98038
2020-06-08,8.42117
2020-06-09,7.62481
2020-06-10,7.483
2020-06-11,8.46937
2020-06-12,8.29334
2020-06-13,5.54798
2020-06-14,5.33143
2020-06-15,9.14908
2020-06-16,7.80783
2020-06-17,7.23082
2020-06-18,6.91437
2020-06-19,6.62447
2020-06-20,5.22664
2020-06-21,5.34261
2020-06-22,6.73484
2020-06-23,7.00658
2020-06-24,6.86408
2020-06-25,6.54204
2020-06-26,5.58291
2020-06-27,4.74324
2020-06-28,5.67722
2020-06-29,6.18507
2020-06-30,6.35133
2020-07-01,6.26331
2020-07-02,6.86128
