date,유진로봇주가
2020-03-20,1.57882
2020-03-21,0.2155
2020-03-22,0.2483
2020-03-23,1.54134
2020-03-24,1.52728
2020-03-25,2.00983
2020-03-26,1.96298
2020-03-27,1.87397
2020-03-28,0.42164
2020-03-29,0.29046
2020-03-30,1.91145
2020-03-31,2.24408
2020-04-01,2.4877
2020-04-02,1.85992
2020-04-03,1.71468
2020-04-04,0.44506
2020-04-05,0.35605
2020-04-06,1.92082
2020-04-07,2.15975
2020-04-08,1.64441
2020-04-09,1.60693
2020-04-10,1.76622
2020-04-11,0.3092
2020-04-12,0.19676
2020-04-13,1.41485
2020-04-14,1.43827
2020-04-15,0.22487
2020-04-16,1.44296
2020-04-17,1.47107
2020-04-18,0.20613
2020-04-19,0.14523
2020-04-20,1.60693
2020-04-21,1.4289
2020-04-22,1.25087
2020-04-23,1.9255
2020-04-24,1.75216
2020-04-25,0.32794
2020-04-26,0.16865
2020-04-27,1.72405
2020-04-28,2.23471
2020-04-29,1.78496
2020-04-30,0.28578
2020-05-01,0.26704
2020-05-02,0.11243
2020-05-03,0.1218
2020-05-04,1.29772
2020-05-05,0.22487
2020-05-06,1.48512
2020-05-07,1.65846
2020-05-08,1.66315
2020-05-09,0.37947
2020-05-10,0.23424
2020-05-11,1.84118
2020-05-12,1.56476
2020-05-13,1.62567
2020-05-14,1.45701
2020-05-15,1.22745
2020-05-16,0.14054
2020-05-17,0.10306
2020-05-18,1.47575
2020-05-19,1.96298
2020-05-20,1.3352
2020-05-21,3.1389
2020-05-22,2.60951
2020-05-23,0.35605
2020-05-24,0.35137
2020-05-25,1.81775
2020-05-26,2.05668
2020-05-27,1.68189
2020-05-28,1.6163
2020-05-29,1.5226
2020-05-30,0.33731
2020-05-31,0.32794
2020-06-01,2.2394
2020-06-02,1.78027
2020-06-03,1.58819
2020-06-04,1.57882
2020-06-05,1.51791
2020-06-06,0.27172
2020-06-07,0.22019
2020-06-08,1.53197
2020-06-09,1.13843
2020-06-10,1.32115
2020-06-11,1.35394
2020-06-12,1.33989
2020-06-13,0.21082
2020-06-14,0.15928
2020-06-15,1.06816
2020-06-16,1.19934
2020-06-17,1.4617
2020-06-18,1.05411
2020-06-19,1.10564
2020-06-20,0.1546
2020-06-21,0.12649
2020-06-22,1.23682
2020-06-23,1.29304
2020-06-24,1.26024
2020-06-25,1.15717
2020-06-26,1.16186
2020-06-27,0.33263
2020-06-28,0.10775
2020-06-29,1.03068
2020-06-30,1.13375
2020-07-01,1.23213
2020-07-02,1.01663
2020-07-03,0.97915
