date,오늘의증시현황
2020-03-20,98.03278
2020-03-21,15.45667
2020-03-22,6.93208
2020-03-23,90.11709
2020-03-24,99.3911
2020-03-25,86.74473
2020-03-26,95.87822
2020-03-27,82.57611
2020-03-28,12.27166
2020-03-29,5.33957
2020-03-30,84.68384
2020-03-31,66.18266
2020-04-01,77.42388
2020-04-02,73.77049
2020-04-03,62.95081
2020-04-04,9.50819
2020-04-05,3.98126
2020-04-06,57.75175
2020-04-07,64.30913
2020-04-08,66.13583
2020-04-09,57.61124
2020-04-10,59.43793
2020-04-11,7.86885
2020-04-12,3.32552
2020-04-13,62.48243
2020-04-14,49.74238
2020-04-15,13.81733
2020-04-16,53.3021
2020-04-17,51.66276
2020-04-18,6.32318
2020-04-19,2.99765
2020-04-20,51.42857
2020-04-21,63.23185
2020-04-22,58.07962
2020-04-23,48.57142
2020-04-24,49.74238
2020-04-25,5.8548
2020-04-26,2.95081
2020-04-27,40.04683
2020-04-28,43.23185
2020-04-29,42.95081
2020-04-30,8.61826
2020-05-01,12.27166
2020-05-02,3.84074
2020-05-03,1.68618
2020-05-04,42.99765
2020-05-05,7.91569
2020-05-06,40.93676
2020-05-07,37.70491
2020-05-08,32.59953
2020-05-09,5.6206
2020-05-10,2.76346
2020-05-11,35.40983
2020-05-12,38.96955
2020-05-13,36.15925
2020-05-14,40.65573
2020-05-15,39.20374
2020-05-16,4.54332
2020-05-17,1.68618
2020-05-18,31.89695
2020-05-19,38.12646
2020-05-20,36.29976
2020-05-21,36.11241
2020-05-22,40.84309
2020-05-23,5.52693
2020-05-24,2.06088
2020-05-25,32.74004
2020-05-26,38.36065
2020-05-27,38.12646
2020-05-28,49.74238
2020-05-29,38.45433
2020-05-30,3.88758
2020-05-31,1.87353
2020-06-01,35.87822
2020-06-02,34.98829
2020-06-03,43.13817
2020-06-04,44.54332
2020-06-05,41.31147
2020-06-06,4.91803
2020-06-07,1.5925
2020-06-08,42.90398
2020-06-09,48.75878
2020-06-10,40.51522
2020-06-11,51.19437
2020-06-12,59.06323
2020-06-13,5.33957
2020-06-14,1.63934
2020-06-15,88.47775
2020-06-16,59.06323
2020-06-17,61.26463
2020-06-18,49.78922
2020-06-19,46.97892
2020-06-20,5.0117
2020-06-21,2.43559
2020-06-22,41.35831
2020-06-23,39.11007
2020-06-24,38.50117
2020-06-25,50.72599
2020-06-26,39.67213
2020-06-27,5.0117
2020-06-28,1.68618
2020-06-29,40.09367
2020-06-30,39.71896
2020-07-01,45.71428
2020-07-02,41.17096
2020-07-03,39.53161
2020-07-04,3.74707
2020-07-05,1.5925
2020-07-06,37.98594
2020-07-07,40.9836
2020-07-08,37.04918
2020-07-09,36.15925
2020-07-10,35.50351
2020-07-11,4.35597
2020-07-12,2.52927
2020-07-13,29.08665
2020-07-14,35.83138
2020-07-15,35.45667
2020-07-16,40.18735
2020-07-17,33.95784
2020-07-18,4.26229
2020-07-19,1.63934
2020-07-20,32.13114
2020-07-21,29.50819
2020-07-22,34.37939
2020-07-23,34.84777
2020-07-24,36.9555
2020-07-25,3.98126
2020-07-26,2.10772
2020-07-27,34.05152
2020-07-28,33.02107
2020-07-29,33.44262
2020-07-30,31.75644
2020-07-31,26.97892
2020-08-01,4.30913
2020-08-02,1.40515
2020-08-03,24.16861
2020-08-04,25.90163
2020-08-05,28.10304
2020-08-06,35.17564
2020-08-07,33.67681
2020-08-08,4.12177
2020-08-09,2.34192
2020-08-10,26.97892
2020-08-11,28.85245
2020-08-12,38.92271
2020-08-13,36.06557
2020-08-14,45.76112
2020-08-15,3.88758
2020-08-16,1.49882
2020-08-17,15.36299
2020-08-18,50.02341
2020-08-19,34.14519
2020-08-20,58.96955
2020-08-21,40.46838
2020-08-22,5.15222
2020-08-23,2.90398
2020-08-24,33.81733
2020-08-25,31.38173
2020-08-26,40.93676
2020-08-27,39.43793
2020-08-28,30.77283
2020-08-29,4.59016
2020-08-30,3.09133
2020-08-31,40.65573
2020-09-01,37.47072
2020-09-02,33.58313
2020-09-03,28.24355
2020-09-04,46.37002
2020-09-05,6.37002
2020-09-06,3.88758
2020-09-07,30.53864
2020-09-08,32.27166
2020-09-09,38.7822
2020-09-10,34.28571
2020-09-11,36.11241
2020-09-12,5.43325
2020-09-13,2.43559
2020-09-14,28.89929
2020-09-15,33.20843
2020-09-16,35.17564
2020-09-17,33.11475
2020-09-18,31.28805
2020-09-19,3.32552
2020-09-20,3.65339
2020-09-21,27.96252
2020-09-22,49.13348
2020-09-23,41.45199
2020-09-24,56.53395
2020-09-25,36.01873
2020-09-26,6.18266
2020-09-27,3.13817
2020-09-28,29.03981
2020-09-29,28.61826
2020-09-30,6.74473
2020-10-01,4.77751
2020-10-02,6.37002
2020-10-03,4.49648
2020-10-04,3.37236
2020-10-05,29.74238
2020-10-06,33.02107
2020-10-07,32.36533
2020-10-08,29.69555
2020-10-09,7.91569
2020-10-10,4.40281
2020-10-11,2.01405
2020-10-12,24.21545
2020-10-13,33.58313
2020-10-14,33.02107
2020-10-15,43.37236
2020-10-16,37.93911
2020-10-17,4.91803
2020-10-18,2.57611
2020-10-19,30.67915
2020-10-20,34.80093
2020-10-21,34.00468
2020-10-22,38.36065
2020-10-23,26.51053
2020-10-24,4.40281
2020-10-25,2.57611
2020-10-26,32.36533
2020-10-27,28.80562
2020-10-28,27.77517
2020-10-29,30.72599
2020-10-30,37.04918
2020-10-31,4.59016
2020-11-01,2.62295
2020-11-02,26.55737
2020-11-03,27.07259
2020-11-04,26.4637
2020-11-05,28.38407
2020-11-06,31.4754
2020-11-07,5.43325
2020-11-08,2.24824
2020-11-09,27.35362
2020-11-10,33.58313
2020-11-11,28.71194
2020-11-12,31.4754
2020-11-13,27.72833
2020-11-14,5.10538
2020-11-15,2.10772
2020-11-16,26.08899
2020-11-17,32.55269
2020-11-18,28.19672
2020-11-19,28.85245
2020-11-20,26.4637
2020-11-21,3.51288
2020-11-22,1.92037
2020-11-23,23.88758
2020-11-24,23.27868
2020-11-25,26.4637
2020-11-26,23.55971
2020-11-27,25.66744
2020-11-28,4.40281
2020-11-29,1.96721
2020-11-30,30.77283
2020-12-01,26.65105
2020-12-02,25.90163
2020-12-03,46.13583
2020-12-04,27.02576
2020-12-05,4.16861
2020-12-06,2.62295
2020-12-07,26.18266
2020-12-08,35.03512
2020-12-09,28.00936
2020-12-10,32.55269
2020-12-11,30.25761
2020-12-12,4.54332
2020-12-13,3.4192
2020-12-14,31.52224
2020-12-15,34.70725
2020-12-16,30.53864
2020-12-17,28.19672
2020-12-18,30.44496
2020-12-19,4.91803
2020-12-20,2.76346
2020-12-21,32.88056
2020-12-22,32.64637
2020-12-23,31.85011
2020-12-24,28.33723
2020-12-25,5.90163
2020-12-26,3.65339
2020-12-27,2.90398
2020-12-28,29.69555
2020-12-29,29.46135
2020-12-30,29.92974
2020-12-31,14.61358
2021-01-01,2.66978
2021-01-02,2.90398
2021-01-03,2.85714
2021-01-04,43.74707
2021-01-05,39.67213
2021-01-06,45.71428
2021-01-07,41.73302
2021-01-08,49.97658
2021-01-09,8.99297
2021-01-10,4.26229
2021-01-11,69.13348
2021-01-12,71.42857
2021-01-13,56.06557
2021-01-14,46.74473
2021-01-15,65.90163
2021-01-16,8.52459
2021-01-17,4.54332
2021-01-18,67.49414
2021-01-19,61.45199
2021-01-20,52.97423
2021-01-21,50.58548
2021-01-22,56.25292
2021-01-23,7.68149
2021-01-24,5.29274
2021-01-25,49.92974
2021-01-26,65.94847
2021-01-27,61.17096
2021-01-28,73.34894
2021-01-29,94.5199
2021-01-30,11.7096
2021-01-31,6.08899
2021-02-01,66.60421
2021-02-02,58.03278
2021-02-03,59.1569
2021-02-04,60.56206
2021-02-05,52.97423
2021-02-06,8.14988
2021-02-07,4.54332
2021-02-08,52.13114
2021-02-09,48.57142
2021-02-10,42.29508
2021-02-11,8.0562
2021-02-12,4.73067
2021-02-13,4.77751
2021-02-14,4.07494
2021-02-15,42.24824
2021-02-16,44.59016
2021-02-17,53.95784
2021-02-18,61.68618
2021-02-19,57.51756
2021-02-20,7.72833
2021-02-21,3.79391
2021-02-22,48.0562
2021-02-23,49.64871
2021-02-24,75.1288
2021-02-25,59.81264
2021-02-26,68.75878
2021-02-27,8.71194
2021-02-28,4.07494
2021-03-01,8.94613
2021-03-02,56.81498
2021-03-03,53.25526
2021-03-04,59.29742
2021-03-05,58.7822
2021-03-06,9.274
2021-03-07,5.2459
2021-03-08,59.57845
2021-03-09,67.68149
2021-03-10,64.82435
2021-03-11,59.62529
2021-03-12,52.78688
2021-03-13,11.19437
2021-03-14,5.6206
2021-03-15,50.81967
2021-03-16,50.30444
2021-03-17,50.16393
2021-03-18,50.16393
2021-03-19,52.0843
2021-03-20,8.0562
2021-03-21,5.10538
2021-03-22,44.30913
2021-03-23,54.23887
2021-03-24,51.14754
2021-03-25,47.02576
2021-03-26,43.09133
2021-03-27,7.91569
2021-03-28,4.91803
2021-03-29,43.60655
2021-03-30,42.15456
2021-03-31,48.00936
2021-04-01,40.93676
2021-04-02,42.99765
2021-04-03,6.32318
2021-04-04,3.04449
2021-04-05,45.52693
2021-04-06,46.88524
2021-04-07,44.77751
2021-04-08,43.79391
2021-04-09,42.76346
2021-04-10,6.97892
2021-04-11,3.18501
2021-04-12,40.42154
2021-04-13,44.91803
2021-04-14,41.68618
2021-04-15,42.24824
2021-04-16,45.33957
2021-04-17,9.18032
2021-04-18,2.95081
2021-04-19,43.79391
2021-04-20,43.4192
2021-04-21,61.45199
2021-04-22,46.60421
2021-04-23,47.02576
2021-04-24,7.68149
2021-04-25,2.66978
2021-04-26,36.72131
2021-04-27,42.01405
2021-04-28,51.42857
2021-04-29,48.43091
2021-04-30,46.93208
2021-05-01,6.32318
2021-05-02,3.60655
2021-05-03,47.68149
2021-05-04,43.27868
2021-05-05,11.28805
2021-05-06,44.0281
2021-05-07,39.71896
2021-05-08,5.10538
2021-05-09,2.57611
2021-05-10,39.95316
2021-05-11,60.70257
2021-05-12,66.04215
2021-05-13,61.07728
2021-05-14,53.25526
2021-05-15,6.65105
2021-05-16,3.51288
2021-05-17,51.85011
2021-05-18,45.66744
2021-05-19,10.86651
2021-05-20,46.60421
2021-05-21,48.19672
2021-05-22,7.11943
2021-05-23,3.37236
2021-05-24,47.21311
2021-05-25,41.77985
2021-05-26,43.23185
2021-05-27,45.71428
2021-05-28,39.57845
