date,캠스터디
2020-03-20,30.15873
2020-03-21,28.09523
2020-03-22,25.07936
2020-03-23,22.85714
2020-03-24,21.5873
2020-03-25,21.11111
2020-03-26,23.33333
2020-03-27,27.61904
2020-03-28,17.61904
2020-03-29,22.53968
2020-03-30,24.12698
2020-03-31,27.30158
2020-04-01,29.68253
2020-04-02,25.55555
2020-04-03,22.06349
2020-04-04,19.84126
2020-04-05,21.90476
2020-04-06,26.19047
2020-04-07,23.33333
2020-04-08,26.50793
2020-04-09,21.11111
2020-04-10,23.80952
2020-04-11,18.73015
2020-04-12,17.9365
2020-04-13,19.20634
2020-04-14,18.88888
2020-04-15,15.55555
2020-04-16,20.63492
2020-04-17,20.31746
2020-04-18,19.36507
2020-04-19,20.0
2020-04-20,18.57142
2020-04-21,19.5238
2020-04-22,20.63492
2020-04-23,15.71428
2020-04-24,15.39682
2020-04-25,15.87301
2020-04-26,17.61904
2020-04-27,21.74603
2020-04-28,16.82539
2020-04-29,13.96825
2020-04-30,11.5873
2020-05-01,13.1746
2020-05-02,15.23809
2020-05-03,15.23809
2020-05-04,14.92063
2020-05-05,16.3492
2020-05-06,14.28571
2020-05-07,13.01587
2020-05-08,11.42857
2020-05-09,15.39682
2020-05-10,10.63492
2020-05-11,16.3492
2020-05-12,14.7619
2020-05-13,16.3492
2020-05-14,17.9365
2020-05-15,16.66666
2020-05-16,14.92063
2020-05-17,16.3492
2020-05-18,14.7619
2020-05-19,18.09523
2020-05-20,13.96825
2020-05-21,13.65079
2020-05-22,9.84126
2020-05-23,11.5873
2020-05-24,17.14285
2020-05-25,16.82539
2020-05-26,12.53968
2020-05-27,13.01587
2020-05-28,12.85714
2020-05-29,13.80952
2020-05-30,11.26984
2020-05-31,16.3492
2020-06-01,10.47619
2020-06-02,11.26984
2020-06-03,14.60317
2020-06-04,12.85714
2020-06-05,10.95238
2020-06-06,12.69841
2020-06-07,13.80952
2020-06-08,13.96825
2020-06-09,14.44444
2020-06-10,13.49206
2020-06-11,14.7619
2020-06-12,14.60317
2020-06-13,11.11111
2020-06-14,14.92063
2020-06-15,12.85714
2020-06-16,16.50793
2020-06-17,12.06349
2020-06-18,15.07936
2020-06-19,10.95238
2020-06-20,14.28571
2020-06-21,12.22222
2020-06-22,15.39682
2020-06-23,11.90476
2020-06-24,14.28571
2020-06-25,15.07936
2020-06-26,11.26984
2020-06-27,11.26984
2020-06-28,15.55555
2020-06-29,15.39682
2020-06-30,18.73015
2020-07-01,12.69841
2020-07-02,13.1746
2020-07-03,14.12698
2020-07-04,10.79365
2020-07-05,11.11111
2020-07-06,13.33333
2020-07-07,18.25396
2020-07-08,14.7619
2020-07-09,16.82539
2020-07-10,12.38095
2020-07-11,11.90476
2020-07-12,16.03174
2020-07-13,22.53968
2020-07-14,14.7619
2020-07-15,14.44444
2020-07-16,13.1746
2020-07-17,15.71428
2020-07-18,12.38095
2020-07-19,17.46031
2020-07-20,14.60317
2020-07-21,14.28571
2020-07-22,21.74603
2020-07-23,18.25396
2020-07-24,11.90476
2020-07-25,12.69841
2020-07-26,17.9365
2020-07-27,16.19047
2020-07-28,20.31746
2020-07-29,16.03174
2020-07-30,15.55555
2020-07-31,17.14285
2020-08-01,14.92063
2020-08-02,13.96825
2020-08-03,14.7619
2020-08-04,16.19047
2020-08-05,16.66666
2020-08-06,12.69841
2020-08-07,16.98412
2020-08-08,11.74603
2020-08-09,16.3492
2020-08-10,13.96825
2020-08-11,16.82539
2020-08-12,15.07936
2020-08-13,16.98412
2020-08-14,13.1746
2020-08-15,14.28571
2020-08-16,12.53968
2020-08-17,13.96825
2020-08-18,23.65079
2020-08-19,26.50793
2020-08-20,26.66666
2020-08-21,34.92063
2020-08-22,30.95238
2020-08-23,36.98412
2020-08-24,38.73015
2020-08-25,33.49206
2020-08-26,28.09523
2020-08-27,29.36507
2020-08-28,79.84126
2020-08-29,60.15873
2020-08-30,71.42857
2020-08-31,74.60317
2020-09-01,51.42857
2020-09-02,52.53968
2020-09-03,50.31746
2020-09-04,53.49206
2020-09-05,46.98412
2020-09-06,44.28571
2020-09-07,46.98412
2020-09-08,36.3492
2020-09-09,36.03174
2020-09-10,34.60317
2020-09-11,33.96825
2020-09-12,28.88888
2020-09-13,31.90476
2020-09-14,36.66666
2020-09-15,25.87301
