date,일용직퇴직금
2020-03-20,50.39682
2020-03-21,32.34126
2020-03-22,30.35714
2020-03-23,50.19841
2020-03-24,58.33333
2020-03-25,61.50793
2020-03-26,54.7619
2020-03-27,45.83333
2020-03-28,31.54761
2020-03-29,30.55555
2020-03-30,61.50793
2020-03-31,58.33333
2020-04-01,55.75396
2020-04-02,52.38095
2020-04-03,56.15079
2020-04-04,29.36507
2020-04-05,24.60317
2020-04-06,54.96031
2020-04-07,49.40476
2020-04-08,51.38888
2020-04-09,41.66666
2020-04-10,43.25396
2020-04-11,30.55555
2020-04-12,25.0
2020-04-13,64.68253
2020-04-14,53.76984
2020-04-15,29.16666
2020-04-16,47.0238
2020-04-17,47.61904
2020-04-18,31.15079
2020-04-19,27.97619
2020-04-20,59.72222
2020-04-21,56.3492
2020-04-22,62.30158
2020-04-23,47.22222
2020-04-24,40.27777
2020-04-25,25.19841
2020-04-26,24.80158
2020-04-27,57.73809
2020-04-28,50.0
2020-04-29,53.57142
2020-04-30,36.30952
2020-05-01,31.54761
2020-05-02,25.0
2020-05-03,26.78571
2020-05-04,43.05555
2020-05-05,28.1746
2020-05-06,45.63492
2020-05-07,49.60317
2020-05-08,40.27777
2020-05-09,27.38095
2020-05-10,27.57936
2020-05-11,53.76984
2020-05-12,50.79365
2020-05-13,49.20634
2020-05-14,51.78571
2020-05-15,42.65873
2020-05-16,25.19841
2020-05-17,24.60317
2020-05-18,55.55555
2020-05-19,52.77777
2020-05-20,47.0238
2020-05-21,50.39682
2020-05-22,38.29365
2020-05-23,30.35714
2020-05-24,21.62698
2020-05-25,51.78571
2020-05-26,48.01587
2020-05-27,47.61904
2020-05-28,39.28571
2020-05-29,47.61904
2020-05-30,27.38095
2020-05-31,26.98412
2020-06-01,54.7619
2020-06-02,51.19047
2020-06-03,44.24603
2020-06-04,46.03174
2020-06-05,47.61904
2020-06-06,30.95238
2020-06-07,32.14285
2020-06-08,56.54761
2020-06-09,48.41269
2020-06-10,58.13492
2020-06-11,43.05555
2020-06-12,43.05555
2020-06-13,27.97619
2020-06-14,25.19841
2020-06-15,65.47619
2020-06-16,50.99206
2020-06-17,52.57936
2020-06-18,45.63492
2020-06-19,44.04761
2020-06-20,25.99206
2020-06-21,26.38888
2020-06-22,46.82539
2020-06-23,49.20634
2020-06-24,46.82539
2020-06-25,46.62698
2020-06-26,46.23015
2020-06-27,28.1746
2020-06-28,29.7619
2020-06-29,46.62698
2020-06-30,62.89682
2020-07-01,54.96031
2020-07-02,43.05555
2020-07-03,44.84126
2020-07-04,19.04761
2020-07-05,24.80158
2020-07-06,48.41269
2020-07-07,50.59523
2020-07-08,48.61111
2020-07-09,39.0873
2020-07-10,42.46031
2020-07-11,20.23809
2020-07-12,22.22222
2020-07-13,43.8492
2020-07-14,45.03968
2020-07-15,45.03968
2020-07-16,37.10317
2020-07-17,42.06349
2020-07-18,21.82539
2020-07-19,19.64285
2020-07-20,49.00793
2020-07-21,37.69841
2020-07-22,43.05555
2020-07-23,42.2619
2020-07-24,40.07936
2020-07-25,25.39682
2020-07-26,20.83333
2020-07-27,46.23015
2020-07-28,44.04761
2020-07-29,49.60317
2020-07-30,39.48412
2020-07-31,37.5
2020-08-01,25.19841
2020-08-02,18.45238
2020-08-03,43.8492
2020-08-04,36.50793
2020-08-05,44.84126
2020-08-06,36.70634
2020-08-07,32.53968
2020-08-08,20.63492
2020-08-09,19.44444
2020-08-10,53.1746
2020-08-11,47.61904
2020-08-12,42.2619
2020-08-13,37.10317
2020-08-14,31.94444
2020-08-15,20.03968
2020-08-16,19.44444
2020-08-17,29.56349
2020-08-18,43.8492
2020-08-19,38.29365
2020-08-20,46.03174
2020-08-21,43.25396
2020-08-22,25.79365
2020-08-23,19.04761
2020-08-24,50.0
2020-08-25,48.21428
2020-08-26,46.42857
2020-08-27,46.62698
2020-08-28,43.8492
2020-08-29,23.61111
2020-08-30,30.15873
2020-08-31,53.76984
2020-09-01,50.19841
2020-09-02,43.25396
2020-09-03,43.45238
2020-09-04,41.07142
2020-09-05,24.20634
2020-09-06,21.62698
2020-09-07,59.12698
2020-09-08,46.82539
2020-09-09,37.30158
2020-09-10,57.9365
2020-09-11,42.65873
2020-09-12,20.63492
2020-09-13,20.23809
2020-09-14,44.84126
2020-09-15,39.28571
2020-09-16,44.04761
2020-09-17,43.25396
2020-09-18,41.66666
