date,상장예정주식
2020-03-25,2.24215
2020-03-27,2.69058
2020-03-31,2.24215
2020-04-15,2.24215
2020-05-01,2.69058
2020-05-13,2.69058
2020-05-17,2.24215
2020-05-19,5.38116
2020-05-20,7.62331
2020-05-21,2.69058
2020-05-22,4.4843
2020-05-23,3.58744
2020-05-24,3.13901
2020-05-25,10.76233
2020-05-26,5.82959
2020-05-27,8.07174
2020-05-29,2.69058
2020-06-04,2.69058
2020-06-05,6.27802
2020-06-06,3.13901
2020-06-07,3.13901
2020-06-08,8.52017
2020-06-09,9.86547
2020-06-10,12.55605
2020-06-11,8.07174
2020-06-12,5.38116
2020-06-13,4.4843
2020-06-14,4.4843
2020-06-15,8.07174
2020-06-16,5.82959
2020-06-17,10.76233
2020-06-18,8.07174
2020-06-19,2.24215
2020-06-20,2.24215
2020-06-21,7.17488
2020-06-22,9.86547
2020-06-23,14.34977
2020-06-24,12.55605
2020-06-25,5.38116
2020-06-26,4.03587
2020-06-29,4.4843
2020-06-30,3.58744
2020-07-02,16.14349
2020-07-03,12.10762
2020-07-04,3.58744
2020-07-05,7.17488
2020-07-06,10.76233
2020-07-07,2.24215
2020-07-08,3.13901
2020-07-09,3.58744
2020-07-13,8.9686
2020-07-14,6.27802
2020-07-15,7.17488
2020-07-16,6.27802
2020-07-19,3.58744
2020-07-22,2.24215
2020-07-29,3.58744
2020-07-30,3.58744
2020-08-03,5.38116
2020-08-04,2.69058
2020-08-05,2.24215
2020-08-06,2.24215
2020-08-07,4.93273
2020-08-08,4.03587
2020-08-12,2.24215
2020-08-14,6.27802
2020-08-20,4.03587
2020-08-25,2.69058
2020-08-27,3.58744
2020-08-28,4.03587
2020-08-29,3.58744
2020-08-30,2.24215
2020-09-01,2.69058
2020-09-02,8.9686
2020-09-03,6.27802
2020-09-09,2.69058
2020-09-10,5.82959
2020-09-11,4.03587
2020-09-12,2.24215
2020-09-13,3.13901
2020-09-15,2.69058
2020-09-16,5.38116
2020-09-30,2.24215
2020-10-06,2.24215
2020-10-07,2.24215
2020-10-12,4.03587
2020-10-15,6.72645
2020-10-16,2.69058
2020-10-19,2.69058
2020-11-04,3.13901
2020-11-05,2.69058
2020-11-06,2.24215
2020-11-07,4.03587
2020-11-09,2.24215
2020-11-10,4.03587
2020-11-12,5.82959
2020-11-13,2.24215
2020-11-17,5.38116
2020-11-18,4.93273
2020-11-20,2.69058
2020-11-26,2.24215
2020-11-27,2.24215
2020-12-09,3.13901
2020-12-10,2.24215
2020-12-11,2.24215
2020-12-15,2.24215
2020-12-16,2.24215
2020-12-18,3.58744
2020-12-19,2.24215
2020-12-21,2.69058
2020-12-22,6.27802
2020-12-23,7.17488
2020-12-26,2.69058
2021-01-03,2.69058
2021-01-04,3.58744
2021-01-07,6.27802
2021-01-13,2.24215
2021-01-14,2.69058
2021-01-20,2.24215
2021-01-21,3.13901
2021-01-26,2.24215
2021-01-28,4.03587
2021-02-03,2.24215
2021-02-05,3.58744
2021-02-08,2.24215
2021-02-15,7.17488
2021-02-16,2.24215
2021-02-17,3.58744
2021-03-10,4.03587
2021-03-11,2.69058
2021-03-12,6.72645
2021-03-13,5.82959
2021-03-15,2.24215
2021-03-16,6.72645
2021-03-17,4.4843
2021-03-18,17.93721
2021-03-19,11.65919
2021-03-21,4.4843
2021-03-22,6.72645
2021-03-23,5.82959
2021-03-24,3.13901
2021-03-26,3.13901
2021-03-27,3.58744
2021-03-28,2.24215
2021-03-29,2.24215
2021-03-30,5.38116
2021-04-01,2.69058
2021-04-02,4.93273
2021-04-03,2.24215
2021-04-04,2.24215
2021-04-05,3.13901
2021-04-06,2.69058
2021-04-07,2.69058
2021-04-10,3.13901
2021-04-11,3.13901
2021-04-12,2.24215
2021-04-13,5.38116
2021-04-14,4.4843
2021-04-15,3.58744
2021-04-16,4.4843
2021-04-17,4.03587
2021-04-19,2.24215
2021-04-20,6.27802
2021-04-21,11.65919
2021-04-22,13.45291
2021-04-23,11.21076
2021-04-24,8.07174
2021-04-25,2.24215
2021-04-26,13.45291
2021-04-27,17.93721
2021-04-28,10.3139
2021-04-29,9.41704
2021-04-30,5.82959
2021-05-01,3.13901
2021-05-03,11.21076
2021-05-04,3.13901
2021-05-05,4.03587
2021-05-06,3.13901
2021-05-10,10.3139
2021-05-11,6.27802
2021-05-16,2.69058
2021-05-17,3.58744
2021-05-20,7.17488
2021-05-21,7.17488
2021-05-22,3.58744
2021-05-24,5.38116
2021-05-25,8.07174
2021-05-26,11.65919
2021-05-27,3.58744
2021-05-28,4.03587
2021-05-31,3.58744
2021-06-01,2.69058
2021-06-02,3.13901
2021-06-05,2.69058
2021-06-09,3.58744
2021-06-16,2.24215
2021-06-17,3.13901
2021-06-18,2.69058
2021-06-19,3.13901
2021-06-20,4.4843
2021-06-22,4.4843
2021-06-24,2.69058
2021-06-25,4.03587
2021-06-26,2.24215
2021-06-28,4.03587
2021-06-29,5.82959
2021-06-30,8.9686
2021-07-01,7.17488
2021-07-02,2.24215
2021-07-03,3.58744
2021-07-04,2.24215
2021-07-05,2.24215
2021-07-06,5.38116
2021-07-07,2.24215
2021-07-09,2.69058
2021-07-12,5.82959
2021-07-13,9.41704
2021-07-14,4.4843
2021-07-15,2.24215
2021-07-17,3.13901
2021-07-18,2.24215
2021-07-19,6.72645
2021-07-20,4.93273
2021-07-21,5.82959
2021-07-23,8.52017
