date,상속전문변호사
2020-03-20,11.79361
2020-03-21,4.4226
2020-03-22,6.6339
2020-03-23,12.28501
2020-03-24,13.02211
2020-03-25,14.00491
2020-03-26,13.51351
2020-03-27,9.828
2020-03-28,6.1425
2020-03-29,2.7027
2020-03-30,7.371
2020-03-31,14.25061
2020-04-01,18.42751
2020-04-02,14.25061
2020-04-03,9.828
2020-04-04,7.1253
2020-04-05,6.6339
2020-04-06,11.79361
2020-04-07,18.42751
2020-04-08,16.21621
2020-04-09,13.51351
2020-04-10,16.21621
2020-04-11,4.1769
2020-04-12,7.371
2020-04-13,16.95331
2020-04-14,9.3366
2020-04-15,5.6511
2020-04-16,8.1081
2020-04-17,14.98771
2020-04-18,7.371
2020-04-19,11.79361
2020-04-20,12.03931
2020-04-21,16.46191
2020-04-22,12.03931
2020-04-23,9.0909
2020-04-24,13.51351
2020-04-25,7.371
2020-04-26,9.5823
2020-04-27,16.21621
2020-04-28,19.16461
2020-04-29,16.70761
2020-04-30,4.4226
2020-05-01,7.1253
2020-05-02,1.7199
2020-05-03,3.6855
2020-05-04,10.81081
2020-05-05,9.3366
2020-05-06,18.42751
2020-05-07,11.79361
2020-05-08,12.03931
2020-05-09,4.4226
2020-05-10,6.6339
2020-05-11,11.54791
2020-05-12,16.21621
2020-05-13,20.39312
2020-05-14,11.05651
2020-05-15,16.95331
2020-05-16,5.1597
2020-05-17,6.1425
2020-05-18,13.51351
2020-05-19,16.46191
2020-05-20,14.00491
2020-05-21,18.18181
2020-05-22,10.31941
2020-05-23,5.8968
2020-05-24,8.8452
2020-05-25,15.72481
2020-05-26,10.07371
2020-05-27,14.74201
2020-05-28,9.3366
2020-05-29,8.1081
2020-05-30,2.457
2020-05-31,3.4398
2020-06-01,10.81081
2020-06-02,7.8624
2020-06-03,10.81081
2020-06-04,11.30221
2020-06-05,8.8452
2020-06-06,5.6511
2020-06-07,7.1253
2020-06-08,11.30221
2020-06-09,14.98771
2020-06-10,15.72481
2020-06-11,21.13022
2020-06-12,12.03931
2020-06-13,6.3882
2020-06-14,4.6683
2020-06-15,17.69041
2020-06-16,13.26781
2020-06-17,12.53071
2020-06-18,12.03931
2020-06-19,14.49631
2020-06-20,9.828
2020-06-21,7.8624
2020-06-22,13.51351
2020-06-23,12.28501
2020-06-24,10.81081
2020-06-25,14.25061
2020-06-26,15.47911
2020-06-27,7.6167
2020-06-28,5.6511
2020-06-29,14.49631
2020-06-30,16.95331
2020-07-01,14.49631
2020-07-02,9.828
2020-07-03,8.3538
2020-07-04,2.9484
2020-07-05,5.4054
2020-07-06,14.25061
2020-07-07,14.00491
2020-07-08,16.46191
2020-07-09,17.93611
2020-07-10,10.31941
2020-07-11,7.8624
2020-07-12,5.1597
2020-07-13,21.62162
2020-07-14,13.26781
2020-07-15,19.41031
2020-07-16,14.98771
2020-07-17,11.05651
2020-07-18,4.6683
2020-07-19,3.4398
2020-07-20,14.74201
2020-07-21,18.18181
2020-07-22,16.95331
2020-07-23,20.88452
2020-07-24,14.00491
2020-07-25,6.3882
2020-07-26,9.828
2020-07-27,15.97051
2020-07-28,16.46191
2020-07-29,12.77641
2020-07-30,16.70761
2020-07-31,14.98771
2020-08-01,6.6339
2020-08-02,6.8796
2020-08-03,17.44471
2020-08-04,14.49631
2020-08-05,12.77641
2020-08-06,8.5995
2020-08-07,7.6167
2020-08-08,4.1769
2020-08-09,8.8452
2020-08-10,17.19901
2020-08-11,12.28501
2020-08-12,16.21621
2020-08-13,11.54791
2020-08-14,7.8624
2020-08-15,3.1941
2020-08-16,6.8796
2020-08-17,11.30221
2020-08-18,13.02211
2020-08-19,14.00491
2020-08-20,13.02211
2020-08-21,16.70761
2020-08-22,6.3882
2020-08-23,6.3882
2020-08-24,20.14742
2020-08-25,12.53071
2020-08-26,11.54791
2020-08-27,10.81081
2020-08-28,12.03931
2020-08-29,2.9484
2020-08-30,5.1597
2020-08-31,10.07371
2020-09-01,9.0909
2020-09-02,5.1597
2020-09-03,12.28501
2020-09-04,13.26781
2020-09-05,7.6167
2020-09-06,1.9656
2020-09-07,15.97051
2020-09-08,7.8624
2020-09-09,20.14742
2020-09-10,14.25061
2020-09-11,11.79361
2020-09-12,2.9484
2020-09-13,4.914
2020-09-14,11.54791
2020-09-15,11.79361
2020-09-16,13.02211
2020-09-17,11.30221
2020-09-18,10.56511
2020-09-19,5.8968
2020-09-20,5.4054
2020-09-21,20.88452
2020-09-22,9.828
2020-09-23,9.828
2020-09-24,10.56511
2020-09-25,5.8968
2020-09-26,5.8968
2020-09-27,4.6683
2020-09-28,7.1253
2020-09-29,5.8968
2020-09-30,3.6855
2020-10-01,2.7027
2020-10-02,4.6683
2020-10-03,8.8452
2020-10-04,10.56511
2020-10-05,17.44471
2020-10-06,16.21621
2020-10-07,14.98771
2020-10-08,14.00491
2020-10-09,5.6511
2020-10-10,4.6683
2020-10-11,5.1597
2020-10-12,13.75921
2020-10-13,22.35872
2020-10-14,12.53071
2020-10-15,11.30221
2020-10-16,14.00491
2020-10-17,6.8796
2020-10-18,11.05651
2020-10-19,27.76412
2020-10-20,16.21621
2020-10-21,17.93611
2020-10-22,22.85012
2020-10-23,17.19901
2020-10-24,6.3882
2020-10-25,8.3538
2020-10-26,19.65601
2020-10-27,19.65601
2020-10-28,22.85012
2020-10-29,17.93611
2020-10-30,11.30221
2020-10-31,6.8796
2020-11-01,11.30221
2020-11-02,15.72481
2020-11-03,15.23341
2020-11-04,14.98771
2020-11-05,10.31941
2020-11-06,11.79361
2020-11-07,4.1769
2020-11-08,9.5823
2020-11-09,15.23341
2020-11-10,9.828
2020-11-11,21.13022
2020-11-12,16.95331
2020-11-13,14.00491
2020-11-14,5.8968
2020-11-15,7.1253
2020-11-16,11.30221
2020-11-17,10.31941
2020-11-18,14.49631
2020-11-19,8.8452
2020-11-20,6.3882
2020-11-21,5.6511
2020-11-22,5.4054
2020-11-23,14.25061
2020-11-24,10.56511
2020-11-25,14.25061
2020-11-26,11.05651
2020-11-27,15.47911
2020-11-28,9.0909
2020-11-29,5.1597
2020-11-30,14.98771
2020-12-01,11.05651
2020-12-02,11.79361
2020-12-03,14.49631
2020-12-04,14.98771
2020-12-05,7.6167
2020-12-06,4.1769
2020-12-07,8.3538
2020-12-08,8.5995
2020-12-09,9.828
2020-12-10,11.79361
2020-12-11,10.81081
2020-12-12,6.3882
2020-12-13,6.6339
2020-12-14,12.77641
2020-12-15,11.54791
2020-12-16,14.49631
2020-12-17,10.31941
2020-12-18,5.8968
2020-12-19,6.1425
2020-12-20,3.4398
2020-12-21,17.19901
2020-12-22,11.30221
2020-12-23,11.54791
2020-12-24,8.3538
2020-12-25,5.4054
2020-12-26,2.457
2020-12-27,7.8624
2020-12-28,13.51351
2020-12-29,12.28501
2020-12-30,10.31941
2020-12-31,9.0909
2021-01-01,2.9484
2021-01-02,3.6855
2021-01-03,4.1769
2021-01-04,14.25061
2021-01-05,8.1081
2021-01-06,18.18181
2021-01-07,17.93611
2021-01-08,18.42751
2021-01-09,3.1941
2021-01-10,8.3538
2021-01-11,21.62162
2021-01-12,16.46191
2021-01-13,22.11302
2021-01-14,14.49631
2021-01-15,16.70761
2021-01-16,6.6339
2021-01-17,10.07371
2021-01-18,23.09582
2021-01-19,16.70761
2021-01-20,20.88452
2021-01-21,16.95331
2021-01-22,15.72481
2021-01-23,5.8968
2021-01-24,8.8452
2021-01-25,19.65601
