date,선물만기일
2020-03-20,11.75523
2020-03-21,6.49023
2020-03-22,3.68269
2020-03-23,5.8111
2020-03-24,4.87292
2020-03-25,5.01295
2020-03-26,4.7399
2020-03-27,5.307
2020-03-28,2.97556
2020-03-29,2.61149
2020-03-30,4.57186
2020-03-31,6.16117
2020-04-01,7.44941
2020-04-02,9.44479
2020-04-03,10.88706
2020-04-04,9.42379
2020-04-05,10.61401
2020-04-06,23.09038
2020-04-07,23.76951
2020-04-08,48.03612
2020-04-09,39.58552
2020-04-10,12.07029
2020-04-11,3.80872
2020-04-12,2.79353
2020-04-13,5.69908
2020-04-14,4.47385
2020-04-15,3.82972
2020-04-16,4.03976
2020-04-17,7.71546
2020-04-18,3.93474
2020-04-19,3.36063
2020-04-20,6.16817
2020-04-21,17.27928
2020-04-22,10.0049
2020-04-23,5.37702
2020-04-24,4.03276
2020-04-25,2.32444
2020-04-26,2.42246
2020-04-27,4.90093
2020-04-28,5.98613
2020-04-29,9.74585
2020-04-30,7.62444
2020-05-01,8.68164
2020-05-02,1.81334
2020-05-03,1.98137
2020-05-04,4.94994
2020-05-05,3.03857
2020-05-06,6.41321
2020-05-07,6.60225
2020-05-08,4.17979
2020-05-09,2.35944
2020-05-10,1.98137
2020-05-11,5.01995
2020-05-12,8.56962
2020-05-13,14.63278
2020-05-14,22.91535
2020-05-15,7.35139
2020-05-16,1.97437
2020-05-17,1.6313
2020-05-18,3.03857
2020-05-19,4.18679
2020-05-20,3.38864
2020-05-21,2.96156
2020-05-22,3.03157
2020-05-23,1.24623
2020-05-24,1.31625
2020-05-25,3.45165
2020-05-26,4.59287
2020-05-27,3.94174
2020-05-28,5.08296
2020-05-29,4.95694
2020-05-30,2.26142
2020-05-31,2.47146
2020-06-01,5.53805
2020-06-02,6.19617
2020-06-03,14.15668
2020-06-04,12.44136
2020-06-05,16.13806
2020-06-06,7.46341
2020-06-07,7.25337
2020-06-08,17.52432
2020-06-09,28.07533
2020-06-10,41.91696
2020-06-11,100.0
2020-06-12,25.00175
2020-06-13,5.44703
2020-06-14,3.85073
2020-06-15,12.79143
2020-06-16,9.06672
2020-06-17,8.53462
2020-06-18,12.43436
2020-06-19,9.24875
2020-06-20,2.45046
2020-06-21,1.50528
2020-06-22,2.19841
2020-06-23,1.93236
2020-06-24,2.87754
2020-06-25,3.40964
2020-06-26,2.51347
2020-06-27,1.31625
2020-06-28,0.94517
2020-06-29,2.76552
2020-06-30,2.52748
2020-07-01,3.43065
2020-07-02,5.25099
2020-07-03,5.12497
2020-07-04,2.55548
2020-07-05,2.54848
2020-07-06,9.00371
2020-07-07,15.16488
2020-07-08,30.41377
2020-07-09,26.82909
2020-07-10,7.16936
2020-07-11,1.82034
2020-07-12,1.49828
2020-07-13,2.89154
2020-07-14,3.30462
2020-07-15,3.15759
2020-07-16,6.98732
2020-07-17,4.03276
2020-07-18,1.30924
2020-07-19,0.95918
2020-07-20,1.68732
2020-07-21,2.08639
2020-07-22,2.48547
2020-07-23,3.01757
2020-07-24,2.6325
2020-07-25,1.5823
2020-07-26,1.0642
2020-07-27,1.95337
2020-07-28,4.59287
2020-07-29,4.7679
2020-07-30,4.39683
2020-07-31,5.51704
2020-08-01,2.07939
2020-08-02,1.6033
2020-08-03,3.85073
2020-08-04,4.2218
2020-08-05,5.72008
2020-08-06,6.44122
2020-08-07,8.35958
2020-08-08,4.41783
2020-08-09,3.98375
2020-08-10,11.93726
2020-08-11,17.77637
2020-08-12,77.04963
2020-08-13,60.07141
2020-08-14,23.82552
2020-08-15,5.02695
2020-08-16,3.10158
2020-08-17,3.99775
2020-08-18,5.14597
2020-08-19,3.54267
2020-08-20,10.43198
2020-08-21,5.74109
2020-08-22,3.11559
2020-08-23,2.17041
2020-08-24,3.52166
2020-08-25,4.27081
2020-08-26,4.50185
2020-08-27,6.02814
2020-08-28,4.97094
2020-08-29,2.6605
2020-08-30,3.1926
2020-08-31,10.29895
2020-09-01,8.33158
2020-09-02,12.60239
2020-09-03,15.19288
2020-09-04,22.6773
2020-09-05,10.25694
2020-09-06,10.572
2020-09-07,27.84429
2020-09-08,54.29531
2020-09-09,75.3133
2020-09-10,40.18763
2020-09-11,10.41097
2020-09-12,3.00357
2020-09-13,2.10039
2020-09-14,4.26381
2020-09-15,4.70489
2020-09-16,6.06315
2020-09-17,12.6444
2020-09-18,6.8893
2020-09-19,2.22642
2020-09-20,1.33725
2020-09-21,3.52166
2020-09-22,3.78071
2020-09-23,4.94293
2020-09-24,5.279
2020-09-25,4.42484
2020-09-26,1.6033
2020-09-27,1.25323
2020-09-28,3.06658
2020-09-29,3.12259
2020-09-30,1.77833
2020-10-01,1.23223
2020-10-02,1.52628
2020-10-03,1.31625
2020-10-04,1.26023
2020-10-05,6.37121
2020-10-06,8.88468
2020-10-07,14.83581
2020-10-08,18.86858
2020-10-09,2.86354
2020-10-10,1.64531
2020-10-11,1.22523
2020-10-12,3.02457
2020-10-13,4.17979
2020-10-14,4.80991
2020-10-15,10.0049
2020-10-16,4.50885
2020-10-17,1.33725
2020-10-18,0.77714
2020-10-19,1.49128
2020-10-20,1.54029
2020-10-21,1.24623
2020-10-22,2.39445
2020-10-23,1.20422
2020-10-24,0.42708
2020-10-25,0.41307
2020-10-26,1.26724
2020-10-27,1.16922
2020-10-28,1.73632
2020-10-29,2.1214
2020-10-30,2.17041
2020-10-31,0.76314
2020-11-01,0.65812
