date,적금추천
2020-03-20,13.41485
2020-03-21,8.39569
2020-03-22,8.52345
2020-03-23,12.84906
2020-03-24,13.12283
2020-03-25,18.26975
2020-03-26,16.53586
2020-03-27,13.72513
2020-03-28,7.77514
2020-03-29,8.94323
2020-03-30,15.07574
2020-03-31,14.23617
2020-04-01,14.34568
2020-04-02,11.27943
2020-04-03,10.11133
2020-04-04,6.00474
2020-04-05,7.82989
2020-04-06,12.04599
2020-04-07,10.11133
2020-04-08,10.75013
2020-04-09,10.27559
2020-04-10,11.93648
2020-04-11,7.57437
2020-04-12,8.81547
2020-04-13,11.93648
2020-04-14,10.96915
2020-04-15,8.5782
2020-04-16,10.84139
2020-04-17,11.29768
2020-04-18,7.44661
2020-04-19,8.97974
2020-04-20,12.94031
2020-04-21,14.09016
2020-04-22,11.24292
2020-04-23,11.60795
2020-04-24,13.3601
2020-04-25,8.12192
2020-04-26,8.23142
2020-04-27,13.37835
2020-04-28,11.44369
2020-04-29,10.20259
2020-04-30,7.26409
2020-05-01,8.17667
2020-05-02,6.15075
2020-05-03,6.93557
2020-05-04,12.46577
2020-05-05,9.25351
2020-05-06,11.42544
2020-05-07,10.49461
2020-05-08,10.54937
2020-05-09,5.82223
2020-05-10,7.59262
2020-05-11,11.24292
2020-05-12,11.15167
2020-05-13,10.51286
2020-05-14,8.92498
2020-05-15,8.37744
2020-05-16,5.18342
2020-05-17,6.68005
2020-05-18,11.16992
2020-05-19,10.23909
2020-05-20,10.25734
2020-05-21,10.4216
2020-05-22,9.05274
2020-05-23,5.98649
2020-05-24,6.66179
2020-05-25,12.99507
2020-05-26,11.82697
2020-05-27,9.16225
2020-05-28,8.79722
2020-05-29,8.55995
2020-05-30,5.78572
2020-05-31,6.95382
2020-06-01,10.64062
2020-06-02,9.87406
2020-06-03,9.1805
2020-06-04,8.63296
2020-06-05,8.85198
2020-06-06,5.87698
2020-06-07,5.98649
2020-06-08,10.09308
2020-06-09,9.08924
2020-06-10,10.33035
2020-06-11,8.59645
2020-06-12,7.64738
2020-06-13,5.07391
2020-06-14,5.85873
2020-06-15,9.52728
2020-06-16,9.98357
2020-06-17,8.34093
2020-06-18,7.82989
2020-06-19,7.41011
2020-06-20,4.61763
2020-06-21,5.82223
2020-06-22,8.5417
2020-06-23,7.92115
2020-06-24,7.77514
2020-06-25,11.24292
2020-06-26,9.01624
2020-06-27,4.43511
2020-06-28,5.07391
2020-06-29,9.01624
2020-06-30,9.58204
2020-07-01,9.34477
2020-07-02,8.23142
2020-07-03,7.28235
2020-07-04,4.21609
2020-07-05,5.76747
2020-07-06,10.12958
2020-07-07,8.87023
2020-07-08,8.5052
2020-07-09,8.43219
2020-07-10,9.1805
2020-07-11,5.36594
2020-07-12,6.84431
2020-07-13,9.58204
2020-07-14,8.19492
2020-07-15,10.51286
2020-07-16,8.35918
2020-07-17,7.61087
2020-07-18,4.67238
2020-07-19,4.74539
2020-07-20,10.3851
2020-07-21,9.144
2020-07-22,8.30443
2020-07-23,8.21317
2020-07-24,8.55995
2020-07-25,4.47161
2020-07-26,6.169
2020-07-27,9.65504
2020-07-28,9.49078
2020-07-29,9.25351
2020-07-30,7.48311
2020-07-31,8.15842
2020-08-01,4.98266
2020-08-02,5.78572
2020-08-03,7.84814
2020-08-04,7.68388
2020-08-05,8.70596
2020-08-06,8.30443
2020-08-07,7.53787
2020-08-08,4.39861
2020-08-09,5.03741
2020-08-10,10.47636
2020-08-11,9.01624
2020-08-12,8.37744
2020-08-13,7.57437
2020-08-14,7.02682
2020-08-15,4.08833
2020-08-16,5.01916
2020-08-17,5.73097
2020-08-18,8.70596
2020-08-19,9.07099
2020-08-20,9.47253
2020-08-21,8.06716
2020-08-22,5.47545
2020-08-23,6.33327
2020-08-24,9.7828
2020-08-25,12.26501
2020-08-26,10.14783
2020-08-27,9.45427
2020-08-28,7.35535
2020-08-29,6.096
2020-08-30,6.35152
2020-08-31,9.92881
2020-09-01,10.84139
2020-09-02,9.60029
2020-09-03,7.66563
2020-09-04,6.99032
2020-09-05,4.9279
2020-09-06,6.22376
2020-09-07,10.05657
2020-09-08,9.76455
2020-09-09,7.68388
2020-09-10,8.85198
2020-09-11,7.9394
2020-09-12,5.09217
2020-09-13,5.31118
2020-09-14,8.43219
2020-09-15,8.03066
2020-09-16,9.52728
2020-09-17,7.35535
2020-09-18,7.09983
2020-09-19,4.81839
2020-09-20,5.03741
2020-09-21,8.59645
2020-09-22,7.59262
2020-09-23,8.55995
2020-09-24,7.11808
2020-09-25,8.81547
2020-09-26,5.40244
2020-09-27,5.74922
2020-09-28,8.41394
2020-09-29,8.5052
2020-09-30,4.9279
2020-10-01,5.34769
2020-10-02,4.56287
2020-10-03,5.00091
2020-10-04,6.20551
2020-10-05,10.93265
2020-10-06,9.27176
2020-10-07,7.55612
2020-10-08,7.44661
2020-10-09,4.16134
2020-10-10,3.77806
2020-10-11,4.78189
2020-10-12,8.01241
2020-10-13,7.99415
2020-10-14,8.14017
2020-10-15,8.5782
2020-10-16,6.60704
2020-10-17,3.66855
2020-10-18,4.2891
2020-10-19,7.79339
2020-10-20,9.07099
2020-10-21,9.30826
2020-10-22,7.3006
2020-10-23,8.46869
2020-10-24,4.65413
2020-10-25,5.36594
2020-10-26,7.92115
2020-10-27,9.19875
2020-10-28,8.88848
2020-10-29,7.15459
2020-10-30,6.95382
2020-10-31,4.10658
2020-11-01,5.74922
2020-11-02,8.92498
2020-11-03,7.08158
2020-11-04,6.26026
2020-11-05,7.86639
2020-11-06,6.7713
2020-11-07,4.59937
2020-11-08,5.73097
2020-11-09,8.46869
2020-11-10,10.11133
2020-11-11,7.70213
2020-11-12,6.84431
2020-11-13,6.58879
2020-11-14,4.58112
2020-11-15,5.36594
2020-11-16,8.48695
2020-11-17,8.5782
2020-11-18,7.99415
2020-11-19,7.46486
2020-11-20,7.53787
2020-11-21,5.54845
2020-11-22,6.47928
2020-11-23,8.72421
2020-11-24,8.46869
2020-11-25,9.76455
2020-11-26,9.34477
2020-11-27,6.88081
2020-11-28,4.50812
2020-11-29,6.64354
2020-11-30,9.16225
2020-12-01,10.29384
2020-12-02,10.64062
2020-12-03,9.12575
2020-12-04,6.75305
2020-12-05,5.51195
2020-12-06,6.46103
2020-12-07,8.48695
2020-12-08,8.10366
2020-12-09,9.36302
2020-12-10,11.09691
2020-12-11,9.23526
2020-12-12,5.73097
2020-12-13,6.46103
2020-12-14,8.87023
2020-12-15,10.07483
2020-12-16,8.59645
2020-12-17,8.99799
2020-12-18,8.41394
2020-12-19,5.65796
2020-12-20,7.42836
2020-12-21,9.69154
2020-12-22,8.88848
2020-12-23,9.34477
2020-12-24,8.90673
2020-12-25,7.20934
2020-12-26,7.79339
2020-12-27,9.49078
2020-12-28,14.25442
2020-12-29,12.2285
2020-12-30,11.99123
2020-12-31,10.80489
2021-01-01,10.54937
2021-01-02,11.15167
2021-01-03,13.32359
2021-01-04,16.82788
2021-01-05,16.93739
2021-01-06,14.61945
2021-01-07,11.33418
2021-01-08,11.26117
2021-01-09,7.79339
2021-01-10,10.51286
2021-01-11,13.88939
2021-01-12,12.50228
2021-01-13,11.66271
2021-01-14,12.2285
2021-01-15,12.04599
2021-01-16,8.19492
2021-01-17,8.45044
2021-01-18,12.35626
2021-01-19,10.60412
2021-01-20,12.2285
2021-01-21,11.93648
2021-01-22,9.69154
2021-01-23,7.66563
2021-01-24,9.03449
2021-01-25,15.05749
2021-01-26,12.24676
2021-01-27,10.9509
2021-01-28,12.04599
2021-01-29,10.80489
2021-01-30,6.58879
2021-01-31,8.85198
2021-02-01,13.3966
2021-02-02,11.88173
2021-02-03,13.32359
2021-02-04,13.63387
2021-02-05,13.19583
2021-02-06,7.77514
2021-02-07,7.42836
2021-02-08,10.49461
2021-02-09,8.61471
2021-02-10,8.81547
2021-02-11,5.82223
2021-02-12,5.58496
2021-02-13,5.80397
2021-02-14,8.43219
2021-02-15,14.41868
2021-02-16,11.15167
2021-02-17,9.63679
2021-02-18,8.32268
2021-02-19,9.1075
2021-02-20,5.93173
2021-02-21,7.04508
2021-02-22,9.21701
2021-02-23,9.69154
2021-02-24,8.79722
2021-02-25,12.21025
2021-02-26,10.33035
2021-02-27,6.15075
2021-02-28,6.15075
2021-03-01,8.92498
2021-03-02,10.12958
2021-03-03,8.08541
2021-03-04,7.9029
2021-03-05,7.84814
2021-03-06,5.16517
2021-03-07,6.66179
2021-03-08,8.90673
2021-03-09,7.99415
2021-03-10,10.05657
2021-03-11,8.68771
2021-03-12,8.12192
2021-03-13,4.2891
2021-03-14,5.38419
2021-03-15,8.5052
2021-03-16,8.48695
2021-03-17,8.48695
2021-03-18,8.03066
2021-03-19,7.9394
2021-03-20,5.31118
2021-03-21,6.22376
2021-03-22,9.65504
2021-03-23,8.01241
2021-03-24,6.84431
2021-03-25,10.69538
2021-03-26,7.48311
2021-03-27,4.83664
2021-03-28,6.22376
2021-03-29,8.37744
2021-03-30,7.3736
2021-03-31,7.84814
2021-04-01,6.89906
2021-04-02,5.60321
2021-04-03,4.2891
2021-04-04,4.52637
2021-04-05,6.6983
2021-04-06,6.89906
2021-04-07,6.33327
2021-04-08,6.86256
2021-04-09,6.02299
2021-04-10,4.59937
2021-04-11,4.56287
2021-04-12,7.64738
2021-04-13,7.3736
2021-04-14,6.68005
2021-04-15,6.33327
2021-04-16,5.5302
2021-04-17,4.16134
2021-04-18,5.21993
2021-04-19,7.00857
2021-04-20,7.86639
2021-04-21,6.7713
2021-04-22,6.36977
2021-04-23,8.06716
2021-04-24,5.34769
2021-04-25,5.42069
2021-04-26,7.53787
2021-04-27,6.66179
2021-04-28,7.3736
2021-04-29,5.67621
2021-04-30,6.68005
2021-05-01,4.41686
2021-05-02,4.41686
2021-05-03,6.40627
2021-05-04,7.41011
2021-05-05,5.25643
2021-05-06,6.53403
2021-05-07,5.29293
2021-05-08,3.55904
2021-05-09,5.05566
2021-05-10,8.68771
2021-05-11,7.86639
2021-05-12,6.11425
2021-05-13,5.65796
2021-05-14,4.76364
2021-05-15,3.83281
2021-05-16,4.2526
2021-05-17,7.19109
2021-05-18,6.44278
2021-05-19,5.23818
2021-05-20,6.89906
2021-05-21,6.38802
2021-05-22,3.61379
2021-05-23,4.27085
2021-05-24,7.3736
2021-05-25,9.16225
2021-05-26,7.3006
2021-05-27,6.89906
2021-05-28,5.84048
2021-05-29,3.97882
2021-05-30,4.41686
2021-05-31,8.08541
2021-06-01,7.41011
2021-06-02,6.55229
2021-06-03,5.36594
2021-06-04,5.67621
2021-06-05,4.2526
2021-06-06,4.80014
2021-06-07,5.40244
2021-06-08,6.20551
2021-06-09,6.55229
2021-06-10,6.88081
2021-06-11,5.67621
2021-06-12,2.77422
2021-06-13,3.66855
2021-06-14,4.74539
2021-06-15,5.84048
2021-06-16,5.91348
2021-06-17,5.40244
2021-06-18,5.18342
2021-06-19,2.92024
2021-06-20,3.59554
2021-06-21,6.89906
2021-06-22,7.06333
2021-06-23,6.60704
2021-06-24,5.94999
2021-06-25,6.68005
2021-06-26,4.16134
2021-06-27,4.23434
2021-06-28,6.60704
2021-06-29,6.00474
2021-06-30,6.95382
2021-07-01,6.64354
2021-07-02,4.63588
