date,와이즈버즈
2020-03-20,0.23141
2020-03-21,0.1602
2020-03-22,0.16614
2020-03-23,0.20174
2020-03-24,0.35008
2020-03-25,0.26701
2020-03-26,0.22547
2020-03-27,0.28481
2020-03-28,0.11273
2020-03-29,0.1068
2020-03-30,0.24921
2020-03-31,0.22547
2020-04-01,0.27294
2020-04-02,0.21954
2020-04-03,0.28481
2020-04-04,0.06527
2020-04-05,0.13647
2020-04-06,0.30261
2020-04-07,0.36195
2020-04-08,0.29074
2020-04-09,0.22547
2020-04-10,0.30261
2020-04-11,0.08307
2020-04-12,0.14834
2020-04-13,0.45095
2020-04-14,0.35601
2020-04-15,0.089
2020-04-16,0.36788
2020-04-17,1.03245
2020-04-18,0.43315
2020-04-19,0.37975
2020-04-20,1.43594
2020-04-21,1.12739
2020-04-22,1.03245
2020-04-23,0.68237
2020-04-24,0.7061
2020-04-25,0.20767
2020-04-26,0.21954
2020-04-27,0.70017
2020-04-28,0.49249
2020-04-29,0.40348
2020-04-30,0.18987
2020-05-01,0.18987
2020-05-02,0.089
2020-05-03,0.11273
2020-05-04,0.36195
2020-05-05,0.19581
2020-05-06,0.48656
2020-05-07,0.62303
2020-05-08,0.59929
2020-05-09,0.23141
2020-05-10,0.30261
2020-05-11,0.53402
2020-05-12,0.55183
2020-05-13,0.45095
2020-05-14,0.68237
2020-05-15,0.53996
2020-05-16,0.25514
2020-05-17,0.20767
2020-05-18,0.64676
2020-05-19,0.69423
2020-05-20,0.7239
2020-05-21,0.6527
2020-05-22,0.53402
2020-05-23,0.33228
2020-05-24,0.23141
2020-05-25,0.64083
2020-05-26,0.7061
2020-05-27,0.53996
2020-05-28,0.51029
2020-05-29,0.46875
2020-05-30,0.21954
2020-05-31,0.178
2020-06-01,0.50436
2020-06-02,0.51622
2020-06-03,0.59336
2020-06-04,0.87224
2020-06-05,1.98777
2020-06-06,0.77137
2020-06-07,0.71203
2020-06-08,1.56055
2020-06-09,1.16893
2020-06-10,1.25793
2020-06-11,1.19859
2020-06-12,0.59929
2020-06-13,0.45689
2020-06-14,0.41535
2020-06-15,0.68237
2020-06-16,0.68237
2020-06-17,1.59615
2020-06-18,1.01465
2020-06-19,0.99092
2020-06-20,0.32041
2020-06-21,0.34415
2020-06-22,2.03524
2020-06-23,1.2164
2020-06-24,1.22233
2020-06-25,1.05619
2020-06-26,0.84257
2020-06-27,0.50436
2020-06-28,0.44502
2020-06-29,0.72984
2020-06-30,0.90191
2020-07-01,0.86038
2020-07-02,0.93751
2020-07-03,0.94938
2020-07-04,0.42722
2020-07-05,0.44502
2020-07-06,0.88411
2020-07-07,0.85444
2020-07-08,0.92565
2020-07-09,1.09179
2020-07-10,0.6705
2020-07-11,0.37382
2020-07-12,0.42722
2020-07-13,0.77137
2020-07-14,0.86038
2020-07-15,0.80697
2020-07-16,0.6349
2020-07-17,0.70017
2020-07-18,0.35008
2020-07-19,0.39755
2020-07-20,0.81884
2020-07-21,0.7773
2020-07-22,1.04432
2020-07-23,0.88411
2020-07-24,0.89004
2020-07-25,0.36195
2020-07-26,0.39755
2020-07-27,1.06212
2020-07-28,1.05025
2020-07-29,1.02652
2020-07-30,0.90191
2020-07-31,1.06212
2020-08-01,0.38568
2020-08-02,0.59336
2020-08-03,1.45968
2020-08-04,1.99964
2020-08-05,10.19403
2020-08-06,4.56298
2020-08-07,2.68794
2020-08-08,1.00278
2020-08-09,0.78324
2020-08-10,2.59894
2020-08-11,2.40906
2020-08-12,1.8869
2020-08-13,1.51901
2020-08-14,1.77416
2020-08-15,0.61116
2020-08-16,0.45689
2020-08-17,0.48062
2020-08-18,1.43594
2020-08-19,1.43594
2020-08-20,1.69702
2020-08-21,1.00278
2020-08-22,0.45095
