date,재산명시신청
2020-03-20,73.17073
2020-03-21,25.60975
2020-03-22,23.17073
2020-03-23,57.31707
2020-03-24,73.17073
2020-03-25,73.57723
2020-03-26,76.01626
2020-03-27,67.47967
2020-03-28,25.60975
2020-03-29,25.20325
2020-03-30,56.09756
2020-03-31,66.66666
2020-04-01,69.10569
2020-04-02,72.76422
2020-04-03,61.38211
2020-04-04,23.17073
2020-04-05,20.7317
2020-04-06,76.42276
2020-04-07,86.17886
2020-04-08,75.20325
2020-04-09,93.90243
2020-04-10,61.38211
2020-04-11,28.45528
2020-04-12,24.39024
2020-04-13,80.0813
2020-04-14,73.17073
2020-04-15,29.26829
2020-04-16,69.10569
2020-04-17,78.86178
2020-04-18,28.45528
2020-04-19,35.77235
2020-04-20,82.92682
2020-04-21,76.01626
2020-04-22,93.08943
2020-04-23,95.93495
2020-04-24,79.67479
2020-04-25,28.86178
2020-04-26,34.14634
2020-04-27,73.98373
2020-04-28,69.91869
2020-04-29,65.04065
2020-04-30,24.39024
2020-05-01,38.21138
2020-05-02,23.17073
2020-05-03,20.7317
2020-05-04,58.53658
2020-05-05,24.79674
2020-05-06,89.43089
2020-05-07,78.04878
2020-05-08,58.94308
2020-05-09,18.29268
2020-05-10,23.17073
2020-05-11,84.95934
2020-05-12,80.8943
2020-05-13,89.83739
2020-05-14,73.98373
2020-05-15,75.60975
2020-05-16,28.86178
2020-05-17,17.07317
2020-05-18,71.95121
2020-05-19,80.4878
2020-05-20,82.52032
2020-05-21,89.02439
2020-05-22,73.98373
2020-05-23,20.7317
2020-05-24,21.95121
2020-05-25,69.91869
2020-05-26,74.79674
2020-05-27,62.60162
2020-05-28,68.69918
2020-05-29,55.28455
2020-05-30,17.07317
2020-05-31,17.47967
2020-06-01,69.91869
2020-06-02,61.78861
2020-06-03,81.30081
2020-06-04,65.44715
2020-06-05,66.26016
2020-06-06,19.51219
2020-06-07,24.39024
2020-06-08,75.20325
2020-06-09,69.91869
2020-06-10,82.11382
2020-06-11,100.0
2020-06-12,74.79674
2020-06-13,25.20325
2020-06-14,19.91869
2020-06-15,90.2439
2020-06-16,72.76422
2020-06-17,71.13821
2020-06-18,68.69918
2020-06-19,72.76422
2020-06-20,25.60975
2020-06-21,26.42276
2020-06-22,78.04878
2020-06-23,81.70731
2020-06-24,76.82926
2020-06-25,84.55284
2020-06-26,62.60162
2020-06-27,26.01626
2020-06-28,17.47967
2020-06-29,78.86178
2020-06-30,80.8943
2020-07-01,80.4878
2020-07-02,78.45528
2020-07-03,65.04065
2020-07-04,21.95121
2020-07-05,24.39024
2020-07-06,74.79674
2020-07-07,67.88617
2020-07-08,67.47967
2020-07-09,76.01626
2020-07-10,58.94308
2020-07-11,21.54471
2020-07-12,23.98373
2020-07-13,85.36585
2020-07-14,93.49593
2020-07-15,95.93495
2020-07-16,73.98373
2020-07-17,76.82926
2020-07-18,25.20325
2020-07-19,26.82926
2020-07-20,83.33333
2020-07-21,81.30081
2020-07-22,81.70731
2020-07-23,68.69918
2020-07-24,69.10569
2020-07-25,27.23577
2020-07-26,13.82113
2020-07-27,78.86178
2020-07-28,66.26016
2020-07-29,64.22764
2020-07-30,71.95121
2020-07-31,52.84552
2020-08-01,25.20325
2020-08-02,20.3252
2020-08-03,79.67479
2020-08-04,61.78861
2020-08-05,65.44715
2020-08-06,52.03252
2020-08-07,60.5691
2020-08-08,29.26829
2020-08-09,22.76422
2020-08-10,79.67479
