date,금호석유주가
2020-03-20,15.55729
2020-03-21,1.90279
2020-03-22,1.65336
2020-03-23,15.66419
2020-03-24,13.62599
2020-03-25,12.26482
2020-03-26,13.06299
2020-03-27,13.31955
2020-03-28,1.2899
2020-03-29,0.9407
2020-03-30,14.03933
2020-03-31,13.38369
2020-04-01,13.5476
2020-04-02,12.94897
2020-04-03,15.62856
2020-04-04,1.53221
2020-04-05,1.63911
2020-04-06,14.18899
2020-04-07,14.44555
2020-04-08,13.75427
2020-04-09,13.63312
2020-04-10,13.81841
2020-04-11,2.71522
2020-04-12,1.58922
2020-04-13,13.61174
2020-04-14,14.79475
2020-04-15,1.7175
2020-04-16,11.83722
2020-04-17,12.32896
2020-04-18,1.48945
2020-04-19,1.1545
2020-04-20,13.91818
2020-04-21,15.32924
2020-04-22,14.86602
2020-04-23,17.21066
2020-04-24,17.58836
2020-04-25,2.2805
2020-04-26,2.15222
2020-04-27,20.94498
2020-04-28,18.75
2020-04-29,19.1277
2020-04-30,1.97405
2020-05-01,2.01681
2020-05-02,1.06898
2020-05-03,1.27565
2020-05-04,14.31727
2020-05-05,1.92417
2020-05-06,16.90421
2020-05-07,15.96351
2020-05-08,14.44555
2020-05-09,1.16163
2020-05-10,1.51083
2020-05-11,15.38625
2020-05-12,12.27194
2020-05-13,11.82297
2020-05-14,11.0248
2020-05-15,11.13169
2020-05-16,0.77679
2020-05-17,0.58437
2020-05-18,10.66134
2020-05-19,12.94897
2020-05-20,10.61145
2020-05-21,12.94184
2020-05-22,12.3147
2020-05-23,0.88369
2020-05-24,0.60575
2020-05-25,10.52594
2020-05-26,13.31955
2020-05-27,13.49771
2020-05-28,11.23859
2020-05-29,10.71835
2020-05-30,0.95496
2020-05-31,0.92645
2020-06-01,10.79675
2020-06-02,10.02708
2020-06-03,13.98945
2020-06-04,15.46465
2020-06-05,12.05815
2020-06-06,1.36117
2020-06-07,1.40393
2020-06-08,12.16505
2020-06-09,10.24087
2020-06-10,10.20524
2020-06-11,10.01995
2020-06-12,10.78962
2020-06-13,0.74828
2020-06-14,0.63426
2020-06-15,9.87029
2020-06-16,13.98232
2020-06-17,12.8492
2020-06-18,10.64709
2020-06-19,13.36944
2020-06-20,0.96921
2020-06-21,1.14025
2020-06-22,12.48574
2020-06-23,11.92274
2020-06-24,10.43329
2020-06-25,9.5781
2020-06-26,9.49258
2020-06-27,0.84093
2020-06-28,0.46322
2020-06-29,9.30729
2020-06-30,11.03192
2020-07-01,8.73004
2020-07-02,9.10062
2020-07-03,7.76083
2020-07-04,0.93358
2020-07-05,0.51311
2020-07-06,8.97947
2020-07-07,9.32155
2020-07-08,8.65165
2020-07-09,9.15051
2020-07-10,9.16476
2020-07-11,0.81242
2020-07-12,0.69127
2020-07-13,17.00399
2020-07-14,16.99686
2020-07-15,18.72862
2020-07-16,13.59749
2020-07-17,11.28848
2020-07-18,1.1545
2020-07-19,0.66277
2020-07-20,10.96778
2020-07-21,10.73973
2020-07-22,11.45952
2020-07-23,10.39053
2020-07-24,8.93671
2020-07-25,0.98346
2020-07-26,1.64623
2020-07-27,9.99857
2020-07-28,10.25513
2020-07-29,10.3549
2020-07-30,10.82525
2020-07-31,11.24572
2020-08-01,1.06898
2020-08-02,0.85518
2020-08-03,10.41191
2020-08-04,9.94868
2020-08-05,12.16505
2020-08-06,12.25769
2020-08-07,15.68557
2020-08-08,1.94555
2020-08-09,1.33979
2020-08-10,18.6431
2020-08-11,17.85205
2020-08-12,14.36003
2020-08-13,15.92787
2020-08-14,15.73546
2020-08-15,1.25427
2020-08-16,0.96921
2020-08-17,2.18072
2020-08-18,15.77822
2020-08-19,18.25114
2020-08-20,18.37941
2020-08-21,14.86602
2020-08-22,1.42531
2020-08-23,1.26852
2020-08-24,14.63797
2020-08-25,15.35062
2020-08-26,13.91106
2020-08-27,13.08437
2020-08-28,13.06299
2020-08-29,1.33979
2020-08-30,1.07611
2020-08-31,13.51197
2020-09-01,11.50228
2020-09-02,11.95838
2020-09-03,10.73261
2020-09-04,10.3834
2020-09-05,0.74116
2020-09-06,1.59635
2020-09-07,18.90678
2020-09-08,15.50741
2020-09-09,16.41961
2020-09-10,15.27223
2020-09-11,12.61402
2020-09-12,1.42531
2020-09-13,0.84093
2020-09-14,14.89452
2020-09-15,12.54988
2020-09-16,11.99401
2020-09-17,11.13169
2020-09-18,12.43586
2020-09-19,1.04047
2020-09-20,0.96921
2020-09-21,10.09834
2020-09-22,9.62799
2020-09-23,10.29076
2020-09-24,9.49971
2020-09-25,8.94384
2020-09-26,0.62713
2020-09-27,0.62001
2020-09-28,14.13198
2020-09-29,13.21265
2020-09-30,1.51083
2020-10-01,1.01909
2020-10-02,0.89082
2020-10-03,1.01197
2020-10-04,1.14737
2020-10-05,14.7021
2020-10-06,17.03249
2020-10-07,16.94697
2020-10-08,24.45125
2020-10-09,5.03135
2020-10-10,3.04304
2020-10-11,3.06442
2020-10-12,22.03534
2020-10-13,22.54133
2020-10-14,18.5647
2020-10-15,16.93272
2020-10-16,16.08466
2020-10-17,1.67474
2020-10-18,1.12599
2020-10-19,14.16761
2020-10-20,13.59036
2020-10-21,13.85404
2020-10-22,14.33865
2020-10-23,14.58095
2020-10-24,1.63198
2020-10-25,1.23289
2020-10-26,14.43129
2020-10-27,14.38141
2020-10-28,15.7212
2020-10-29,13.77565
2020-10-30,14.7805
2020-10-31,1.48232
2020-11-01,1.03335
2020-11-02,14.04646
2020-11-03,13.75427
