date,IRP퇴직연금수령
2020-03-20,7.21476
2020-03-21,4.11073
2020-03-22,3.69127
2020-03-23,8.30536
2020-03-24,10.23489
2020-03-25,11.99664
2020-03-26,9.81543
2020-03-27,8.22147
2020-03-28,3.60738
2020-03-29,3.27181
2020-03-30,8.72483
2020-03-31,5.78859
2020-04-01,6.20805
2020-04-02,4.94966
2020-04-03,5.20134
2020-04-04,1.67785
2020-04-05,2.85234
2020-04-06,5.11744
2020-04-07,5.6208
2020-04-08,5.03355
2020-04-09,5.6208
2020-04-10,4.78187
2020-04-11,1.84563
2020-04-12,2.43288
2020-04-13,5.6208
2020-04-14,6.62751
2020-04-15,2.51677
2020-04-16,4.5302
2020-04-17,4.02684
2020-04-18,2.43288
2020-04-19,1.67785
2020-04-20,4.27852
2020-04-21,4.27852
2020-04-22,4.5302
2020-04-23,3.60738
2020-04-24,3.52348
2020-04-25,1.67785
2020-04-26,1.42617
2020-04-27,6.7953
2020-04-28,7.71812
2020-04-29,5.70469
2020-04-30,1.92953
2020-05-01,1.76174
2020-05-02,1.51006
2020-05-03,2.76845
2020-05-04,5.28523
2020-05-05,2.60067
2020-05-06,7.21476
2020-05-07,6.20805
2020-05-08,6.12416
2020-05-09,4.61409
2020-05-10,4.19463
2020-05-11,10.90604
2020-05-12,7.55033
2020-05-13,8.55704
2020-05-14,8.64093
2020-05-15,9.64765
2020-05-16,3.52348
2020-05-17,2.43288
2020-05-18,6.96308
2020-05-19,5.03355
2020-05-20,6.20805
2020-05-21,6.45973
2020-05-22,4.86577
2020-05-23,2.09731
2020-05-24,1.76174
2020-05-25,3.94295
2020-05-26,5.87248
2020-05-27,5.95637
2020-05-28,4.5302
2020-05-29,4.4463
2020-05-30,1.17449
2020-05-31,1.42617
2020-06-01,4.86577
2020-06-02,5.20134
2020-06-03,5.03355
2020-06-04,3.60738
2020-06-05,5.53691
2020-06-06,2.76845
2020-06-07,3.69127
2020-06-08,7.8859
2020-06-09,6.04026
2020-06-10,7.96979
2020-06-11,6.87919
2020-06-12,5.11744
2020-06-13,2.1812
2020-06-14,3.02013
2020-06-15,6.96308
2020-06-16,6.7114
2020-06-17,5.53691
2020-06-18,5.45302
2020-06-19,4.86577
2020-06-20,1.76174
2020-06-21,1.42617
2020-06-22,5.36912
2020-06-23,5.45302
2020-06-24,5.28523
2020-06-25,4.78187
2020-06-26,5.36912
2020-06-27,1.92953
2020-06-28,1.34228
2020-06-29,5.20134
2020-06-30,5.95637
2020-07-01,6.7114
2020-07-02,5.45302
2020-07-03,6.29194
2020-07-04,2.68456
2020-07-05,2.2651
2020-07-06,8.64093
2020-07-07,6.7953
2020-07-08,7.63422
2020-07-09,7.38255
2020-07-10,6.96308
2020-07-11,1.84563
2020-07-12,3.02013
2020-07-13,6.96308
2020-07-14,7.46644
2020-07-15,6.7953
2020-07-16,7.38255
2020-07-17,6.45973
2020-07-18,1.84563
2020-07-19,2.01342
2020-07-20,5.11744
2020-07-21,6.87919
2020-07-22,6.45973
2020-07-23,5.45302
2020-07-24,4.5302
2020-07-25,1.0906
2020-07-26,1.00671
2020-07-27,5.45302
2020-07-28,4.19463
2020-07-29,4.69798
2020-07-30,4.27852
2020-07-31,4.61409
2020-08-01,1.51006
2020-08-02,1.17449
2020-08-03,4.78187
2020-08-04,5.11744
2020-08-05,3.43959
2020-08-06,3.18791
2020-08-07,2.51677
2020-08-08,2.01342
2020-08-09,1.51006
2020-08-10,4.69798
2020-08-11,7.13087
2020-08-12,4.4463
2020-08-13,4.02684
2020-08-14,4.4463
2020-08-15,2.34899
2020-08-16,1.67785
2020-08-17,3.43959
2020-08-18,5.6208
2020-08-19,4.94966
2020-08-20,5.45302
2020-08-21,4.27852
2020-08-22,2.2651
2020-08-23,1.92953
2020-08-24,5.70469
2020-08-25,5.70469
2020-08-26,4.36241
2020-08-27,4.19463
2020-08-28,4.69798
2020-08-29,2.34899
2020-08-30,3.02013
2020-08-31,5.36912
2020-09-01,6.62751
2020-09-02,5.45302
2020-09-03,6.20805
2020-09-04,6.04026
2020-09-05,1.67785
2020-09-06,2.60067
2020-09-07,5.53691
2020-09-08,5.11744
2020-09-09,4.11073
2020-09-10,4.69798
2020-09-11,4.36241
2020-09-12,2.60067
2020-09-13,1.42617
2020-09-14,6.54362
2020-09-15,6.29194
2020-09-16,5.45302
2020-09-17,4.5302
2020-09-18,4.4463
2020-09-19,1.42617
2020-09-20,1.84563
2020-09-21,5.70469
2020-09-22,6.04026
2020-09-23,4.5302
2020-09-24,3.02013
2020-09-25,3.77516
2020-09-26,1.00671
2020-09-27,1.59395
2020-09-28,4.4463
2020-09-29,5.11744
2020-09-30,3.02013
2020-10-01,1.84563
2020-10-02,1.67785
2020-10-03,2.43288
2020-10-04,2.93624
2020-10-05,10.57046
2020-10-06,6.37583
2020-10-07,5.03355
2020-10-08,6.12416
2020-10-09,2.93624
2020-10-10,2.85234
2020-10-11,3.02013
2020-10-12,9.14429
2020-10-13,8.55704
2020-10-14,8.22147
2020-10-15,9.31208
2020-10-16,6.62751
2020-10-17,3.3557
2020-10-18,3.02013
2020-10-19,9.14429
2020-10-20,8.38926
2020-10-21,8.22147
2020-10-22,6.54362
2020-10-23,6.20805
2020-10-24,2.09731
2020-10-25,2.43288
2020-10-26,9.73154
2020-10-27,8.89261
