date,퇴사사유
2020-03-20,41.35922
2020-03-21,19.02912
2020-03-22,22.91262
2020-03-23,55.92233
2020-03-24,53.20388
2020-03-25,54.17475
2020-03-26,44.07766
2020-03-27,39.2233
2020-03-28,14.36893
2020-03-29,25.04854
2020-03-30,60.58252
2020-03-31,52.233
2020-04-01,45.82524
2020-04-02,47.76699
2020-04-03,40.19417
2020-04-04,15.3398
2020-04-05,25.24271
2020-04-06,47.57281
2020-04-07,47.96116
2020-04-08,39.61165
2020-04-09,46.40776
2020-04-10,39.02912
2020-04-11,17.28155
2020-04-12,24.27184
2020-04-13,59.61165
2020-04-14,46.99029
2020-04-15,28.54368
2020-04-16,45.82524
2020-04-17,40.19417
2020-04-18,15.92233
2020-04-19,21.94174
2020-04-20,58.83495
2020-04-21,51.65048
2020-04-22,53.98058
2020-04-23,52.03883
2020-04-24,44.27184
2020-04-25,20.38834
2020-04-26,21.16504
2020-04-27,57.08737
2020-04-28,48.93203
2020-04-29,48.54368
2020-04-30,22.71844
2020-05-01,19.80582
2020-05-02,11.45631
2020-05-03,17.86407
2020-05-04,36.8932
2020-05-05,28.34951
2020-05-06,53.0097
2020-05-07,46.99029
2020-05-08,43.68932
2020-05-09,23.68932
2020-05-10,22.13592
2020-05-11,55.14563
2020-05-12,51.45631
2020-05-13,47.76699
2020-05-14,49.32038
2020-05-15,40.0
2020-05-16,17.47572
2020-05-17,25.04854
2020-05-18,54.95145
2020-05-19,53.39805
2020-05-20,49.90291
2020-05-21,50.09708
2020-05-22,42.52427
2020-05-23,20.77669
2020-05-24,25.82524
2020-05-25,64.66019
2020-05-26,53.59223
2020-05-27,52.03883
2020-05-28,48.15533
2020-05-29,46.60194
2020-05-30,19.61165
2020-05-31,28.73786
2020-06-01,50.48543
2020-06-02,55.3398
2020-06-03,53.7864
2020-06-04,50.67961
2020-06-05,49.51456
2020-06-06,14.36893
2020-06-07,23.88349
2020-06-08,54.36893
2020-06-09,50.29126
2020-06-10,52.42718
2020-06-11,53.98058
2020-06-12,41.74757
2020-06-13,23.30097
2020-06-14,25.04854
2020-06-15,66.60194
2020-06-16,51.06796
2020-06-17,47.76699
2020-06-18,45.43689
2020-06-19,41.74757
2020-06-20,16.8932
2020-06-21,22.91262
2020-06-22,55.3398
2020-06-23,53.20388
2020-06-24,46.99029
2020-06-25,57.28155
2020-06-26,40.97087
2020-06-27,19.61165
2020-06-28,21.55339
2020-06-29,67.37864
2020-06-30,58.83495
2020-07-01,54.5631
2020-07-02,51.26213
2020-07-03,41.94174
2020-07-04,14.75728
2020-07-05,23.10679
2020-07-06,59.41747
2020-07-07,50.67961
2020-07-08,52.03883
2020-07-09,56.1165
2020-07-10,39.61165
2020-07-11,15.53398
2020-07-12,20.77669
2020-07-13,47.37864
2020-07-14,51.84466
2020-07-15,45.04854
2020-07-16,44.66019
2020-07-17,36.50485
2020-07-18,15.14563
2020-07-19,24.85436
2020-07-20,52.81553
2020-07-21,52.03883
2020-07-22,50.48543
2020-07-23,46.99029
2020-07-24,36.8932
2020-07-25,14.95145
2020-07-26,22.52427
2020-07-27,52.42718
2020-07-28,46.21359
2020-07-29,53.39805
2020-07-30,51.06796
2020-07-31,42.13592
2020-08-01,13.7864
2020-08-02,17.86407
2020-08-03,49.51456
2020-08-04,50.87378
2020-08-05,45.24271
2020-08-06,46.01941
2020-08-07,43.30097
