date,비갱신건강보험
2021-02-07,6.5934
2021-02-08,26.37362
2021-02-09,15.38461
2021-02-10,4.94505
2021-02-11,5.4945
2021-02-12,5.4945
2021-02-14,17.58241
2021-02-15,12.63736
2021-02-16,13.73626
2021-02-17,6.5934
2021-02-18,11.53846
2021-02-19,8.24175
2021-02-20,3.84615
2021-02-21,6.04395
2021-02-22,12.63736
2021-02-23,7.6923
2021-02-24,2.74725
2021-02-25,9.34065
2021-02-26,9.34065
2021-02-27,6.5934
2021-03-01,4.3956
2021-03-02,6.04395
2021-03-03,4.3956
2021-03-04,9.34065
2021-03-05,9.8901
2021-03-06,6.04395
2021-03-07,12.08791
2021-03-08,16.48351
2021-03-09,32.96703
2021-03-10,14.28571
2021-03-11,7.6923
2021-03-12,4.94505
2021-03-13,5.4945
2021-03-14,4.3956
2021-03-15,4.3956
2021-03-16,2.74725
2021-03-17,8.7912
2021-03-18,10.98901
2021-03-20,7.6923
2021-03-22,7.14285
2021-03-23,7.14285
2021-03-24,13.73626
2021-03-25,12.63736
2021-03-26,10.43956
2021-03-27,3.84615
2021-03-28,3.2967
2021-03-29,13.18681
2021-03-30,6.5934
2021-03-31,10.43956
2021-04-02,7.6923
2021-04-03,2.74725
2021-04-04,6.04395
2021-04-05,7.14285
2021-04-06,12.08791
2021-04-07,12.08791
2021-04-08,4.3956
2021-04-09,2.74725
2021-04-12,9.34065
2021-04-13,10.98901
2021-04-14,8.24175
2021-04-15,8.7912
2021-04-16,8.24175
2021-04-18,4.94505
2021-04-19,3.84615
2021-04-20,10.43956
2021-04-21,9.8901
2021-04-22,3.84615
2021-04-23,3.2967
2021-04-26,8.24175
2021-04-27,13.18681
2021-04-28,10.43956
2021-04-29,4.94505
2021-04-30,4.3956
2021-05-01,4.94505
2021-05-03,12.08791
2021-05-04,14.83516
2021-05-05,10.43956
2021-05-06,5.4945
2021-05-07,5.4945
2021-05-10,4.94505
2021-05-11,3.84615
2021-05-12,13.18681
2021-05-13,17.58241
2021-05-14,7.14285
2021-05-15,5.4945
2021-05-16,8.7912
2021-05-17,15.93406
2021-05-18,4.3956
2021-05-19,2.74725
2021-05-20,8.24175
2021-05-21,6.5934
2021-05-23,2.74725
2021-05-24,8.24175
2021-05-25,11.53846
2021-05-26,8.24175
2021-05-27,9.34065
2021-05-28,6.5934
2021-05-29,3.84615
2021-05-31,8.24175
2021-06-01,2.74725
2021-06-02,12.63736
2021-06-04,7.6923
2021-06-05,3.84615
2021-06-06,2.74725
2021-06-07,9.8901
2021-06-08,23.07692
2021-06-09,5.4945
2021-06-11,5.4945
2021-06-13,3.84615
2021-06-15,3.2967
2021-06-17,7.6923
2021-06-18,3.2967
2021-06-19,8.24175
2021-06-20,4.3956
2021-06-21,7.14285
2021-06-22,7.6923
2021-06-23,8.24175
2021-06-24,6.5934
2021-06-25,4.3956
2021-06-27,6.5934
2021-06-28,14.28571
2021-06-29,9.34065
2021-06-30,10.43956
2021-07-01,6.04395
2021-07-02,5.4945
2021-07-03,6.04395
2021-07-05,7.6923
2021-07-06,4.3956
2021-07-07,5.4945
2021-07-08,2.74725
2021-07-10,2.74725
2021-07-11,5.4945
2021-07-12,5.4945
2021-07-13,2.74725
2021-07-14,9.34065
2021-07-17,3.2967
2021-07-19,7.6923
2021-07-20,5.4945
2021-07-21,9.34065
2021-07-23,6.5934
2021-07-26,4.3956
2021-07-27,2.74725
2021-07-28,13.18681
2021-07-29,4.94505
2021-08-02,6.04395
2021-08-04,12.08791
2021-08-05,2.74725
2021-08-06,3.2967
2021-08-07,7.6923
2021-08-08,3.84615
2021-08-09,12.08791
2021-08-10,2.74725
2021-08-11,8.7912
2021-08-12,4.94505
2021-08-13,5.4945
2021-08-14,2.74725
2021-08-15,2.74725
2021-08-17,8.24175
2021-08-18,7.14285
2021-08-19,8.7912
2021-08-20,9.34065
2021-08-21,4.94505
2021-08-23,12.08791
2021-08-24,8.7912
2021-08-25,7.14285
2021-08-26,8.7912
2021-08-29,7.14285
2021-08-30,3.84615
2021-09-01,7.14285
2021-09-02,6.5934
2021-09-03,2.74725
2021-09-05,2.74725
2021-09-06,6.5934
2021-09-09,10.98901
2021-09-11,4.94505
2021-09-15,2.74725
2021-09-18,3.2967
2021-09-19,2.74725
2021-09-24,2.74725
2021-09-25,7.6923
2021-09-26,8.7912
2021-09-27,6.5934
2021-09-28,6.5934
2021-09-29,2.74725
2021-10-03,2.74725
2021-10-06,2.74725
2021-10-07,3.2967
2021-10-08,3.84615
2021-10-10,5.4945
2021-10-11,3.84615
2021-10-12,3.84615
2021-10-13,8.24175
2021-10-14,7.14285
2021-10-15,8.7912
2021-10-18,4.94505
2021-10-19,9.8901
2021-10-20,9.8901
2021-10-21,7.6923
2021-10-22,3.84615
2021-10-25,6.5934
2021-10-26,6.5934
2021-10-27,6.5934
2021-10-28,6.5934
2021-10-30,4.3956
2021-11-02,2.74725
2021-11-03,2.74725
2021-11-05,9.34065
2021-11-08,3.2967
2021-11-09,8.24175
2021-11-10,5.4945
2021-11-11,3.84615
2021-11-12,6.04395
2021-11-15,7.6923
2021-11-17,4.3956
2021-11-19,5.4945
2021-11-22,9.8901
2021-11-23,5.4945
2021-11-25,3.84615
2021-11-26,3.2967
2021-11-28,2.74725
2021-11-29,6.5934
2021-11-30,3.84615
2021-12-04,5.4945
2021-12-05,2.74725
2021-12-07,4.94505
2021-12-08,3.84615
2021-12-10,7.14285
2021-12-13,13.73626
2021-12-14,3.84615
2021-12-15,3.2967
2021-12-16,12.63736
2021-12-17,8.7912
2021-12-19,3.84615
2021-12-20,12.08791
2021-12-21,2.74725
2021-12-22,4.94505
2021-12-23,2.74725
2021-12-26,2.74725
2021-12-27,9.8901
2021-12-28,6.5934
2021-12-29,7.14285
2021-12-31,3.84615
2022-01-01,7.6923
2022-01-02,2.74725
2022-01-03,4.3956
2022-01-04,11.53846
2022-01-07,6.5934
2022-01-09,4.94505
2022-01-10,7.6923
2022-01-11,14.83516
2022-01-12,9.34065
2022-01-13,7.6923
2022-01-14,13.73626
2022-01-18,7.14285
2022-01-19,3.2967
2022-01-20,4.3956
2022-01-21,4.3956
2022-01-22,2.74725
2022-01-23,3.84615
2022-01-24,7.14285
2022-01-25,4.3956
2022-01-26,6.5934
2022-01-27,2.74725
2022-02-04,3.84615
2022-02-07,3.84615
2022-02-09,8.24175
2022-02-10,5.4945
2022-02-11,2.74725
2022-02-12,4.3956
2022-02-14,2.74725
2022-02-15,2.74725
2022-02-17,3.2967
2022-02-21,2.74725
2022-02-22,4.94505
2022-02-23,4.3956
2022-02-24,4.94505
2022-02-25,2.74725
2022-02-27,3.2967
2022-03-02,5.4945
2022-03-05,3.2967
2022-03-07,3.2967
2022-03-08,3.2967
2022-03-09,3.84615
2022-03-11,7.6923
2022-03-15,6.04395
2022-03-16,4.94505
2022-03-17,8.24175
2022-03-18,3.2967
2022-03-19,3.2967
2022-03-21,2.74725
2022-03-22,3.2967
2022-03-25,2.74725
2022-03-26,2.74725
2022-03-28,6.5934
2022-03-29,2.74725
2022-03-30,5.4945
2022-04-01,4.3956
2022-04-05,6.04395
2022-04-06,2.74725
2022-04-08,3.84615
2022-04-09,2.74725
2022-04-11,8.7912
2022-04-16,3.84615
2022-04-18,5.4945
2022-04-24,2.74725
2022-04-25,5.4945
2022-04-26,2.74725
2022-04-28,3.2967
2022-04-29,3.84615
2022-05-02,2.74725
2022-05-04,2.74725
2022-05-09,6.04395
2022-05-10,2.74725
2022-05-11,3.84615
2022-05-13,3.2967
2022-05-16,2.74725
2022-05-21,3.2967
2022-05-25,9.8901
2022-05-26,6.5934
2022-05-27,11.53846
2022-05-29,2.74725
2022-05-30,11.53846
2022-06-03,3.84615
2022-06-06,4.3956
2022-06-12,2.74725
2022-06-13,2.74725
2022-06-15,6.5934
2022-06-16,3.2967
2022-06-17,9.34065
2022-06-18,3.84615
2022-06-20,3.2967
2022-06-21,2.74725
2022-06-22,8.7912
2022-06-24,7.6923
2022-06-28,3.84615
2022-06-29,9.34065
2022-07-07,8.7912
2022-07-11,3.84615
2022-07-12,4.3956
2022-07-13,2.74725
2022-07-22,3.2967
2022-07-25,3.2967
2022-07-26,3.2967
2022-07-27,2.74725
2022-07-28,4.3956
2022-08-02,3.84615
2022-08-03,2.74725
2022-08-04,2.74725
2022-08-07,2.74725
2022-08-08,3.2967
2022-08-09,4.3956
2022-08-10,2.74725
2022-08-11,2.74725
2022-08-12,2.74725
2022-08-14,3.2967
2022-08-16,6.04395
2022-08-17,3.84615
2022-08-18,16.48351
2022-08-20,4.94505
2022-08-22,4.94505
2022-08-23,7.6923
2022-08-24,10.43956
2022-08-25,3.2967
2022-08-27,2.74725
2022-08-29,3.2967
2022-08-30,3.2967
2022-08-31,3.2967
2022-09-02,4.3956
2022-09-03,3.2967
2022-09-04,3.84615
2022-09-07,7.14285
2022-09-11,3.2967
2022-09-13,4.94505
2022-09-14,2.74725
2022-09-16,7.14285
2022-09-17,3.2967
2022-09-18,3.2967
2022-09-20,3.84615
2022-09-22,4.3956
2022-09-26,4.3956
2022-09-27,3.2967
2022-09-28,5.4945
2022-09-29,3.84615
2022-09-30,2.74725
2022-10-06,8.24175
2022-10-08,4.3956
2022-10-11,2.74725
2022-10-12,3.2967
2022-10-13,3.2967
2022-10-18,7.6923
2022-10-19,6.04395
2022-10-20,10.43956
2022-10-21,2.74725
2022-10-22,2.74725
2022-10-23,4.3956
2022-10-24,6.5934
2022-10-25,6.04395
2022-10-27,5.4945
2022-10-28,7.14285
2022-10-29,3.2967
2022-10-31,12.08791
2022-11-01,4.94505
2022-11-02,4.3956
2022-11-04,12.08791
2022-11-05,2.74725
2022-11-08,4.3956
2022-11-09,8.24175
2022-11-11,8.24175
2022-11-12,3.2967
2022-11-16,8.24175
2022-11-17,2.74725
2022-11-18,6.04395
2022-11-22,6.5934
2022-11-23,2.74725
2022-11-25,3.2967
2022-11-28,4.94505
2022-11-30,3.2967
