date,4대보험가입
2020-03-20,47.01348
2020-03-21,13.68015
2020-03-22,10.98265
2020-03-23,48.74759
2020-03-24,53.75722
2020-03-25,57.80346
2020-03-26,48.74759
2020-03-27,43.15992
2020-03-28,16.95568
2020-03-29,15.60693
2020-03-30,70.32755
2020-03-31,69.74951
2020-04-01,100.0
2020-04-02,72.25433
2020-04-03,73.21772
2020-04-04,18.68978
2020-04-05,14.45086
2020-04-06,63.58381
2020-04-07,69.55684
2020-04-08,53.75722
2020-04-09,49.71098
2020-04-10,55.87668
2020-04-11,16.95568
2020-04-12,17.14836
2020-04-13,61.84971
2020-04-14,52.21579
2020-04-15,22.35067
2020-04-16,51.44508
2020-04-17,41.23314
2020-04-18,10.21194
2020-04-19,14.25818
2020-04-20,53.75722
2020-04-21,48.16955
2020-04-22,49.71098
2020-04-23,42.96724
2020-04-24,38.15028
2020-04-25,12.71676
2020-04-26,10.98265
2020-04-27,56.84007
2020-04-28,54.52793
2020-04-29,52.02312
2020-04-30,22.15799
2020-05-01,23.69942
2020-05-02,12.52408
2020-05-03,17.72639
2020-05-04,52.60115
2020-05-05,20.80924
2020-05-06,66.08863
2020-05-07,59.92292
2020-05-08,48.55491
2020-05-09,15.79961
2020-05-10,15.79961
2020-05-11,61.84971
2020-05-12,57.80346
2020-05-13,53.75722
2020-05-14,55.49132
2020-05-15,49.71098
2020-05-16,13.87283
2020-05-17,15.0289
2020-05-18,50.28901
2020-05-19,55.87668
2020-05-20,58.76685
2020-05-21,50.86705
2020-05-22,47.97687
2020-05-23,21.00192
2020-05-24,17.14836
2020-05-25,58.95953
2020-05-26,59.73025
2020-05-27,51.05973
2020-05-28,47.97687
2020-05-29,53.37186
2020-05-30,15.0289
2020-05-31,19.84585
2020-06-01,70.52023
2020-06-02,69.36416
2020-06-03,59.73025
2020-06-04,58.95953
2020-06-05,43.15992
2020-06-06,12.52408
2020-06-07,14.45086
2020-06-08,60.30828
2020-06-09,56.64739
2020-06-10,67.82273
2020-06-11,56.06936
2020-06-12,43.15992
2020-06-13,11.94605
2020-06-14,14.64354
2020-06-15,66.08863
2020-06-16,53.37186
2020-06-17,49.13294
2020-06-18,47.59152
2020-06-19,43.15992
2020-06-20,12.13872
2020-06-21,11.75337
2020-06-22,54.72061
2020-06-23,44.31599
2020-06-24,50.86705
2020-06-25,50.09633
2020-06-26,42.96724
2020-06-27,15.60693
2020-06-28,15.99229
2020-06-29,63.58381
2020-06-30,62.42774
2020-07-01,68.9788
2020-07-02,65.31791
2020-07-03,50.67437
2020-07-04,16.18497
2020-07-05,19.4605
2020-07-06,67.05202
2020-07-07,66.28131
2020-07-08,57.03275
2020-07-09,57.61078
2020-07-10,52.60115
2020-07-11,15.79961
2020-07-12,14.06551
2020-07-13,59.34489
2020-07-14,58.95953
2020-07-15,57.41811
2020-07-16,51.2524
2020-07-17,34.4894
2020-07-18,14.64354
2020-07-19,14.45086
2020-07-20,58.95953
2020-07-21,49.90366
2020-07-22,48.55491
2020-07-23,45.0867
2020-07-24,40.84778
2020-07-25,14.06551
2020-07-26,12.52408
2020-07-27,49.90366
2020-07-28,47.39884
2020-07-29,52.98651
2020-07-30,53.37186
2020-07-31,48.55491
2020-08-01,19.84585
2020-08-02,14.64354
2020-08-03,68.59344
2020-08-04,55.684
2020-08-05,61.27167
2020-08-06,58.95953
2020-08-07,53.56454
2020-08-08,14.25818
2020-08-09,18.68978
2020-08-10,91.32947
2020-08-11,68.40077
2020-08-12,57.03275
2020-08-13,53.9499
2020-08-14,45.47206
2020-08-15,13.10211
2020-08-16,14.64354
2020-08-17,28.90173
2020-08-18,59.92292
2020-08-19,61.27167
2020-08-20,57.22543
2020-08-21,49.13294
2020-08-22,15.99229
2020-08-23,13.87283
2020-08-24,61.84971
2020-08-25,60.30828
2020-08-26,56.26204
2020-08-27,59.15221
2020-08-28,55.10597
2020-08-29,21.1946
2020-08-30,18.68978
2020-08-31,75.91522
2020-09-01,82.2736
2020-09-02,69.94219
2020-09-03,60.1156
2020-09-04,53.56454
2020-09-05,16.95568
2020-09-06,16.57032
2020-09-07,67.05202
2020-09-08,68.01541
2020-09-09,61.84971
2020-09-10,67.05202
2020-09-11,48.94026
2020-09-12,18.11175
2020-09-13,15.79961
2020-09-14,60.50096
2020-09-15,56.45472
2020-09-16,51.63776
2020-09-17,46.8208
2020-09-18,46.05009
2020-09-19,10.98265
2020-09-20,12.52408
2020-09-21,54.72061
