date,사업아이템
2020-03-20,56.35276
2020-03-21,50.37369
2020-03-22,63.07922
2020-03-23,66.81614
2020-03-24,60.83707
2020-03-25,60.68759
2020-03-26,60.68759
2020-03-27,51.42002
2020-03-28,46.93572
2020-03-29,52.61584
2020-03-30,63.52765
2020-03-31,59.3423
2020-04-01,52.16741
2020-04-02,54.55904
2020-04-03,44.39461
2020-04-04,41.55455
2020-04-05,50.67264
2020-04-06,58.14648
2020-04-07,65.17189
2020-04-08,59.19282
2020-04-09,55.90433
2020-04-10,47.6831
2020-04-11,44.09566
2020-04-12,61.13602
2020-04-13,68.90881
2020-04-14,65.47085
2020-04-15,54.70852
2020-04-16,60.23916
2020-04-17,54.11061
2020-04-18,47.83258
2020-04-19,59.19282
2020-04-20,66.51718
2020-04-21,72.1973
2020-04-22,71.74887
2020-04-23,63.97608
2020-04-24,59.3423
2020-04-25,50.82212
2020-04-26,63.52765
2020-04-27,75.33632
2020-04-28,67.41405
2020-04-29,53.66218
2020-04-30,41.40508
2020-05-01,48.72944
2020-05-02,49.92526
2020-05-03,62.18236
2020-05-04,66.06875
2020-05-05,78.62481
2020-05-06,77.72795
2020-05-07,71.5994
2020-05-08,65.17189
2020-05-09,57.10014
2020-05-10,59.49177
2020-05-11,87.44394
2020-05-12,75.03736
2020-05-13,73.39312
2020-05-14,64.42451
2020-05-15,57.99701
2020-05-16,53.36322
2020-05-17,63.37817
2020-05-18,99.55156
2020-05-19,86.3976
2020-05-20,71.89835
2020-05-21,64.57399
2020-05-22,60.38863
2020-05-23,35.27653
2020-05-24,60.08968
2020-05-25,80.41853
2020-05-26,67.26457
2020-05-27,67.56352
2020-05-28,61.13602
2020-05-29,47.38415
2020-05-30,44.24514
2020-05-31,58.74439
2020-06-01,75.48579
2020-06-02,59.19282
2020-06-03,67.713
2020-06-04,54.70852
2020-06-05,53.06427
2020-06-06,46.48729
2020-06-07,53.06427
2020-06-08,66.96562
2020-06-09,60.83707
2020-06-10,59.04334
2020-06-11,68.01195
2020-06-12,58.89387
2020-06-13,47.6831
2020-06-14,56.65171
2020-06-15,75.93423
2020-06-16,66.66666
2020-06-17,63.22869
2020-06-18,64.57399
2020-06-19,55.75485
2020-06-20,42.00298
2020-06-21,61.43497
2020-06-22,75.63527
2020-06-23,73.84155
2020-06-24,76.53213
2020-06-25,70.10463
2020-06-26,57.69805
2020-06-27,42.00298
2020-06-28,56.35276
2020-06-29,72.34678
2020-06-30,66.66666
2020-07-01,65.17189
2020-07-02,63.07922
2020-07-03,52.91479
2020-07-04,49.32735
2020-07-05,61.13602
2020-07-06,78.47533
2020-07-07,66.06875
2020-07-08,65.62032
2020-07-09,69.50672
