date,KODEX2차전지산업
2020-03-20,1.34578
2020-03-21,0.33248
2020-03-22,0.40637
2020-03-23,1.01329
2020-03-24,1.16635
2020-03-25,1.61494
2020-03-26,1.29301
2020-03-27,1.09246
2020-03-28,0.42748
2020-03-29,0.5172
2020-03-30,1.05552
2020-03-31,1.05024
2020-04-01,1.18218
2020-04-02,1.23495
2020-04-03,1.12412
2020-04-04,0.23221
2020-04-05,0.2586
2020-04-06,0.88663
2020-04-07,0.98163
2020-04-08,1.35634
2020-04-09,1.32995
2020-04-10,1.14523
2020-04-11,0.41693
2020-04-12,0.46442
2020-04-13,1.10829
2020-04-14,1.24551
2020-04-15,0.60164
2020-04-16,1.64661
2020-04-17,1.89465
2020-04-18,0.72303
2020-04-19,0.78108
2020-04-20,1.72049
2020-04-21,1.37745
2020-04-22,1.20329
2020-04-23,1.41439
2020-04-24,1.11357
2020-04-25,0.32193
2020-04-26,0.31137
2020-04-27,1.15579
2020-04-28,1.07663
2020-04-29,1.29301
2020-04-30,0.60164
2020-05-01,0.31137
2020-05-02,0.26915
2020-05-03,0.29554
2020-05-04,0.89191
2020-05-05,0.35359
2020-05-06,1.02913
2020-05-07,0.8233
2020-05-08,0.80747
2020-05-09,0.35887
2020-05-10,0.23749
2020-05-11,0.86024
2020-05-12,1.05552
2020-05-13,1.68883
2020-05-14,1.39856
2020-05-15,1.34578
2020-05-16,0.31665
2020-05-17,0.27443
2020-05-18,1.34051
2020-05-19,1.33523
2020-05-20,1.76799
2020-05-21,2.32742
2020-05-22,1.55161
2020-05-23,0.4697
2020-05-24,0.44331
2020-05-25,2.21131
2020-05-26,4.30124
2020-05-27,3.24044
2020-05-28,2.83407
2020-05-29,1.97382
2020-05-30,0.48026
2020-05-31,0.48026
2020-06-01,2.57546
2020-06-02,2.69157
2020-06-03,2.64935
2020-06-04,2.67046
2020-06-05,2.8974
2020-06-06,0.67025
2020-06-07,0.60692
2020-06-08,2.4013
2020-06-09,2.15326
2020-06-10,2.59658
2020-06-11,2.86573
2020-06-12,2.27992
2020-06-13,0.54359
2020-06-14,0.54359
2020-06-15,2.34325
2020-06-16,2.76018
2020-06-17,2.71268
2020-06-18,2.0477
2020-06-19,2.16909
2020-06-20,0.67025
2020-06-21,0.62275
2020-06-22,2.52797
2020-06-23,2.87629
2020-06-24,2.59658
2020-06-25,2.16909
2020-06-26,2.10576
2020-06-27,0.39054
2020-06-28,0.3747
2020-06-29,1.82605
2020-06-30,1.67827
2020-07-01,1.62022
2020-07-02,1.77855
2020-07-03,2.0477
2020-07-04,0.51192
2020-07-05,0.51192
2020-07-06,2.34853
2020-07-07,2.45408
2020-07-08,2.06881
2020-07-09,2.51741
2020-07-10,2.55435
2020-07-11,0.61747
2020-07-12,0.50137
2020-07-13,2.66518
2020-07-14,2.32214
2020-07-15,2.56491
2020-07-16,1.97382
2020-07-17,2.25353
2020-07-18,0.44331
2020-07-19,0.34832
2020-07-20,2.11631
2020-07-21,2.38547
2020-07-22,2.61769
2020-07-23,2.48575
2020-07-24,1.99493
2020-07-25,0.36943
2020-07-26,0.39582
2020-07-27,2.13742
2020-07-28,2.4963
2020-07-29,2.46991
2020-07-30,2.34325
2020-07-31,4.10069
2020-08-01,1.29301
2020-08-02,1.47245
2020-08-03,7.11948
2020-08-04,6.47033
2020-08-05,11.18851
2020-08-06,13.03039
2020-08-07,15.37893
2020-08-08,4.46485
2020-08-09,3.74181
2020-08-10,15.7853
2020-08-11,14.88283
2020-08-12,13.08317
2020-08-13,13.29955
2020-08-14,14.02258
2020-08-15,1.95799
2020-08-16,1.33523
2020-08-17,2.03187
2020-08-18,11.95376
2020-08-19,12.25459
2020-08-20,10.71353
2020-08-21,11.29934
2020-08-22,1.40911
2020-08-23,1.21384
2020-08-24,10.06438
2020-08-25,11.24129
2020-08-26,12.60291
2020-08-27,13.87481
2020-08-28,11.94321
2020-08-29,1.52522
2020-08-30,1.46189
2020-08-31,11.22018
2020-09-01,10.67131
2020-09-02,9.98522
2020-09-03,11.45239
2020-09-04,9.73717
2020-09-05,1.49356
2020-09-06,1.12412
2020-09-07,9.20413
2020-09-08,9.61579
2020-09-09,7.92168
2020-09-10,8.68693
2020-09-11,7.76335
2020-09-12,1.20857
2020-09-13,1.10301
2020-09-14,8.41249
2020-09-15,9.49968
2020-09-16,10.56048
2020-09-17,10.33354
2020-09-18,9.26219
2020-09-19,1.52522
2020-09-20,1.37745
2020-09-21,8.5761
2020-09-22,8.24889
2020-09-23,10.93519
2020-09-24,9.29913
2020-09-25,7.85307
2020-09-26,0.93941
2020-09-27,0.90246
2020-09-28,7.11948
2020-09-29,6.6445
2020-09-30,0.90246
2020-10-01,0.69664
2020-10-02,0.74414
2020-10-03,0.52776
2020-10-04,0.6122
2020-10-05,6.27506
2020-10-06,6.62339
2020-10-07,6.62339
2020-10-08,7.23031
2020-10-09,1.28245
2020-10-10,1.00802
2020-10-11,0.90774
2020-10-12,6.81866
2020-10-13,6.04285
2020-10-14,6.01118
2020-10-15,5.5837
2020-10-16,5.23538
2020-10-17,0.82858
2020-10-18,0.55942
2020-10-19,5.17732
2020-10-20,5.69981
2020-10-21,4.91344
2020-10-22,4.50707
2020-10-23,4.32763
2020-10-24,0.74414
2020-10-25,0.54359
2020-10-26,4.60734
2020-10-27,4.74456
2020-10-28,5.07705
2020-10-29,4.40679
2020-10-30,4.91344
2020-10-31,0.63858
2020-11-01,0.56998
2020-11-02,4.94511
2020-11-03,6.25923
2020-11-04,6.32256
2020-11-05,8.67109
2020-11-06,10.15938
2020-11-07,3.09267
2020-11-08,3.64154
2020-11-09,16.40278
2020-11-10,12.49736
2020-11-11,10.53937
2020-11-12,9.04053
2020-11-13,8.49693
2020-11-14,1.39856
2020-11-15,1.29829
2020-11-16,8.63943
2020-11-17,8.7397
2020-11-18,8.82415
2020-11-19,8.94025
2020-11-20,7.92695
2020-11-21,1.46717
2020-11-22,0.98163
2020-11-23,10.08021
2020-11-24,13.0515
2020-11-25,12.81929
2020-11-26,10.15938
2020-11-27,11.08296
2020-11-28,3.2985
2020-11-29,3.45155
2020-11-30,12.31264
2020-12-01,10.68714
2020-12-02,11.76377
2020-12-03,12.02237
2020-12-04,11.00907
2020-12-05,1.92104
2020-12-06,1.91049
2020-12-07,11.60016
2020-12-08,11.34156
2020-12-09,14.1598
2020-12-10,14.15452
2020-12-11,13.10956
2020-12-12,1.89993
2020-12-13,1.72049
2020-12-14,13.37872
2020-12-15,11.86932
2020-12-16,13.42094
2020-12-17,15.33671
2020-12-18,14.45007
2020-12-19,3.16128
2020-12-20,3.09795
2020-12-21,15.45809
2020-12-22,15.5742
2020-12-23,19.90183
2020-12-24,21.68566
2020-12-25,7.54697
2020-12-26,10.67131
2020-12-27,13.81148
2020-12-28,30.9848
2020-12-29,31.73421
2020-12-30,32.95334
2020-12-31,10.2966
2021-01-01,6.9981
2021-01-02,6.92421
2021-01-03,8.3861
2021-01-04,58.84526
2021-01-05,53.5096
2021-01-06,59.32552
