date,야간선물
2020-03-20,83.48064
2020-03-21,35.32459
2020-03-22,15.66595
2020-03-23,71.1978
2020-03-24,81.59097
2020-03-25,83.87686
2020-03-26,67.23559
2020-03-27,77.99451
2020-03-28,24.56568
2020-03-29,11.61231
2020-03-30,39.16488
2020-03-31,47.63791
2020-04-01,51.02103
2020-04-02,53.27644
2020-04-03,39.89637
2020-04-04,16.06217
2020-04-05,3.2612
2020-04-06,50.38098
2020-04-07,66.29076
2020-04-08,33.49588
2020-04-09,17.64705
2020-04-10,9.7836
2020-04-11,2.43828
2020-04-12,2.43828
2020-04-13,14.11155
2020-04-14,10.97226
2020-04-15,5.27278
2020-04-16,8.16824
2020-04-17,6.30905
2020-04-18,2.71258
2020-04-19,1.79823
2020-04-20,8.10728
2020-04-21,8.35111
2020-04-22,9.53977
2020-04-23,7.3758
2020-04-24,5.79091
2020-04-25,2.37732
2020-04-26,0.97531
2020-04-27,5.05943
2020-04-28,4.93751
2020-04-29,4.35842
2020-04-30,1.82871
2020-05-01,1.64583
2020-05-02,0.85339
2020-05-03,1.03626
2020-05-04,3.65742
2020-05-05,2.01158
2020-05-06,4.93751
2020-05-07,4.05364
2020-05-08,3.99268
2020-05-09,1.40201
2020-05-10,1.49344
2020-05-11,3.84029
2020-05-12,3.71837
2020-05-13,4.8156
2020-05-14,3.80981
2020-05-15,2.13349
2020-05-16,0.54861
2020-05-17,0.94483
2020-05-18,3.13928
2020-05-19,2.98689
2020-05-20,2.95641
2020-05-21,2.34684
2020-05-22,2.46875
2020-05-23,0.94483
2020-05-24,0.67052
2020-05-25,2.98689
2020-05-26,2.92593
2020-05-27,3.47455
2020-05-28,2.65163
2020-05-29,2.6821
2020-05-30,1.03626
2020-05-31,0.51813
2020-06-01,3.16976
2020-06-02,3.5355
2020-06-03,4.48034
2020-06-04,3.71837
2020-06-05,2.28588
2020-06-06,1.64583
2020-06-07,0.73148
2020-06-08,3.07832
2020-06-09,3.44407
2020-06-10,2.80402
2020-06-11,4.3889
2020-06-12,6.82718
2020-06-13,1.28009
2020-06-14,0.67052
2020-06-15,4.14507
2020-06-16,11.58183
2020-06-17,6.30905
2020-06-18,3.01737
2020-06-19,2.46875
2020-06-20,1.46296
2020-06-21,1.24961
2020-06-22,2.04206
2020-06-23,2.6821
2020-06-24,3.93172
2020-06-25,3.5355
2020-06-26,2.43828
2020-06-27,1.5544
2020-06-28,0.45717
2020-06-29,2.19445
2020-06-30,1.88966
2020-07-01,3.71837
2020-07-02,1.85918
2020-07-03,1.67631
2020-07-04,0.36574
2020-07-05,0.60957
2020-07-06,2.01158
2020-07-07,1.88966
2020-07-08,1.70679
2020-07-09,1.67631
2020-07-10,1.49344
2020-07-11,0.85339
2020-07-12,0.15239
2020-07-13,1.88966
2020-07-14,2.98689
2020-07-15,2.56019
2020-07-16,1.52392
2020-07-17,1.43249
2020-07-18,0.45717
2020-07-19,0.67052
2020-07-20,2.4078
2020-07-21,2.49923
2020-07-22,1.58488
2020-07-23,1.76775
2020-07-24,1.79823
2020-07-25,0.76196
2020-07-26,0.15239
2020-07-27,1.9811
2020-07-28,1.92014
2020-07-29,2.01158
2020-07-30,2.19445
2020-07-31,1.76775
2020-08-01,1.03626
2020-08-02,0.33526
2020-08-03,1.73727
2020-08-04,2.8345
2020-08-05,2.22493
2020-08-06,2.01158
2020-08-07,2.37732
2020-08-08,1.40201
2020-08-09,0.2743
2020-08-10,3.01737
2020-08-11,3.62694
2020-08-12,3.20024
2020-08-13,2.22493
2020-08-14,1.95062
2020-08-15,0.60957
2020-08-17,1.00579
2020-08-18,2.62115
2020-08-19,3.04785
2020-08-20,3.44407
2020-08-21,4.14507
2020-08-22,0.67052
2020-08-23,0.54861
2020-08-24,2.6821
2020-08-25,2.6821
2020-08-26,3.07832
2020-08-27,2.31636
2020-08-28,2.46875
2020-08-29,0.82291
2020-08-30,0.36574
2020-08-31,1.64583
2020-09-01,2.56019
2020-09-02,2.89545
2020-09-03,2.74306
2020-09-04,7.6501
2020-09-05,1.64583
2020-09-06,0.60957
2020-09-07,2.80402
2020-09-08,3.2612
2020-09-09,5.39469
2020-09-10,3.04785
2020-09-11,2.28588
2020-09-12,0.85339
2020-09-13,0.51813
2020-09-14,3.23072
2020-09-15,3.71837
2020-09-16,2.89545
2020-09-17,3.56598
2020-09-18,2.92593
2020-09-19,1.09722
2020-09-20,0.18287
2020-09-21,4.29747
2020-09-22,4.96799
2020-09-23,4.87656
2020-09-24,4.57177
2020-09-25,3.32215
2020-09-26,1.06674
2020-09-27,0.33526
2020-09-28,2.59067
2020-09-29,3.04785
2020-09-30,1.06674
2020-10-01,0.85339
2020-10-02,1.64583
2020-10-03,0.64004
2020-10-04,0.51813
2020-10-05,2.56019
2020-10-06,3.01737
2020-10-07,3.41359
2020-10-08,2.10301
2020-10-09,0.88387
2020-10-10,0.33526
2020-10-11,0.2743
2020-10-12,1.34105
2020-10-13,2.28588
2020-10-14,3.01737
2020-10-15,3.80981
2020-10-16,3.5355
2020-10-17,0.94483
2020-10-18,0.30478
2020-10-19,2.95641
2020-10-20,3.77933
2020-10-21,3.38311
2020-10-22,3.2612
2020-10-23,2.59067
2020-10-24,1.37153
2020-10-25,0.45717
2020-10-26,5.02895
2020-10-27,4.41938
2020-10-28,4.48034
2020-10-29,5.54708
2020-10-30,4.99847
2020-10-31,1.76775
2020-11-01,1.00579
2020-11-02,3.99268
2020-11-03,3.38311
2020-11-04,5.15086
2020-11-05,5.21182
2020-11-06,3.35263
2020-11-07,1.06674
2020-11-08,0.2743
2020-11-09,6.21761
2020-11-10,5.9433
2020-11-11,4.63273
2020-11-12,3.80981
2020-11-13,3.71837
2020-11-14,1.34105
2020-11-15,0.36574
2020-11-16,3.50502
2020-11-17,4.69369
2020-11-18,3.32215
2020-11-19,3.35263
2020-11-20,2.34684
2020-11-21,1.5544
2020-11-22,0.2743
2020-11-23,2.49923
2020-11-24,4.48034
2020-11-25,4.66321
2020-11-26,2.65163
2020-11-27,3.2612
2020-11-28,0.85339
2020-11-29,0.18287
2020-11-30,3.71837
2020-12-01,5.42517
2020-12-02,4.44986
2020-12-03,4.60225
2020-12-04,4.32794
2020-12-05,1.70679
2020-12-06,0.33526
2020-12-07,3.38311
2020-12-08,6.18713
2020-12-09,5.9433
2020-12-10,5.21182
2020-12-11,3.84029
2020-12-12,1.82871
2020-12-13,0.57909
2020-12-14,2.6821
2020-12-15,4.87656
2020-12-16,3.5355
2020-12-17,4.14507
2020-12-18,3.01737
2020-12-19,1.92014
2020-12-20,0.57909
2020-12-21,6.61383
2020-12-22,7.31484
2020-12-23,5.76043
2020-12-24,5.72996
2020-12-25,1.09722
2020-12-26,0.2743
2020-12-27,0.51813
2020-12-28,4.63273
2020-12-29,4.87656
2020-12-30,4.54129
2020-12-31,1.49344
2021-01-01,0.42669
2021-01-02,0.15239
2021-01-03,0.33526
2021-01-04,3.90124
2021-01-05,5.51661
2021-01-06,6.0957
2021-01-07,5.60804
2021-01-08,4.75464
2021-01-09,2.04206
2021-01-10,1.03626
2021-01-11,6.7967
2021-01-12,6.91862
2021-01-13,7.19292
2021-01-14,6.5224
2021-01-15,6.15665
2021-01-16,2.74306
2021-01-17,0.79244
2021-01-18,4.60225
2021-01-19,6.40048
2021-01-20,6.58335
2021-01-21,7.28436
2021-01-22,4.87656
2021-01-23,1.34105
