date,증여상속
2020-11-07,15.41218
2020-11-08,20.07168
2020-11-09,24.73118
2020-11-10,17.92114
2020-11-11,16.84587
2020-11-12,18.99641
2020-11-13,21.50537
2020-11-14,9.67741
2020-11-15,8.96057
2020-11-16,17.92114
2020-11-17,21.86379
2020-11-18,19.71326
2020-11-19,16.84587
2020-11-20,17.56272
2020-11-21,11.82795
2020-11-22,11.82795
2020-11-23,22.93906
2020-11-24,22.93906
2020-11-25,17.2043
2020-11-26,22.22222
2020-11-27,16.12903
2020-11-28,16.48745
2020-11-29,18.63799
2020-11-30,20.78853
2020-12-01,16.48745
2020-12-02,21.50537
2020-12-03,18.99641
2020-12-04,18.99641
2020-12-05,15.41218
2020-12-06,13.26164
2020-12-07,27.59856
2020-12-08,19.71326
2020-12-09,13.26164
2020-12-10,18.27956
2020-12-11,17.2043
2020-12-12,13.62007
2020-12-13,8.96057
2020-12-14,15.7706
2020-12-15,19.71326
2020-12-16,22.93906
2020-12-17,16.84587
2020-12-18,12.5448
2020-12-19,11.11111
2020-12-20,12.5448
2020-12-21,15.41218
2020-12-22,18.27956
2020-12-23,16.12903
2020-12-24,14.33691
2020-12-25,14.33691
2020-12-26,27.24014
2020-12-27,26.52329
2020-12-28,23.29749
2020-12-29,33.33333
2020-12-30,36.91756
2020-12-31,36.55913
2021-01-01,37.99283
2021-01-02,37.6344
2021-01-03,33.33333
2021-01-04,51.6129
2021-01-05,37.6344
2021-01-06,42.65232
2021-01-07,39.42652
2021-01-08,31.18279
2021-01-09,32.97491
2021-01-10,35.12544
2021-01-11,23.29749
2021-01-12,37.99283
2021-01-13,43.72759
2021-01-14,48.38709
2021-01-15,45.16129
2021-01-16,46.23655
2021-01-17,33.69175
2021-01-18,43.01075
2021-01-19,56.63082
2021-01-20,46.59498
2021-01-21,43.36917
2021-01-22,46.23655
2021-01-23,37.6344
2021-01-24,41.93548
2021-01-25,65.59139
2021-01-26,62.36559
2021-01-27,59.13978
2021-01-28,49.10394
2021-01-29,48.74551
2021-01-30,24.37275
2021-01-31,29.39068
2021-02-01,54.8387
2021-02-02,53.40501
2021-02-03,48.74551
2021-02-04,40.50179
2021-02-05,34.76702
2021-02-06,37.6344
