date,홍콩ELS
2022-12-05,0.17513
2022-12-07,0.09271
2022-12-08,0.06181
2022-12-09,0.25754
2022-12-10,0.0515
2022-12-11,0.06181
2022-12-12,0.06181
2022-12-13,0.06181
2022-12-14,0.10301
2022-12-15,0.06181
2022-12-16,0.0515
2022-12-21,0.06181
2022-12-22,0.06181
2022-12-23,0.06181
2022-12-26,0.0515
2022-12-28,0.09271
2022-12-29,0.0515
2022-12-30,0.0515
2023-01-02,0.0515
2023-01-03,0.08241
2023-01-05,0.06181
2023-01-06,0.10301
2023-01-07,0.12362
2023-01-08,0.10301
2023-01-12,0.06181
2023-01-15,0.0515
2023-01-16,0.08241
2023-01-18,0.08241
2023-01-20,0.06181
2023-01-24,0.06181
2023-01-25,0.10301
2023-01-26,0.06181
2023-01-27,0.06181
2023-01-29,0.07211
2023-02-02,0.06181
2023-02-03,0.08241
2023-02-07,0.06181
2023-02-08,0.07211
2023-02-14,0.0515
2023-02-22,0.09271
2023-02-24,0.06181
2023-02-27,0.0515
2023-02-28,0.08241
2023-03-09,0.07211
2023-03-10,0.0515
2023-03-12,0.06181
2023-03-13,0.0515
2023-03-14,0.06181
2023-03-16,0.09271
2023-03-21,0.09271
2023-03-23,0.0515
2023-03-28,0.06181
2023-04-04,0.06181
2023-04-05,0.14422
2023-04-11,0.06181
2023-04-12,0.07211
2023-04-13,0.0515
2023-04-20,0.0515
2023-04-21,0.06181
2023-04-22,0.10301
2023-04-23,0.0515
2023-04-24,0.0515
2023-04-27,0.07211
2023-04-28,0.0515
2023-05-01,0.08241
2023-05-02,0.08241
2023-05-04,0.0515
2023-05-05,0.06181
2023-05-09,0.09271
2023-05-13,0.07211
2023-05-15,0.0515
2023-05-16,0.0515
2023-05-17,0.06181
2023-05-18,0.06181
2023-05-19,0.08241
2023-05-22,0.0515
2023-05-24,0.06181
2023-05-25,0.12362
2023-05-26,0.08241
2023-05-30,0.10301
2023-05-31,0.18543
2023-06-01,0.06181
2023-06-02,0.07211
2023-06-13,0.0515
2023-06-14,0.07211
2023-06-15,0.0515
2023-06-16,0.0515
2023-06-17,0.0515
2023-06-22,0.08241
2023-06-26,0.0515
2023-07-04,0.06181
2023-07-05,0.0515
2023-07-06,0.12362
2023-07-07,0.09271
2023-07-09,0.0515
2023-07-12,0.0515
2023-07-13,0.0515
2023-07-14,0.0515
2023-07-18,0.17513
2023-07-19,0.12362
2023-07-20,0.14422
2023-07-21,0.14422
2023-07-22,0.06181
2023-07-23,0.06181
2023-07-24,0.13392
2023-07-25,0.08241
2023-07-26,0.13392
2023-07-28,0.10301
2023-07-30,0.10301
2023-07-31,1.31863
2023-08-01,0.99927
2023-08-02,0.42237
2023-08-03,0.36056
2023-08-04,0.15452
2023-08-05,0.0515
2023-08-06,0.19573
2023-08-07,0.07211
2023-08-08,0.38116
2023-08-09,0.28845
2023-08-10,0.20603
2023-08-11,0.31935
2023-08-12,0.14422
2023-08-13,0.06181
2023-08-14,0.5975
2023-08-15,0.27814
2023-08-16,0.51509
2023-08-17,0.23694
2023-08-18,0.52539
2023-08-19,0.29875
2023-08-20,0.27814
2023-08-21,1.1435
2023-08-22,0.87565
2023-08-23,0.54599
2023-08-24,0.45328
2023-08-25,0.35026
2023-08-26,0.16482
2023-08-27,0.16482
2023-08-28,0.31935
2023-08-29,0.46358
2023-08-30,0.39147
2023-08-31,0.36056
2023-09-01,0.31935
2023-09-02,0.22664
2023-09-03,0.29875
2023-09-04,0.46358
2023-09-05,0.35026
2023-09-06,0.47388
2023-09-07,0.79324
2023-09-08,0.64901
2023-09-09,0.32965
2023-09-10,0.12362
2023-09-11,0.42237
2023-09-12,0.39147
2023-09-13,0.42237
2023-09-14,0.42237
2023-09-15,0.44297
2023-09-16,0.25754
2023-09-17,0.76233
2023-09-18,0.70052
2023-09-19,0.53569
2023-09-20,0.63871
2023-09-21,0.65931
2023-09-22,0.32965
2023-09-23,0.13392
2023-09-24,0.11332
2023-09-25,0.22664
2023-09-26,0.31935
2023-09-27,0.40177
2023-09-28,0.35026
2023-09-29,0.18543
2023-09-30,0.22664
2023-10-01,0.13392
2023-10-02,0.19573
2023-10-03,0.5666
2023-10-04,0.74173
2023-10-05,0.51509
2023-10-06,0.50479
2023-10-07,0.27814
2023-10-08,0.15452
2023-10-09,0.36056
2023-10-10,0.36056
2023-10-11,0.46358
2023-10-12,0.22664
2023-10-13,0.32965
2023-10-14,0.0515
2023-10-15,0.15452
2023-10-16,0.30905
2023-10-17,0.18543
2023-10-18,0.42237
2023-10-19,0.53569
2023-10-20,0.5975
2023-10-21,0.20603
2023-10-22,0.29875
2023-10-23,0.62841
2023-10-24,0.62841
2023-10-25,0.54599
2023-10-26,1.31863
2023-10-27,1.79252
2023-10-28,0.53569
2023-10-29,0.71082
2023-10-30,1.06108
2023-10-31,0.92716
2023-11-01,0.90656
2023-11-02,0.73143
2023-11-03,0.5666
2023-11-04,0.32965
2023-11-05,0.30905
2023-11-06,3.87349
2023-11-07,1.18471
2023-11-08,0.95807
2023-11-09,0.66961
2023-11-10,1.30833
2023-11-11,0.47388
2023-11-12,0.24724
2023-11-13,0.76233
2023-11-14,0.90656
2023-11-15,0.63871
2023-11-16,0.65931
2023-11-17,0.76233
2023-11-18,0.37086
2023-11-19,0.64901
2023-11-20,4.76975
2023-11-21,2.75059
2023-11-22,1.63799
2023-11-23,5.19212
2023-11-24,19.41897
2023-11-25,10.6521
2023-11-26,23.99299
2023-11-27,100.0
2023-11-28,32.61563
2023-11-29,29.40146
2023-11-30,20.89213
2023-12-01,17.27619
2023-12-02,16.36963
2023-12-03,18.37848
2023-12-04,29.0615
2023-12-05,16.00906
2023-12-06,11.61017
2023-12-07,12.05315
2023-12-08,20.00618
2023-12-09,6.96404
2023-12-10,5.22303
2023-12-11,9.99278
2023-12-12,8.3857
2023-12-13,10.71391
2023-12-14,8.84928
2023-12-15,27.14535
2023-12-16,14.50499
2023-12-17,6.42835
2023-12-18,10.15761
2023-12-19,8.73596
2023-12-20,8.3857
2023-12-21,6.50046
2023-12-22,14.30926
2023-12-23,8.84928
2023-12-24,7.48944
2023-12-25,9.13773
2023-12-26,9.02441
2023-12-27,9.57041
2023-12-28,13.04213
2023-12-29,7.38642
2023-12-30,4.90367
2023-12-31,4.05892
2024-01-01,4.72854
2024-01-02,7.18038
2024-01-03,10.53878
2024-01-04,11.36293
2024-01-05,13.69115
2024-01-06,7.39672
2024-01-07,23.91057
2024-01-08,35.67528
2024-01-09,19.5632
2024-01-10,17.02894
2024-01-11,15.94725
2024-01-12,15.55578
2024-01-13,8.51962
2024-01-14,44.26702
2024-01-15,34.06819
2024-01-16,25.98125
2024-01-17,27.68105
2024-01-18,19.18203
2024-01-19,48.73802
2024-01-20,38.37436
2024-01-21,23.25126
2024-01-22,35.35592
2024-01-23,42.87627
2024-01-24,27.80467
2024-01-25,20.06799
2024-01-26,16.67868
2024-01-27,10.03399
2024-01-28,9.90007
2024-01-29,23.90027
2024-01-30,32.53322
2024-01-31,21.20119
2024-02-01,15.94725
2024-02-02,32.52292
2024-02-03,24.39476
2024-02-04,20.78912
2024-02-05,31.8739
2024-02-06,21.53085
2024-02-07,17.20407
2024-02-08,13.17605
2024-02-09,10.6418
2024-02-10,11.83681
2024-02-11,9.92067
2024-02-12,10.94055
2024-02-13,22.89069
2024-02-14,17.20407
2024-02-15,19.19233
2024-02-16,18.76995
2024-02-17,10.33274
2024-02-18,9.94127
2024-02-19,21.73689
2024-02-20,18.56392
2024-02-21,19.70742
2024-02-22,17.67796
2024-02-23,16.57566
2024-02-24,11.72349
2024-02-25,11.1878
2024-02-26,17.8943
2024-02-27,18.70814
2024-02-28,19.34686
2024-02-29,18.31667
2024-03-01,10.84784
2024-03-02,9.58071
2024-03-03,8.3857
2024-03-04,16.2357
2024-03-05,24.01359
2024-03-06,19.81044
2024-03-07,18.11064
2024-03-08,17.63675
2024-03-09,11.04357
2024-03-10,14.05171
2024-03-11,89.28608
2024-03-12,53.6829
2024-03-13,29.51478
2024-03-14,19.83104
2024-03-15,30.13289
2024-03-16,14.70073
2024-03-17,12.49613
2024-03-18,18.59482
2024-03-19,23.43669
2024-03-20,19.28505
