date,기아주식
2020-11-08,0.63504
2020-11-09,1.27009
2020-11-10,1.76622
2020-11-11,2.95693
2020-11-12,2.54018
2020-11-13,3.05616
2020-11-14,1.32962
2020-11-15,1.82575
2020-11-16,3.15538
2020-11-17,1.92498
2020-11-18,1.66699
2020-11-19,1.6273
2020-11-20,1.74637
2020-11-21,1.0121
2020-11-22,0.95256
2020-11-23,2.2425
2020-11-24,2.54018
2020-11-25,2.12343
2020-11-26,1.54792
2020-11-27,1.68684
2020-11-28,1.52808
2020-11-29,1.64715
2020-11-30,3.27445
2020-12-01,2.08374
2020-12-02,2.22266
2020-12-03,3.75074
2020-12-04,4.20718
2020-12-05,1.92498
2020-12-06,2.52034
2020-12-07,4.06826
2020-12-08,2.30204
2020-12-09,2.8974
2020-12-10,2.69894
2020-12-11,2.02421
2020-12-12,1.38916
2020-12-13,1.48839
2020-12-14,2.28219
2020-12-15,2.26235
2020-12-16,2.0639
2020-12-17,1.82575
2020-12-18,1.66699
2020-12-19,1.03195
2020-12-20,1.48839
2020-12-21,2.2425
2020-12-22,3.59198
2020-12-23,2.63941
2020-12-24,2.40127
2020-12-25,1.13117
2020-12-26,2.22266
2020-12-27,2.65925
2020-12-28,4.18733
2020-12-29,3.86981
2020-12-30,3.61182
2020-12-31,2.71879
2021-01-01,1.88529
2021-01-02,2.42111
2021-01-03,2.8577
2021-01-04,6.1917
2021-01-05,6.37031
2021-01-06,7.2435
2021-01-07,7.93808
2021-01-08,15.89601
2021-01-09,8.6922
2021-01-10,6.92597
2021-01-11,10.79579
2021-01-12,7.69994
2021-01-13,10.04167
2021-01-14,7.52133
2021-01-15,15.3205
2021-01-16,6.13216
2021-01-17,4.90176
2021-01-18,8.45405
2021-01-19,57.43203
2021-01-20,58.66243
2021-01-21,22.38539
2021-01-22,17.48362
2021-01-23,8.57312
2021-01-24,7.04504
2021-01-25,14.07025
2021-01-26,10.85532
2021-01-27,11.5896
2021-01-28,9.34709
2021-01-29,8.11668
2021-01-30,5.43758
2021-01-31,5.25897
