date,삼성증권고객센터
2020-12-21,3.63526
2020-12-22,3.63526
2020-12-23,3.12026
2020-12-24,3.57467
2020-12-25,0.39382
2020-12-27,0.33323
2020-12-28,7.17964
2020-12-29,5.9073
2020-12-30,6.392
2020-12-31,2.96879
2021-01-01,0.21205
2021-01-02,0.30293
2021-01-03,0.33323
2021-01-04,6.90699
2021-01-05,5.57406
2021-01-06,4.63495
2021-01-07,5.69524
2021-01-08,6.78582
2021-01-09,0.51499
2021-01-10,0.39382
2021-01-11,7.96728
2021-01-12,6.17994
2021-01-13,5.24083
2021-01-14,5.08936
2021-01-15,4.08966
2021-01-16,0.60587
2021-01-17,0.24235
2021-01-18,5.45289
2021-01-19,5.54377
2021-01-20,15.41956
2021-01-21,7.24023
2021-01-22,5.21054
2021-01-23,0.39382
2021-01-25,7.14934
2021-01-26,6.96758
2021-01-27,4.9076
2021-01-28,5.69524
2021-01-29,4.21084
2021-01-30,0.27264
2021-02-01,5.27112
2021-02-02,3.45349
2021-02-03,2.4538
2021-02-04,2.57497
2021-02-05,2.78703
2021-02-06,0.33323
2021-02-08,4.24113
2021-02-09,3.84731
2021-02-10,3.21114
2021-02-12,0.24235
2021-02-13,0.15146
2021-02-14,0.30293
2021-02-15,5.69524
2021-02-16,6.17994
2021-02-17,5.877
2021-02-18,5.21054
2021-02-19,6.78582
2021-02-20,0.51499
2021-02-21,0.15146
2021-02-22,5.48318
2021-02-23,5.54377
2021-02-24,5.84671
2021-02-25,7.8461
2021-02-26,4.9076
2021-02-27,1.15116
2021-02-28,0.4544
2021-03-01,0.57558
2021-03-02,4.45319
2021-03-03,7.27052
2021-03-04,10.08785
2021-03-05,5.63465
2021-03-06,0.4847
2021-03-07,0.30293
2021-03-08,5.14995
2021-03-09,10.48167
2021-03-10,11.84489
2021-03-11,3.54438
2021-03-12,5.84671
2021-03-13,0.36352
2021-03-14,0.39382
2021-03-15,3.87761
2021-03-16,3.27173
2021-03-17,2.69615
2021-03-18,4.08966
2021-03-19,3.39291
2021-03-20,0.21205
2021-03-21,0.18176
2021-03-22,2.96879
2021-03-23,3.60496
2021-03-24,3.02938
2021-03-25,2.4538
2021-03-26,3.08997
2021-03-27,0.27264
2021-03-29,3.05967
2021-03-30,2.54468
2021-03-31,2.69615
2021-04-01,2.60527
2021-04-02,2.63556
2021-04-03,0.21205
2021-04-04,0.21205
2021-04-05,3.12026
2021-04-06,2.96879
2021-04-07,2.99909
2021-04-08,2.9082
2021-04-09,2.33262
2021-04-12,3.18085
2021-04-13,3.12026
2021-04-14,3.57467
2021-04-15,3.05967
2021-04-16,3.72614
2021-04-17,0.39382
2021-04-18,0.24235
2021-04-19,8.02787
2021-04-20,6.75552
2021-04-21,4.30172
2021-04-22,5.877
2021-04-23,4.36231
2021-04-24,0.4544
2021-04-25,0.4544
2021-04-26,6.8767
2021-04-27,9.60315
2021-04-28,11.99636
2021-04-29,7.08876
2021-04-30,3.78673
2021-05-01,0.24235
2021-05-02,0.15146
2021-05-03,12.08724
2021-05-04,6.42229
2021-05-05,0.4544
2021-05-06,4.81672
2021-05-07,3.18085
2021-05-08,0.27264
2021-05-09,0.18176
2021-05-10,4.60466
2021-05-11,4.11996
2021-05-12,3.57467
2021-05-13,4.63495
2021-05-14,4.27143
2021-05-15,0.24235
2021-05-16,0.15146
2021-05-17,3.33232
2021-05-18,3.27173
2021-05-19,0.36352
2021-05-20,2.4235
2021-05-21,2.30233
2021-05-22,0.21205
2021-05-24,2.57497
2021-05-25,2.05998
2021-05-26,2.02968
2021-05-27,2.60527
2021-05-28,2.12056
2021-05-29,0.27264
2021-05-31,2.4235
2021-06-01,1.9388
2021-06-02,2.30233
2021-06-03,2.81732
2021-06-04,2.18115
2021-06-05,0.18176
2021-06-07,2.84762
2021-06-08,2.9082
2021-06-09,2.4538
2021-06-10,2.24174
2021-06-11,2.30233
2021-06-13,0.18176
2021-06-14,1.99939
2021-06-15,1.9388
2021-06-16,1.9388
2021-06-17,2.39321
2021-06-18,1.66616
2021-06-21,2.18115
2021-06-22,1.90851
2021-06-23,2.24174
2021-06-24,1.81763
2021-06-25,2.18115
2021-06-28,2.4538
2021-06-29,2.54468
2021-06-30,2.63556
2021-07-01,2.30233
2021-07-02,1.75704
2021-07-03,0.15146
2021-07-04,0.15146
2021-07-05,3.02938
2021-07-06,2.12056
2021-07-07,2.30233
2021-07-08,2.9385
2021-07-09,3.02938
2021-07-10,0.24235
2021-07-11,0.15146
2021-07-12,2.96879
2021-07-13,3.30202
2021-07-14,2.9082
2021-07-15,3.24144
2021-07-16,2.21145
