date,CD
2020-03-20,23.45173
2020-03-21,15.6193
2020-03-22,17.12204
2020-03-23,25.50091
2020-03-24,26.18397
2020-03-25,22.95081
2020-03-26,25.81967
2020-03-27,23.22404
2020-03-28,16.30236
2020-03-29,19.94535
2020-03-30,28.91621
2020-03-31,27.04918
2020-04-01,25.59198
2020-04-02,26.73041
2020-04-03,21.49362
2020-04-04,17.03096
2020-04-05,21.99453
2020-04-06,23.58834
2020-04-07,24.31693
2020-04-08,23.26958
2020-04-09,22.58652
2020-04-10,21.81238
2020-04-11,16.62112
2020-04-12,18.44262
2020-04-13,22.04007
2020-04-14,23.86156
2020-04-15,17.66848
2020-04-16,22.76867
2020-04-17,28.00546
2020-04-18,17.53187
2020-04-19,17.89617
2020-04-20,24.22586
2020-04-21,24.86338
2020-04-22,23.13296
2020-04-23,24.36247
2020-04-24,19.67213
2020-04-25,15.89253
2020-04-26,16.57559
2020-04-27,23.1785
2020-04-28,23.81602
2020-04-29,19.99089
2020-04-30,16.43897
2020-05-01,15.57377
2020-05-02,12.88706
2020-05-03,15.11839
2020-05-04,18.89799
2020-05-05,16.53005
2020-05-06,23.40619
2020-05-07,22.58652
2020-05-08,23.49726
2020-05-09,18.48816
2020-05-10,17.16757
2020-05-11,22.67759
2020-05-12,21.72131
2020-05-13,22.85974
2020-05-14,22.4499
2020-05-15,20.21857
2020-05-16,19.71766
2020-05-17,17.25865
2020-05-18,20.1275
2020-05-19,22.13114
2020-05-20,24.72677
2020-05-21,24.68123
2020-05-22,21.58469
2020-05-23,17.39526
2020-05-24,18.26047
2020-05-25,21.12932
2020-05-26,22.26775
2020-05-27,22.22222
2020-05-28,23.9071
2020-05-29,21.08378
2020-05-30,15.02732
2020-05-31,17.57741
2020-06-01,21.12932
2020-06-02,20.4918
2020-06-03,20.58287
2020-06-04,22.63205
2020-06-05,19.85428
2020-06-06,16.7122
2020-06-07,17.71402
2020-06-08,23.1785
2020-06-09,22.35883
2020-06-10,22.76867
2020-06-11,23.22404
2020-06-12,23.31511
2020-06-13,17.98724
2020-06-14,16.62112
2020-06-15,21.08378
2020-06-16,19.94535
2020-06-17,21.58469
2020-06-18,21.81238
2020-06-19,19.71766
2020-06-20,17.53187
2020-06-21,19.53551
2020-06-22,24.81785
2020-06-23,22.67759
2020-06-24,22.67759
2020-06-25,26.63934
2020-06-26,18.98907
2020-06-27,17.25865
2020-06-28,16.57559
2020-06-29,25.04553
2020-06-30,23.72495
2020-07-01,20.53734
2020-07-02,21.58469
2020-07-03,17.62295
2020-07-04,14.20765
2020-07-05,15.89253
2020-07-06,19.67213
2020-07-07,20.76502
2020-07-08,19.35336
2020-07-09,18.85245
2020-07-10,17.98724
2020-07-11,14.57194
2020-07-12,16.62112
2020-07-13,20.17304
2020-07-14,19.44444
2020-07-15,18.26047
2020-07-16,20.30965
2020-07-17,19.71766
2020-07-18,16.02914
2020-07-19,15.93806
2020-07-20,18.80692
2020-07-21,20.26411
2020-07-22,19.71766
2020-07-23,18.48816
2020-07-24,16.43897
2020-07-25,13.11475
2020-07-26,15.6193
2020-07-27,17.8051
2020-07-28,19.30783
2020-07-29,16.98542
2020-07-30,19.58105
2020-07-31,16.57559
2020-08-01,12.52276
2020-08-02,17.57741
2020-08-03,16.21129
2020-08-04,20.1275
2020-08-05,19.26229
2020-08-06,18.48816
2020-08-07,16.43897
2020-08-08,13.38797
2020-08-09,14.89071
2020-08-10,19.94535
2020-08-11,18.57923
2020-08-12,19.85428
2020-08-13,22.54098
2020-08-14,18.76138
2020-08-15,14.48087
2020-08-16,14.25318
2020-08-17,15.02732
2020-08-18,19.80874
2020-08-19,18.39708
2020-08-20,19.44444
2020-08-21,16.48451
2020-08-22,14.38979
2020-08-23,16.7122
2020-08-24,18.98907
2020-08-25,19.08014
2020-08-26,19.94535
2020-08-27,18.62477
2020-08-28,20.08196
2020-08-29,15.6193
2020-08-30,16.48451
2020-08-31,20.21857
2020-09-01,21.49362
2020-09-02,21.85792
2020-09-03,20.62841
2020-09-04,18.80692
2020-09-05,15.20947
2020-09-06,19.85428
2020-09-07,23.26958
2020-09-08,22.31329
2020-09-09,21.72131
2020-09-10,20.8561
2020-09-11,20.76502
2020-09-12,16.84881
2020-09-13,18.53369
2020-09-14,19.53551
2020-09-15,21.40255
2020-09-16,20.03642
2020-09-17,22.63205
2020-09-18,19.30783
2020-09-19,16.7122
2020-09-20,16.7122
2020-09-21,20.58287
2020-09-22,20.35519
2020-09-23,22.08561
2020-09-24,22.04007
2020-09-25,17.34972
2020-09-26,15.11839
2020-09-27,11.15664
2020-09-28,21.49362
2020-09-29,16.57559
2020-09-30,12.29508
2020-10-01,13.11475
2020-10-02,13.75227
2020-10-03,15.43715
2020-10-04,18.16939
2020-10-05,20.71948
2020-10-06,20.53734
2020-10-07,22.17668
2020-10-08,20.35519
2020-10-09,17.53187
2020-10-10,18.21493
2020-10-11,16.3479
2020-10-12,20.99271
2020-10-13,23.77049
2020-10-14,22.17668
2020-10-15,22.54098
2020-10-16,18.57923
2020-10-17,18.71584
2020-10-18,18.62477
2020-10-19,20.35519
2020-10-20,19.53551
2020-10-21,21.49362
2020-10-22,19.62659
2020-10-23,17.85063
2020-10-24,15.6193
2020-10-25,16.84881
2020-10-26,21.99453
2020-10-27,18.71584
2020-10-28,21.67577
2020-10-29,20.17304
2020-10-30,17.85063
2020-10-31,15.07285
2020-11-01,14.34426
2020-11-02,18.07832
2020-11-03,18.89799
2020-11-04,19.62659
2020-11-05,19.44444
2020-11-06,18.53369
2020-11-07,13.70673
2020-11-08,15.07285
2020-11-09,18.57923
2020-11-10,18.76138
2020-11-11,17.53187
2020-11-12,19.62659
2020-11-13,17.89617
2020-11-14,15.6193
2020-11-15,16.16575
2020-11-16,18.62477
2020-11-17,20.30965
2020-11-18,18.85245
2020-11-19,20.71948
2020-11-20,17.03096
2020-11-21,13.88888
2020-11-22,16.53005
2020-11-23,19.89981
2020-11-24,19.08014
2020-11-25,22.22222
2020-11-26,21.12932
2020-11-27,17.89617
2020-11-28,15.93806
2020-11-29,14.52641
2020-11-30,18.80692
2020-12-01,20.58287
2020-12-02,20.94717
2020-12-03,19.94535
2020-12-04,17.66848
2020-12-05,16.43897
2020-12-06,16.89435
2020-12-07,23.08743
2020-12-08,22.90528
2020-12-09,23.5428
2020-12-10,19.80874
2020-12-11,20.4918
2020-12-12,18.21493
2020-12-13,20.44626
2020-12-14,24.81785
2020-12-15,20.44626
2020-12-16,21.17486
2020-12-17,20.08196
2020-12-18,20.53734
2020-12-19,16.02914
2020-12-20,17.12204
2020-12-21,21.26593
2020-12-22,20.94717
2020-12-23,19.21675
2020-12-24,17.98724
2020-12-25,14.34426
2020-12-26,16.02914
2020-12-27,19.26229
2020-12-28,20.4918
2020-12-29,20.62841
2020-12-30,18.76138
2020-12-31,16.12021
2021-01-01,13.70673
2021-01-02,15.71038
2021-01-03,16.75774
2021-01-04,22.4499
2021-01-05,22.04007
2021-01-06,19.30783
2021-01-07,18.85245
2021-01-08,17.98724
2021-01-09,18.48816
2021-01-10,20.35519
2021-01-11,21.26593
2021-01-12,20.03642
2021-01-13,19.35336
2021-01-14,21.99453
2021-01-15,19.80874
2021-01-16,16.25683
2021-01-17,15.07285
2021-01-18,21.26593
2021-01-19,22.76867
2021-01-20,20.44626
2021-01-21,22.08561
2021-01-22,17.98724
2021-01-23,17.48633
2021-01-24,16.21129
2021-01-25,22.67759
2021-01-26,21.40255
2021-01-27,19.7632
2021-01-28,21.90346
2021-01-29,19.26229
2021-01-30,17.25865
2021-01-31,16.02914
2021-02-01,18.71584
2021-02-02,19.58105
2021-02-03,19.71766
2021-02-04,17.34972
2021-02-05,18.6703
2021-02-06,14.25318
2021-02-07,15.255
2021-02-08,19.30783
2021-02-09,19.62659
2021-02-10,15.89253
2021-02-11,13.84335
2021-02-12,14.89071
2021-02-13,14.61748
2021-02-14,19.12568
2021-02-15,21.67577
2021-02-16,19.26229
2021-02-17,21.58469
2021-02-18,21.17486
2021-02-19,19.85428
2021-02-20,14.79963
2021-02-21,15.52823
2021-02-22,18.21493
2021-02-23,18.62477
2021-02-24,19.62659
2021-02-25,22.17668
2021-02-26,21.17486
2021-02-27,16.84881
2021-02-28,16.07468
2021-03-01,17.03096
2021-03-02,20.21857
2021-03-03,19.89981
2021-03-04,21.90346
2021-03-05,20.21857
2021-03-06,17.03096
2021-03-07,18.44262
2021-03-08,20.81056
2021-03-09,23.08743
2021-03-10,21.49362
2021-03-11,21.94899
2021-03-12,20.62841
2021-03-13,17.71402
2021-03-14,18.39708
2021-03-15,23.13296
2021-03-16,21.08378
2021-03-17,21.53916
2021-03-18,22.95081
2021-03-19,21.58469
2021-03-20,17.53187
2021-03-21,22.58652
2021-03-22,20.8561
2021-03-23,24.54462
2021-03-24,21.08378
2021-03-25,22.17668
2021-03-26,19.08014
2021-03-27,18.62477
2021-03-28,19.80874
2021-03-29,23.67941
2021-03-30,22.67759
2021-03-31,20.40072
2021-04-01,20.40072
2021-04-02,20.94717
2021-04-03,17.66848
2021-04-04,18.07832
2021-04-05,20.76502
2021-04-06,20.21857
2021-04-07,22.76867
2021-04-08,21.35701
2021-04-09,19.7632
2021-04-10,17.75956
2021-04-11,17.98724
2021-04-12,24.18032
2021-04-13,23.5428
2021-04-14,23.45173
2021-04-15,23.86156
2021-04-16,22.17668
2021-04-17,21.12932
2021-04-18,19.89981
2021-04-19,23.04189
2021-04-20,24.90892
2021-04-21,24.49908
2021-04-22,20.4918
2021-04-23,22.63205
2021-04-24,17.4408
2021-04-25,18.26047
2021-04-26,21.76684
2021-04-27,21.44808
2021-04-28,21.58469
2021-04-29,20.67395
2021-04-30,17.4408
2021-05-01,16.02914
2021-05-02,16.7122
2021-05-03,19.89981
2021-05-04,18.85245
2021-05-05,16.57559
2021-05-06,19.80874
2021-05-07,19.26229
2021-05-08,15.43715
2021-05-09,13.93442
2021-05-10,19.08014
2021-05-11,21.81238
2021-05-12,19.58105
2021-05-13,19.71766
2021-05-14,17.34972
2021-05-15,14.61748
2021-05-16,17.16757
