date,투자자산운용사
2020-03-20,2.01967
2020-03-21,1.46108
2020-03-22,1.66951
2020-03-23,2.01133
2020-03-24,1.92588
2020-03-25,1.84042
2020-03-26,1.81749
2020-03-27,1.83
2020-03-28,1.31518
2020-03-29,1.53612
2020-03-30,2.06136
2020-03-31,1.86543
2020-04-01,1.98007
2020-04-02,1.73412
2020-04-03,1.53612
2020-04-04,1.3652
2020-04-05,1.33394
2020-04-06,2.06761
2020-04-07,1.91546
2020-04-08,1.98841
2020-04-09,1.9363
2020-04-10,1.73412
2020-04-11,1.32352
2020-04-12,1.48401
2020-04-13,2.44487
2020-04-14,2.07803
2020-04-15,1.54445
2020-04-16,1.9488
2020-04-17,1.77164
2020-04-18,1.45691
2020-04-19,1.7904
2020-04-20,2.58243
2020-04-21,2.18016
2020-04-22,2.13848
2020-04-23,1.94672
2020-04-24,1.62157
2020-04-25,1.30684
2020-04-26,1.51736
2020-04-27,2.1093
2020-04-28,1.97382
2020-04-29,1.80499
2020-04-30,1.56113
2020-05-01,1.44858
2020-05-02,1.45691
2020-05-03,1.63199
2020-05-04,2.22185
2020-05-05,2.0822
2020-05-06,2.65329
2020-05-07,2.26562
2020-05-08,2.22602
2020-05-09,1.76747
2020-05-10,2.37608
2020-05-11,12.48072
2020-05-12,7.7994
2020-05-13,5.27741
2020-05-14,4.89599
2020-05-15,4.6688
2020-05-16,1.94464
2020-05-17,2.003
2020-05-18,3.47659
2020-05-19,2.40735
2020-05-20,2.09679
2020-05-21,1.93421
2020-05-22,1.82166
2020-05-23,1.37563
2020-05-24,1.62366
2020-05-25,2.29271
2020-05-26,2.19892
2020-05-27,2.25728
2020-05-28,2.63245
2020-05-29,2.49489
2020-05-30,2.003
2020-05-31,2.75126
2020-06-01,3.2098
2020-06-02,3.11184
2020-06-03,2.52824
2020-06-04,2.87006
2020-06-05,3.55162
2020-06-06,5.11276
2020-06-07,7.67226
2020-06-08,3.52453
2020-06-09,2.33648
2020-06-10,1.82166
2020-06-11,1.75705
2020-06-12,1.67368
2020-06-13,1.58614
2020-06-14,1.59239
2020-06-15,2.20517
2020-06-16,2.29063
2020-06-17,2.96177
2020-06-18,18.03534
2020-06-19,3.46825
2020-06-20,1.94464
2020-06-21,1.59031
2020-06-22,2.374
2020-06-23,1.9488
2020-06-24,1.93213
2020-06-25,1.71745
2020-06-26,1.55279
2020-06-27,1.30059
2020-06-28,1.32352
2020-06-29,1.85918
