date,덕성우
2020-03-20,4.8848
2020-03-21,0.90405
2020-03-22,0.68047
2020-03-23,4.03907
2020-03-24,11.56313
2020-03-25,20.47244
2020-03-26,18.61086
2020-03-27,12.75396
2020-03-28,2.03655
2020-03-29,1.56508
2020-03-30,10.13901
2020-03-31,10.81462
2020-04-01,10.39175
2020-04-02,9.03081
2020-04-03,7.7768
2020-04-04,1.76922
2020-04-05,1.56508
2020-04-06,7.3831
2020-04-07,6.56654
2020-04-08,8.53504
2020-04-09,6.71721
2020-04-10,6.83386
2020-04-11,1.21026
2020-04-12,1.21026
2020-04-13,8.29201
2020-04-14,10.68338
2020-04-15,4.76815
2020-04-16,12.43802
2020-04-17,7.5678
2020-04-18,1.45815
2020-04-19,1.21026
2020-04-20,5.54097
2020-04-21,4.93341
2020-04-22,5.73539
2020-04-23,5.28822
2020-04-24,4.36959
2020-04-25,0.7874
2020-04-26,0.7874
2020-04-27,5.00145
2020-04-28,24.28793
2020-04-29,19.59755
2020-04-30,2.13376
2020-05-01,1.50189
2020-05-02,1.21512
2020-05-03,1.15193
2020-05-04,7.30533
2020-05-05,1.5505
2020-05-06,8.95304
2020-05-07,6.07076
2020-05-08,5.42432
2020-05-09,0.89433
2020-05-10,0.86516
2020-05-11,4.74871
2020-05-12,4.82161
2020-05-13,5.01117
2020-05-14,4.90424
2020-05-15,4.56401
2020-05-16,0.836
2020-05-17,0.80684
2020-05-18,4.26752
2020-05-19,5.05492
2020-05-20,5.87634
2020-05-21,5.45834
2020-05-22,3.79605
2020-05-23,0.4423
2020-05-24,0.6756
2020-05-25,4.09254
2020-05-26,3.80091
2020-05-27,3.83493
2020-05-28,3.61135
2020-05-29,10.68338
2020-05-30,1.81782
2020-05-31,1.35121
2020-06-01,12.07835
2020-06-02,8.08787
2020-06-03,5.2542
2020-06-04,6.72693
2020-06-05,4.76815
2020-06-06,0.55895
2020-06-07,0.63672
2020-06-08,5.28336
2020-06-09,11.14027
2020-06-10,18.5331
2020-06-11,13.67259
2020-06-12,11.63604
2020-06-13,2.13376
2020-06-14,2.5226
2020-06-15,9.89598
2020-06-16,9.96403
2020-06-17,29.16302
2020-06-18,23.22834
2020-06-19,19.87459
2020-06-20,3.76202
2020-06-21,2.96004
2020-06-22,32.74035
2020-06-23,14.75648
2020-06-24,11.49023
2020-06-25,9.83765
2020-06-26,16.46738
2020-06-27,2.31359
2020-06-28,2.07543
2020-06-29,11.02362
2020-06-30,13.92048
2020-07-01,11.32497
2020-07-02,29.20676
2020-07-03,19.15038
2020-07-04,3.31972
2020-07-05,2.87255
2020-07-06,14.9266
2020-07-07,12.67619
2020-07-08,15.923
2020-07-09,13.80869
2020-07-10,9.18149
2020-07-11,1.10333
2020-07-12,1.03528
2020-07-13,6.86303
2020-07-14,6.97482
2020-07-15,5.87148
2020-07-16,5.60416
2020-07-17,9.57033
2020-07-18,1.21026
2020-07-19,1.46301
2020-07-20,6.72207
2020-07-21,5.09866
2020-07-22,4.3064
2020-07-23,4.39875
2020-07-24,4.2821
2020-07-25,1.14707
2020-07-26,0.7874
2020-07-27,4.93341
2020-07-28,4.48624
2020-07-29,4.74385
2020-07-30,4.02935
2020-07-31,3.20793
2020-08-01,0.55409
2020-08-02,0.57353
2020-08-03,6.64916
2020-08-04,12.23388
2020-08-05,8.7489
2020-08-06,11.12083
2020-08-07,10.79517
2020-08-08,1.61368
2020-08-09,1.71089
2020-08-10,6.16311
2020-08-11,4.35015
2020-08-12,4.29668
2020-08-13,8.20939
2020-08-14,6.32351
2020-08-15,0.97696
2020-08-16,0.80198
2020-08-17,1.3658
2020-08-18,5.22018
2020-08-19,4.15087
2020-08-20,3.7523
2020-08-21,3.29056
2020-08-22,0.3937
2020-08-23,0.48118
2020-08-24,3.69884
2020-08-25,3.32458
2020-08-26,3.41207
2020-08-27,2.96004
2020-08-28,2.9406
2020-08-29,0.40828
2020-08-30,0.42772
2020-08-31,2.7073
2020-09-01,2.7073
2020-09-02,3.16904
2020-09-03,2.71702
2020-09-04,2.87255
2020-09-05,0.37425
2020-09-06,0.37425
2020-09-07,2.85797
2020-09-08,2.62467
2020-09-09,2.64411
2020-09-10,2.90658
2020-09-11,3.61135
2020-09-12,0.45202
2020-09-13,0.44716
2020-09-14,4.38417
2020-09-15,5.94925
2020-09-16,4.20919
2020-09-17,3.69398
2020-09-18,4.90424
2020-09-19,0.6513
2020-09-20,0.58326
2020-09-21,4.18489
2020-09-22,2.92602
2020-09-23,2.86283
2020-09-24,2.61981
2020-09-25,2.97948
2020-09-26,0.35481
2020-09-27,0.32079
2020-09-28,2.45941
2020-09-29,2.34276
2020-09-30,0.33537
2020-10-01,0.22358
2020-10-02,0.20414
2020-10-03,0.209
2020-10-04,0.29163
2020-10-05,1.98308
2020-10-06,2.07543
2020-10-07,2.04627
2020-10-08,1.99766
2020-10-09,0.34509
2020-10-10,0.26246
2020-10-11,0.26246
2020-10-12,2.3865
2020-10-13,4.81189
2020-10-14,3.61621
2020-10-15,5.63818
2020-10-16,4.60775
2020-10-17,0.61242
2020-10-18,0.73393
2020-10-19,5.59443
2020-10-20,3.78147
2020-10-21,5.03548
2020-10-22,6.19228
2020-10-23,11.00904
2020-10-24,2.76562
2020-10-25,2.10945
2020-10-26,11.96655
2020-10-27,7.3831
2020-10-28,8.23369
2020-10-29,6.23602
2020-10-30,4.28696
2020-10-31,0.72907
2020-11-01,0.96237
2020-11-02,27.66112
2020-11-03,44.71177
2020-11-04,35.5886
2020-11-05,18.2366
2020-11-06,12.85117
2020-11-07,2.88713
2020-11-08,2.7073
2020-11-09,12.5887
2020-11-10,9.45367
2020-11-11,49.65004
2020-11-12,73.73383
2020-11-13,42.12112
2020-11-14,6.81928
2020-11-15,5.82774
2020-11-16,39.03956
2020-11-17,55.72081
2020-11-18,38.07232
2020-11-19,31.27734
2020-11-20,17.61932
2020-11-21,3.43151
2020-11-22,3.37318
2020-11-23,14.79051
2020-11-24,24.3657
2020-11-25,43.35569
2020-11-26,26.2856
2020-11-27,17.89637
2020-11-28,3.5676
2020-11-29,4.16545
2020-11-30,32.03557
2020-12-01,43.23417
2020-12-02,73.58802
2020-12-03,32.97851
2020-12-04,21.91114
2020-12-05,3.78147
2020-12-06,3.38291
2020-12-07,16.6132
2020-12-08,16.48682
2020-12-09,20.06901
2020-12-10,20.23427
2020-12-11,15.4807
2020-12-12,2.46427
2020-12-13,2.10945
2020-12-14,14.38222
2020-12-15,12.68105
2020-12-16,18.71779
2020-12-17,12.14153
2020-12-18,10.1147
2020-12-19,1.64771
2020-12-20,1.82754
2020-12-21,9.95917
2020-12-22,9.23009
2020-12-23,8.03441
2020-12-24,12.53523
2020-12-25,9.85224
2020-12-26,4.0731
2020-12-27,3.62107
2020-12-28,50.75823
2020-12-29,18.7421
2020-12-30,12.28735
2020-12-31,2.61981
2021-01-01,2.0171
2021-01-02,1.7838
2021-01-03,5.57013
2021-01-04,16.66666
2021-01-05,10.07096
2021-01-06,10.14387
2021-01-07,8.28229
2021-01-08,6.94079
2021-01-09,1.39496
2021-01-10,1.40468
2021-01-11,6.70263
2021-01-12,7.45601
2021-01-13,7.63585
2021-01-14,5.74025
2021-01-15,5.91037
2021-01-16,1.35121
2021-01-17,1.08875
2021-01-18,5.43404
2021-01-19,18.42616
2021-01-20,48.43491
2021-01-21,13.76494
2021-01-22,8.69058
2021-01-23,1.68659
2021-01-24,1.4387
2021-01-25,7.25187
2021-01-26,6.22144
2021-01-27,5.46806
2021-01-28,4.82648
2021-01-29,4.55915
2021-01-30,1.19568
2021-01-31,0.836
2021-02-01,5.46806
2021-02-02,4.57373
2021-02-03,4.4668
2021-02-04,3.46553
2021-02-05,3.93214
2021-02-06,1.045
2021-02-07,0.73879
2021-02-08,4.13142
2021-02-09,4.34042
2021-02-10,6.1777
2021-02-11,1.58452
2021-02-12,1.06445
2021-02-13,1.18596
2021-02-14,1.19082
2021-02-15,5.78885
2021-02-16,3.6794
2021-02-17,3.1739
2021-02-18,3.23223
2021-02-19,3.3343
2021-02-20,0.51035
2021-02-21,0.58326
2021-02-22,3.86896
2021-02-23,2.85311
2021-02-24,2.80451
2021-02-25,2.85311
2021-02-26,4.04879
2021-02-27,0.68047
2021-02-28,0.84572
2021-03-01,0.94779
2021-03-02,11.32011
2021-03-03,9.94459
2021-03-04,43.28764
2021-03-05,21.97919
2021-03-06,2.87255
2021-03-07,2.56634
2021-03-08,35.69553
2021-03-09,24.84689
2021-03-10,15.40779
2021-03-11,12.79284
2021-03-12,9.55088
2021-03-13,1.88587
2021-03-14,1.71575
2021-03-15,10.52785
2021-03-16,8.5642
2021-03-17,7.44143
2021-03-18,13.01642
2021-03-19,9.82793
2021-03-20,1.32205
2021-03-21,1.36094
2021-03-22,11.59716
2021-03-23,9.49742
2021-03-24,13.75522
2021-03-25,17.48809
2021-03-26,13.90104
2021-03-27,2.3865
2021-03-28,2.17264
2021-03-29,26.65014
2021-03-30,23.75814
2021-03-31,19.31564
2021-04-01,17.13327
2021-04-02,61.45134
2021-04-03,9.65296
2021-04-04,8.34062
2021-04-05,32.85214
2021-04-06,23.69009
2021-04-07,22.48468
2021-04-08,63.65801
2021-04-09,84.91785
