date,행복한눈물
2020-03-20,5.29767
2020-03-21,4.9445
2020-03-22,4.33905
2020-03-23,5.19677
2020-03-24,4.9445
2020-03-25,5.44904
2020-03-26,6.15539
2020-03-27,5.75176
2020-03-28,5.80221
2020-03-29,6.10494
2020-03-30,5.75176
2020-03-31,6.05449
2020-04-01,6.71039
2020-04-02,6.05449
2020-04-03,6.8113
2020-04-04,5.70131
2020-04-05,5.24722
2020-04-06,5.6004
2020-04-07,4.69223
2020-04-08,6.00403
2020-04-09,6.76084
2020-04-10,8.87991
2020-04-11,4.28859
2020-04-12,4.43995
2020-04-13,6.55903
2020-04-14,6.2563
2020-04-15,4.74268
2020-04-16,7.97174
2020-04-17,6.86175
2020-04-18,4.08678
2020-04-19,4.89404
2020-04-20,8.77901
2020-04-21,10.14127
2020-04-22,8.42583
2020-04-23,9.9899
2020-04-24,12.76488
2020-04-25,6.86175
2020-04-26,6.40766
2020-04-27,8.52674
2020-04-28,10.39354
2020-04-29,10.99899
2020-04-30,6.55903
2020-05-01,9.73763
2020-05-02,5.29767
2020-05-03,8.52674
2020-05-04,6.86175
2020-05-05,4.18768
2020-05-06,9.9899
2020-05-07,11.85671
2020-05-08,9.03128
2020-05-09,4.23814
2020-05-10,10.89808
2020-05-11,7.16448
2020-05-12,10.49445
2020-05-13,9.03128
2020-05-14,9.63673
2020-05-15,9.63673
2020-05-16,4.9445
2020-05-17,6.40766
2020-05-18,7.11402
2020-05-19,10.19172
2020-05-20,12.4117
2020-05-21,8.47628
2020-05-22,9.73763
2020-05-23,5.44904
2020-05-24,6.86175
2020-05-25,10.94853
2020-05-26,15.13622
2020-05-27,10.19172
2020-05-28,9.53582
2020-05-29,11.70534
2020-05-30,5.75176
2020-05-31,10.29263
2020-06-01,12.61352
2020-06-02,16.09485
2020-06-03,11.85671
2020-06-04,12.15943
2020-06-05,10.94853
2020-06-06,5.39858
2020-06-07,10.74672
2020-06-08,13.47124
2020-06-09,10.64581
2020-06-10,9.93945
2020-06-11,9.93945
2020-06-12,9.889
2020-06-13,7.21493
2020-06-14,9.78809
2020-06-15,8.98082
2020-06-16,10.74672
2020-06-17,13.11806
2020-06-18,12.66397
2020-06-19,10.19172
2020-06-20,6.71039
2020-06-21,9.03128
2020-06-22,13.67305
2020-06-23,11.50353
2020-06-24,12.56306
2020-06-25,14.73259
2020-06-26,10.39354
2020-06-27,7.11402
2020-06-28,9.334
2020-06-29,13.21897
2020-06-30,15.38849
2020-07-01,12.66397
2020-07-02,13.47124
2020-07-03,11.7558
2020-07-04,7.16448
2020-07-05,12.31079
2020-07-06,13.0676
2020-07-07,15.59031
2020-07-08,15.13622
2020-07-09,10.99899
2020-07-10,10.29263
2020-07-11,4.49041
2020-07-12,9.334
2020-07-13,10.09081
2020-07-14,11.7558
2020-07-15,11.15035
2020-07-16,10.34308
2020-07-17,9.48536
2020-07-18,5.29767
2020-07-19,6.40766
2020-07-20,9.23309
2020-07-21,10.14127
2020-07-22,6.9122
2020-07-23,8.52674
2020-07-24,7.61856
2020-07-25,3.98587
