date,소액투자
2020-03-20,82.10526
2020-03-21,54.73684
2020-03-22,59.64912
2020-03-23,77.89473
2020-03-24,78.94736
2020-03-25,73.68421
2020-03-26,69.82456
2020-03-27,63.85964
2020-03-28,58.94736
2020-03-29,61.05263
2020-03-30,61.75438
2020-03-31,88.07017
2020-04-01,89.1228
2020-04-02,68.77192
2020-04-03,69.82456
2020-04-04,41.75438
2020-04-05,51.92982
2020-04-06,74.73684
2020-04-07,72.98245
2020-04-08,75.08771
2020-04-09,71.92982
2020-04-10,62.45614
2020-04-11,44.5614
2020-04-12,55.43859
2020-04-13,63.50877
2020-04-14,64.5614
2020-04-15,83.15789
2020-04-16,63.15789
2020-04-17,68.77192
2020-04-18,87.01754
2020-04-19,100.0
2020-04-20,88.42105
2020-04-21,80.0
2020-04-22,82.45614
2020-04-23,85.26315
2020-04-24,54.73684
2020-04-25,42.80701
2020-04-26,58.94736
2020-04-27,69.1228
2020-04-28,67.01754
2020-04-29,52.98245
2020-04-30,43.85964
2020-05-01,38.59649
2020-05-02,43.15789
2020-05-03,41.75438
2020-05-04,53.33333
2020-05-05,51.92982
2020-05-06,61.4035
2020-05-07,54.73684
2020-05-08,47.01754
2020-05-09,48.07017
2020-05-10,45.96491
2020-05-11,58.94736
2020-05-12,60.70175
2020-05-13,62.45614
2020-05-14,48.42105
2020-05-15,50.52631
2020-05-16,51.57894
2020-05-17,43.85964
2020-05-18,65.26315
2020-05-19,64.21052
2020-05-20,62.80701
2020-05-21,58.94736
2020-05-22,62.10526
2020-05-23,41.75438
2020-05-24,58.94736
2020-05-25,76.14035
2020-05-26,80.0
2020-05-27,54.38596
2020-05-28,56.14035
2020-05-29,62.45614
2020-05-30,36.8421
2020-05-31,43.85964
2020-06-01,75.78947
2020-06-02,69.1228
2020-06-03,61.05263
2020-06-04,68.77192
2020-06-05,45.96491
2020-06-06,43.50877
2020-06-07,57.19298
2020-06-08,65.61403
2020-06-09,69.1228
2020-06-10,71.57894
2020-06-11,69.47368
2020-06-12,52.63157
2020-06-13,50.87719
2020-06-14,49.82456
2020-06-15,60.35087
2020-06-16,87.36842
2020-06-17,74.73684
2020-06-18,84.5614
2020-06-19,61.4035
2020-06-20,49.82456
2020-06-21,49.82456
2020-06-22,63.50877
2020-06-23,72.2807
2020-06-24,68.07017
2020-06-25,68.77192
2020-06-26,56.14035
2020-06-27,43.50877
2020-06-28,57.19298
2020-06-29,66.66666
2020-06-30,67.71929
2020-07-01,63.85964
2020-07-02,62.45614
2020-07-03,47.01754
2020-07-04,52.2807
2020-07-05,67.01754
2020-07-06,76.49122
2020-07-07,75.78947
2020-07-08,62.10526
2020-07-09,71.92982
2020-07-10,54.38596
2020-07-11,33.68421
2020-07-12,48.07017
2020-07-13,94.03508
2020-07-14,71.22807
2020-07-15,64.5614
2020-07-16,59.64912
2020-07-17,57.19298
2020-07-18,36.14035
2020-07-19,49.82456
2020-07-20,59.64912
2020-07-21,62.10526
2020-07-22,70.52631
2020-07-23,73.68421
2020-07-24,51.57894
2020-07-25,43.85964
2020-07-26,49.1228
