date,주택관리사
2020-03-20,8.98661
2020-03-21,7.25418
2020-03-22,8.35506
2020-03-23,11.13621
2020-03-24,10.40616
2020-03-25,9.74563
2020-03-26,9.99478
2020-03-27,8.74326
2020-03-28,7.59024
2020-03-29,7.84518
2020-03-30,11.55339
2020-03-31,10.92183
2020-04-01,10.3714
2020-04-02,11.11883
2020-04-03,9.22417
2020-04-04,7.41062
2020-04-05,8.17544
2020-04-06,11.41433
2020-04-07,11.31583
2020-04-08,10.38878
2020-04-09,10.45251
2020-04-10,10.18019
2020-04-11,8.04797
2020-04-12,8.45935
2020-04-13,10.92183
2020-04-14,9.86731
2020-04-15,8.216
2020-04-16,9.35743
2020-04-17,9.43275
2020-04-18,7.231
2020-04-19,8.7027
2020-04-20,12.53838
2020-04-21,11.57077
2020-04-22,10.7538
2020-04-23,10.3656
2020-04-24,10.64951
2020-04-25,7.5323
2020-04-26,8.3087
2020-04-27,10.15122
2020-04-28,10.60895
2020-04-29,9.29949
2020-04-30,7.3353
2020-05-01,7.50912
2020-05-02,6.98186
2020-05-03,7.96106
2020-05-04,9.36902
2020-05-05,8.84176
2020-05-06,11.57656
2020-05-07,11.29265
2020-05-08,8.76644
2020-05-09,7.12671
2020-05-10,8.66794
2020-05-11,11.35639
2020-05-12,10.96819
2020-05-13,10.1744
2020-05-14,10.44672
2020-05-15,8.63317
2020-05-16,7.31792
2020-05-17,7.10354
2020-05-18,11.6345
2020-05-19,11.39695
2020-05-20,10.7538
2020-05-21,10.7538
2020-05-22,9.76881
2020-05-23,6.77327
2020-05-24,7.93788
2020-05-25,10.8581
2020-05-26,11.18836
2020-05-27,9.72246
2020-05-28,9.23576
2020-05-29,8.43617
2020-05-30,6.61104
2020-05-31,8.05376
2020-06-01,19.02775
2020-06-02,14.35193
2020-06-03,11.58815
2020-06-04,11.81412
2020-06-05,10.53363
2020-06-06,6.82542
2020-06-07,7.98424
2020-06-08,11.43751
2020-06-09,10.92183
2020-06-10,9.40958
2020-06-11,9.03296
2020-06-12,8.43617
2020-06-13,7.19045
2020-06-14,7.39903
2020-06-15,11.02033
2020-06-16,11.37377
2020-06-17,9.56602
